Nombre,Temas,Subtemas,Tipos,Subtipos,Subsubtipos,Perfiles,País,Provincia,Municipio,Distrito,Calle,Número,Bloque,Portal,Escalera,Planta,Puerta,Localidad,C.P.,Georreferenciación,Coordenada X (UTM),Coordenada Y (UTM),Coordenada X,Coordenada Y,CIF,Teléfono,Fax,Email,Web,Texto
"Ayuntamiento de Alcobendas","Ayuntamiento de Alcobendas","Otros Ayuntamiento Alcobendas","Equipamientos Municipales","Administrativos","","","España","Madrid","Alcobendas","Norte","PZ MAYOR","1","","","","","","Alcobendas","28100","center=40.5475170400635,-3.6416009847823&info=Ayuntamiento de Alcobendas",445672.8730000786,4488726.882,40.5475170400635,-3.6416009847823,"P2800600E","916597600","","","","<div class=""datosinteres""><h4><img alt="""" class=""img_Sin"" id=""Imagen_10_9471084421748"" src=""http://www.alcobendas.org/recursos/img/Comunes/895869469_262010131247.gif"" /> Datos de inter&eacute;s</h4><div class=""separador""><h5>Accesos</h5><ul class=""tipo2"">	<li><a href=""http://www.alcobendas.org/es/portal.do?TR=C&amp;IDR=1111"">Coche</a></li>	<li>Autob&uacute;s:&nbsp;&nbsp;&nbsp;<a href=""http://www.alcobendas.org/es/portal.do?TR=C&amp;IDR=2246"">L 2&nbsp;</a> /&nbsp;<a href=""http://www.alcobendas.org/es/portal.do?TR=C&amp;IDR=2252"">C 10 </a>/ <a href=""http://www.alcobendas.org/es/portal.do?TR=C&amp;IDR=2253"">C 11 </a>/ <a href=""http://www.alcobendas.org/es/portal.do?TR=C&amp;IDR=2254"">151</a>&nbsp; /&nbsp;<a href=""http://www.alcobendas.org/es/portal.do?TR=C&amp;IDR=2274"">827</a>/ <a href=""http://www.alcobendas.org/es/portal.do?TR=C&amp;IDR=2275"">827A</a> /<a href=""http://www.alcobendas.org/es/portal.do?TR=C&amp;IDR=2277""> N101&nbsp;</a></li>	<li><a href=""http://www.metromadrid.es/es/viaja_en_metro/red_de_metro/lineas_y_horarios/linea10.html"" rel=""external"" title=""Se abre en ventana nueva (Se abre en ventana nueva) (Se abre en ventana nueva) (Se abre en ventana nueva) (Se abre en ventana nueva)"">Metro</a></li>	<li>Tren: A Alcobendas llega la<strong> </strong>l&iacute;nea<strong> C4 Parla-Alcobendas-San Sebasti&aacute;n de los Reyes. </strong><a href=""http://www.renfe.com/viajeros/cercanias/madrid/index.html"" rel=""external"" title=""Se abre en ventana nueva (Se abre en ventana nueva) (Se abre en ventana nueva) (Se abre en ventana nueva)"">Acceda a la informaci&oacute;n sobre estaciones, horarios, etc</a>.</li>	<li><a href=""http://www.alcobendas.org/es/portal.do?TR=C&amp;IDR=1113"">M&aacute;s informaci&oacute;n sobre transportes</a>&nbsp;</li></ul><h5>Horario</h5><p>Para acceso a Tablones de Edictos de lunes a viernes de 8 a 20 h., y los s&aacute;bados de 10 a 13 h. </p><p>Si desea informaci&oacute;n o realizar alg&uacute;n tr&aacute;mite, puede dirigirse al <a href=""http://www.alcobendas.org/es/portal.do?TR=C&amp;IDR=1470"">Servicio de Atenci&oacute;n Ciudadana</a>. </p><h5 class=""tipo1"">M&aacute;s informaci&oacute;n</h5><p>Este edificio dispone de desfibrilador, ofreciendo la posibilidad de una r&aacute;pida actuaci&oacute;n ante una parada cardiorrespiratoria. </p><h5 class=""tipo1"">Contacto (c&oacute;digo QR/BIDI) <br /><br /><img alt="""" class=""img_Sin"" id=""Imagen_2722_2086696903801"" src=""http://www.alcobendas.org/recursos/img/Comunes/1274292346_422013141955.png"" /> </h5></div></div><!--fin fichaterritoriales-->"
"Campo de fútbol de Fuentelucha","Deportes","Servicios Deportes","Deporte","Pistas y Espacios Deportivos","","","España","Madrid","Alcobendas","Norte","CL FELICIDAD DE LA","","","","","","","Alcobendas","","center=40.54994271406935,-3.6591466427519426&info=Campo de fútbol de Fuentelucha",444189.2100000949,4489007.1,40.54994271406935,-3.6591466427519426,"","","","","","<div class=""datosinteres""><h4><img alt="""" class=""img_Sin"" id=""Imagen_10_57759570474"" src=""http://www.alcobendas.org/recursos/img/Comunes/895869469_262010131247.gif"" />&nbsp;</h4><p>El horario de la instalaci&oacute;n est&aacute; marcada por la oficina de programaci&oacute;n de la liga de futbol local. </p><h5 class=""tipo1"">M&aacute;s informaci&oacute;n</h5><p>Este edificio dispone de desfibrilador, ofreciendo la posibilidad de una r&aacute;pida actuaci&oacute;n ante una parada cardiorrespiratoria. </p></div><!--fin fichaterritoriales-->"
"Campo de fútbol Mario Suárez","Deportes","Servicios Deportes","Deporte","Pistas y Espacios Deportivos","","","España","Madrid","Alcobendas",,"CL FCO LARGO CABALLERO","","","","","","","Alcobendas","","center=40.55462041442307,-3.646094687618256&info=Campo de fútbol Largo Caballero",445298.1500000825,4489518.15,40.55462041442307,-3.646094687618256,"","","","","",""
"Campo de fútbol Navarra 1","Deportes","Servicios Deportes","Deporte","Pistas y Espacios Deportivos","","","España","Madrid","Alcobendas","Norte","AV ESPAÑA","","","","","","","Alcobendas","","center=40.54443090139885,-3.6444256506244987&info=Campo de fútbol Navarra 1",445431.190000081,4488386.060000002,40.54443090139885,-3.6444256506244987,"","","","","","<h5 class=""tipo1"">M&aacute;s informaci&oacute;n</h5><p>Este edificio dispone de desfibrilador, ofreciendo la posibilidad de una r&aacute;pida actuaci&oacute;n ante una parada cardiorrespiratoria. </p>"
"Campo de fútbol Óscar Molina","Deportes","Servicios Deportes","Deporte","Pistas y Espacios Deportivos","","","España","Madrid","Alcobendas",,"CL MANUEL DE FALLA","54","","","","","","Alcobendas","","center=40.552192,-3.641694&info=Campo de futbol Oscar Molina",445668.7754389879,4489245.868738112,40.552192,-3.641694,"","","","","","<div class=""datosinteres""><h4><img alt="""" class=""img_Sin"" id=""Imagen_10_4415976764737"" src=""http://www.alcobendas.org/recursos/img/Comunes/895869469_262010131247.gif"" /> Datos de inter&eacute;s</h4><div class=""separador""><h5 class=""tipo1"">M&aacute;s informaci&oacute;n</h5><p>Este edificio dispone de desfibrilador, ofreciendo la posibilidad de una r&aacute;pida actuaci&oacute;n ante una parada cardiorrespiratoria. </p></div></div><!--fin fichaterritoriales-->"
"Campo de Rugby Las Terrazas ","Deportes","Servicios Deportes","Deporte","Pistas y Espacios Deportivos","","","España","Madrid","Alcobendas","Urbanizaciones","CL NARDO","101","","","","","","Alcobendas","","center=40.529569479167634,-3.6378378564310307&info=Campo de Rugby Las Terrazas ",445977.1000000754,4486732.36,40.529569479167634,-3.6378378564310307,"","","","","","<div class=""datosinteres""><h4><img alt="""" class=""img_Sin"" id=""Imagen_10_1039782648263"" src=""http://www.alcobendas.org/recursos/img/Comunes/895869469_262010131247.gif"" /> Datos de inter&eacute;s</h4><div class=""separador""><h5 class=""tipo1"">M&aacute;s informaci&oacute;n</h5><p>Este edificio dispone de desfibrilador, ofreciendo la posibilidad de una r&aacute;pida actuaci&oacute;n ante una parada cardiorrespiratoria. </p></div></div><!--fin fichaterritoriales-->"
"Centro Cultural Anabel Segura","Cultura y Ocio","Otros Cultura y Ocio|Pintura, Escultura y Fotografía","Equipamientos Municipales|Cultura","Administrativos|Culturales|Centros Culturales|Centros Cívicos","","","España","Madrid","Alcobendas","Urbanizaciones","AV BRUSELAS DE","19","","","","","","Alcobendas","28108","center=40.53134238883761,-3.6366819443693847&info=Centro Cultural Anabel Segura",446076.4240000745,4486928.447999998,40.53134238883761,-3.6366819443693847,"","914841685","914841683","cc.asegura@aytoalcobendas.org","","<div class=""datosinteres""><h4><img alt="""" class=""img_Sin"" id=""Imagen_10_8299536588891"" src=""http://www.alcobendas.org/recursos/img/Comunes/895869469_262010131247.gif"" /> Datos de inter&eacute;s</h4><div class=""separador""><h5></h5><h5>Descripci&oacute;n</h5><p>Edificio que alberga los siguientes servicios municipales: </p><ul class=""tipo1"">	<li>Concejal&iacute;a de Distrito Urbanizaciones</li>	<li>Apoyo Sociocultural, cesi&oacute;n de dos salas polivalentes para actividades y cesi&oacute;n de espacio para sede de asociaciones.</li>	<li>SAC</li>	<li>Mediateca</li>	<li>Artes Pl&aacute;sticas / Sala de exposiciones</li></ul><h5>Servicios principales</h5><ul class=""tipo1"">	<li>Cesi&oacute;n de salas para actividades: 	<ul class=""tipo1"">		<li>Sala N&ordm; 1. Capacidad 22 personas.</li>		<li>Sala N&ordm; 2. Capacidad 22 personas.</li>		<li>Sala Exposiciones. </li>	</ul>	</li></ul><h5>Accesos</h5><ul class=""tipo2"">	<li><a href=""http://www.alcobendas.org/es/portal.do?TR=C&amp;IDR=1111"">Coche</a> </li>	<li>Autob&uacute;s:&nbsp;<a href=""http://www.alcobendas.org/es/portal.do?TR=C&amp;IDR=2251""> L 9</a> /<a href=""http://www.alcobendas.org/es/portal.do?TR=C&amp;IDR=2265""> 159 </a>/ <a href=""http://www.alcobendas.org/es/portal.do?TR=C&amp;IDR=2277"">N101&nbsp;</a>&nbsp;</li>	<li><a href=""http://www.metromadrid.es/es/viaja_en_metro/red_de_metro/lineas_y_horarios/linea10.html"" rel=""external"" title=""Se abre en ventana nueva (Se abre en ventana nueva) (Se abre en ventana nueva)"">Metro</a>. Estaci&oacute;n La Moraleja</li>	<li><a href=""http://www.alcobendas.org/es/portal.do?TR=C&amp;IDR=1113"">M&aacute;s informaci&oacute;n sobre transportes</a>&nbsp;</li></ul><h5>Horarios</h5><p><strong>Horario general del edificio:</strong> </p><ul class=""tipo1"">	<li>Lunes a jueves de 08:00 a 21:45 h.</li>	<li>Viernes de 08:30 a 21:00 h.</li>	<li>S&aacute;bados y domingos: 16:30 a 20:00 h. </li></ul><p><strong><a href=""http://www.alcobendas.org/es/portal.do?TR=C&amp;IDR=1470"">Servicio Atenci&oacute;n Ciudadana (SAC):</a></strong>&nbsp; Tfno.:&nbsp;&nbsp;010 /&nbsp;912969088 </p><ul class=""tipo1"">	<li>Lunes a Viernes de 8:30 a 14:00 h.</li></ul><p><strong><a href=""http://www.alcobendas.org/es/cargarFichaTerritorial.do?identificador=660"" id=""FichaTerritorial_660"">Concejal&iacute;a Distrito Urbanizaciones</a>: </strong>Tfno.: 916597600, Ext. 3721, 3709&nbsp;y 91 490 07 63 / <a href=""mailto:distritourbanizaciones@aytoalcabendas.org"">distritourbanizaciones@aytoalcabendas.org</a> </p><ul class=""tipo1"">	<li>Lunes a Jueves de 9 a 14 horas y de 17:30 a 20:00 horas.</li>	<li>Viernes de 9 a 14:00 horas.</li>	<li>Julio, Agosto, Navidad y Semana Santa de lunes a viernes de 9 a 14:00 horas</li></ul><p><strong><a href=""http://www.alcobendas.org/es/cargarFichaTerritorial.do?identificador=541"" id=""FichaTerritorial_541"">Apoyo Sociocultural</a>:</strong>&nbsp;<strong>contacto para la gesti&oacute;n de la cesi&oacute;n de salas polivalentes </strong>Tf:<strong> </strong>91 484 16 85 </p><ul class=""tipo1"">	<li>Lunes a viernes de 10 a 13:00 horas y de 17 a 20:00 horas.</li></ul><p><strong><a href=""http://www.alcobendas.org/es/cargarFichaTerritorial.do?identificador=304"" id=""FichaTerritorial_304"">Mediateca</a>:</strong> </p><ul class=""tipo1"">	<li>Adultos: de lunes a viernes de 9:00 a 21:00 h</li>	<li>Infantil: de lunes a viernes de 17:00 a 20:00 h.</li></ul><h5 class=""tipo1"">M&aacute;s informaci&oacute;n</h5><p>Este Centro dispone de desfibrilador, ofreciendo la posibilidad de una r&aacute;pida actuaci&oacute;n ante una parada cardiorrespiratoria. </p></div></div><!--fin fichaterritoriales-->"
"Centro Cultural Pablo Iglesias","Cultura y Ocio","Otros Cultura y Ocio|Pintura, Escultura y Fotografía|Teatro, Música y Danza","Equipamientos Municipales|Cultura","Culturales|Centros Culturales|Auditorios y Teatros|Centros Cívicos","","","España","Madrid","Alcobendas","Centro","PS CHOPERA","59","","","","","","Alcobendas","28100","center=40.54295948561787,-3.6436252766143626&info=Centro Cultural Pablo Iglesias",445497.7720000804,4488222.235000001,40.54295948561787,-3.6436252766143626,"","912294220","912294238","ccpiglesias@aytoalcobendas.org","","<div class=""tipo1""><h4><img alt="""" class=""img_Sin"" id=""Imagen_10_9551532699352"" src=""http://www.alcobendas.org/recursos/img/Comunes/895869469_262010131247.gif"" /> Datos de inter&eacute;s</h4><div class=""separador""><h5>Accesos</h5><ul class=""tipo2"">	<li><a href=""http://www.alcobendas.org/es/portal.do?TR=C&amp;IDR=1111"">Coche</a></li>	<li>Autob&uacute;s:&nbsp;<a href=""http://www.alcobendas.org/es/portal.do?TR=C&amp;IDR=2246"">L2 </a>/&nbsp;<a href=""http://www.alcobendas.org/es/portal.do?TR=C&amp;IDR=2252"">C 10 </a>/ <a href=""http://www.alcobendas.org/es/portal.do?TR=C&amp;IDR=2253"">C 11 </a>/ <a href=""pages/editor/jscripts/tiny_mce/portal.do?TR=C&amp;IDR=2262"">157</a> / <a href=""pages/editor/jscripts/tiny_mce/portal.do?TR=C&amp;IDR=2277"">N101</a>&nbsp;&nbsp;</li>	<li><a href=""http://www.metromadrid.es/es/viaja_en_metro/red_de_metro/lineas_y_horarios/linea10.html"" rel=""external"" title=""Se abre en ventana nueva (Se abre en ventana nueva) (Se abre en ventana nueva)"">Metro</a>&nbsp;- Estaci&oacute;n Marqu&eacute;s de la Valdavia</li>	<li><a href=""http://www.alcobendas.org/es/portal.do?TR=C&amp;IDR=1113"">M&aacute;s informaci&oacute;n sobre transportes</a></li></ul><h5>Horario</h5><ul class=""tipo2"">	<li>Lunes a s&aacute;bado, de 9:00 a 21:00 h.</li>	<li><strong>Taquilla:</strong> Lunes a s&aacute;bados (no festivos) de 11:00 a 12:30 h. Los d&iacute;as de funci&oacute;n, una hora antes del inicio del espect&aacute;culo, adem&aacute;s del horario habitual. Venta de &uacute;ltima hora: Se reservar&aacute;n un m&iacute;nimo de 10 localidades para ser vendidas una hora antes de cada espect&aacute;culo en taquilla. Media hora antes de cada espect&aacute;culo, las taquillas s&oacute;lo despachar&aacute;n localidades para dicho espect&aacute;culo.&nbsp;&nbsp; </li></ul><h5 class=""tipo1"">Otros datos</h5><p><a href=""http://www.alcobendas.org/es/portal.do?TR=A&amp;IDR=1&amp;identificador=1285"" id=""Documento_1285_5422362187658"">Plano aforo </a></p><p>El edificio ha obtenido el premio internacional de dise&ntilde;o que organiza cada a&ntilde;o en Estados Unidos la School Desing Share. </p><p>Este Centro dispone de desfibrilador, ofreciendo la posibilidad de una r&aacute;pida actuaci&oacute;n ante una parada cardiorrespiratoria. </p></div></div><!--fin fichaterritoriales-->"
"Centro de Arte Alcobendas","Cultura y Ocio","Otros Cultura y Ocio","Equipamientos Municipales|Cultura","Culturales|Centros Culturales|Museos|Auditorios y Teatros","","","España","Madrid","Alcobendas","Centro","CL MARIANO SEBAST IZUEL","9","","","","","","Alcobendas","28100","center=40.540908671319386,-3.630706664297103&info=Centro de Arte Alcobendas",446590.0990000697,4487986.682999998,40.540908671319386,-3.630706664297103,"","912294940 ","","gestion.centroarte@aytoalcobendas.org","http://www.centrodeartealcobendas.org","<div class=""datosinteres""><h4><img alt="""" class=""img_Sin"" id=""Imagen_10_3485238071025"" src=""http://www.alcobendas.org/recursos/img/Comunes/895869469_262010131247.gif"" /> Datos de inter&eacute;s</h4><div class=""separador""><h5>Descripci&oacute;n</h5><p>Un edificio contempor&aacute;neo, singular, emblem&aacute;tico, creado por el arquitecto Fernando Parrilla, contribuye a difundir la ciudad de Alcobendas como referente cultural a nivel nacional. Dotado de instalaciones ecol&oacute;gicas, busca el menor consumo, generando su propia energ&iacute;a a partir de los paneles fotovoltaicos de sus ventanales y ajardina su cubierta con una capa vegetal silvestre que no necesita mantenimiento. </p><p>Nacido para generar pensamiento, debate y provocaci&oacute;n, abre caminos para recorrer dentro y fuera de nuestras fronteras </p><p>Conecte con el arte, viva la m&uacute;sica, ac&eacute;rquese a la cultura, disfrute de la mediateca y marque su nuevo punto de encuentro; un espacio para interactuar creado por el arquitecto Fernando Parrilla en&nbsp;el coraz&oacute;n de Alcobendas </p><h5>Servicios principales</h5><ul class=""tipo2"">	<li>&nbsp; 	<ul>		Arte en la ciudad. 	</ul>	<ul>		Exposiciones y actividades de artes pl&aacute;sticas. 	</ul>	<ul>		Auditorio: Paco de Luc&iacute;a 	</ul>	<ul>		Museo de la imagen.&nbsp; 	</ul>	<ul>		Animaci&oacute;n Infantil. 	</ul>	</li></ul><h5>Accesos</h5><ul class=""tipo2"">	<li><a href=""http://www.alcobendas.org/es/portal.do?TR=C&amp;IDR=1111"">Coche</a> </li>	<li>Autob&uacute;s:&nbsp;&nbsp;<a href=""http://www.alcobendas.org/es/portal.do?TR=C&amp;IDR=2246"">L2 </a>/&nbsp;<a href=""http://www.alcobendas.org/es/portal.do?TR=C&amp;IDR=2252"">C 10 </a>/&nbsp;<a href=""http://www.alcobendas.org/es/portal.do?TR=C&amp;IDR=2248"">L5</a> /<a href=""http://www.alcobendas.org/es/portal.do?TR=C&amp;IDR=2254"">151</a> /<a href=""http://www.alcobendas.org/es/portal.do?TR=C&amp;IDR=2256"">153</a>&nbsp;/<a href=""http://www.alcobendas.org/es/portal.do?TR=C&amp;IDR=2280"">158 </a>/&nbsp;<a href=""http://www.alcobendas.org/es/portal.do?TR=C&amp;IDR=2274"">827 </a>/ <a href=""http://www.alcobendas.org/es/portal.do?TR=C&amp;IDR=2276"">828&nbsp;</a>/ <a href=""pages/editor/jscripts/tiny_mce/portal.do?TR=C&amp;IDR=2277"">N101</a>&nbsp;</li>	<li><a href=""http://www.metromadrid.es/es/viaja_en_metro/red_de_metro/lineas_y_horarios/linea10.html"" rel=""external"">Metro</a></li>	<li><a href=""http://www.alcobendas.org/es/portal.do?TR=C&amp;IDR=1113"">M&aacute;s informaci&oacute;n sobre transportes</a>&nbsp;</li></ul><h5>Horario:</h5><ul class=""tipo1"">	<li>Lunes a s&aacute;bado de 10 a 21,30 h. </li>	<li>Sala de exposiciones: de 10 a 20 h. </li>	<li>Taquillas: viernes y s&aacute;bados de 11 a 13:30 y de 17 a 19:30 h. </li></ul><h5>Otros datos<strong>&nbsp;</strong> </h5><ul class=""tipo1"">	<li><strong>Documentos:</strong> <a href=""http://www.alcobendas.org/es/portal.do?TR=A&amp;IDR=1&amp;identificador=1270"" id=""Documento_1270_9378593372913"">Folleto Centro de Arte</a></li>	<li><a href=""http://www.alcobendas.org/es/portal.do?TR=C&amp;IDR=2874""><strong>Agenda de actividades</strong></a></li></ul><h5 class=""tipo1"">M&aacute;s informaci&oacute;n</h5><p>Este&nbsp;Centro dispone de desfibrilador, ofreciendo la posibilidad de una r&aacute;pida actuaci&oacute;n ante una parada cardiorrespiratoria. </p></div></div><!--fin fichaterritoriales-->"
"Centro de Mayores Carmen García Bloise","Mayores","Mayores","Equipamientos Municipales|Mayores","Centros Municipales de Mayores|Otros","","Mayores","España","Madrid","Alcobendas","Norte","CL OLIVAR","5","","","","","","Alcobendas","28100","center=40.54725443394762,-3.648145471189707&info=Centro de Mayores Carmen García Bloise",445118.50500008446,4488701.787000001,40.54725443394762,-3.648145471189707,"","916523630","","","","<div class=""datosinteres""><h4><img alt="""" class=""img_Sin"" id=""Imagen_10_6510399435041"" src=""http://www.alcobendas.org/recursos/img/Comunes/895869469_262010131247.gif"" /> Datos de inter&eacute;s</h4><div class=""separador""><h5>Servicios principales</h5><ul class=""tipo2"">	<li>Salidas culturales.</li>	<li>Biblioteca y comedor (Comida a domicilio en situaciones especiales).</li>	<li>Prensa diaria y revistas semanales, adem&aacute;s, pr&eacute;stamos de libros, v&iacute;deos, juegos de mesa, sala de TV y billar. </li>	<li><strong>Terapia Ocupacional:</strong></li>	<li>Trabajo Cognitivo</li>	<li>Trabajo Corporal: Gimnasia suave. Encuentro-voluntariado. Abordaje terap&eacute;utico.</li>	<li>Talleres de Creatividad: Manualidades b&aacute;sicas. Pintura, Alfombras, cester&iacute;a... (Grupos aut&oacute;nomos). Inform&aacute;tica b&aacute;sica y uso del m&oacute;vil </li>	<li><strong>Animaci&oacute;n Sociocultural:</strong></li>	<li>Escuela y Cultura</li>	<li>&nbsp;Express Arte</li>	<li>Taller de medio ambiente </li>	<li>Taller de ingl&eacute;s (iniciaci&oacute;n y avanzado) </li>	<li>Salud, educaci&oacute;n y crecimiento personal </li></ul><h5>Accesos</h5><ul class=""tipo2"">	<li><a href=""http://www.alcobendas.org/es/portal.do?TR=C&amp;IDR=1111"">Coche</a></li>	<li>Autob&uacute;s:&nbsp;&nbsp;<a href=""http://www.alcobendas.org/es/portal.do?TR=C&amp;IDR=2246""> L2 </a>/&nbsp;<a href=""http://www.alcobendas.org/es/portal.do?TR=C&amp;IDR=2248"">L5&nbsp;</a>/<a href=""http://www.alcobendas.org/es/portal.do?TR=C&amp;IDR=2252"">C 10 </a>/<a href=""http://www.alcobendas.org/es/portal.do?TR=C&amp;IDR=2254"">151&nbsp;</a>/ <a href=""http://www.alcobendas.org/es/portal.do?TR=C&amp;IDR=2256"">153&nbsp;</a> /&nbsp;<a href=""http://www.alcobendas.org/es/portal.do?TR=C&amp;IDR=2280"">158 </a>/ <a href=""http://www.alcobendas.org/es/portal.do?TR=C&amp;IDR=2274"">827 </a>/&nbsp; <a href=""http://www.alcobendas.org/es/portal.do?TR=C&amp;IDR=2275"">827A</a>&nbsp;/&nbsp;&nbsp;<a href=""http://www.alcobendas.org/es/portal.do?TR=C&amp;IDR=2276"">828&nbsp;</a></li>	<li>&nbsp;<a href=""http://www.metromadrid.es/es/viaja_en_metro/red_de_metro/lineas_y_horarios/linea10.html"" rel=""external"" title=""Se abre en ventana nueva (Se abre en ventana nueva) (Se abre en ventana nueva) (Se abre en ventana nueva)"">Metro</a></li>	<li>Tren: A Alcobendas llega la<strong> </strong>l&iacute;nea<strong> </strong>C4 Parla-Alcobendas-San Sebasti&aacute;n de los Reyes.<strong> </strong><a href=""http://www.renfe.com/viajeros/cercanias/madrid/index.html"" rel=""external"" title=""Se abre en ventana nueva (Se abre en ventana nueva) (Se abre en ventana nueva)"">Acceda a la informaci&oacute;n sobre estaciones, horarios, etc</a>.</li>	<li><a href=""http://www.alcobendas.org/es/portal.do?TR=C&amp;IDR=1113"">M&aacute;s informaci&oacute;n sobre transportes</a></li></ul><h5>Otros datos</h5><p>La &uacute;ltima semana de cada mes se publicar&aacute;n las plazas vacantes para los talleres de Animaci&oacute;n Sociocultural y de Terapia ocupacional en el tabl&oacute;n del anuncios del Centro. </p><ul>	<li><strong>Horario:</strong> Lunes a domingo, de 9:30 a 20:00h.</li>	<li><strong>Cierre:</strong>&nbsp;25 de diciembre y 1 de enero: Cerrado Mes de julio: Cerrado </li></ul><h5 class=""tipo1"">M&aacute;s informaci&oacute;n</h5><p>Este edificio dispone de desfibrilador, ofreciendo la posibilidad de una r&aacute;pida actuaci&oacute;n ante una parada cardiorrespiratoria. </p></div></div><!--fin fichaterritoriales-->"
