Nombre,Temas,Subtemas,Tipos,Subtipos,Subsubtipos,Perfiles,País,Provincia,Municipio,Distrito,Calle,Número,Bloque,Portal,Escalera,Planta,Puerta,Localidad,C.P.,Georreferenciación,Coordenada X (UTM),Coordenada Y (UTM),Coordenada X,Coordenada Y,CIF,Teléfono,Fax,Email,Web,Texto
"Campo de fútbol de Fuentelucha","Deportes","Servicios Deportes","Deporte","Pistas y Espacios Deportivos","","","España","Madrid","Alcobendas","Norte","CL FELICIDAD DE LA","","","","","","","Alcobendas","","center=40.54994271406935,-3.6591466427519426&info=Campo de fútbol de Fuentelucha",444189.2100000949,4489007.1,40.54994271406935,-3.6591466427519426,"","","","","","<div class=""datosinteres""><h4><img alt="""" class=""img_Sin"" id=""Imagen_10_57759570474"" src=""http://www.alcobendas.org/recursos/img/Comunes/895869469_262010131247.gif"" />&nbsp;</h4><p>El horario de la instalaci&oacute;n est&aacute; marcada por la oficina de programaci&oacute;n de la liga de futbol local. </p><h5 class=""tipo1"">M&aacute;s informaci&oacute;n</h5><p>Este edificio dispone de desfibrilador, ofreciendo la posibilidad de una r&aacute;pida actuaci&oacute;n ante una parada cardiorrespiratoria. </p></div><!--fin fichaterritoriales-->"
"Campo de fútbol Mario Suárez","Deportes","Servicios Deportes","Deporte","Pistas y Espacios Deportivos","","","España","Madrid","Alcobendas",,"CL FCO LARGO CABALLERO","","","","","","","Alcobendas","","center=40.55462041442307,-3.646094687618256&info=Campo de fútbol Largo Caballero",445298.1500000825,4489518.15,40.55462041442307,-3.646094687618256,"","","","","",""
"Campo de fútbol Navarra 1","Deportes","Servicios Deportes","Deporte","Pistas y Espacios Deportivos","","","España","Madrid","Alcobendas","Norte","AV ESPAÑA","","","","","","","Alcobendas","","center=40.54443090139885,-3.6444256506244987&info=Campo de fútbol Navarra 1",445431.190000081,4488386.060000002,40.54443090139885,-3.6444256506244987,"","","","","","<h5 class=""tipo1"">M&aacute;s informaci&oacute;n</h5><p>Este edificio dispone de desfibrilador, ofreciendo la posibilidad de una r&aacute;pida actuaci&oacute;n ante una parada cardiorrespiratoria. </p>"
"Campo de fútbol Óscar Molina","Deportes","Servicios Deportes","Deporte","Pistas y Espacios Deportivos","","","España","Madrid","Alcobendas",,"CL MANUEL DE FALLA","54","","","","","","Alcobendas","","center=40.552192,-3.641694&info=Campo de futbol Oscar Molina",445668.7754389879,4489245.868738112,40.552192,-3.641694,"","","","","","<div class=""datosinteres""><h4><img alt="""" class=""img_Sin"" id=""Imagen_10_4415976764737"" src=""http://www.alcobendas.org/recursos/img/Comunes/895869469_262010131247.gif"" /> Datos de inter&eacute;s</h4><div class=""separador""><h5 class=""tipo1"">M&aacute;s informaci&oacute;n</h5><p>Este edificio dispone de desfibrilador, ofreciendo la posibilidad de una r&aacute;pida actuaci&oacute;n ante una parada cardiorrespiratoria. </p></div></div><!--fin fichaterritoriales-->"
"Campo de Rugby Las Terrazas ","Deportes","Servicios Deportes","Deporte","Pistas y Espacios Deportivos","","","España","Madrid","Alcobendas","Urbanizaciones","CL NARDO","101","","","","","","Alcobendas","","center=40.529569479167634,-3.6378378564310307&info=Campo de Rugby Las Terrazas ",445977.1000000754,4486732.36,40.529569479167634,-3.6378378564310307,"","","","","","<div class=""datosinteres""><h4><img alt="""" class=""img_Sin"" id=""Imagen_10_1039782648263"" src=""http://www.alcobendas.org/recursos/img/Comunes/895869469_262010131247.gif"" /> Datos de inter&eacute;s</h4><div class=""separador""><h5 class=""tipo1"">M&aacute;s informaci&oacute;n</h5><p>Este edificio dispone de desfibrilador, ofreciendo la posibilidad de una r&aacute;pida actuaci&oacute;n ante una parada cardiorrespiratoria. </p></div></div><!--fin fichaterritoriales-->"
"Circuito de cross en Valdelasfuentes","Deportes","Servicios Deportes","Deporte","Pistas y Espacios Deportivos","","","España","Madrid","Alcobendas","Norte","AV DON MIGUEL CERVANTES","","","","","","","Alcobendas","28100","center=40.552272389784456,-3.648675671586264&info=Circuito de cross en Valdelasfuentes",445077.7100000849,4489259.119999999,40.552272389784456,-3.648675671586264,"","","","","","<div class=""datosinteres""><h4><img alt="""" class=""img_Sin"" height=""40"" id=""Imagen_10_3927750381654"" src=""/recursos/img/Comunes/895869469_262010131247.gif"" width=""41"" /> Datos de inter&eacute;s</h4><div class=""separador""><h5>Descripci&oacute;n</h5><p>La Ciudad Deportiva Valdelasfuentes incrementa su oferta de actividades con una nueva instalaci&oacute;n. Se trata de un circuito de cross de 1.500 metros de longitud&nbsp;muy sinuoso y variado se&ntilde;alizado con estacas rojas, configur&aacute;ndose a la vez otros tramos como circuitos de menor longitud, caso del circuito verde, de 620 metros, el amarillo, de 590 metros, y el azul, de 290 metros. Asimismo, se ha instalado equipamiento con elementos diversos para realizar ejercicios (abdominales, estiramientos, dominadas...) y una zona con c&eacute;sped artificial para la pr&aacute;ctica de la t&eacute;cnica de carrera. </p><p>Tambi&eacute;n se han instalado farolas alimentadas por paneles solares a lo largo de todo el recorrido para que pueda ser utilizado por la noche. En estos momentos, el circuito est&aacute; en periodo de rodaje y es de utilizaci&oacute;n libre. Tambi&eacute;n es el lugar donde se realizan actividades programadas del Abono Deporte, caso de Nordic Walking y Corredores!.&nbsp; </p></div></div><!--fin fichaterritoriales-->"
"Ciudad Deportiva Valdelasfuentes","Deportes","Otros Deportes","Equipamientos Municipales|Deporte","Deportivos|Polideportivos y Pabellones","","","España","Madrid","Alcobendas","Norte","AV MIGUEL CERVANTES","S/N","","","","","","Alcobendas","","center=40.55087447901411,-3.6482436189666894&info=Ciudad Deportiva Valdelasfuentes",445113.15000008437,4489103.679999999,40.55087447901411,-3.6482436189666894,"","916587110","918269049","","","<div class=""datosinteres""><h4><img alt="""" class=""img_Sin"" id=""Imagen_10_1828262025728"" src=""http://www.alcobendas.org/recursos/img/Comunes/895869469_262010131247.gif"" /> Datos de inter&eacute;s</h4><div class=""separador""><h5>Servicios principales</h5><ul>	<li><strong>Instalaciones:<br />	</strong>Piscinas de nataci&oacute;n. Piscinas l&uacute;dicas, piscina de olas y laguna recreativa. Sala Spa. Sala de fitness y musculaci&oacute;n. 5 gimnasios polivalentes. Zona infantil. Sala de ciclismo indoor. Vestuarios. Centro de Medicina Deportiva. Cafeter&iacute;a - restaurante. Oficinas, aulas y sal&oacute;n de actos. Planta de cogeneraci&oacute;n energ&eacute;tica. 2 campos de hierba artificial. 4 pistas de tenis. Front&oacute;n cubierto. Vel&oacute;dromo de 363 m. de cuerda. Pista de patinaje. 4 pistas de monopat&iacute;n. Pista de skate. Vestuarios &aacute;rbitros. Almac&eacute;n material. Ofician de control. Juegos infantiles. Parque infantil de tr&aacute;fico. Kiosco-bar.&nbsp;Parking en superficie para 500 veh&iacute;culos. <br />	<br />	<a href=""http://www.alcobendas.org/es/portal.do?TR=C&amp;IDR=2472"">Ver im&aacute;genes de las instalaciones<br />	<br />	</a></li>	<li><strong>Entrenamiento personal:</strong> Los titulares de Abono Deporte podr&aacute;n usar el servicio de planificaci&oacute;n y asesoramiento deportivo individualizado. Concertar con los monitores de la sala fitness.</li></ul><h5>Accesos</h5><ul>	<li><a href=""http://www.alcobendas.org/es/portal.do?TR=C&amp;IDR=1111""><strong>Coche</strong></a></li>	<li><strong>Autob&uacute;s</strong>:&nbsp;&nbsp;&nbsp; <a href=""http://www.alcobendas.org/es/portal.do?TR=C&amp;IDR=2248"">L5&nbsp;</a>/&nbsp; <a href=""http://www.alcobendas.org/es/portal.do?TR=C&amp;IDR=2249"">L6</a>&nbsp;/&nbsp;<a href=""http://www.alcobendas.org/es/portal.do?TR=C&amp;IDR=2252"">C 10 </a>/ <a href=""http://www.alcobendas.org/es/portal.do?TR=C&amp;IDR=2253"">C 11 </a>/&nbsp;<a href=""http://www.alcobendas.org/es/portal.do?TR=C&amp;IDR=2256"">153 </a>/&nbsp; <a href=""http://www.alcobendas.org/es/portal.do?TR=C&amp;IDR=2275"">827A</a> / <a href=""http://www.alcobendas.org/es/portal.do?TR=C&amp;IDR=2280"">158 </a>/&nbsp;</li>	<li><a href=""http://www.metromadrid.es/es/viaja_en_metro/red_de_metro/lineas_y_horarios/linea10.html"" rel=""external"" title=""Se abre en ventana nueva (Se abre en ventana nueva) (Se abre en ventana nueva)""><strong>Metro</strong></a></li>	<li><strong>Tren</strong>: A Alcobendas llega la<strong> </strong>l&iacute;nea<strong> C4 Parla-Alcobendas-San Sebasti&aacute;n de los Reyes. </strong><a href=""http://www.renfe.com/viajeros/cercanias/madrid/index.html"" rel=""external"" title=""Se abre en ventana nueva (Se abre en ventana nueva)"">Acceda a la informaci&oacute;n sobre estaciones, horarios, etc</a>.</li>	<li><a href=""http://www.alcobendas.org/es/portal.do?TR=C&amp;IDR=1113"">M&aacute;s informaci&oacute;n sobre transportes</a></li></ul><h5>Horario</h5><ul>	<li><strong>Complejo acu&aacute;tico, sala termal, Spa, Sala de Fitness y musculaci&oacute;n</strong>: 	<ul>		<li>Lunes a viernes de 8:30 a 22:00 h. (Sala de fitness, hasta las 22:30 h.)</li>		<li>S&aacute;bados, domingos y festivos de 8:30 a 21:30 h.</li>	</ul>	</li>	<li><strong>Pistas de raqueta, vel&oacute;dromo y pistas de skate</strong>: 	<ul>		<li>Lunes a viernes de 8:30 a 23:30 h. </li>		<li>S&aacute;bados, domingos y festivos de 8:30 a 21:00 h.</li>	</ul>	</li>	<li><strong>Horario de Atenci&oacute;n Oficina de Actividades Deportivas</strong>: <a href=""http://www.alcobendas.org/es/cargarFichaTerritorial.do?identificador=537"" id=""FichaTerritorial_537"">Consulte horarios</a></li>	<li><strong>Centro de medicina deportiva:</strong> 	<ul>		<li><strong>Atenci&oacute;n a urgencias</strong>, de 8:30 a 23:00 h.</li>		<li><strong>Fisioterapia: </strong>Lunes a viernes de 9:00 a 22:00 h. Previa petici&oacute;n de hora. </li>		<li><strong>Masajes y circuitos de tratamiento:</strong>&nbsp;Previa petici&oacute;n de hora: 		<ul>			<li>Lunes a viernes de 9:00 a 22:00 h. </li>			<li>S&aacute;bados: Masajes de 9:00 a 15:00 h y Circuitos de tratamiento de 9.00 a 14:00 h.</li>		</ul>		</li>	</ul>	</li>	<li><strong>Horario durante las fiestas de Navidad:</strong> 	<ul>		<li>Los d&iacute;as 24 y 31 de diciembre la instalaci&oacute;n se cierra al p&uacute;blico a las 13:30 h.</li>		<li>El front&oacute;n, el p&aacute;del&nbsp;y el tenis se cierran a las 12:30 h.</li>		<li>La sala fitness, el spa y la piscina se cierran a las 13:00 h.</li>	</ul>	</li>	<li>	<h6 class=""tipo1"">Cierre de Instalaci&oacute;n</h6>La instalaci&oacute;n tendr&aacute; <a href=""http://www.alcobendas.org/es/portal.do?TR=A&amp;IDR=1&amp;identificador=8830"" id=""Documento_8830_1244910501065"">cierres parciales</a>, por labores de mantenimiento, entre el 31 de julio y el 27 de agosto, que ser&aacute;n publicados en los tablones informativos de la instalaci&oacute;n. Las pistas exteriores (tenis, front&oacute;n, campos de f&uacute;tbol, vel&oacute;dromo&hellip;) permanecer&aacute;n abiertas. <br />	<br />	El complejo cubierto estar&aacute; cerrado del 10 al 16 de agosto en cumplimiento de la normativa de prevenci&oacute;n de la legionelosis.<br />	<br />	Cerrado los d&iacute;as 25 de diciembre, 1 de enero y 1 de mayo.</li></ul><h5>M&aacute;s informaci&oacute;n</h5><p>Consulte las <a href=""http://www.alcobendas.org/es/portal.do?TR=A&amp;IDR=1&amp;identificador=2976"" id=""Documento_2976_1913204833707"">tarifas.</a> </p></div></div><!--fin fichaterritoriales-->"
"Club de Atletismo Popular CAP","Deportes","Servicios Deportes","Deporte","Otras direcciones de interés","","","España","Madrid","Alcobendas","Centro","CL CACERES","18","","","","","","Alcobendas","28100","center=40.53861489651502,-3.632048327873206&info=Club de Atletismo Popular CAP",446474.65700007085,4487732.884000002,40.53861489651502,-3.632048327873206,"","","","cap@cap-alcobendas.es","http://www.cap-alcobendas.es","<div class=""datosinteres""><h4><img alt="""" class=""img_Sin"" height=""40"" id=""Imagen_10_4667110308699"" src=""/recursos/img/Comunes/895869469_262010131247.gif"" width=""41"" /> Datos de inter&eacute;s</h4><div class=""separador""><h5>Descripci&oacute;n</h5><p>Esta asociaci&oacute;n se dedica al fomento del atletismo. Su sede se encuentra en la <a href=""http://www.alcobendas.org/es/cargarFichaTerritorial.do?identificador=543"" id=""FichaTerritorial_543"">Casa de las Asociaciones</a>, local 2.2 </p><h5>Servicios principales</h5><p>&bull;Escuela de Atletismo de Alcobendas.<br />&bull;Organizaci&oacute;n: Cross Internacional de Constituci&oacute;n, Carrera Popular de Alcobendas, pruebas escolares (Milla, Cross,&nbsp;Intercentros), etc.&nbsp; </p><h5>Accesos</h5><p>&bull;&nbsp;<a href=""http://www.alcobendas.org/es/portal.do?TR=C&amp;IDR=1111"">Coche</a> </p><p>&bull; Autob&uacute;s: ;&nbsp;<a href=""http://www.alcobendas.org/es/portal.do?TR=C&amp;IDR=2246""> L2 </a>/ <a href=""http://www.alcobendas.org/es/portal.do?TR=C&amp;IDR=2254"">151&nbsp;</a> / <a href=""http://www.alcobendas.org/es/portal.do?TR=C&amp;IDR=2256"">153&nbsp;</a>/&nbsp;<a href=""http://www.alcobendas.org/es/portal.do?TR=C&amp;IDR=2255"">152C</a> /<a href=""http://www.alcobendas.org/es/portal.do?TR=C&amp;IDR=2256"">153C</a>&nbsp;/<a href=""http://www.alcobendas.org/es/portal.do?TR=C&amp;IDR=2257"">154</a> /<a href=""http://www.alcobendas.org/es/portal.do?TR=C&amp;IDR=2259"">154C</a> / <a href=""http://www.alcobendas.org/es/portal.do?TR=C&amp;IDR=2280"">158 </a>/ <a href=""http://www.alcobendas.org/es/portal.do?TR=C&amp;IDR=2267"">166</a></p><p>&nbsp;&bull; <a href=""http://www.metromadrid.es/es/viaja_en_metro/red_de_metro/lineas_y_horarios/linea10.html"" rel=""external"" title=""Se abre en ventana nueva (Se abre en ventana nueva) (Se abre en ventana nueva) (Se abre en ventana nueva)"">Metro</a> </p><p>&bull; <a href=""http://www.alcobendas.org/es/portal.do?TR=C&amp;IDR=1113"">M&aacute;s informaci&oacute;n sobre transportes</a> </p></div></div><!--fin fichaterritoriales-->"
"Departamento de Usuarios Ciudad Deportiva Valdelasfuentes","Ayuntamiento de Alcobendas|Deportes","Servicio de Atención Ciudadana|Servicios Deportes","Ayuntamiento de Alcobendas|Deporte","Servicios de Atención e Información|Departamento usuarios deportivos","Otros Servicios de Atención","","España","Madrid","Alcobendas","Norte","AV DON MIGUEL CERVANTES","4","","","","","","Alcobendas","28100","center=40.55168789305058,-3.650033731243563&info=Departamento de Usuarios de actividades deportivas - Ciudad Deportiva Valdelasfuentes",444962.246000086,4489195.087,40.55168789305058,-3.650033731243563,"","","916597699","","","<div class=""datosinteres""><h4><img alt="""" class=""img_Sin"" id=""Imagen_10_6138071414464"" src=""http://www.alcobendas.org/recursos/img/Comunes/895869469_262010131247.gif"" /> Datos de inter&eacute;s</h4><div class=""separador""><h5>Servicios principales</h5><ul>	<li>Informaci&oacute;n a usuarios </li>	<li>Inscripci&oacute;n en actividades deportivas. </li>	<li>Atenci&oacute;n a usuarios de Escuelas Deportivas. </li>	<li>Reserva de instalaciones. </li></ul><h5>Accesos</h5><ul>	<li><a href=""http://www.alcobendas.org/es/portal.do?TR=C&amp;IDR=1111""><strong>Coche</strong></a></li>	<li><strong>Autob&uacute;s</strong>:&nbsp;&nbsp;&nbsp;<a href=""http://www.alcobendas.org/es/portal.do?TR=C&amp;IDR=2252"">C 10 </a>/ <a href=""http://www.alcobendas.org/es/portal.do?TR=C&amp;IDR=2253"">C 11 </a>/ <a href=""http://www.alcobendas.org/es/portal.do?TR=C&amp;IDR=2263"">157C </a>/&nbsp;<a href=""http://www.alcobendas.org/es/portal.do?TR=C&amp;IDR=2274"">827</a>/&nbsp;<a href=""http://www.alcobendas.org/es/portal.do?TR=C&amp;IDR=2276"">828</a></li>	<li><a href=""http://www.metromadrid.es/es/viaja_en_metro/red_de_metro/lineas_y_horarios/linea10.html"" rel=""external""><strong>Metro</strong></a></li>	<li><strong>Tren</strong>: A Alcobendas llega la<strong> </strong>l&iacute;nea<strong> <a href=""http://www.renfe.com/viajeros/cercanias/madrid/index.html"" rel=""external"">C4 Parla-Alcobendas-San Sebasti&aacute;n de los Reyes. </a></strong><a href=""http://www.renfe.com/viajeros/cercanias/madrid/index.html"" rel=""external"">Acceda a la informaci&oacute;n sobre estaciones, horarios, etc.</a></li>	<li><a href=""http://www.alcobendas.org/es/portal.do?TR=C&amp;IDR=1113"">M&aacute;s informaci&oacute;n sobre transportes</a></li></ul><h5>Horario</h5><ul>	<li><strong>Invierno</strong>: 	<ul>		<li>Lunes a&nbsp;jueves de 8:30 a 21:00 horas </li>		<li>Viernes&nbsp;de 8:30 a 14:00 y de 15:30 a 20:00 horas</li>	</ul>	<strong>Verano</strong> (de 15 de julio a&nbsp;31 de agosto): Lunes a viernes de 8:30 a 14:30 horas.</li>	<li><strong>Horario de reserva telef&oacute;nica</strong><br />	Reserva de instalaciones para abonados con dinero en la tarjeta monedero y usuarios con bonos.<br />	Tel&eacute;fono 91 658 71 11<br />	De lunes a viernes no festivos, de 9 a 14 horas. </li>	<li><strong>Horario de informaci&oacute;n telef&oacute;nica</strong><br />	Informaci&oacute;n general telef&oacute;nica, de lunes a jueves, de 8,30 a 21 horas; viernes de 8,20 a 20 horas. </li>	<li><strong>Atenci&oacute;n a usuarios sin Abono Deporte ni bonos</strong><br />	En el Control Central, de 8:15 a 22 horas. </li></ul><h5 class=""tipo1"">Otros datos: </h5><ul class=""tipo1"">	<li>&nbsp;Las inscripciones en las actividades deportivas tambi&eacute;n pueden realizarse en el <a href=""http://www.alcobendas.org/es/portal.do?TR=C&amp;IDR=1470"">Servicio de Atenci&oacute;n Ciudadana (SAC) </a></li></ul></div></div><!--fin fichaterritoriales-->"
"Departamento de usuarios Polideportivo José Caballero","Ayuntamiento de Alcobendas","Servicio de Atención Ciudadana","Ayuntamiento de Alcobendas|Deporte","Servicios de Atención e Información|Departamento usuarios deportivos","Otros Servicios de Atención","","España","Madrid","Alcobendas","Urbanizaciones","AVDA. BARAJAS","s/n","","","","","","Alcobendas","28108","center=40.53684486960524,-3.6211875361867736&info=Polideportivo Municipal de Alcobendas José Caballero",447393.0300000627,4487529.869999999,40.53684486960524,-3.6211875361867736,"","916587110","916597699","","","<div class=""datosinteres""><h4><img alt="""" class=""img_Sin"" id=""Imagen_10_2683058580145"" src=""http://www.alcobendas.org/recursos/img/Comunes/895869469_262010131247.gif"" /> Datos de inter&eacute;s</h4><div class=""separador""><h5>Servicios principales</h5><ul class=""tipo1"">	<li>Informaci&oacute;n a usuarios</li>	<li>Inscripci&oacute;n en actividades deportivas.</li>	<li>Atenci&oacute;n a usuarios de Escuelas Deportivas.</li>	<li>Reserva de instalaciones.</li></ul><h5>Accesos</h5><ul>	<li><a href=""http://www.alcobendas.org/es/portal.do?TR=C&amp;IDR=1111""><strong>Coche</strong></a></li>	<li><strong>Autob&uacute;s</strong>:&nbsp;&nbsp;<a href=""http://www.alcobendas.org/es/portal.do?TR=C&amp;IDR=2252"">&nbsp;C 10</a> / <a href=""http://www.alcobendas.org/es/portal.do?TR=C&amp;IDR=2274"">827 </a>/ <a href=""http://www.alcobendas.org/es/portal.do?TR=C&amp;IDR=2276"">828&nbsp;</a></li>	<li><a href=""http://www.alcobendas.org/es/portal.do?TR=C&amp;IDR=1113"">M&aacute;s informaci&oacute;n sobre transportes</a></li></ul><h5>Horario</h5><ul>	<li><strong>Invierno</strong>: 	<ul>		<li>Lunes a&nbsp;jueves de 8:30 a 21:00 horas </li>		<li>Viernes&nbsp;de 8:30 a 14:00 y de 15:30 a 20:00 horas&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;</li>	</ul>	</li>	<li><strong>Verano</strong> (de 15 de julio a&nbsp;31 de agosto):&nbsp; Lunes a viernes de 8:30 a 14:30 horas.</li>	<li><strong>Horario de reserva telef&oacute;nica</strong><br />	Reserva de instalaciones para abonados con dinero en la tarjeta monedero y usuarios con bonos.<br />	Tel&eacute;fono 91 658 71 11<br />	De lunes a jueves, de 8,30 a 21 horas; viernes de 8,20 a 20 horas. </li>	<li><strong>Horario de informaci&oacute;n telef&oacute;nica</strong><br />	Informaci&oacute;n general telef&oacute;nica, de lunes a jueves, de 8,30 a 21 horas; viernes de 8,20 a 20 horas. </li>	<li><strong>Atenci&oacute;n a usuarios sin Abono Deporte ni bonos</strong><br />	En el Control Central, de 8:15 a 22 horas. </li></ul><h5 class=""tipo1"">Otros datos</h5><p>Las inscripciones en las actividades deportivas tambi&eacute;n pueden realizarse en el <a href=""http://www.alcobendas.org/es/portal.do?TR=C&amp;IDR=1470"">Servicio de Atenci&oacute;n Ciudadana (SAC).</a> </p></div></div><p><!--fin fichaterritoriales--></p>"
