Nombre,Año,Turno,Provisión,Estado,Categoría,Fase,Órgano convocante,Número de plazas,Descripción,Documentos
"Interventor del Órgano de la Unidad de Contabilidad y Presupuestos",2017,"Libre","Concurso","En curso","Ayuntamiento","Publicación BOE bases de la convocatoria","","","<div class=""textoficha""><div class=""fichaofertas""><div class=""infoconvocatoria""><ul>	<div style=""width: 96%; text-align: justify"">	&bull; Interventor del &Oacute;rgano de la Unidad de Contabilidad y Presupuestos (Funcionario de Administraci&oacute;n Local con Habilitaci&oacute;n de car&aacute;cter Nacional). 	</div>	<br />	<br />	<li><strong>Publicaci&oacute;n en BOCM de la bases de la convocatoria</strong> 	<div style=""width: 19%; float: right; text-align: right"">	19-04-2017 	</div>	</li>	<li><strong>Publicaci&oacute;n en BOE de las bases de la convocatoria</strong> 	<div style=""width: 19%; float: right; text-align: right"">	17-05-2017 	</div>	</li></ul></div><!--FIN ANUNCIOS--></div><!--FIN FICHA OFERTAS--></div>","01. Publicación bases BOCM (http://www.alcobendas.org/recursos/ofertasempleo/documentos/886423958_1662017123950.pdf)|02. Publicación bases en BOE (http://www.alcobendas.org/recursos/ofertasempleo/documentos/1727002503_1662017124131.pdf)"
"Policía Local",2017,"Libre","Oposición","En curso","Ayuntamiento","Listado definitivo de aspirantes admitidos y excluidos","Ayuntamiento de Alcobendas","6","<div class=""textoficha""><div class=""fichaofertas""><div class=""infoconvocatoria""><ul>	<div style=""width: 96%; text-align: justify"">	<p>	Es objeto de la presente convocatoria cubrir mediante personal funcionario 6 plazas vacantes libres de Polic&iacute;a Local, pertenecientes a la Oferta de Empleo P&uacute;blico 2016 e incluidas en la Relaci&oacute;n de Puestos de Trabajo vigente de este Ayuntamiento. 	</p>	</div>	<br />	<br />	<li><strong>Se aprueban las bases de la convocatoria</strong> 	<div style=""height: 15px; width: 20.17%; float: right; text-align: right"">	04-04-2017 	</div>	</li>	<li><strong>Se abre plazo para la presentaci&oacute;n de solicitudes</strong> 	<div style=""height: 15px; width: 20.17%; float: right; text-align: right"">	16-06-2017&nbsp;al 05-07-2017 	</div>	</li>	<li><strong>Se publica el listado provisional de aspirantes admitidos y excluidos</strong> 	<div style=""height: 15px; width: 20.17%; float: right; text-align: right"">	12-09-2017 	</div>	</li>	<li><strong>Se abre plazo para la presentaci&oacute;n de reclamaciones</strong> 	<div style=""height: 15px; width: 20.17%; float: right; text-align: right"">	13-09-2017&nbsp;al 26-09-2017 	</div>	</li>	<li><strong>Se publica el listado definitivo de aspirantes admitidos y excluidos</strong> 	<div style=""height: 15px; width: 20.17%; float: right; text-align: right"">	26-10-2017 	</div>	</li>	<li><strong>Se convoca a los aspirantes para la celebraci&oacute;n del primer ejercicio</strong> 	<div style=""height: 15px; width: 20.17%; float: right; text-align: right"">	11-11-2017 a las 09:30	</div>	</li></ul></div><!--FIN ANUNCIOS--></div><!--FIN FICHA OFERTAS--></div>","01. Bases de la convocatoria (http://www.alcobendas.org/recursos/ofertasempleo/documentos/1061212253_1052017125157.pdf)|02. Publicación BOCM (http://www.alcobendas.org/recursos/ofertasempleo/documentos/1127882981_2352017113513.pdf)|03. Anuncio BOE apertura plazo presentación instancias (http://www.alcobendas.org/recursos/ofertasempleo/documentos/676939750_15620179358.pdf)|04. Anexo III. Bases (http://www.alcobendas.org/recursos/ofertasempleo/documentos/540277159_21620178173.docx)|05. Anexo V. Bases (http://www.alcobendas.org/recursos/ofertasempleo/documentos/534827026_216201782313.docx)|06. Listado provisional de aspirantes admitidos y excluidos (http://www.alcobendas.org/recursos/ofertasempleo/documentos/1268541895_139201783149.pdf)|07. Decreto 12009/2017 de aprobación del listado definitivo de aspirantes admitidos y excluidos (http://www.alcobendas.org/recursos/ofertasempleo/documentos/232863325_3010201713829.pdf)"
"Policía Local (Sistema de movilidad sin ascenso)",2017,"Libre","Concurso","En curso","Ayuntamiento","Listado provisional de aspirantes admitidos y excluidos. Reclamaciones 22-09-17 a 05-10-17","Ayuntamiento de Alcobendas","1","<div class=""textoficha""><div class=""fichaofertas""><div class=""infoconvocatoria""><ul>	<div style=""width: 96%; text-align: justify"">	<p>	Se convoca una plaza de Polic&iacute;a del Cuerpo de Polic&iacute;a Local del Ayuntamiento de Alcobendas, por el sistema de movilidad sin ascenso, para el personal funcionario de cuerpos de polic&iacute;as locales de la Comunidad de Madrid 	</p>	</div>	<br />	<br />	<li><strong>Se aprueban las bases de la convocatoria</strong> 	<div style=""width: 19%; float: right; text-align: right"">	04-04-2017 	</div>	</li>	<li><strong>Se abre plazo para la presentaci&oacute;n de solicitudes</strong> 	<div style=""width: 19%; float: right; text-align: right"">	16-06-2017 al 05-07-2017&nbsp; 	</div>	</li>	<li><strong>Se aprueban el listado provisional de aspirantes admitidos y excluidos</strong> 	<div style=""width: 19%; float: right; text-align: right"">	21-09-2017 	</div>	</li>	<li><strong>Se abre plazo para la presentaci&oacute;n de reclamaciones</strong> 	<div style=""width: 19%; float: right; text-align: right"">	22-09-2017 al 05-10-2017&nbsp; 	</div>	</li></ul></div><!--FIN ANUNCIOS--></div><!--FIN FICHA OFERTAS--></div>","01. Bases de la convocatoria (http://www.alcobendas.org/recursos/ofertasempleo/documentos/331189636_1052017131136.pdf)|02. Publicación BOCM (http://www.alcobendas.org/recursos/ofertasempleo/documentos/1637995069_2352017113430.pdf)|03. Anuncio BOE apertura plazo presentación instancias (http://www.alcobendas.org/recursos/ofertasempleo/documentos/1992395474_156201793750.pdf)|04. Listado provisional de aspirantes admitidos y excluidos (http://www.alcobendas.org/recursos/ofertasempleo/documentos/1054516231_21920171226.pdf)"
"Profesor de informática",2017,"Libre","Concurso-oposición","En curso","Patronato Sociocultural","Abierto plazo presentación solicitudes 29-09-2017 a 18-10-2017","Patronato Sociocultural","2","<div class=""textoficha""><div class=""fichaofertas""><div class=""infoconvocatoria""><ul>	<div style=""width: 96%; text-align: justify"">	Se convocan 2 puestos de Profesor de Inform&aacute;tica mediante contrato laboral temporal, con objeto de sustituir el 75% de la jornada de trabajo dejada vacante por los trabajadores que se jubilan parcialmente.	</div>	<br />	<br />	<li><strong>Se aprueban las bases de la convocatoria mediante decreto 1089/2017</strong> 	<div style=""width: 19%; float: right; text-align: right"">	25-09-2017	</div>	</li>	<li><strong>Se abre plazo de presentaci&oacute;n de solicitudes</strong> 	<div style=""width: 19%; float: right; text-align: right"">	29-09-2017 al 18-10-2017	</div>	</li></ul></div><!--FIN ANUNCIOS--></div><!--FIN FICHA OFERTAS--></div>","01. Decreto 1089/2017 de aprobación de las bases de la convocatoria (http://www.alcobendas.org/recursos/ofertasempleo/documentos/1486790045_2892017141319.pdf)|02. Bases de la convocatoria (http://www.alcobendas.org/recursos/ofertasempleo/documentos/1922292860_10102017121647.pdf)|03. Ficha de autobaremación (http://www.alcobendas.org/recursos/ofertasempleo/documentos/79863329_2892017141353.docx)"
"Profesor de práctica instrumental",2017,"Libre","Concurso-oposición","En curso","Patronato Sociocultural","Abierto plazo de presentación de solicitudes 29-09-2017 al 18-10-2017","Patronato Sociocultural","3","<div class=""textoficha""><div class=""fichaofertas""><div class=""infoconvocatoria""><ul>	<div style=""width: 96%; text-align: justify"">	Se convocan 3 puestos de profesor de pr&aacute;ctica instrumental, mediante contrato laboral temporal, con objeto de sustituir el 75% de la jornada de trabajo dejada vacante por los trabajadores que se jubilan parcialmente 	</div>	<br />	<br />	<li><strong>Mediante decreto 1090/2017 se aprueban las bases de la convocatoria</strong> 	<div style=""width: 19%; float: right; text-align: right"">	25-09-2017 	</div>	</li>	<li><strong>Se abre plazo para la presentaci&oacute;n de solicitudes</strong> 	<div style=""width: 19%; float: right; text-align: right"">	29-09-2017 al 18-10-2017 	</div>	</li></ul></div></div><!--FIN FICHA OFERTAS--></div>","01. Decreto 1090/2017 de aprobación de las bases de la convocatoria (http://www.alcobendas.org/recursos/ofertasempleo/documentos/1478152296_2892017142156.pdf)|02. Bases de la convocatoria (http://www.alcobendas.org/recursos/ofertasempleo/documentos/1394930903_289201714228.pdf)|03. Ficha de autobaremación (http://www.alcobendas.org/recursos/ofertasempleo/documentos/1992551819_2892017142223.docx)"
"Técnico Medio de Artes Plásticas",2017,"Libre","Concurso","En curso","Patronato Sociocultural","Listado provisional de aspirantes admitidos y excluidos","Patronato Sociocultural","1","<div class=""textoficha""><div class=""fichaofertas""><div class=""infoconvocatoria""><ul>	<div style=""width: 96%; text-align: justify"">	Se convoca un puesto de T&eacute;cnico Medio de Artes Pl&aacute;sticas (subgrupo A2) en el Patronato Sociocultural del Ayuntamiento de Alcobendas. 	</div>	<br />	<br />	<li><strong>Se publican las bases de la convocatoria en el BOCM</strong> 	<div style=""width: 19%; float: right; text-align: right"">	10-08-2017 	</div>	</li>	<li><strong>Se publican las bases de la convocatoria en el BOE</strong> 	<div style=""width: 19%; float: right; text-align: right"">	31-08-2017 	</div>	</li>	<li><strong>Se abre plazo para la presentaci&oacute;n de solicitudes</strong> 	<div style=""width: 19%; float: right; text-align: right"">	01-09-2017 al 21-09-2017 	</div>	</li>	<li><strong>Mediante decreto 1175/2017 se&nbsp;aprueba el lisado provisional de aspirantes admitidos y excluidos</strong> 	<div style=""width: 19%; float: right; text-align: right"">	09-10-2017	</div>	</li>	<li><strong>Se abre plazo para la presentaci&oacute;n de reclamaciones</strong> 	<div style=""width: 19%; float: right; text-align: right"">	10-10-2017 al 24-10-2017 	</div>	</li></ul></div><!--FIN ANUNCIOS--></div><!--FIN FICHA OFERTAS--></div>","01. Bases de la convocatoria (http://www.alcobendas.org/recursos/ofertasempleo/documentos/1383797654_168201783542.pdf)|02. Publicación en BOE (http://www.alcobendas.org/recursos/ofertasempleo/documentos/1006523802_3182017114748.pdf)|03. Decreto 1175/2017 aprobación listado aspirantes admitidos y excluidos (http://www.alcobendas.org/recursos/ofertasempleo/documentos/2108278071_9102017145438.pdf)"
"Animador Sociocultural",2016,"Libre","Concurso-oposición","En curso","Patronato Sociocultural","Puntuación definitiva y propuesta de candidatos","Patronato Sociocultural","2","<div class=""textoficha""><div class=""fichaofertas""><div class=""infoconvocatoria""><ul>	<div style=""width: 96%; text-align: justify"">	Se convoca 2 puestos de&nbsp;Animador Sociocultural por el procedimiento de concurso-oposici&oacute;n, en r&eacute;gimen de contrato laboral temporal de relevo (Grupo A, Subgrupo A2) 	</div>	<br />	<br />	<li><strong>Mediante decreto 936/2016 se aprueban las bases de la convocatoria</strong> 	<div style=""width: 19%; float: right; text-align: right"">	13-07-2016 	</div>	</li>	<li><strong>Se abre plazo para la presentaci&oacute;n de solicitudes</strong> 	<div style=""width: 19%; float: right; text-align: right"">	19-07-16 al 7-08-16 	</div>	</li>	<li><strong>Mediante decreto 1048/2016 se aprueba el listado provisional de aspirantes admitidos y excluidos</strong> 	<div style=""width: 19%; float: right; text-align: right"">	02-09-2016 	</div>	</li>	<li><strong>Se abre plazo para la presentaci&oacute;n de reclamaciones al listado provisional de aspirantes admitidos y excluidos</strong> 	<div style=""width: 19%; float: right; text-align: right"">	07-09-2016 al 17-09-2016 	</div>	</li>	<li><strong>Mediante decreto 1349/2016 se aprueba el listado definitivo de aspirantes admitidos y excluidos</strong> 	<div style=""width: 19%; float: right; text-align: right"">	21/11/2016 	</div>	</li>	<li><strong>Se publica anuncio con la plantilla correctora del primer ejercicio, as&iacute; como las preguntas del examen</strong> 	<div style=""width: 19%; float: right; text-align: right"">	05-12-2016 	</div>	</li>	<li><strong>Se abre plazo para la presentaci&oacute;n de alegaciones</strong> 	<div style=""width: 19%; float: right; text-align: right"">	10/12/2016 al 15/12/2016&nbsp; 	</div>	</li>	<li><strong>Se publica anuncio con las puntuaciones del primer ejercicio</strong> 	<div style=""width: 19%; float: right; text-align: right"">	05-02-2017 	</div>	</li>	<li><strong>Se abre plazo para la presentaci&oacute;n de alegaciones</strong> 	<div style=""width: 19%; float: right; text-align: right"">	10/02/2017 al 15/02/2017 	</div>	</li>	<li><strong>Se publica anuncio con las nuevas puntuaciones del primer ejercicio</strong> 	<div style=""width: 19%; float: right; text-align: right"">	01-03-2017 	</div>	</li>	<li><strong>Se abre plazo para la presentaci&oacute;n de alegaciones</strong> 	<div style=""width: 19%; float: right; text-align: right"">	03-03/2017 al 08/03/2017 	</div>	</li>	<li><strong>Se convoca a los aspirantes para la realizaci&oacute;n del segundo ejercicio</strong> 	<div style=""width: 19%; float: right; text-align: right"">	28/03/2017 	</div>	</li>	<li><strong>Se publica anuncio con el examen del segundo ejercicio</strong> 	<div style=""width: 19%; float: right; text-align: right"">	30/03/2017 	</div>	</li>	<li><strong>Se abre plazo de alegaciones</strong> 	<div style=""width: 19%; float: right; text-align: right"">	31/03/2017 al 05/04/2017 	</div>	</li>	<li><strong>Se publican las calificaciones del segundo ejercicio</strong> 	<div style=""width: 19%; float: right; text-align: right"">	10/05/2017 	</div>	</li>	<li><strong>Se abre plazo de alegaciones</strong> 	<div style=""width: 19%; float: right; text-align: right"">	12/05/2017 al 17/05/2017 	</div>	</li>	<li><strong>Se publican las calificaciones de la fase de concurso</strong> 	<div style=""width: 19%; float: right; text-align: right"">	09/06/2017 	</div>	</li>	<li><strong>Se abre plazo de alegaciones</strong> 	<div style=""width: 19%; float: right; text-align: right"">	10/06/2017 al 15/06/2017 	</div>	</li>	<li><strong>Se publican las calificaciones definitivas del proceso y se proponen candidatos</strong> 	<div style=""width: 19%; float: right; text-align: right"">	26/06/2017 	</div>	</li>	<li><strong>Se abre plazo de presentaci&oacute;n de documentaci&oacute;n </strong>	<div style=""width: 19%; float: right; text-align: right"">	27/06/2017 al 17/07/2017 	</div>	</li></ul><p><strong></strong></p><p><strong></strong></p><p><strong>Se advierte a los interesados que en la publicaci&oacute;n de la Revista Siete D&iacute;as del 22 de julio de 2016, se ha producido un error en el plazo de presentaci&oacute;n de solicitudes, de tal forma que donde dice &ldquo;&hellip;&hellip; hasta el 11 de agosto&rdquo;, debe decir &rdquo;.&hellip;&hellip;hasta el 7 de agosto&rdquo;, al ser el plazo de presentaci&oacute;n de instancias de 20 d&iacute;as naturales de conformidad con las bases que rigen la presente convocatoria.</strong> </p></div><!--FIN ANUNCIOS--></div><!--FIN FICHA OFERTAS--></div>","01. Decreto 936/2016 de aprobación bases de la convocatoria (http://www.alcobendas.org/recursos/ofertasempleo/documentos/64308949_1972016840.pdf)|02. Bases de la convocatoria (http://www.alcobendas.org/recursos/ofertasempleo/documentos/332596779_1872016135119.pdf)|03. Ficha autobaremación (http://www.alcobendas.org/recursos/ofertasempleo/documentos/2049713634_22720168424.docx)|04. Decreto 1048 de aprobación del listado provisional de aspirantes admitidos y excluidos (http://www.alcobendas.org/recursos/ofertasempleo/documentos/1490137683_7920168023.pdf)|05. Decreto 1349/2016 de aprobación del listado definitivo de aspirantes admitidos y excluidos (http://www.alcobendas.org/recursos/ofertasempleo/documentos/577574394_2211201685440.pdf)|06. Plantilla correctora primer ejercicio y examen (http://www.alcobendas.org/recursos/ofertasempleo/documentos/1506971734_912201613325.pdf)|07. Anuncio puntuaciones primer ejercicio (http://www.alcobendas.org/recursos/ofertasempleo/documentos/1102725953_922017134953.pdf)|08. Anuncio nuevas puntuaciones primer ejercicio (http://www.alcobendas.org/recursos/ofertasempleo/documentos/1646970258_232017135210.pdf)|09. Anuncio convocatoria segundo ejercicio (http://www.alcobendas.org/recursos/ofertasempleo/documentos/808718930_1332017125219.pdf)|10. Anuncio publicación segundo examen (http://www.alcobendas.org/recursos/ofertasempleo/documentos/585152067_3032017143219.pdf)|11. Anuncio con las calificaciones del segundo ejercicio (http://www.alcobendas.org/recursos/ofertasempleo/documentos/45099858_1152017112510.pdf)|12. Anuncio puntuaciones fase concurso (http://www.alcobendas.org/recursos/ofertasempleo/documentos/173475720_962017125757.pdf)|13. Anuncio calificación definitiva y propuesta de candidatos (http://www.alcobendas.org/recursos/ofertasempleo/documentos/807746282_2662017131722.pdf)"
"Auxiliar Administrativo",2016,"Libre","Oposición","En curso","Mancomunidad del Noroeste","Calificación definitiva, propuesta de nombramiento y lista de espera","Mancomunidad del Noroeste","1","<div class=""textoficha""><div class=""fichaofertas""><div class=""infoconvocatoria""><ul>	<div style=""width: 96%"">	<p>	Las presentes bases tienen por objeto regir la convocatoria para proveer, por el sistema de oposici&oacute;n libre&nbsp; un puesto de Auxiliar Administrativo (funcionario)&nbsp; de la Mancomunidad de Municipios del Noroeste para la gesti&oacute;n y el tratamiento de los residuos urbanos (jornada a tiempo completo).&nbsp;&nbsp; 	</p>	<p>	Mas informaci&oacute;n: 	</p>	<p>	Tfno. 911927121. 	</p>	<p>	Mail. <a href=""mailto:secretaria@mancomunidaddelnoroeste.org"">secretaria@mancomunidaddelnoroeste.org</a><br />	</p>	</div>	<br />	<br />	<li><strong>Se publican las bases de la convocatoria en el BOCM</strong> 	<div style=""width: 19%; float: right; text-align: right"">	07-03-2016 	</div>	</li>	<li><strong>Plazo de presentaci&oacute;n de solicitudes: 20 d&iacute;as desde la publicaci&oacute;n del anuncio en el B.O.E.</strong> 	<div style=""width: 19%; float: right; text-align: right"">	Pendiente de publicaci&oacute;n 	</div>	</li>	<li><strong>Se publica anuncio en el BOE</strong> 	<div style=""width: 19%; float: right; text-align: right"">	06-04-2016 	</div>	</li>	<li><strong>Se abre plazo de presentaci&oacute;n de solicitudes</strong> 	<div style=""width: 19%; float: right; text-align: right"">	07-04-2016 al 26-04-2016 	</div>	</li>	<li><strong>Se publica anuncio BOCM con el listado provisional de aspirantes admitidos y excluidos</strong> 	<div style=""width: 19%; float: right; text-align: right"">	08-06-2016 	</div>	</li>	<li><strong>Se abre plazo para formular reclamaciones o subsanar los defectos que hayan motivado su exclusi&oacute;n, en las oficinas de la Mancomunidad del Noroeste&nbsp;(Avda. Doctor Severo Ochoa, 45 2&ordm; A 28100 -Alcobendas), de lunes a viernes de 9:00 a 13:00 h&nbsp; y el 13 de junio, de 16 a 17:30 h.</strong> 	<div style=""width: 19%; float: right; text-align: right"">	hasta el 20-06-2016 	</div>	</li>	<li><strong>Se publica anuncio en&nbsp;BOCM el listado definitivo de aspirantes admitidos y excluidos. La fecha y el lugar del examen se publicar&aacute;n pr&oacute;ximamente</strong> 	<div style=""width: 19%; float: right; text-align: right"">	02-09-2016 	</div>	</li>	<li><strong>Se convoca a los aspirantes para la realizaci&oacute;n del primer ejercicio de la oposici&oacute;n. Se publica anuncio con la fecha, lugar y hora.</strong> 	<div style=""width: 19%; float: right; text-align: right"">	30-09-2016 a las 17:30 h&nbsp; 	</div>	</li>	<li><strong>Se&nbsp;publica anuncio con el cuestionario y la plantilla&nbsp;de respuestas correctas del 1&ordm; ejercicio de la oposici&oacute;n.</strong> 	<div style=""width: 19%; float: right; text-align: right"">	03-10-2016 	</div>	</li>	<li><strong>Se abre plazo de alegaciones.</strong> 	<div style=""width: 19%; float: right; text-align: right"">	&nbsp;hasta el 08-10-2016 	</div>	</li>	<li><strong>Se publica el listado con las calificaciones de los aspirantes que han superado el 1&ordm; ejercicio de la oposici&oacute;n.</strong> 	<div style=""width: 19%; float: right; text-align: right"">	&nbsp;21-10-2016 	</div>	</li>	<li><strong>Se publica nueva plantilla de respuestas del 1&ordm; ejercicio de la oposici&oacute;n tras plazo alegaciones.</strong> 	<div style=""width: 19%; float: right; text-align: right"">	&nbsp;24-10-2016 	</div>	</li>	<li><strong>Se publica nuevo listado rectificado con calificaciones de los aspirantes que han superado el 1&ordm; ejercicio&nbsp;de la oposici&oacute;n. 	<h6></h6></strong>	<div style=""width: 19%; float: right; text-align: right"">	&nbsp;24-10-2016 	</div>	</li>	<li><strong>Se convoca a los aspirantes al 2&ordm; ejercicio de la oposici&oacute;n que se celebrar&aacute; el d&iacute;a 2 de diciembre a las 17:00 h en el Instituto de Secundaria &quot;&Aacute;gora&quot; de Alcobendas. 	<h6></h6></strong>	<div style=""width: 19%; float: right; text-align: right"">	02-12-2016 	</div>	</li>	<li><strong>Se publica listado con calificaciones del 2&ordm; ejercicio de la oposici&oacute;n&nbsp; 	<h6></h6></strong>	<div style=""width: 19%; float: right; text-align: right"">	09-01-2017 	</div>	</li>	<li><strong>Se publica anuncio con las calificaciones definitivas del proceso,&nbsp;se propone nombramiento de la candidata y se la requiere aportar documentaci&oacute;n en plazo. Se publica lista de espera para bolsa de trabajo.</strong> 	<div style=""width: 19%; float: right; text-align: right"">	09-01-2017 	</div>	</li></ul></div><!--FIN ANUNCIOS--></div><!--FIN FICHA OFERTAS--></div>","01. Bases de la convocatoria (http://www.alcobendas.org/recursos/ofertasempleo/documentos/1207918293_1432016111750.pdf)|02. Instancia (http://www.alcobendas.org/recursos/ofertasempleo/documentos/1866815837_1432016111917.pdf)|03. Anuncio BOCM con listado porvisional de aspirantes admitidos y excluidos (http://www.alcobendas.org/recursos/ofertasempleo/documentos/88450379_962016113024.pdf)|04. BOCM listado definitivo aspirantes admitidos y excluidos (http://www.alcobendas.org/recursos/ofertasempleo/documentos/917725798_59201694612.pdf)|05. Fecha, lugar y hora del primer ejercicio de la fase de oposición  (http://www.alcobendas.org/recursos/ofertasempleo/documentos/1590086923_209201685244.pdf)|06. Anuncio publicación cuestionario y plantilla respuestas (http://www.alcobendas.org/recursos/ofertasempleo/documentos/1524655942_310201612513.pdf)|07. Cuestionario de respuestas 1º ejercicio oposición (http://www.alcobendas.org/recursos/ofertasempleo/documentos/1920552834_3102016125134.pdf)|08. plantilla respuestas 1º ejercicio oposición (http://www.alcobendas.org/recursos/ofertasempleo/documentos/1074917423_310201612526.pdf)|09. Listado de aprobados 1º ejercicio oposición (http://www.alcobendas.org/recursos/ofertasempleo/documentos/288137157_21102016115156.pdf)|10. Nueva plantilla de respuestas del 1º ejercicio oposición (http://www.alcobendas.org/recursos/ofertasempleo/documentos/1583240723_2410201675747.pdf)|11. Listado rectificado con puntuaciones de aspirantes aprobados del 1º ejercicio oposición (http://www.alcobendas.org/recursos/ofertasempleo/documentos/1667664644_2410201615041.pdf)|12. Fecha, hora y lugar del 2º ejercicio de la oposición (http://www.alcobendas.org/recursos/ofertasempleo/documentos/743622052_2211201612012.pdf)|13. Anuncio con calificaciones del 2º ejercicio oposición (http://www.alcobendas.org/recursos/ofertasempleo/documentos/2080703812_912017114944.pdf)|14. Calificación definitiva, propuesta nombramiento y lista espera (http://www.alcobendas.org/recursos/ofertasempleo/documentos/1199259817_91201711577.pdf)"
"Auxiliar de Protección Civil",2016,"Libre","Concurso","En curso","Ayuntamiento","Calificación definitiva proceso","Ayuntamiento de Alcobendas","1","<div class=""textoficha""><div class=""fichaofertas""><div class=""infoconvocatoria""><ul>	<div style=""width: 96%; text-align: justify"">	Se convoca&nbsp; una plaza de Auxiliar de Protecci&oacute;n&nbsp;Civil del&nbsp;Ayuntamiento de Alcobendas, por el&nbsp;procedimiento de&nbsp;concurso en&nbsp;r&eacute;gimen de funcionario interino y turno libre&nbsp; 	</div>	<br />	<br />	<li><strong>Mediante Decreto 4385/2016 se aprueban las bases de la convocatoria</strong> 	<div style=""width: 19%; float: right; text-align: right"">	28-04-2016 	</div>	</li>	<li><strong>Se abre plazo para la presentaci&oacute;n de solicitudes de participaci&oacute;n en el proceso</strong> 	<div style=""width: 19%; float: right; text-align: right"">	30-04-2016 a 04-05-2016 	</div>	</li>	<li><strong>Mediante decreto 5276/2016 se rectifican las bases de la convocatoria</strong> 	<div style=""width: 19%; float: right; text-align: right"">	19-05-2016 	</div>	</li>	<li><strong>Mediante decreto 5332/2016 se publica el listado provisional de aspirantes admitidos y excluidos</strong> 	<div style=""width: 19%; float: right; text-align: right"">	23-05-2016 	</div>	</li>	<li><strong>Se abre plazo de reclamaciones al listado provisional de aspirantes admitidos y excluidos</strong> 	<div style=""width: 19%; float: right; text-align: right"">	25-05-2016 al 26-05-2016 	</div>	</li>	<li><strong>Mediante decreto 5641/2016 se publica el listado definitivo de aspirantes admitidos y excluidos</strong> 	<div style=""width: 19%; float: right; text-align: right"">	27-05-2016 	</div>	</li>	<li><strong>Mediante decreto 5838/2016 se rectifica Decreto 5641/2016</strong> 	<div style=""width: 19%; float: right; text-align: right"">	02-06-2016 	</div>	</li>	<li><strong>Se publican las puntuaciones de la fase de concurso</strong> 	<div style=""width: 19%; float: right; text-align: right"">	20-06-2016 	</div>	</li>	<li><strong>Se abre plazo de reclamaciones en relaci&oacute;n con las puntuaciones de la fase de concurso</strong> 	<div style=""width: 19%; float: right; text-align: right"">	21-06-2016 a 25-06-2016 	</div>	</li>	<li><strong>Calificaci&oacute;n definitiva del proceso y propuesta candidato (entrega documentos 6 y 7 de julio)</strong> 	<div style=""width: 19%; float: right; text-align: right"">	05-07-2016 	</div>	</li></ul></div><!--FIN ANUNCIOS--></div><!--FIN FICHA OFERTAS--></div>","01. Decreto 4385/2016 de aprobación de las bases de la convocatoria (http://www.alcobendas.org/recursos/ofertasempleo/documentos/1707454471_2942016133932.pdf)|02. Bases de la convocatoria (http://www.alcobendas.org/recursos/ofertasempleo/documentos/1770606257_2942016133944.pdf)|03. Ficha de autobaremación (http://www.alcobendas.org/recursos/ofertasempleo/documentos/1723556989_2942016133958.docx)|04. Modelo de solicitud (http://www.alcobendas.org/recursos/ofertasempleo/documentos/1624195266_2942016134141.doc)|05. Rectificación bases de la convocatoria (http://www.alcobendas.org/recursos/ofertasempleo/documentos/1265555683_2052016135525.pdf)|06. Decreto 5276/2016 de rectificación de las bases de la convocatoria (http://www.alcobendas.org/recursos/ofertasempleo/documentos/395470758_23520167530.pdf)|07. Decreto 5335/2016 de aprobación del lilstado provisional de aspirantes admitidos y excluidos  (http://www.alcobendas.org/recursos/ofertasempleo/documentos/1972189163_2452016133120.pdf)|08. Decreto 5641/2016 de aprobación del listado definitivo de aspirantes admitidos y excluidos (http://www.alcobendas.org/recursos/ofertasempleo/documentos/1033324018_162016132945.pdf)|09. Decreto 5838/2016 de rectificación del Decreto5641/2016 (http://www.alcobendas.org/recursos/ofertasempleo/documentos/1901132795_362016113320.pdf)|10. Anuncio puntuaciones fase concurso (http://www.alcobendas.org/recursos/ofertasempleo/documentos/1647556056_206201614435.pdf)|11. Calificación definitiva del proceso y propuesta candidato (http://www.alcobendas.org/recursos/ofertasempleo/documentos/1149184708_572016121437.pdf)"
"Bolsa de trabajo para 2017. Colonias y campamentos los veranos de Alcobendas.",2016,"Libre","Concurso","En curso","Patronato Sociocultural","Plazo de presentación de solicitudes hasta el 19-01-2017","Patronato Sociocultural","","<div class=""textoficha""><div class=""fichaofertas""><div class=""infoconvocatoria""><ul>	<div style=""width: 96%; text-align: justify"">	El Servicio de Juventud, Infancia y Adolescencia del Patronato Sociocultural del Ayuntamiento de Alcobendas abre el plazo para participar en la Bolsa de Trabajo para trabajar como gestor/a, coordinador/a y monitor/a de tiempo libre para el verano 2017 dentro de las actividades de Colonias y Campamentos 	</div>	<br />	<br />	<li><strong><a href=""http://www.imaginalcobendas.org/empleo/bolsa-de-trabajo/"" rel=""external"" title=""Bolsa de trabajo Colonias y Campamentos"">M&aacute;s informaci&oacute;n<br />	</a></strong></li></ul></div><!--FIN ANUNCIOS--></div><!--FIN FICHA OFERTAS--></div>",""
