"Año","Trimestre","Ayuntamiento","PBS","PMD","PSC"
"2017","trimestre 2","78.6","97.28","86.39","92.45"
"2017","trimestre 1","62.18","73.4","80.61","85.04"
"2016","trimestre 4","71.79","95.35","88.19","85.71"
"2016","trimestre 3","64.84","63.12","75.46","85.1"
"2016","trimestre 2","64.9","92.33","99.73","90.26"
"2016","trimestre 1","50.25","35.81","35.94","43.98"
"2015","trimestre 4","58.22","77.68","89.11","77.22"
"2015","trimestre 3","70.33","61.17","67.92","57"
"2015","trimestre 2","70.12","77.66","85.55","67.66"
"2015","trimestre 1","82.76","59.76","53.53","33.07"
"2014","trimestre 4","80.33","96.04","89.73","93.31"
"2014","trimestre 3","78.65","77.21","87.63","90.79"
"2014","trimestre 2","49.15","92.12","96.55","98.49"
"2014","trimestre 1","18.26","71.73","77.65","91.93"
"2013","trimestre 4","86.86","92.93","87.66","91.19"
"2013","trimestre 3","71.08","89.32","80.89","88.99"
"2013","trimestre 2","81.95","83.63","89.42","92.69"
"2013","trimestre 1","19.16","37.46","37.85","38.94"
"2012","trimestre 4","45.53","58.44","51.84","70.83"
"2012","trimestre 3","48.8","63.7","49.11","63.35"
"2012","trimestre 2","39.59","60.91","61.03","72.05"
"2012","trimestre 1","60.6","54.05","44.75","55.52"
"2011","trimestre 4","65.7","56.93","65.03","69.64"
"2011","trimestre 3","86.54","59.6","52.34","62.49"
"2011","trimestre 2","83.57","56.83","69.87","78.71"
"2011","trimestre 1","85.59","40.71","47.77","51.68"
"2010","trimestre 4","67.83","59.18","49.77","78.17"
"2010","trimestre 3","72.17","50.45","56.44","78.78"
