Fecha,Temperatura interior,Monóxido de nitrógeno,Dióxido de nitrógeno,Partículas en suspensión < PM10,Óxidos de nitrógeno,Ozono,Tolueno,Benceno,Xileno,Hidrocarburos totales,Hidrocarburos no-metano,Velocidad del viento,Dirección del viento,Temperatura,Humedad relativa,Presión,Radiación solar,Precipitaciones
20171031 08:00,,,,,,,,,,,,,,,,,,,
20171031 07:00,19.4,2.0,27.0,10.0,,43.0,0.5,0.4,,7.4,0.4,1.2,55,8.3,64,943,8,0.2
20171031 06:00,19.4,2.0,17.0,5.0,,53.0,0.6,0.4,,7.3,0.4,1.1,59,8.3,64,943,8,0.0
20171031 05:00,19.4,1.0,8.0,3.0,,64.0,0.6,0.4,,7.4,0.4,1.5,63,8.9,62,943,8,0.0
20171031 04:00,19.4,1.0,6.0,5.0,,74.0,0.5,0.4,,7.3,0.4,1.2,62,9.0,61,942,7,0.0
20171031 03:00,19.4,1.0,6.0,2.0,,72.0,0.4,0.4,,7.2,0.4,1.7,62,8.9,62,942,7,0.0
20171031 02:00,19.4,1.0,6.0,14.0,,63.0,0.5,0.4,,7.3,0.4,2.1,60,9.2,64,942,7,0.0
20171031 01:00,19.5,1.0,10.0,10.0,,56.0,0.7,0.4,,7.4,0.4,1.2,67,10.3,63,942,5,0.0
20171031 00:00,19.6,1.0,11.0,7.0,13.0,57.0,0.6,0.4,,7.3,0.4,1.5,68,11.2,60,942,3,0.0
20171030 23:00,19.5,1.0,15.0,6.0,17.0,54.0,0.9,0.4,,7.4,0.4,1.6,76,12.2,57,942,2,0.0
20171030 22:00,19.6,1.0,25.0,11.0,27.0,46.0,1.6,0.5,,7.4,0.5,1.6,82,13.5,53,942,1,0.0
20171030 21:00,19.7,3.0,40.0,19.0,45.0,30.0,2.2,0.5,,7.4,0.6,1.3,74,14.3,53,942,1,0.0
20171030 20:00,19.7,42.0,72.0,27.0,136.0,13.0,8.7,1.0,,7.8,0.9,1.1,74,15.4,50,941,1,0.0
20171030 19:00,19.6,43.0,84.0,12.0,150.0,3.0,2.4,0.6,,7.7,0.9,0.5,141,16.9,45,941,1,0.0
20171030 18:00,19.7,7.0,55.0,10.0,66.0,26.0,1.8,0.5,,7.4,0.6,0.9,105,18.4,41,940,10,0.0
20171030 17:00,19.6,4.0,22.0,12.0,28.0,58.0,0.7,0.4,,7.1,0.4,1.0,57,19.7,39,940,68,0.0
20171030 16:00,19.7,2.0,11.0,1.0,14.0,69.0,0.5,0.4,,7.1,0.4,1.0,93,19.8,38,940,281,0.0
20171030 15:00,19.7,2.0,8.0,9.0,11.0,72.0,0.5,0.4,,7.1,0.4,1.2,78,19.2,40,940,456,0.0
20171030 14:00,19.7,2.0,9.0,11.0,12.0,70.0,0.6,0.4,,7.1,0.4,1.8,81,18.0,42,940,560,0.0
20171030 13:00,19.7,3.0,11.0,7.0,16.0,66.0,0.7,0.4,,7.2,0.4,1.6,73,17.1,44,941,576,0.0
20171030 12:00,19.7,4.0,13.0,14.0,19.0,59.0,0.8,0.4,,7.2,0.4,1.3,94,16.0,47,942,574,0.0
20171030 11:00,19.6,4.0,14.0,12.0,20.0,54.0,0.8,0.4,,7.3,0.4,1.6,91,14.3,53,942,521,0.0
20171030 10:00,19.7,6.0,20.0,14.0,29.0,46.0,1.2,0.5,,7.7,0.4,1.1,82,12.5,57,943,356,0.0
20171030 09:00,19.7,11.0,27.0,16.0,44.0,35.0,1.1,0.6,,7.8,0.5,1.1,60,10.3,63,943,124,0.0
