Rótulo,Horario,Dirección,Código postal,Precio gases licuados del petroleo,Precio gasoleo A,Precio gasolina 95 protección,Precio gasolina 98,Precio nuevo gasoleo A,lat,lon
"CEPSA","L-D: 07:00-23:00","AVENIDA EUROPA (C.C. LA MORALEJA), 13/15","28100","","1.149","1.219","1.334","1.209",40.520111,-3.657528
"B.P. JUNCAL","L-D: 24H","CARRETERA BARAJAS KM. S/N","28100","","1.119","1.219","1.361","1.204",40.534083,-3.618944
"CARREFOUR","L-D: 24H","CARRETERA A-1 KM. 14,500","28100","","1.109","1.209","1.359","1.139",40.528194,-3.649417
"REPOSTA ALCOBENDAS","L-D: 24H","AVENIDA MARQUES DE LA VALDAVIA, 132","28100","","1.089","1.179","","",40.546556,-3.651861
"BP","L-D: 06:00-22:00","CALLE VALGRANDE (DE), 11","28100","","1.119","1.219","","",40.536583,-3.649778
"GALP","L-D: 24H","AVENIDA VALDELAPARRA (DE), 5","28100","","1.119","1.219","1.329","1.209",40.548306,-3.662056
"GALP","L-D: 24H","CARRETERA ANTIGUA NACIONAL I KM. 15,5","28100","0.593","1.119","1.219","1.329","1.209",40.532806,-3.642250
"REPSOL","L-D: 07:00-23:00","BOULEVARD SALVADOR ALLENDE, 13","28100","","1.149","1.219","1.359","1.229",40.537833,-3.634389
"REPSOL","L-D: 06:00-00:00","CR M-603, 14,1","28100","","1.159","1.219","1.359","1.239",40.525778,-3.654889
"REPSOL","L-D: 24H","CL AVENIDA DE ESPA¿A, S.N.","28100","0.631","1.159","1.219","1.359","1.239",40.546167,-3.634639
"SHELL","L-D: 06:00-22:00","CARRETERA M-603 KM. 14,900","28100","","1.129","1.209","1.349","1.209",40.528806,-3.651583
"SHELL","L-S: 06:00-00:00; D: 09:00-17:00","AVENIDA VALDELAPARRA, 3","28100","","1.135","1.204","1.344","1.215",40.537250,-3.643194
"EL SAPO-ALCOBENDAS","L-D: 07:00-23:00","AVD. MONTE VALDELATAS ESQ. SEPULVEDA, S/N","28100","","1.119","1.219","1.360","1.204",40.528722,-3.659667
"VALDAVIA","L-D: 24H","CALLE MARQUES DE LA VALDAVIA (DEL), 138","28100","","1.119","1.219","1.361","1.204",40.546944,-3.653944
"REPSOL","L-V: 06:00-22:00; S: 07:00-14:00","CALLE FRANCISCO GERVAS, 13","28108","","1.129","1.179","1.309","1.209",40.533722,-3.652250
"REPSOL","L-D: 06:00-23:00","CL BOULEVARD SALVADOR ALLENDE, 12-1","28108","","1.149","1.219","1.359","1.229",40.537500,-3.633944
"ALCAMPO","L-D: 24H","AVENIDA OLIMPICA, 9","28108","","1.019","1.119","1.319","1.089",40.535194,-3.636806
"REPSOL","L-S: 07:00-22:00; D: 09:00-15:00","PLAZA MORALEJA S/N, S/N","28109","","1.169","1.229","","",40.515639,-3.651083
"BALLENOIL","L-D: 24H","PASEO EUROPA, 22","28700","","1.049","1.159","","",40.545917,-3.622917
"CEPSA","L-D: 24H","N-I (MADRID-BURGOS) km 24,100","28700","","1.109","","","",40.590889,-3.581778
"PETROPRIX","L-D: 24H","AVENIDA FUENTE NUEVA, 18","28700","","1.028","1.128","","",40.547667,-3.612472
"GALP","L-D: 24H","AUTOVIA NACIONAL I KM. 26,200","28700","","1.089","1.199","1.304","1.179",40.608694,-3.579000
"REPSOL","L-D: 07:00-23:00","CL AVDA. EINSTEIN, 5","28700","0.631","1.099","1.219","1.359","1.129",40.544417,-3.610167
"REPSOL","L-V: 06:00-23:00; S-D: 07:00-23:00","CL REAL  (ANTIGUA N-1), 120","28700","","1.099","1.209","1.349","1.129",40.552500,-3.618861
"REPSOL","L-V: 06:30-00:30; S-D: 07:00-23:00","CL AVDA TENERIFE, 18","28700","","1.099","1.209","1.349","1.129",40.560250,-3.620056
"REPSOL","L-D: 24H","CR N-1, 18,6","28700","0.631","1.099","1.219","1.359","1.129",40.545778,-3.606500
"SETOR","L-D: 06:00-00:00","N-I  (BURGOS-MADRID) km 24,100","28700","","1.069","1.179","","1.079",40.590944,-3.583417
"CEPSA","L-D: 24H","CTRA. BURGOS","28700","","1.109","1.219","1.319","1.159",40.590500,-3.582583
"CEPSA","L-D: 24H","AVENIDA TENERIFE (DE), 14","28700","","1.097","1.207","1.327","1.097",40.559528,-3.621750
"BP","L-D: 06:00-00:00","GLORIETA ANTONIO GAUDI, ","28700","","1.109","1.219","1.361","1.194",40.557833,-3.612611
"SHELL","L-D: 24H","AVENIDA FUENTENUEVA, 1","28700","","1.099","1.199","1.344","1.184",40.547750,-3.610750
"SHELL","L-D: 06:00-00:00","CARRETERA ANTIGUA N-I CV CAMINO REDESA KM. S/N","28700","","1.098","1.219","1.359","1.178",40.565556,-3.605472
"BALLENOIL","L-D: 24H","AVENIDA PIRINEOS (DE LOS), 21","28700","","1.039","1.149","","",40.551972,-3.610083
