stop_id, stop_code, stop_name, stop_desc, stop_lat, stop_lon, zone_id, stop_url, location_type, parent_station, stop_timezone, wheelchair_boarding
par_5_18,18,CHAMARTIN,,40.4721094623497,-3.68237859937536,A,http://www.crtm.es,0,est_90_25,,2
par_5_31,31,FUENCARRAL,,40.5015691134975,-3.68225218377436,A,http://www.crtm.es,0,,Europe/Madrid,2
par_5_37,37,GOLOSO EL,,40.558583101112,-3.71397804023902,B1,http://www.crtm.es,0,,Europe/Madrid,0
par_5_51,51,NUEVOS MINISTERIOS,,40.4466277031815,-3.69225017986236,A,http://www.crtm.es,0,est_90_71,,2
par_5_83,83,TRES CANTOS,,40.5984457667284,-3.71556021510206,B2,http://www.crtm.es,0,,Europe/Madrid,1
par_5_36,36,GETAFE SECTOR 3,,40.2882594725019,-3.73724253672422,B1,http://www.crtm.es,0,,Europe/Madrid,2
par_5_85,85,VALDELASFUENTES,,40.5474506798862,-3.65424433859136,B1,http://www.crtm.es,0,,Europe/Madrid,2
par_5_84,84,UNIVERSIDAD P. COMILLAS,,40.5540663923206,-3.68324540394647,B1,http://www.crtm.es,0,,Europe/Madrid,2
par_5_21,21,COLMENAR VIEJO,,40.6449747266778,-3.77564070812934,B3,http://www.crtm.es,0,,Europe/Madrid,2
par_5_93,93,VILLAVERDE BAJO,,40.3526507971254,-3.68389310873579,A,http://www.crtm.es,0,,Europe/Madrid,2
par_5_4,4,ALCOBENDAS-S.S. DE LOS REYES,,40.5465755919252,-3.63509249422751,B1,http://www.crtm.es,0,,Europe/Madrid,2
par_5_122,122,SOL,,40.4168514100817,-3.70300095436799,A,http://www.crtm.es,0,est_90_58,,0
par_5_15,15,CANTOBLANCO UNIVERSIDAD,,40.5437936933619,-3.70025235112853,B1,http://www.crtm.es,0,,Europe/Madrid,2
par_5_92,92,VILLAVERDE ALTO,,40.3412389095586,-3.71183451015835,A,http://www.crtm.es,0,,Europe/Madrid,2
par_5_53,53,PARLA,,40.2407799399339,-3.76926846708883,B2,http://www.crtm.es,0,,Europe/Madrid,2
par_5_34,34,GETAFE CENTRO,,40.3101101574552,-3.73384370824394,B1,http://www.crtm.es,0,,Europe/Madrid,2
par_5_43,43,MARGARITAS-UNIVERSIDAD LAS,,40.323052580859,-3.72728643362543,B1,http://www.crtm.es,0,,Europe/Madrid,2
par_5_11,11,ATOCHA,,40.4066011651398,-3.68921184083959,A,http://www.crtm.es,0,est_90_54,,2
