route_id, service_id, trip_id, trip_headsign, trip_short_name, direction_id, wheelchair_accessible
4__10___,4_I12,4_I12-101_2016I12_2_1_4__10_A__,TRES OLIVOS,Puerta del Sur - Hospital del Norte,1,1
4__10___,4_I12,4_I12-102_2016I12_1_1_4__10_B__,TRES OLIVOS,Hospital del Norte - Puerta del Sur,0,1
4__10___,4_I15,4_I15-101_2016I15_1_1_4__10_A__,PUERTA DEL SUR,Hospital del Norte - Puerta del Sur,0,1
4__10___,4_I12,4_I12-101_2016I12_1_1_4__10_A__,PUERTA DEL SUR,Hospital del Norte - Puerta del Sur,0,1
4__10___,4_I13,4_I13-101_2016I13_1_1_4__10_A__,PUERTA DEL SUR,Hospital del Norte - Puerta del Sur,0,1
4__10___,4_I15,4_I15-102_2016I15_1_1_4__10_B__,TRES OLIVOS,Hospital del Norte - Puerta del Sur,0,1
4__10___,4_I15,4_I15-102_2016I15_2_1_4__10_B__,HOSPITAL INFANTA SOFÍA,Puerta del Sur - Hospital del Norte,1,1
4__10___,4_I14,4_I14-101_2016I14_2_1_4__10_A__,TRES OLIVOS,Puerta del Sur - Hospital del Norte,1,1
4__10___,4_I13,4_I13-102_2016I13_1_1_4__10_B__,TRES OLIVOS,Hospital del Norte - Puerta del Sur,0,1
4__10___,4_I13,4_I13-102_2016I13_2_1_4__10_B__,HOSPITAL INFANTA SOFÍA,Puerta del Sur - Hospital del Norte,1,1
4__10___,4_I13,4_I13-101_2016I13_2_1_4__10_A__,TRES OLIVOS,Puerta del Sur - Hospital del Norte,1,1
4__10___,4_I14,4_I14-101_2016I14_1_1_4__10_A__,PUERTA DEL SUR,Hospital del Norte - Puerta del Sur,0,1
4__10___,4_I15,4_I15-101_2016I15_2_1_4__10_A__,TRES OLIVOS,Puerta del Sur - Hospital del Norte,1,1
4__10___,4_I14,4_I14-102_2016I14_1_1_4__10_B__,TRES OLIVOS,Hospital del Norte - Puerta del Sur,0,1
4__10___,4_I14,4_I14-102_2016I14_2_1_4__10_B__,HOSPITAL INFANTA SOFÍA,Puerta del Sur - Hospital del Norte,1,1
4__10___,4_I12,4_I12-102_2016I12_2_1_4__10_B__,HOSPITAL INFANTA SOFÍA,Puerta del Sur - Hospital del Norte,1,1
