EXPT,AREA,TIPO_DE_CONTRATO,PROCEDIMIENTO_LICITACION,PUBLICACION,OBJETO,CONTRATISTA,CIF,Nº. LICITADORES,IMPORTE LICITACION,IMPORTE ADJUDICACION,FECHA ADJUDICACION,FECHA FORMALIZACION,DURACION,PRORROGA HASTA,ADJUDICACION,SITUACION,MODIFICADO,CONTRAPRESTACION,IMPORTE TOTAL,RESOLUCION/NULIDAD,CESION,DESISTIMIENTO/RENUNCIA,SUBCONTRATACIONES
CTR_007/10,Bienestar Social,Gestion de Servicios Publicos,Abierto,Perfil Contratante y BOP,Gestion Servicio Publico Atencion Temprana,"Fundacion La Esperanza, E.S.B.",G29150034,2,"7.500,00 €","7.500,00 €",25/06/2010,25/06/2010,5 años,--,2010,En ejecución,--,--,"7.500,00 €",---,--,--,--
CTR_008/10,Bienestar Social,Gestion de Servicios Publicos,Abierto,Perfil Contratante y BOP,Gestion Servicio Publico Centro Ocupacional y Unidad de dia,"Fundacion La Esperanza, E.S.B.",G29150034,2,"15.000,00 €","15.000,00 €",18/06/2010,18/06/2010,5 años,06/06/2021,2010,En ejecución,--,--,"15.000,00 €",---,--,--,--
CTR_009/10,Bienestar Social,Gestion de Servicios Publicos,Abierto,Perfil Contratante y BOP,Gestion Servicio Publico Gravemente Afectados,"Fundacion La Esperanza, E.S.B.",G29150034,2,"7.500,00 €","7.500,00 €",18/06/2010,18/06/2010,5 años,03/06/2021,2010,En ejecución,--,--,"7.500,00 €",---,--,--,--
CTR_010/10,Educacion,Gestion de Servicios Publicos,Abierto,Perfil Contratante y BOP,Gestion Servicio Publico Escuela Infantil sita en C/ Félix Rodríguez de la Fuente,"CLECE, S.A.",A80364243,11,"0,00 €","0,00 €",12/11/2010,12/11/2010,5 años,15/07/2021,2010,En ejecución,--,--,"0,00 €",---,--,--,--
CTR_023/14,Alcaldia,Gestion de Servicios Publicos,Abierto,Perfil Contratante y BOP,Gestion Servicio Publico Estacionamiento,"Jesus Palacios Servidis, S.L.",B91231506,2,"0,00 €","0,00 €",23/03/2015,23/03/2015,2 años,31/03/2019,2015,En ejecución,--,--,"0,00 €",---,--,--,--
CTR_003/15,Trafico y Via publica,Servicios,Abierto,Perfil Contratante y BOP,Servicio Aparcamiento Pz. España,"Jesus Palacios Servidis, S.L.",B91231506,3,"53.100,00 €","48.279,00 €",08/05/2015,08/05/2015,1 año,--,2015,En ejecución,--,--,"96.558,00 €",---,--,--,--
CTR_012/15,Bienestar Social,Gestion de Servicios Publicos,Abierto,Perfil Contratante y BOP,Gestion Servicio Talleres,"BCM Gestion De servicios, S.L.",B29831112,3,"0,00 €","0,00 €",22/10/2015,22/10/2015,2 años,01/03/2019,2015,En ejecución,--,--,"0,00 €",--,--,--,--
CTR_013/15,Cultura,Gestion de Servicios Publicos,Abierto,Perfil Contratante y BOP,Gestion Servicio Musica,Yesenia Beatriz Zambrano Duran,X7336907E,1,"0,00 €","0,00 €",25/08/2015,25/08/2015,1 año,27/08/2017,2015,En ejecución,--,--,"0,00 €",--,--,--,--
CTR_010/16,Educacion,Servicios,Abierto,Perfil Contratante y BOP,Gestion Servicio Escuela Infantil Virgen del Rosario,Macrosad Sociedad Cooperativa Andaluza,F23322472,7,"0,00 €","0,00 €",12/12/2016,12/12/2016,5 años,--,2016,En ejecución,--,--,"0,00 €",--,,--,--
CTR_020/16,Optimizacion de energia,Servicios,Abierto,Perfil Contratante y BOP,Servicio Recogida Animales,"I.V.C. Paraiso Residencia Canina, S.L.",B92098664,1,"92.928,00 €","92.928,00 €",10/03/2017,10/03/2017,2 años,--,2017,En ejecución,--,--,"92.928,00 €",--,--,--,--
