Identificador,Junta de Gobierno Local,Fecha,Link Convocatoria,Link Acta,Link Video
20/10/17,SESION JUNTA DE GOBIERNO DIA 13 DE OCTUBRE DE 2017,20/10/17,http://www.alhaurindelatorre.es/images/DECRETO_1681.pdf,http://www.alhaurindelatorre.es/images/AREAS/secretaria/Actas_JGL/Actas_JGL-2017/20-10-17.pdf,
13/10/17,SESION JUNTA DE GOBIERNO DIA 13 DE OCTUBRE DE 2017,13/10/17,http://www.alhaurindelatorre.es/images/DECRETO_1646.pdf,http://www.alhaurindelatorre.es/images/AREAS/secretaria/Actas_JGL/Actas_JGL-2017/13-10-17.pdf,
06/10/17,SESION JUNTA DE GOBIERNO DIA 06 DE OCTUBRE DE 2017,06/10/17,http://www.alhaurindelatorre.es/images/DECRETO_1611.pdf,http://www.alhaurindelatorre.es/images/AREAS/secretaria/Actas_JGL/Actas_JGL-2017/06-10-17.pdf,
29/09/17,SESION JUNTA DE GOBIERNO DIA 29 DE SEPTIEMBRE DE 2017,29/09/17,http://www.alhaurindelatorre.es/images/DECRETO_1549.pdf,http://www.alhaurindelatorre.es/images/AREAS/secretaria/Actas_JGL/Actas_JGL-2017/29-09-2017.pdf,
22/09/17,SESION JUNTA DE GOBIERNO DIA 22 DE SEPTIEMBRE DE 2017,22/09/17,http://www.alhaurindelatorre.es/images/DECRETO_1488.pdf,http://www.alhaurindelatorre.es/images/AREAS/secretaria/Actas_JGL/Actas_JGL-2017/22-09-2017.pdf,
15/09/17,SESION JUNTA DE GOBIERNO DIA 15 DE SEPTIEMBRE DE 2017,15/09/17,http://www.alhaurindelatorre.es/images/TABLON/Convocatorias_JGL/Conv_JGL_2017/Decreto_1450.pdf,,
08/09/17,SESION JUNTA DE GOBIERNO DIA 8 DE SEPTIEMBRE DE 2017,08/09/17,http://www.alhaurindelatorre.es/images/DECRETO_1422.pdf,http://www.alhaurindelatorre.es/images/AREAS/secretaria/Actas_JGL/Actas_JGL-2017/08-09-2017.pdf,No
01/09/17,SESION JUNTA DE GOBIERNO DIA 1 DE SEPTIEMBRE DE 2017,01/09/17,http://www.alhaurindelatorre.es/images/TABLON/Convocatorias_JGL/Conv_JGL_2017/Decreto_1377.pdf,http://www.alhaurindelatorre.es/images/AREAS/secretaria/Actas_JGL/Actas_JGL-2017/01-09-2017.pdf,No
25/08/17,SESION JUNTA DE GOBIERNO DIA 25 DE AGOSTO DE 2017,25/08/17,http://www.alhaurindelatorre.es/images/TABLON/Convocatorias_JGL/Conv_JGL_2017/Decreto_1365.pdf,http://www.alhaurindelatorre.es/images/AREAS/secretaria/Actas_JGL/Actas_JGL-2017/25-08-2017.pdf,No
18/08/17,SESION JUNTA DE GOBIERNO DIA 18 DE AGOSTO DE 2017,18/08/17,http://www.alhaurindelatorre.es/images/TABLON/Convocatorias_JGL/Conv_JGL_2017/Decreto_1341.pdf,http://www.alhaurindelatorre.es/images/AREAS/secretaria/Actas_JGL/Actas_JGL-2017/18-08-2017.pdf,No
11/08/17,SESION JUNTA DE GOBIERNO DIA 11 DE AGOSTO DE 2017,11/08/17,http://www.alhaurindelatorre.es/images/TABLON/Convocatorias_JGL/Conv_JGL_2017/Decreto_1317.pdf,http://www.alhaurindelatorre.es/images/AREAS/secretaria/Actas_JGL/Actas_JGL-2017/11-08-2017.pdf,No
04/08/17,SESION JUNTA DE GOBIERNO DIA 04 DE AGOSTO DE 2017,04/08/17,http://www.alhaurindelatorre.es/images/TABLON/Convocatorias_JGL/Conv_JGL_2017/Decreto_1285.pdf,http://www.alhaurindelatorre.es/images/AREAS/secretaria/Actas_JGL/Actas_JGL-2017/04-08-2017.pdf,No
28/07/17,SESION JUNTA DE GOBIERNO DIA 28 DE JULIO DE 2017,28/07/17,http://www.alhaurindelatorre.es/images/DECRETO_1234.pdf,http://www.alhaurindelatorre.es/images/AREAS/secretaria/Actas_JGL/Actas_JGL-2017/28-07-2017.pdf,No
21/07/17,SESION JUNTA DE GOBIERNO DIA 21 DE JULIO DE 2017,21/07/17,http://www.alhaurindelatorre.es/images/DECRETO_1196.pdf,http://www.alhaurindelatorre.es/images/AREAS/secretaria/Actas_JGL/Actas_JGL-2017/21-07-2017.pdf,No
17/07/17,SESION JUNTA DE GOBIERNO DIA 14 DE JULIO DE 2017,17/07/17,http://www.alhaurindelatorre.es/images/DECRETO_1138.pdf,http://www.alhaurindelatorre.es/images/AREAS/secretaria/Actas_JGL/Actas_JGL-2017/14-07-2017.pdf,No
07/07/17,SESION JUNTA DE GOBIERNO DIA 07 DE JULIO DE 2017,07/07/17,http://www.alhaurindelatorre.es/images/DECRETO_1091.pdf,http://www.alhaurindelatorre.es/images/AREAS/secretaria/Actas_JGL/Actas_JGL-2017/07-07-2017.pdf,No
