Dte,Barris,Total,Ruïnos,Dolent,Deficient,Bo
BARCELONA,,69.830,254,1.405,8.076,60.095
1,"1. el Raval",1.823,16,138,635,1.034
1,"2. el Barri Gòtic",1.029,11,26,246,746
1,"3. la Barceloneta",1.152,14,87,288,763
1,"4. Sant Pere, Santa Caterina i la Ribera",1.458,..,51,413,991
2,"5. el Fort Pienc",608,..,29,39,540
2,"6. la Sagrada Família",1.493,..,50,209,1.232
2,"7. la Dreta de l'Eixample",1.832,..,..,83,1.737
2,"8. l'Antiga Esquerra de l'Eixample",1.485,..,11,120,1.352
2,"9. la Nova Esquerra de l'Eixample",1.252,..,..,193,1.053
2,"10. Sant Antoni",1.110,..,28,134,945
3,"11. el Poble Sec - AEI Parc Montjuïc",1.573,..,36,184,1.349
3,"12. la Marina del Prat Vermelll - AEI Zona Franca",105,..,16,20,66
3,"13. la Marina de Port",513,..,18,57,435
3,"14. la Font de la Guatlla",348,..,..,34,312
3,"15. Hostafrancs",723,..,..,115,601
3,"16. la Bordeta",485,..,..,42,434
3,"17. Sants - Badal",926,..,13,161,750
3,"18. Sants",2.243,11,74,507,1.651
4,"19. les Corts",1.245,18,..,119,1.101
4,"20. la Maternitat i Sant Ramon",592,..,..,50,538
4,"21. Pedralbes",619,..,..,10,609
5,"22. Vallvidrera, el Tibidabo i les Planes",1.101,11,43,187,860
5,"23. Sarrià",2.020,..,16,67,1.933
5,"24. les Tres Torres",627,..,..,24,599
5,"25. Sant Gervasi - la Bonanova",1.298,..,..,121,1.175
5,"26. Sant Gervasi - Galvany",1.748,..,19,47,1.680
5,"27. el Putxet i el Farró",1.458,..,..,112,1.335
6,"28. Vallcarca i els Penitents",1.271,..,..,91,1.166
6,"29. el Coll",571,..,20,105,443
6,"30. la Salut",543,..,10,29,504
6,"31. la Vila de Gràcia",3.860,..,113,398,3.340
6,"32. el Camp d'en Grassot i Gràcia Nova",1.168,..,11,88,1.064
7,"33. el Baix Guinardó",736,..,..,67,660
7,"34. Can Baró",672,..,19,195,457
7,"35. el Guinardó",2.056,..,..,204,1.848
7,"36. la Font d'en Fargues",1.014,..,..,58,944
7,"37. el Carmel",1.787,13,20,209,1.545
7,"38. la Teixonera",758,..,..,27,727
7,"39. Sant Genís dels Agudells",333,..,19,49,265
7,"40. Montbau",269,..,..,..,265
7,"41. la Vall d'Hebron",90,..,..,..,90
7,"42. la Clota",139,..,12,56,68
7,"43. Horta",2.097,15,45,173,1.864
8,"44. Vilapicina i la Torre Llobeta",1.083,..,..,82,992
8,"45. Porta",814,..,..,87,718
8,"46. el Turó de la Peira",360,..,..,54,303
8,"47. Can Peguera",665,..,..,..,654
8,"48. la Guineueta",292,..,..,..,290
8,"49. Canyelles",79,..,..,..,78
8,"50. les Roquetes",926,..,19,120,783
8,"51. Verdun",599,..,..,37,557
8,"52. la Prosperitat",1.158,..,12,133,1.013
8,"53. la Trinitat Nova",214,..,..,..,213
8,"54. Torre Baró",488,..,..,72,412
8,"55. Ciutat Meridiana",253,..,..,..,249
8,"56. Vallbona",159,..,..,11,147
9,"57. la Trinitat Vella",619,..,..,36,580
9,"58. Baró de Viver",66,..,..,..,57
9,"59. el Bon Pastor",1.079,..,77,10,991
9,"60. Sant Andreu",3.237,..,92,322,2.819
9,"61. la Sagrera",702,..,..,14,686
9,"62. el Congrés i els Indians",695,..,..,..,687
9,"63. Navas",670,..,..,41,624
10,"64. el Camp de l'Arpa del Clot",1.831,..,19,161,1.646
10,"65. el Clot",800,..,11,81,707
10,"66. el Parc i la Llacuna del Poblenou",343,..,..,39,298
10,"67. la Vila Olímpica del Poblenou",445,..,..,..,432
10,"68. el Poblenou",1.484,14,56,330,1.084
10,"69. Diagonal Mar i el Front Marítim del Poblenou",286,..,..,12,273
10,"70. el Besòs i el Maresme",908,..,14,310,577
10,"71. Provençals del Poblenou",446,11,55,101,279
10,"72. Sant Martí de Provençals",470,..,..,..,462
10,"73. la Verneda i la Pau",429,..,..,16,413
