Dte,Barris,EdificisTotal,Accessible,AmbAscensor,AmbGaratge,AmbGas,AmbLiniaTelefonica,Clavegueram,AltreTipusDEvacuacióDAiguesResiduals,AmbAiguaCalentaCentral
BARCELONA,,69.830,24.254,29.482,11.048,61.003,69.532,69.691,118,11.143
1,"1. el Raval",1.823,411,461,40,1.440,1.814,1.814,..,79
1,"2. el Barri Gòtic",1.029,149,268,..,782,1.027,1.025,..,40
1,"3. la Barceloneta",1.152,89,173,..,896,1.150,1.152,..,79
1,"4. Sant Pere, Santa Caterina i la Ribera",1.458,221,472,18,1.193,1.453,1.451,..,218
2,"5. el Fort Pienc",608,368,510,152,585,608,606,..,69
2,"6. la Sagrada Família",1.493,757,915,169,1.374,1.489,1.486,..,266
2,"7. la Dreta de l'Eixample",1.832,896,1.542,100,1.696,1.826,1.831,..,609
2,"8. l'Antiga Esquerra de l'Eixample",1.485,741,1.167,106,1.403,1.481,1.479,..,293
2,"9. la Nova Esquerra de l'Eixample",1.252,647,1.060,174,1.128,1.248,1.249,..,172
2,"10. Sant Antoni",1.110,211,797,80,1.096,1.109,1.108,..,45
3,"11. el Poble Sec - AEI Parc Montjuïc",1.573,273,650,134,1.531,1.569,1.571,..,154
3,"12. la Marina del Prat Vermelll - AEI Zona Franca",105,31,18,..,36,105,105,..,16
3,"13. la Marina de Port",513,331,336,90,406,512,513,..,45
3,"14. la Font de la Guatlla",348,99,183,95,308,348,348,..,81
3,"15. Hostafrancs",723,199,292,106,639,723,721,..,15
3,"16. la Bordeta",485,221,231,77,456,483,484,..,34
3,"17. Sants - Badal",926,224,437,124,795,924,925,..,151
3,"18. Sants",2.243,632,691,264,2.020,2.231,2.233,..,199
4,"19. les Corts",1.245,718,830,303,1.126,1.195,1.243,..,258
4,"20. la Maternitat i Sant Ramon",592,270,321,155,524,591,592,..,149
4,"21. Pedralbes",619,177,290,399,603,618,617,..,310
5,"22. Vallvidrera, el Tibidabo i les Planes",1.101,69,23,550,278,1.057,1.094,..,878
5,"23. Sarrià",2.020,506,577,392,1.757,2.018,2.016,..,374
5,"24. les Tres Torres",627,252,464,230,572,627,626,..,191
5,"25. Sant Gervasi - la Bonanova",1.298,374,670,450,1.186,1.297,1.294,..,482
5,"26. Sant Gervasi - Galvany",1.748,601,1.404,341,1.683,1.744,1.733,15,412
5,"27. el Putxet i el Farró",1.458,944,987,302,1.437,1.456,1.458,..,741
6,"28. Vallcarca i els Penitents",1.271,314,323,497,1.239,1.269,1.269,..,217
6,"29. el Coll",571,87,98,111,447,568,571,..,97
6,"30. la Salut",543,124,240,112,534,543,543,..,63
6,"31. la Vila de Gràcia",3.860,829,1.189,198,3.324,3.855,3.852,..,329
6,"32. el Camp d'en Grassot i Gràcia Nova",1.168,341,745,191,1.157,1.168,1.166,..,43
7,"33. el Baix Guinardó",736,358,493,77,674,735,735,..,191
7,"34. Can Baró",672,272,160,124,481,670,672,..,98
7,"35. el Guinardó",2.056,1.009,823,341,1.926,2.055,2.053,..,274
