Dte.,Barri,Total,33-64%,65-74%,"75% i
més"
1,"1. el Raval",4.081,1.792,1.457,832
1,"2. el Barri Gòtic",1.420,664,490,266
1,"3. la Barceloneta",1.510,692,477,341
1,"4. Sant Pere, Santa Caterina i la Ribera",1.774,827,568,379
2,"5. el Fort Pienc",2.296,1.125,624,547
2,"6. la Sagrada Família",4.214,1.989,1.162,1.063
2,"7. la Dreta de l'Eixample",3.343,1.506,944,893
2,"8. l'Antiga Esquerra de l'Eixample",3.208,1.490,928,790
2,"9. la Nova Esquerra de l'Eixample",4.851,2.410,1.288,1.153
2,"10. Sant Antoni",3.348,1.638,872,838
3,"11. el Poble Sec - AEI Parc Montjuïc",3.504,1.707,1.038,759
3,"12. la Marina del Prat Vermell - AEI Zona Franca",214,87,67,60
3,"13. la Marina de Port",3.482,1.852,896,734
3,"14. la Font de la Guatlla",1.182,519,303,360
3,"15. Hostafrancs",1.375,636,448,291
3,"16. la Bordeta",1.682,881,431,370
3,"17. Sants - Badal",2.003,1.049,525,429
3,"18. Sants",3.357,1.695,893,769
4,"19. les Corts",3.507,1.735,879,893
4,"20. la Maternitat i Sant Ramon",2.011,970,506,535
4,"21. Pedralbes",733,327,185,221
5,"22. Vallvidrera, el Tibidabo i les Planes",259,121,66,72
5,"23. Sarrià",1.410,615,372,423
5,"24. les Tres Torres",787,366,209,212
5,"25. Sant Gervasi - la Bonanova",1.648,755,464,429
5,"26. Sant Gervasi - Galvany",2.748,1.230,735,783
5,"27. el Putxet i el Farró",1.782,815,481,486
6,"28. Vallcarca i els Penitents",1.188,557,337,294
6,"29. el Coll",665,328,160,177
6,"30. la Salut",1.176,495,296,385
6,"31. la Vila de Gràcia",3.832,1.832,1.100,900
6,"32. el Camp d'en Grassot i Gràcia Nova",2.697,1.345,685,667
7,"33. el Baix Guinardó",2.039,1.016,518,505
7,"34. Can Baró",761,363,228,170
7,"35. el Guinardó",2.868,1.455,779,634
7,"36. la Font d'en Fargues",726,362,190,174
7,"37. el Carmel",3.142,1.736,841,565
7,"38. la Teixonera",1.046,566,268,212
7,"39. Sant Genís dels Agudells",646,339,158,149
7,"40. Montbau",606,243,171,192
7,"41. la Vall d'Hebron",458,217,126,115
7,"42. la Clota",42,18,11,13
7,"43. Horta",2.373,1.242,594,537
8,"44. Vilapicina i la Torre Llobeta",2.322,1.201,544,577
8,"45. Porta",2.478,1.290,617,571
8,"46. el Turó de la Peira",1.561,765,452,344
8,"47. Can Peguera",341,167,101,73
8,"48. la Guineueta",1.841,933,489,419
8,"49. Canyelles",909,509,243,157
8,"50. les Roquetes",1.655,892,461,302
8,"51. Verdun",1.323,676,390,257
8,"52. la Prosperitat",2.523,1.373,659,491
8,"53. la Trinitat Nova",894,455,258,181
8,"54. Torre Baró",385,193,116,76
8,"55. Ciutat Meridiana",1.126,619,306,201
8,"56. Vallbona",201,98,50,53
9,"57. la Trinitat Vella",855,453,249,153
9,"58. Baró de Viver",348,171,98,79
9,"59. el Bon Pastor",1.196,606,363,227
9,"60. Sant Andreu",4.934,2.591,1.213,1.130
9,"61. la Sagrera",2.533,1.357,659,517
9,"62. el Congrés i els Indians",1.349,656,350,343
9,"63. Navas",1.881,955,493,433
10,"64. el Camp de l'Arpa del Clot",3.200,1.567,900,733
10,"65. el Clot",2.051,1.096,505,450
10,"66. el Parc i la Llacuna del Poblenou",1.332,651,409,272
10,"67. la Vila Olímpica del Poblenou",443,222,120,101
10,"68. el Poblenou",2.415,1.265,605,545
10,"69. Diagonal Mar i el Front Marítim del Poblenou",756,399,197,160
10,"70. el Besòs i el Maresme",2.180,1.084,628,468
10,"71. Provençals del Poblenou",1.625,850,422,353
10,"72. Sant Martí de Provençals",2.623,1.299,731,593
10,"73. la Verneda i la Pau",3.133,1.642,796,695
,"No consta",223,115,60,48
