Dte.,Barri,Total,Homes,Dones
1,"1. el Raval",4.081,2.126,1.955
1,"2. el Barri Gòtic",1.420,765,655
1,"3. la Barceloneta",1.510,766,744
1,"4. Sant Pere, Santa Caterina i la Ribera",1.774,859,915
2,"5. el Fort Pienc",2.296,1.037,1.259
2,"6. la Sagrada Família",4.214,1.858,2.356
2,"7. la Dreta de l'Eixample",3.343,1.404,1.939
2,"8. l'Antiga Esquerra de l'Eixample",3.208,1.325,1.883
2,"9. la Nova Esquerra de l'Eixample",4.851,2.121,2.730
2,"10. Sant Antoni",3.348,1.491,1.857
3,"11. el Poble Sec - AEI Parc Montjuïc",3.504,1.640,1.864
3,"12. la Marina del Prat Vermell - AEI Zona Franca",214,108,106
3,"13. la Marina de Port",3.482,1.641,1.841
3,"14. la Font de la Guatlla",1.182,542,640
3,"15. Hostafrancs",1.375,629,746
3,"16. la Bordeta",1.682,820,862
3,"17. Sants - Badal",2.003,936,1.067
3,"18. Sants",3.357,1.569,1.788
4,"19. les Corts",3.507,1.523,1.984
4,"20. la Maternitat i Sant Ramon",2.011,883,1.128
4,"21. Pedralbes",733,310,423
5,"22. Vallvidrera, el Tibidabo i les Planes",259,108,151
5,"23. Sarrià",1.410,654,756
5,"24. les Tres Torres",787,361,426
5,"25. Sant Gervasi - la Bonanova",1.648,733,915
5,"26. Sant Gervasi - Galvany",2.748,1.205,1.543
5,"27. el Putxet i el Farró",1.782,773,1.009
6,"28. Vallcarca i els Penitents",1.188,510,678
6,"29. el Coll",665,281,384
6,"30. la Salut",1.176,567,609
6,"31. la Vila de Gràcia",3.832,1.722,2.110
6,"32. el Camp d'en Grassot i Gràcia Nova",2.697,1.186,1.511
7,"33. el Baix Guinardó",2.039,903,1.136
7,"34. Can Baró",761,363,398
7,"35. el Guinardó",2.868,1.314,1.554
7,"36. la Font d'en Fargues",726,336,390
7,"37. el Carmel",3.142,1.507,1.635
7,"38. la Teixonera",1.046,509,537
7,"39. Sant Genís dels Agudells",646,296,350
7,"40. Montbau",606,263,343
7,"41. la Vall d'Hebron",458,214,244
7,"42. la Clota",42,19,23
7,"43. Horta",2.373,1.141,1.232
8,"44. Vilapicina i la Torre Llobeta",2.322,1.044,1.278
8,"45. Porta",2.478,1.197,1.281
8,"46. el Turó de la Peira",1.561,743,818
8,"47. Can Peguera",341,156,185
8,"48. la Guineueta",1.841,890,951
8,"49. Canyelles",909,440,469
8,"50. les Roquetes",1.655,857,798
8,"51. Verdun",1.323,646,677
8,"52. la Prosperitat",2.523,1.275,1.248
8,"53. la Trinitat Nova",894,430,464
8,"54. Torre Baró",385,197,188
8,"55. Ciutat Meridiana",1.126,554,572
8,"56. Vallbona",201,97,104
9,"57. la Trinitat Vella",855,451,404
9,"58. Baró de Viver",348,168,180
9,"59. el Bon Pastor",1.196,621,575
9,"60. Sant Andreu",4.934,2.292,2.642
9,"61. la Sagrera",2.533,1.170,1.363
9,"62. el Congrés i els Indians",1.349,615,734
9,"63. Navas",1.881,832,1.049
10,"64. el Camp de l'Arpa del Clot",3.200,1.479,1.721
10,"65. el Clot",2.051,927,1.124
10,"66. el Parc i la Llacuna del Poblenou",1.332,679,653
10,"67. la Vila Olímpica del Poblenou",443,193,250
10,"68. el Poblenou",2.415,1.110,1.305
10,"69. Diagonal Mar i el Front Marítim del Poblenou",756,366,390
10,"70. el Besòs i el Maresme",2.180,1.079,1.101
10,"71. Provençals del Poblenou",1.625,756,869
10,"72. Sant Martí de Provençals",2.623,1.247,1.376
10,"73. la Verneda i la Pau",3.133,1.513,1.620
,"No consta",223,116,107
