Dte.,Barris,Participació,Abstenció,BComú-E,CiU,Cs,ERC,PSC-CP,PP,CUP-PA,Altres,Blancs,Nuls
1,"1. el Raval","45,1","54,9","16,0","6,7","3,2","4,2","5,5","3,7","3,3","1,8","0,4","0,3"
1,"2. el Barri Gòtic","49,9","50,1","18,4","8,4","3,3","5,2","3,8","3,1","5,6","1,5","0,3","0,3"
1,"3. la Barceloneta","47,1","52,9","14,8","7,3","3,1","6,6","5,8","3,2","3,3","2,3","0,4","0,3"
1,"4. Sant Pere, Santa Caterina i la Ribera","50,4","49,6","18,1","8,0","3,8","4,6","4,7","3,5","4,7","2,3","0,4","0,2"
2,"5. el Fort Pienc","64,0","36,0","14,5","17,0","6,9","7,5","4,9","4,9","5,5","1,9","0,6","0,3"
2,"6. la Sagrada Família","62,0","38,0","14,2","16,3","5,8","8,6","5,0","4,5","5,1","1,8","0,5","0,3"
2,"7. la Dreta de l'Eixample","65,0","35,0","12,1","22,2","6,8","6,8","3,7","5,1","5,9","1,5","0,6","0,3"
2,"8. l'Antiga Esquerra de l'Eixample","63,2","36,8","12,0","21,4","6,7","6,7","3,8","5,3","4,8","1,6","0,6","0,2"
2,"9. la Nova Esquerra de l'Eixample","63,3","36,7","12,8","19,1","6,8","7,5","4,4","5,3","4,8","1,7","0,7","0,3"
2,"10. Sant Antoni","61,4","38,6","15,3","15,9","5,0","8,2","4,7","4,0","5,7","1,8","0,6","0,2"
3,"11. el Poble Sec - Parc Montjuïc","53,4","46,6","17,6","8,9","3,9","6,6","5,2","3,8","4,6","2,2","0,5","0,2"
3,"12. la Marina del Prat Vermell - Zona Franca","35,2","64,8","13,3","2,9","4,0","1,5","7,2","3,0","0,3","2,7","0,2","0,0"
3,"13. la Marina de Port","55,5","44,5","20,4","5,4","7,0","4,3","8,0","5,3","2,4","2,0","0,5","0,2"
3,"14. la Font de la Guatlla","58,3","41,7","17,3","10,1","6,6","6,9","5,2","4,9","4,6","1,9","0,5","0,3"
3,"15. Hostafrancs","58,8","41,2","15,3","12,3","5,0","8,3","4,8","4,0","5,9","2,3","0,5","0,3"
3,"16. la Bordeta","61,1","38,9","15,1","11,3","5,1","9,3","6,2","4,6","5,7","3,0","0,5","0,3"
3,"17. Sants - Badal","58,8","41,2","14,4","11,4","6,7","7,2","6,4","5,0","4,3","2,6","0,4","0,3"
3,"18. Sants","62,9","37,1","14,5","15,2","5,3","9,2","5,0","3,8","6,7","2,2","0,6","0,3"
4,"19. les Corts","66,2","33,8","10,1","22,0","8,3","7,3","4,7","6,7","4,5","1,7","0,6","0,3"
4,"20. la Maternitat i Sant Ramon","64,6","35,4","11,7","17,3","8,6","7,1","5,9","7,5","3,5","2,1","0,7","0,3"
4,"21. Pedralbes","64,3","35,7","3,5","26,3","13,9","2,9","1,8","12,6","1,2","1,4","0,5","0,1"
5,"22. Vallvidrera, el Tibidabo i les Planes","63,2","36,8","12,6","19,3","5,4","8,1","3,3","3,0","9,1","1,4","0,6","0,2"
5,"23. Sarrià","66,7","33,3","7,2","28,7","8,9","5,5","3,1","7,0","3,8","1,6","0,7","0,2"
5,"24. les Tres Torres","68,3","31,7","3,6","30,8","14,0","2,6","2,3","10,7","1,8","1,5","0,6","0,3"
5,"25. Sant Gervasi - la Bonanova","64,6","35,4","5,6","27,3","11,5","3,8","2,6","8,9","2,3","1,9","0,5","0,2"
5,"26. Sant Gervasi - Galvany","66,7","33,3","6,0","28,1","11,0","3,8","2,7","9,6","2,6","2,1","0,6","0,2"
5,"27. el Putxet i el Farró","66,0","34,0","10,3","24,7","7,6","6,7","3,6","5,5","4,9","1,7","0,7","0,3"
6,"28. Vallcarca i els Penitents","64,4","35,6","13,1","18,3","6,4","8,2","4,5","5,0","6,2","1,7","0,6","0,3"
6,"29. el Coll","57,7","42,3","16,4","11,6","5,6","7,0","5,1","4,0","5,6","1,9","0,4","0,2"
6,"30. la Salut","63,0","37,0","13,3","18,2","5,4","8,9","4,3","4,4","6,2","1,4","0,4","0,4"
6,"31. la Vila de Gràcia","63,3","36,7","16,8","15,6","3,6","9,1","3,7","3,2","8,8","1,7","0,5","0,3"
6,"32. el Camp d'en Grassot i Gràcia Nova","67,1","32,9","14,6","19,1","5,4","9,8","4,4","4,2","7,0","1,9","0,6","0,2"
7,"33. el Baix Guinardó","60,8","39,2","14,8","14,4","6,0","8,2","5,3","4,4","5,6","1,6","0,5","0,2"
7,"34. Can Baró","58,9","41,1","16,2","11,3","6,2","7,0","6,9","3,4","4,8","2,0","0,7","0,3"
7,"35. el Guinardó","60,5","39,5","16,0","12,4","5,4","8,1","5,4","4,5","6,1","1,7","0,5","0,3"
