"CODI_CAPA","CAPA_GENERICA","NOM_CAPA","ED50_COORD_X","ED50_COORD_Y","ETRS89_COORD_X","ETRS89_COORD_Y","LONGITUD","LATITUD","EQUIPAMENT","DISTRICTE","BARRI","NOM_DISTRICTE","NOM_BARRI","ADRECA","TELEFON"
"K014","Transports i serveis relacionats","Autobusos diürns","431572.99",4583550832,431481048,4583349885,"2.180326","41.398769","BUS -6-7-62-H12--",2,5,"Eixample","el Fort Pienc",,
"K014","Transports i serveis relacionats","Autobusos diürns",431635764,4585480444,431543822,4585279479,"2.180859","41.416154","BUS -117-192--",10,64,"Sant Martí","el Camp de l'Arpa del Clot",,
"K014","Transports i serveis relacionats","Autobusos diürns",431710999,4582397595,431619056,4582196659,"2.182107","41.388394","BUS -39-51-120--",1,4,"Ciutat Vella","Sant Pere. Santa Caterina i la Ribera",,
"K014","Transports i serveis relacionats","Autobusos diürns",430844382,4582569252,430752447,4582368314,"2.171723","41.389866","BUS -B24--",2,7,"Eixample","la Dreta de l'Eixample",,
"K014","Transports i serveis relacionats","Autobusos diürns",430964343,4586770427,430872408,4586569451,"2.172678","41.427715","BUS -122--",8,44,"Nou Barris","Vilapicina i la Torre Llobeta",,
"K014","Transports i serveis relacionats","Autobusos diürns",431015376,4584875347,"430923.44",4584674388,"2.173505","41.410651","BUS -19-20-45-47-92-H8--",7,33,"Horta-Guinardó","el Baix Guinardó",,
"K014","Transports i serveis relacionats","Autobusos diürns",430397009,4581534646,430305077,4581333718,"2.166492","41.380509","BUS -120--",1,1,"Ciutat Vella","el Raval",,
"K014","Transports i serveis relacionats","Autobusos diürns",430504791,4582564984,430412859,4582364047,"2.167663","41.389798","BUS -22-24--",2,7,"Eixample","la Dreta de l'Eixample",,
"K014","Transports i serveis relacionats","Autobusos diürns",430566007,4584436013,430474075,4584235058,"2.16818","41.406655","BUS -20-45-47-H8--",6,32,"Gràcia","el Camp d'en Grassot i Gràcia Nova",,
"K014","Transports i serveis relacionats","Autobusos diürns",430586795,4581634536,430494862,4581433607,"2.16875","41.381425","BUS -120--",1,1,"Ciutat Vella","el Raval",,
"K014","Transports i serveis relacionats","Autobusos diürns",430725085,4586049945,430633152,4585848975,"2.169898","41.421205","BUS -117--",7,35,"Horta-Guinardó","el Guinardó",,
"K014","Transports i serveis relacionats","Autobusos diürns",430732999,4582073581,430641065,4581872648,"2.170448","41.385392","BUS -59-V13--",1,2,"Ciutat Vella","el Barri Gòtic",,
"K014","Transports i serveis relacionats","Autobusos diürns",430781235,4579518174,430689299,4579317265,"2.171317","41.362381","BUS -88--",3,12,"Sants-Montjuïc","la Marina del Prat Vermell",,
"K014","Transports i serveis relacionats","Autobusos diürns",429995034,4585561881,429903107,4585360916,"2.161219","41.416746","BUS -114--",7,34,"Horta-Guinardó","Can Baró",,
"K014","Transports i serveis relacionats","Autobusos diürns",429825997,4585083581,429734072,"4584882.62","2.159252","41.412423","BUS -24-32--",6,30,"Gràcia","la Salut",,
"K014","Transports i serveis relacionats","Autobusos diürns",429867984,4582369181,429776058,4582168246,"2.160069","41.387979","BUS -54-63-66-67-68-V13--",2,8,"Eixample","l'Antiga Esquerra de l'Eixample",,
"K014","Transports i serveis relacionats","Autobusos diürns",430067145,4588222774,429975218,4588021784,"2.161774","41.440717","BUS -27-60-76-185-B19-H4--",7,43,"Horta-Guinardó","Horta",,
"K014","Transports i serveis relacionats","Autobusos diürns",429484324,4581998402,429392401,"4581797.47","2.155524","41.384606","BUS -37-V11--",2,8,"Eixample","l'Antiga Esquerra de l'Eixample",,
"K014","Transports i serveis relacionats","Autobusos diürns",429597262,4585533958,429505339,4585332993,"2.156463","41.41646","BUS -24-92--",7,34,"Horta-Guinardó","Can Baró",,
"K014","Transports i serveis relacionats","Autobusos diürns",429616003,4583786565,429524079,4583585617,"2.156891","41.400723","BUS -114--",6,31,"Gràcia","la Vila de Gràcia",,
"K014","Transports i serveis relacionats","Autobusos diürns",429797912,4585577069,429705987,4585376104,"2.158859","41.416865","BUS -24-92--",7,37,"Horta-Guinardó","el Carmel",,
"K014","Transports i serveis relacionats","Autobusos diürns",433589007,4585645147,433497047,"4585444.18","2.204211","41.417801","BUS -26-40--",10,73,"Sant Martí","la Verneda i la Pau",,
"K014","Transports i serveis relacionats","Autobusos diürns",432129364,4585503475,432037418,"4585302.51","2.186762","41.416403","BUS -62--",9,63,"Sant Andreu","Navas",,
"K014","Transports i serveis relacionats","Autobusos diürns",428271109,4586118486,428179198,4585917516,"2.140527","41.421607","BUS -19-27-60-119-V15-H4--",7,39,"Horta-Guinardó","Sant Genís dels Agudells",,
"K014","Transports i serveis relacionats","Autobusos diürns",433951407,"4586449.65",433859444,4586248676,"2.208459","41.425077","BUS -H10-143--",10,73,"Sant Martí","la Verneda i la Pau",,
"K015","Transports i serveis relacionats","Autobusos nocturns",428815369,4583487284,428723453,4583286339,"2.147349","41.397957","NITBUS -N8--",5,26,"Sarrià-Sant Gervasi","Sant Gervasi - Galvany",,
