"CODI_CAPA","CAPA_GENERICA","NOM_CAPA","ED50_COORD_X","ED50_COORD_Y","ETRS89_COORD_X","ETRS89_COORD_Y","LONGITUD","LATITUD","EQUIPAMENT","DISTRICTE","BARRI","NOM_DISTRICTE","NOM_BARRI","ADRECA","TELEFON"
"M009","Medi ambient","Horts urbans",428590952,4579243454,428499036,4579042548,"2.145165","41.359715","Hort Urbà Masia Can Mestres",3,13,"Sants-Montjuïc","la Marina de Port","Camí Can Clos. 1*9",10
"M009","Medi ambient","Horts urbans",425821501,4583114795,425729612,4582913854,"2.111585","41.394331","Hort Urbà de Pedralbes",4,21,"Les Corts","Pedralbes","C Castellet. 2",10
"M009","Medi ambient","Horts urbans",427454616,4586506529,427362713,4586305556,"2.13071","41.425028","Hort Urbà Masia Can Soler",7,39,"Horta-Guinardó","Sant Genís dels Agudells","Ctra Sant Cugat. 114*132",10
"M009","Medi ambient","Horts urbans",432643055,"4586584.03",432551104,4586383055,"2.192788","41.426178","Hort-Jardí Urbà La Ferroviària",9,61,"Sant Andreu","la Sagrera","C Camp del Ferro. 17","null"
"M009","Medi ambient","Horts urbans","433173.05","4589193.17",433081095,"4588992.17","2.198841","41.449722","Hort Urbà Baró de Viver",9,57,"Sant Andreu","la Trinitat Vella","Pg Santa Coloma. 125",10
"M009","Medi ambient","Horts urbans",432805154,4588401255,432713202,4588200263,"2.194525","41.442559","Hort Urbà Parc de la Trinitat",9,60,"Sant Andreu","Sant Andreu","Pg Santa Coloma. 60",10
"M009","Medi ambient","Horts urbans",431603892,"4583984.37","431511.95",4583783419,"2.180647","41.402677","Hort Urbà Sagrada Família",2,6,"Eixample","la Sagrada Família","C Padilla. 199*201",10
"M009","Medi ambient","Horts urbans",432274631,"4589561.58",432182685,4589360577,"2.188045","41.452965","La Casa de l'Aigua-Hort Urbà",8,53,"Nou Barris","la Trinitat Nova","C Garbí. 2*4",10
"M009","Medi ambient","Horts urbans",433089246,4585983306,432997291,4585782336,"2.198194","41.420805","Centre Experimental i Educatiu Agricultura Biològica i Jardineria - Masia de Can Cadena-Hort Urbà Masia Can Cadena",10,72,"Sant Martí","Sant Martí de Provençals","C Menorca. 27",10
"M009","Medi ambient","Horts urbans",430262768,4587477304,430170839,4587276321,"2.164201","41.43402","Hort Urbà de Can Peguera",8,47,"Nou Barris","Can Peguera","C Camós. 3",10
"M009","Medi ambient","Horts urbans",424752724,4585400799,424660846,4585199837,"2.098517","41.414821","Hort Urbà Can Pujades",5,22,"Sarrià-Sant Gervasi","Vallvidrera. el Tibidabo i les Planes","Camí Múrgola. 13*19",10
"M009","Medi ambient","Horts urbans",430622932,"4581008.85",430530998,4580807927,"2.169254","41.375793","Hort Urbà de Sant Pau del Camp",1,1,"Ciutat Vella","el Raval","C Abat Safont. 12",10
"M009","Medi ambient","Horts urbans",428869777,"4585211.83",428777861,4585010869,"2.147797","41.413494","Hort Urbà de Turull",6,28,"Gràcia","Vallcarca i els Penitents","Ptge Turull. 10*12",10
"M009","Medi ambient","Horts urbans",425788628,4581211693,425696739,4581010769,"2.111425","41.377188","Hort Urbà Torre Melina",4,16,"Les Corts","la Bordeta","Camí Torre Melina. 15*LU",10
"M009","Medi ambient","Horts urbans",427758269,4585540655,427666363,4585339691,"2.134459","41.416356","Hort Urbà Collserola",5,25,"Sarrià-Sant Gervasi","Sant Gervasi - la Bonanova","C Carles Pirozzini. 2",10
"M009","Medi ambient","Horts urbans",428908953,4585446661,428817036,4585245697,"2.148238","41.415613","Hort Urbà de l'Avi",6,28,"Gràcia","Vallcarca i els Penitents","C Torrent del Remei. 2",10
