"CODI_CAPA","CAPA_GENERICA","NOM_CAPA","ED50_COORD_X","ED50_COORD_Y","ETRS89_COORD_X","ETRS89_COORD_Y","LONGITUD","LATITUD","EQUIPAMENT","DISTRICTE","BARRI","NOM_DISTRICTE","NOM_BARRI","ADRECA","TELEFON"
"F001","Mercats i centres comercials","Mercats municipals",432290,4581508,432198051,4581307072,"2.189132","41.380431","Mercat de La Barceloneta",1,3,"Ciutat Vella","la Barceloneta","Pl Poeta Boscà. 1*2",932216471
"F001","Mercats i centres comercials","Mercats municipals",432945761,4585834931,432853807,4585633963,"2.196493","41.419457","Mercat de Provençals",10,72,"Sant Martí","Sant Martí de Provençals","C Menorca. 19",933137195
"F001","Mercats i centres comercials","Mercats municipals",434503556,4585795626,434411588,4585594657,"2.215137","41.419232","Mercat del Besòs",10,70,"Sant Martí","el Besòs i el Maresme","C Jaume Huguet. 38",933054202
"F001","Mercats i centres comercials","Mercats municipals",430882514,4581700894,430790578,4581499964,"2.172279","41.382048","Mercat de Sant Josep - La Boqueria",1,1,"Ciutat Vella","el Raval","C Rambla. 89*LB",933182017
"F001","Mercats i centres comercials","Mercats municipals",431429794,4590541291,431337856,"4590340.28","2.17782","41.461717","Mercat de Ciutat Meridiana",8,55,"Nou Barris","Ciutat Meridiana","C Costabona. 4*6",933549629
"F001","Mercats i centres comercials","Mercats municipals",432286828,4587558141,432194881,4587357157,"2.188416","41.434922","Mercat de Sant Andreu",9,60,"Sant Andreu","Sant Andreu","Pl Mercadal. 41",933451148
"F001","Mercats i centres comercials","Mercats municipals",428507836,4583348729,428415922,4583147785,"2.143687","41.396682","Mercat de Galvany",5,26,"Sarrià-Sant Gervasi","Sant Gervasi - Galvany","Santaló. 65",934140994
"F001","Mercats i centres comercials","Mercats municipals",428088615,4584350049,427996706,4584149096,"2.138554","41.405663","Mercat de Sant Gervasi",5,25,"Sarrià-Sant Gervasi","Sant Gervasi - la Bonanova","Pl Joaquim Folguera. 6",934177874
"F001","Mercats i centres comercials","Mercats municipals",428092522,4579322005,428000611,4579121098,"2.139198","41.360378","Mercat de La Marina",3,13,"Sants-Montjuïc","la Marina de Port","Pg Zona Franca. 178-180",933325347
"F001","Mercats i centres comercials","Mercats municipals",431544513,4585814132,431452572,4585613164,"2.179729","41.419151","Mercat del Guinardó",7,35,"Horta-Guinardó","el Guinardó","C Teodor Llorente. 10",934355888
"F001","Mercats i centres comercials","Mercats municipals",430220216,4584800792,430128287,4584599834,"2.164001","41.409911","Mercat de l'Estrella",6,32,"Gràcia","el Camp d'en Grassot i Gràcia Nova","C Pi i Margall. 73*75",932842053
"F001","Mercats i centres comercials","Mercats municipals",432022681,4583801279,431930735,"4583600.33","2.185677","41.401063","Mercat Encants Vells Fira de Bellcaire",2,5,"Eixample","el Fort Pienc","C Castillejos. 158",932463030
"F001","Mercats i centres comercials","Mercats municipals",428498861,4580959437,428406947,4580758515,"2.143862","41.375162","Mercat d'Hostafrancs",3,15,"Sants-Montjuïc","Hostafrancs","C Creu Coberta. 93",934318606
"F001","Mercats i centres comercials","Mercats municipals",430290859,4588361651,"430198.93","4588160.66","2.164435","41.441988","Mercat de Canyelles",8,49,"Nou Barris","Canyelles","C Antonio Machado. 10",934277186
"F001","Mercats i centres comercials","Mercats municipals",431996385,4586128995,"431904.44",4585928024,"2.185101","41.422026","Mercat de Felip II",9,61,"Sant Andreu","la Sagrera","C Felip II. 118",933408880
"F001","Mercats i centres comercials","Mercats municipals",431495192,4588831652,431403253,4588630656,"2.178797","41.446325","Mercat de Montserrat",8,50,"Nou Barris","les Roquetes","Via Favència. 241",933547239
"F001","Mercats i centres comercials","Mercats municipals",433674403,"4583781.3",433582442,"4583580.35","2.205437","41.401021","Mercat del Poblenou - Unió",10,68,"Sant Martí","el Poblenou","Pl Unió. 25",932252937
"F001","Mercats i centres comercials","Mercats municipals",427333947,4581960956,427242044,4581760025,"2.129813","41.384078","Mercat de Les Corts",4,19,"Les Corts","les Corts","Trav Corts. 215",933309702
"F001","Mercats i centres comercials","Mercats municipals",430144256,4581625005,430052327,4581424076,"2.163459","41.381301","Mercat Encants de Sant Antoni",2,10,"Eixample","Sant Antoni","Rda Sant Antoni. 15",934234287
"F001","Mercats i centres comercials","Mercats municipals",431952468,4589090132,431860524,4588889134,"2.184241","41.448692","Mercat de La Trinitat",8,53,"Nou Barris","la Trinitat Nova","C Pedrosa. 21",933503262
"F001","Mercats i centres comercials","Mercats municipals",433911762,"4587690.04","433819.8",4587489054,"2.207849","41.436245","Mercat del Bon Pastor",9,59,"Sant Andreu","el Bon Pastor","C Sant Adrià. 168",933139596
"F001","Mercats i centres comercials","Mercats municipals",429221863,4584724035,429129943,4584523078,"2.152066","41.409132","Mercat de Lesseps",6,30,"Gràcia","la Salut","C Verdi. 200",932197296
"F001","Mercats i centres comercials","Mercats municipals",427475024,4583721235,"427383.12",4583520288,"2.131289","41.399944","Mercat de Les Tres Torres",5,24,"Sarrià-Sant Gervasi","les Tres Torres","C Vergós. 2",934175840
"F001","Mercats i centres comercials","Mercats municipals",426592349,4583718057,426500453,"4583517.11","2.120731","41.399835","Mercat de Sarrià",5,23,"Sarrià-Sant Gervasi","Sarrià","Pg Reina Elisenda Montcada. 8",932030291
"F001","Mercats i centres comercials","Mercats municipals",432112798,4583827891,432020851,4583626941,"2.186752","41.40131","Mercat Encants Vells Fira de Bellcaire",2,5,"Eixample","el Fort Pienc","Av Meridiana. 69",932463030
"F001","Mercats i centres comercials","Mercats municipals",429395548,4582360142,429303626,4582159207,"2.15442","41.387857","Mercat del Ninot",2,8,"Eixample","l'Antiga Esquerra de l'Eixample","C Mallorca. 133*157",934536512
"F001","Mercats i centres comercials","Mercats municipals",429826268,4583952934,429734342,4583751984,"2.159387","41.40224","Mercat de l'Abaceria Central",6,31,"Gràcia","la Vila de Gràcia","Trav Gràcia. 186",932136286
"F001","Mercats i centres comercials","Mercats municipals",431044918,4587076998,430952982,4586876019,"2.173608","41.430483","Mercat de La Mercè",8,46,"Nou Barris","el Turó de la Peira","Pg Fabra i Puig. 270*272",934294192
"F001","Mercats i centres comercials","Mercats municipals",429875032,4586992991,429783107,4586792013,"2.159617","41.429625","Mercat d'Horta",7,43,"Horta-Guinardó","Horta","C Tajo. 75",934295140
"F001","Mercats i centres comercials","Mercats municipals","427653.84","4580921.1",427561934,4580720179,"2.133763","41.374741","Mercat de Sants",3,18,"Sants-Montjuïc","Sants","C Sant Jordi. 6",933158359
"F001","Mercats i centres comercials","Mercats municipals",431305374,"4584324.89",431213435,4584123936,"2.177037","41.405718","Mercat de la Sagrada Família",2,6,"Eixample","la Sagrada Família","C Padilla. 255",934363452
"F001","Mercats i centres comercials","Mercats municipals",429352936,4583679674,429261015,4583478727,"2.153756","41.399737","Mercat de la Llibertat",6,31,"Gràcia","la Vila de Gràcia","Pl Llibertat. 27",932170995
