"Dte.","Barris","TOTAL LOCALS
HABITATGE","Abans
de 1901","1901-
1940","1941-
1950","1951-
1960","1961-
1970","1971-
1980","1981-
1990","1991-
2000","2001-
2005","A partir
2005"
"BARCELONA",,823709,83978,123500,24960,79092,209280,171822,39430,43001,20264,28382
1,"1. el Raval",23432,15355,3393,325,283,911,595,490,1351,283,446
1,"2. el Barri Gòtic",10467,7166,2061,245,210,222,176,50,219,41,77
1,"3. la Barceloneta",9226,2725,2845,723,670,846,279,483,389,142,124
1,"4. Sant Pere, Santa Caterina i la Ribera",14627,8680,3193,189,103,483,504,174,649,157,495
2,"5. el Fort Pienc",15651,940,3586,665,867,3901,3302,1017,726,282,365
2,"6. la Sagrada Família",27520,541,8296,1320,3525,5401,4877,1288,1424,291,557
2,"7. la Dreta de l'Eixample",26989,9618,7841,626,1094,2380,2626,1087,982,195,540
2,"8. l'Antiga Esquerra de l'Eixample",24399,6445,7666,703,1329,3818,2975,724,267,157,315
2,"9. la Nova Esquerra de l'Eixample",30174,1162,8880,1182,1423,5486,7817,2125,1044,461,594
2,"10. Sant Antoni",20271,4819,5073,618,955,3601,3699,647,490,157,212
3,"11. el Poble Sec - Parc Montjuïc",19189,3301,7495,667,922,2771,2792,364,511,155,211
3,"12. la Marina del Prat Vermell - Zona Franca",798,0,111,23,4,64,22,0,406,0,168
3,"13. la Marina de Port",13154,33,189,41,410,4198,3064,1955,1445,960,859
3,"14. la Font de la Guatlla",4996,69,1002,173,319,908,1499,183,526,117,200
3,"15. Hostafrancs",8205,1282,2051,127,310,875,2000,602,391,182,385
3,"16. la Bordeta",8529,277,879,28,521,2500,2729,673,554,105,263
3,"17. Sants - Badal",11738,120,2128,251,1042,2943,3801,489,408,271,285
3,"18. Sants",21161,2562,5152,373,2137,3751,3899,1317,1139,335,496
4,"19. les Corts",23053,182,1745,537,1976,5845,8382,2649,913,211,613
4,"20. la Maternitat i Sant Ramon",11655,10,569,203,874,3786,4741,784,385,60,243
4,"21. Pedralbes",5957,36,91,222,868,1249,2497,504,138,77,275
5,"22. Vallvidrera, el Tibidabo i les Planes",3487,100,559,285,694,400,409,163,314,202,361
5,"23. Sarrià",12770,747,1185,694,1619,2910,2957,918,872,488,380
5,"24. les Tres Torres",7034,82,607,220,404,1736,2486,507,650,244,98
5,"25. Sant Gervasi - la Bonanova",12704,152,1284,1680,1995,3005,2761,593,398,235,601
5,"26. Sant Gervasi - Galvany",25477,318,4792,2726,3909,7761,4308,1003,296,77,287
5,"27. el Putxet i el Farró",16304,305,1642,1133,1762,4690,4654,1032,603,197,286
6,"28. Vallcarca i els Penitents",9027,86,961,287,1335,2660,1710,750,586,254,398
6,"29. el Coll",3947,23,250,91,372,1377,1025,257,214,86,252
6,"30. la Salut",6992,80,506,259,781,1879,2615,487,151,41,193
6,"31. la Vila de Gràcia",31497,7453,9752,1237,1662,4461,5021,350,715,295,551
6,"32. el Camp d'en Grassot i Gràcia Nova",18448,471,4035,926,1345,4329,5115,824,800,274,329
7,"33. el Baix Guinardó",12488,30,992,385,2896,4035,2794,551,174,395,236
7,"34. Can Baró",4808,0,662,265,783,991,1480,313,153,38,123
7,"35. el Guinardó",18749,28,1454,1081,3200,6658,3635,703,847,328,815
7,"36. la Font d'en Fargues",5296,18,658,179,563,1574,1236,422,360,150,136
7,"37. el Carmel",15472,76,439,201,1935,7694,3499,488,564,232,344
7,"38. la Teixonera",5849,2,95,70,699,2426,1390,324,557,121,165
7,"39. Sant Genís dels Agudells",3561,6,85,137,176,1708,1123,67,94,90,75
7,"40. Montbau",2576,2,9,3,706,1648,107,1,75,0,25
7,"41. la Vall d'Hebron",3808,14,0,0,0,1416,240,240,1813,0,85
7,"42. la Clota",422,94,70,31,46,45,0,0,4,0,132
7,"43. Horta",13620,753,833,618,1447,4706,3142,613,830,321,357
8,"44. Vilapicina i la Torre Llobeta",12219,107,450,121,2783,4139,3086,502,567,249,215
8,"45. Porta",11484,79,123,140,1161,5405,2849,389,404,240,694
8,"46. el Turó de la Peira",6969,36,72,86,4202,1021,741,82,466,96,167
8,"47. Can Peguera",1051,0,650,8,36,0,15,143,0,46,153
8,"48. la Guineueta",6802,0,1,0,3,3910,2580,0,0,308,0
8,"49. Canyelles",2921,0,3,0,0,717,2201,0,0,0,0
8,"50. les Roquetes",7044,1,51,70,1171,3087,2109,133,205,118,99
8,"51. Verdun",5984,13,66,32,844,3455,576,101,489,169,239
8,"52. la Prosperitat",12555,19,187,176,715,7912,2208,518,337,87,396
8,"53. la Trinitat Nova",3554,0,15,0,1236,1795,1,0,0,60,447
8,"54. Torre Baró",1770,2,20,138,460,335,274,42,85,19,395
8,"55. Ciutat Meridiana",3866,0,0,0,52,2564,1250,0,0,0,0
8,"56. Vallbona",850,4,14,35,259,39,52,125,127,178,17
9,"57. la Trinitat Vella",4339,2,106,59,596,1376,1098,147,284,216,455
9,"58. Baró de Viver",1112,0,0,0,0,1,0,245,716,150,0
9,"59. el Bon Pastor",5358,9,548,47,449,1896,677,132,97,1060,443
9,"60. Sant Andreu",28959,1868,2710,313,1644,6988,8327,1792,1948,1511,1858
9,"61. la Sagrera",13489,277,376,51,425,5085,4706,608,582,539,840
9,"62. el Congrés i els Indians",7006,2,469,224,2638,2197,686,224,258,203,105
9,"63. Navas",10270,163,265,579,1238,3589,2616,497,658,101,564
10,"64. el Camp de l'Arpa del Clot",20001,1414,3714,304,1389,5195,5520,718,844,283,620
10,"65. el Clot",12438,834,1818,241,549,2139,3638,1194,1341,396,288
10,"66. el Parc i la Llacuna del Poblenou",7252,453,1107,156,563,1228,1942,401,225,246,931
10,"67. la Vila Olímpica del Poblenou",4653,150,197,11,53,141,130,22,3469,366,114
10,"68. el Poblenou",16655,2143,4220,278,1366,1241,1678,447,1568,1696,2018
10,"69. Diagonal Mar i el Front Marítim del Poblenou",6304,66,75,34,0,1189,0,72,1441,1726,1701
10,"70. el Besòs i el Maresme",9613,15,174,7,3693,3068,1869,30,80,306,371
10,"71. Provençals del Poblenou",9173,155,888,57,379,1826,2054,1532,383,649,1250
10,"72. Sant Martí de Provençals",11715,3,31,0,2978,5216,2383,369,696,39,0
10,"73. la Verneda i la Pau",12776,0,34,44,39,8478,2573,754,304,500,50
