"Canvis de domicili de la població femenina",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Any 2016",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Barri d'alta",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Dte.","Barri de baixa","BARCELONA",1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,"No consta"
,"BARCELONA",,41680,1974,523,468,794,775,1320,1100,1004,1369,917,1279,32,765,249,420,323,525,1021,961,394,269,118,608,457,661,1126,802,420,193,323,1337,858,769,208,960,205,823,402,168,130,129,30,676,673,798,533,39,350,98,524,405,696,271,54,337,42,273,52,301,1223,679,355,508,977,660,426,137,865,294,569,475,597,578,6
,1,"1. el Raval",2223,977,107,29,77,36,39,35,62,48,125,199,0,25,13,12,8,13,29,7,2,4,1,7,5,9,11,13,3,3,9,30,12,15,4,16,1,6,4,1,2,2,0,7,4,4,6,0,1,2,18,8,7,2,2,0,0,8,1,5,11,15,15,6,28,3,7,5,17,3,13,3,11,10,0
,1,"2. el Barri Gòtic",715,78,111,21,62,21,11,26,20,19,31,41,0,10,4,5,5,2,15,9,0,2,0,6,2,3,8,1,5,1,2,22,10,5,4,4,2,4,1,1,4,1,1,6,3,2,1,0,0,0,3,0,7,5,2,3,0,0,4,1,13,4,0,1,6,8,17,9,12,3,9,7,4,5,0
,1,"3. la Barceloneta",595,30,17,168,64,15,14,15,1,14,7,19,0,6,2,3,2,3,11,7,4,0,1,2,0,0,4,4,2,2,1,11,8,6,1,5,0,4,2,1,0,0,0,3,3,3,0,0,1,0,2,3,6,2,0,4,0,1,0,0,6,3,0,2,11,3,10,7,20,9,13,14,5,8,0
,1,"4. Sant Pere, Santa Caterina i la Ribera",920,61,45,34,200,38,25,46,23,23,22,30,0,8,0,4,4,6,14,9,5,0,1,10,2,7,6,11,8,7,1,29,20,10,3,7,2,9,4,0,3,0,0,5,1,5,0,1,0,4,6,5,4,0,0,1,0,2,0,0,9,6,5,4,18,10,31,8,27,7,9,4,6,5,0
,2,"5. el Fort Pienc",871,27,6,7,25,203,49,61,12,18,13,24,0,2,5,8,4,8,12,5,7,3,0,6,1,6,11,9,1,1,4,32,14,28,3,11,1,8,0,4,0,0,0,2,9,7,6,0,1,0,4,2,5,1,0,2,0,3,1,5,13,15,9,9,23,23,34,4,18,4,8,11,4,9,0
,2,"6. la Sagrada Família",1501,40,10,19,16,60,387,45,24,38,25,23,0,9,5,8,6,10,11,8,10,2,1,11,2,6,20,15,7,1,7,35,70,75,9,50,2,19,6,4,0,0,0,12,17,15,7,0,4,0,5,8,4,2,0,1,0,2,0,2,22,17,8,37,120,37,17,6,11,5,9,8,14,15,0
,2,"7. la Dreta de l'Eixample",1196,28,7,6,29,58,51,268,83,29,24,11,0,4,2,4,4,7,17,17,6,10,5,27,11,26,59,33,7,3,2,63,47,28,5,19,7,3,2,3,2,0,0,8,1,8,3,0,3,1,4,3,7,5,0,2,0,1,1,3,10,8,4,3,27,14,14,6,14,10,1,2,12,4,0
,2,"8. l'Antiga Esquerra de l'Eixample",1215,45,18,10,30,17,41,59,282,147,32,20,0,10,4,9,6,8,19,23,13,11,6,22,7,20,55,30,7,0,5,54,22,16,2,9,1,5,1,0,1,1,0,6,5,8,5,0,2,0,2,1,1,2,0,2,0,0,1,3,15,1,2,8,14,10,10,4,14,1,4,15,10,1,0
