"Dte.","Barris","TOTAL","Menys d'1 any","D'1 a 5 anys","De 6 a 15 anys","Més de 15 anys","No consta"
"BARCELONA",,856266,54283,168223,180451,452972,337
1,"1. el Raval",21964,2675,7270,5577,6429,13
1,"2. el Barri Gòtic",7800,1191,2622,1585,2398,4
1,"3. la Barceloneta",7590,866,2068,1341,3312,3
1,"4. Sant Pere, Santa Caterina i la Ribera",11492,1368,3643,2566,3903,12
2,"5. el Fort Pienc",16962,1278,3576,3594,8509,5
2,"6. la Sagrada Família",28014,1979,5745,5483,14798,9
2,"7. la Dreta de l'Eixample",23742,1870,5393,5052,11416,11
2,"8. l'Antiga Esquerra de l'Eixample",22752,1765,5186,4749,11046,6
2,"9. la Nova Esquerra de l'Eixample",31257,2178,6315,6278,16475,11
2,"10. Sant Antoni",20212,1334,4287,4252,10330,9
3,"11. el Poble Sec - AEI Parc Montjuïc",20463,1628,4988,4997,8832,18
3,"12. la Marina del Prat Vermell - AEI Zona Franca",553,28,98,92,335,0
3,"13. la Marina de Port",15896,852,2615,3488,8937,4
3,"14. la Font de la Guatlla",5514,353,1166,1079,2916,0
3,"15. Hostafrancs",8324,623,1969,1719,4009,4
3,"16. la Bordeta",9813,536,1764,1979,5530,4
3,"17. Sants - Badal",12812,851,2553,2693,6714,1
3,"18. Sants",21856,1471,4555,4523,11299,8
4,"19. les Corts",24700,1329,4252,4732,14381,6
4,"20. la Maternitat i Sant Ramon",12779,724,2473,2378,7200,4
4,"21. Pedralbes",6444,442,1399,1480,3117,6
5,"22. Vallvidrera, el Tibidabo i les Planes",2362,102,486,656,1117,1
5,"23. Sarrià",13425,752,2640,3140,6879,14
5,"24. les Tres Torres",8939,457,1660,2134,4685,3
5,"25. Sant Gervasi - la Bonanova",13989,761,2602,3319,7300,7
5,"26. Sant Gervasi - Galvany",26219,1513,5077,5981,13627,21
5,"27. el Putxet i el Farró",16176,893,3117,3672,8485,9
6,"28. Vallcarca i els Penitents",8349,469,1433,1885,4557,5
6,"29. el Coll",3952,220,708,859,2163,2
6,"30. la Salut",7139,366,1217,1394,4160,2
6,"31. la Vila de Gràcia",27742,2020,6689,5873,13142,18
6,"32. el Camp d'en Grassot i Gràcia Nova",18715,1031,3304,3702,10673,5
7,"33. el Baix Guinardó",13891,709,2408,2699,8069,6
7,"34. Can Baró",4792,268,874,921,2727,2
7,"35. el Guinardó",19476,1105,3468,3970,10928,5
7,"36. la Font d'en Fargues",4925,161,590,953,3220,1
7,"37. el Carmel",16485,829,2590,3438,9625,3
7,"38. la Teixonera",6016,355,927,1222,3508,4
7,"39. Sant Genís dels Agudells",3716,206,595,754,2160,1
7,"40. Montbau",2859,150,450,493,1766,0
7,"41. la Vall d'Hebron",3048,129,420,563,1933,3
7,"42. la Clota",297,14,44,65,174,0
7,"43. Horta",14189,674,2107,2624,8780,4
8,"44. Vilapicina i la Torre Llobeta",13829,673,2181,2698,8272,5
8,"45. Porta",13386,787,2278,2666,7655,0
8,"46. el Turó de la Peira",8333,519,1771,1867,4173,3
8,"47. Can Peguera",1177,46,138,217,775,1
8,"48. la Guineueta",8196,351,1159,1441,5245,0
8,"49. Canyelles",3581,92,377,569,2543,0
8,"50. les Roquetes",8104,596,1704,1747,4056,1
8,"51. Verdun",6614,428,1262,1354,3568,2
8,"52. la Prosperitat",14006,790,2269,2783,8163,1
8,"53. la Trinitat Nova",3813,228,734,884,1966,1
8,"54. Torre Baró",1444,91,308,409,636,0
8,"55. Ciutat Meridiana",5267,449,1321,1269,2228,0
8,"56. Vallbona",701,47,155,181,318,0
9,"57. la Trinitat Vella",4847,332,1128,1281,2106,0
9,"58. Baró de Viver",1306,69,258,309,670,0
9,"59. el Bon Pastor",6320,321,1145,1549,3305,0
9,"60. Sant Andreu",30242,1204,4362,6005,18663,8
9,"61. la Sagrera",15445,801,2572,3061,9011,0
9,"62. el Congrés i els Indians",7657,392,1244,1604,4416,1
9,"63. Navas",11793,599,1922,2374,6895,3
10,"64. el Camp de l'Arpa del Clot",20428,1222,3758,4206,11229,13
10,"65. el Clot",14128,746,2372,2898,8110,2
10,"66. el Parc i la Llacuna del Poblenou",7850,502,1698,1700,3949,1
10,"67. la Vila Olímpica del Poblenou",4795,246,922,1173,2447,7
10,"68. el Poblenou",17440,1028,3524,4223,8647,18
10,"69. Diagonal Mar i el Front Marítim del Poblenou",6974,473,1503,1939,3054,5
10,"70. el Besòs i el Maresme",11322,911,2421,2359,5629,2
10,"71. Provençals del Poblenou",10681,514,1981,2239,5943,4
10,"72. Sant Martí de Provençals",13861,649,2131,2658,8421,2
10,"73. la Verneda i la Pau",15086,652,2282,2834,9315,3
