"Dte.","Barris","Compravendes: Total","Compravendes: Habitatge
 nou lliure","Compravendes: Habitatge nou
 protegit","Compravendes: Habitatge
usat","Superfície mitjana (m2 construïts): Total","Superfície mitjana (m2 construïts): Habitatge
 nou lliure","Superfície mitjana (m2 construïts): Habitatge nou
 protegit","Superfície mitjana (m2 construïts): Habitatge
usat","Preu total (milers d'euros): Total","Preu total (milers d'euros): Habitatge
 nou","Preu total (milers d'euros): Habitatge
 usat","Preu €/m2 construït: Total","Preu €/m2 construït: Habitatge
 nou","Preu €/m2 construït: Habitatge
 usat"
"BARCELONA",,14266,1101,95,13070,"80,3","86,2","69,7","79,9","290,9","351,4","283,8","3238,2","3849,7","3166,6"
1,"1. el Raval",593,2,"-",591,60,"59,5","-",60,181,"-","180,7","2805,2","-","2798,6"
1,"2. el Barri Gòtic",375,118,"-",257,"94,5",89,"-","97,3","422,8","409,2",430,"4149,4","4700,7","3862,5"
1,"3. la Barceloneta",282,35,"-",247,49,"62,7","-","47,3","212,2","409,5","186,4","4151,9","4477,2","4109,5"
1,"4. Sant Pere, Santa Caterina i la Ribera",385,18,"-",367,"76,6","94,7","-","75,7","293,1","473,7",284,"3646,5","4753,5","3590,4"
2,"5. el Fort Pienc",276,23,"-",253,"95,4","88,7","-","96,1","356,1","611,3","326,8","3762,4","6724,9","3421,7"
2,"6. la Sagrada Família",80,"-","-",80,"72,5","-","-","72,5","205,9","-","205,9","2785,8","-","2785,8"
2,"7. la Dreta de l'Eixample",452,40,10,402,"105,3","82,8","66,7","108,2","398,4",255,"412,3","3511,3","2844,6","3576,3"
2,"8. l'Antiga Esquerra de l'Eixample",291,23,"-",268,"87,7","78,3","-","88,6","374,3","316,7","381,9","3923,1",4186,"3888,6"
2,"9. la Nova Esquerra de l'Eixample",242,6,1,235,"80,1","91,8",68,"79,8","266,4","459,7","259,1","3282,6","5006,7","3217,6"
2,"10. Sant Antoni",221,"-","-",221,"79,5","-","-","79,5","264,2","-","264,2","3024,7","-","3024,7"
3,"11. el Poble Sec - AEI Parc Montjuïc",432,2,"-",430,"62,8","59,5","-","62,8","155,2","-","155,7",2524,"-","2528,3"
3,"12. la Marina del Prat Vermell - AEI Zona Franca",11,"-",5,6,"71,9","-",70,"73,8","79,3","-","79,3","1088,7","-","1088,7"
3,"13. la Marina de Port",190,"-",1,189,"77,6","-",99,"77,5","151,1","-","151,1","2098,2","-","2098,2"
3,"14. la Font de la Guatlla",55,"-","-",55,"75,7","-","-","75,7","173,8","-","173,8","2398,5","-","2398,5"
3,"15. Hostafrancs",115,3,1,111,"77,6",52,109,"78,1","199,1","119,7","201,7",2474,"2356,2","2477,9"
