"Dte.","Barris","TOTAL","0-4 
anys","5-9 
anys","10-14 
anys","15-19 
anys","20-24 
anys","25-29 
anys","30-34 
anys","35-39 
anys","40-44 
anys","45-49 
anys","50-54 
anys","55-59 
anys","60-64 
anys","65-69
anys","70-74
anys","75-79
anys","80-84
anys","85-89
anys","90-94
anys","95-99
anys","100 anys 
i més"
"BARCELONA",,15238,761,664,617,657,1020,1838,2255,2120,1639,1185,844,585,420,229,137,78,62,79,34,11,3
1,"1. el Raval",1415,76,46,30,49,111,201,222,219,148,132,85,39,24,16,8,3,0,4,2,0,0
1,"2. el Barri Gòtic",452,16,10,21,13,30,55,80,58,55,29,29,22,18,6,5,3,1,1,0,0,0
1,"3. la Barceloneta",221,7,4,8,4,15,41,42,26,30,12,14,11,5,0,1,1,0,0,0,0,0
1,"4. Sant Pere, Santa Caterina i la Ribera",372,19,12,9,9,21,61,67,69,35,16,21,13,10,4,5,1,0,0,0,0,0
2,"5. el Fort Pienc",394,15,14,12,17,25,54,43,69,53,31,20,16,12,3,5,2,1,2,0,0,0
2,"6. la Sagrada Família",423,18,18,10,16,33,40,80,56,42,34,30,23,8,6,2,2,2,3,0,0,0
2,"7. la Dreta de l'Eixample",362,20,16,12,9,13,46,69,54,47,22,17,9,12,3,1,2,4,1,4,1,0
2,"8. l'Antiga Esquerra de l'Eixample",330,11,5,7,11,23,54,57,41,30,24,15,17,13,4,7,2,4,3,1,1,0
2,"9. la Nova Esquerra de l'Eixample",475,19,24,17,13,23,64,82,60,57,39,21,19,16,7,5,4,2,1,1,1,0
2,"10. Sant Antoni",401,15,13,16,15,33,56,71,54,42,43,21,12,3,5,0,0,1,1,0,0,0
3,"11. el Poble Sec - AEI Parc Montjuïc",671,30,17,20,22,63,88,109,104,73,53,37,30,14,5,2,0,2,1,0,1,0
3,"12. la Marina del Prat Vermell - AEI Zona Franca",12,1,1,1,2,0,1,1,3,0,1,0,0,0,0,0,0,1,0,0,0,0
3,"13. la Marina de Port",266,15,16,12,15,21,27,33,39,22,18,14,10,8,8,5,1,0,1,1,0,0
3,"14. la Font de la Guatlla",98,5,4,3,5,3,11,19,12,16,5,7,2,4,1,0,1,0,0,0,0,0
3,"15. Hostafrancs",149,5,8,2,9,15,23,25,12,23,12,5,3,2,3,2,0,0,0,0,0,0
3,"16. la Bordeta",120,5,6,5,4,11,16,17,18,11,11,7,2,2,2,1,2,0,0,0,0,0
3,"17. Sants - Badal",221,13,8,14,10,18,22,35,27,32,10,12,12,4,0,3,1,0,0,0,0,0
3,"18. Sants",445,18,28,14,25,18,55,66,58,42,36,24,21,16,9,3,5,3,4,0,0,0
4,"19. les Corts",263,16,10,10,13,12,30,41,32,21,15,12,16,8,6,11,3,2,3,1,1,0
4,"20. la Maternitat i Sant Ramon",124,5,5,5,5,10,15,19,13,16,10,8,5,3,1,3,0,1,0,0,0,0
4,"21. Pedralbes",72,4,10,5,4,3,6,6,5,7,5,5,5,3,1,0,1,0,1,1,0,0
5,"22. Vallvidrera, el Tibidabo i les Planes",27,1,0,0,1,2,1,4,6,2,3,1,1,2,1,1,0,1,0,0,0,0
5,"23. Sarrià",169,15,16,16,8,6,10,13,15,17,18,9,7,7,3,1,3,1,3,0,0,1
5,"24. les Tres Torres",85,6,9,5,8,3,5,5,8,10,11,3,2,5,0,1,1,2,1,0,0,0
5,"25. Sant Gervasi - la Bonanova",182,4,15,13,10,16,18,16,12,23,15,17,3,6,2,5,1,1,1,4,0,0
5,"26. Sant Gervasi - Galvany",278,21,15,19,15,16,16,41,28,25,19,16,10,13,6,3,4,3,5,3,0,0
5,"27. el Putxet i el Farró",186,8,9,3,12,6,19,25,38,20,15,5,8,3,7,2,1,3,0,1,1,0
6,"28. Vallcarca i els Penitents",95,1,4,2,6,2,14,9,20,10,10,3,4,3,4,0,0,1,1,1,0,0
6,"29. el Coll",55,4,2,2,0,4,6,12,15,3,2,2,2,0,0,0,0,1,0,0,0,0
6,"30. la Salut",71,2,1,8,1,3,12,9,11,3,4,5,4,2,3,1,1,1,0,0,0,0
6,"31. la Vila de Gràcia",424,20,10,11,11,26,65,86,63,42,25,16,15,12,12,5,1,0,1,2,1,0
6,"32. el Camp d'en Grassot i Gràcia Nova",224,14,6,8,11,16,31,37,31,20,19,5,5,5,6,1,4,2,3,0,0,0
7,"33. el Baix Guinardó",169,4,7,7,5,12,23,22,25,18,10,9,5,6,7,2,0,2,3,2,0,0
7,"34. Can Baró",75,7,1,5,3,5,7,13,13,7,1,3,3,4,0,0,0,0,2,0,0,1
7,"35. el Guinardó",289,9,16,18,20,31,35,29,39,30,17,12,12,5,8,5,0,2,1,0,0,0
7,"36. la Font d'en Fargues",60,1,8,2,2,1,3,6,4,9,10,4,3,3,0,1,2,0,1,0,0,0
7,"37. el Carmel",287,18,16,12,11,19,44,35,36,34,14,14,10,11,3,1,2,1,4,1,1,0
7,"38. la Teixonera",97,4,3,8,4,7,12,10,12,10,10,6,6,3,0,1,0,0,1,0,0,0
7,"39. Sant Genís dels Agudells",51,1,0,5,5,5,1,4,7,5,5,5,5,3,0,0,0,0,0,0,0,0
7,"40. Montbau",35,1,3,1,2,3,5,1,5,3,3,2,5,0,1,0,0,0,0,0,0,0
7,"41. la Vall d'Hebron",32,0,0,0,1,4,2,3,6,6,3,0,1,0,1,1,0,2,1,1,0,0
7,"42. la Clota",2,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
7,"43. Horta",210,15,7,13,21,16,17,21,23,18,17,14,5,7,7,3,0,1,3,2,0,0
8,"44. Vilapicina i la Torre Llobeta",193,9,2,8,7,16,20,25,30,17,18,15,13,9,0,2,1,0,0,1,0,0
8,"45. Porta",247,17,16,10,15,10,20,29,38,31,16,19,13,6,3,3,0,0,1,0,0,0
8,"46. el Turó de la Peira",217,11,10,13,23,22,20,24,15,27,18,12,9,7,3,1,1,1,0,0,0,0
8,"47. Can Peguera",14,0,0,1,0,2,1,4,1,2,0,1,0,0,0,1,0,1,0,0,0,0
8,"48. la Guineueta",81,5,3,5,5,7,11,11,8,8,4,7,3,1,0,1,0,0,1,0,1,0
8,"49. Canyelles",21,3,1,0,1,1,4,1,1,1,1,1,0,1,1,0,2,1,1,0,0,0
8,"50. les Roquetes",193,7,17,13,11,14,13,31,30,21,15,4,5,5,1,2,1,1,2,0,0,0
8,"51. Verdun",139,8,8,10,4,9,21,19,16,14,13,8,4,1,3,1,0,0,0,0,0,0
8,"52. la Prosperitat",232,17,8,9,9,14,32,20,41,29,17,13,4,8,4,3,1,0,3,0,0,0
8,"53. la Trinitat Nova",76,5,4,5,4,7,11,6,11,13,5,0,0,1,1,1,1,0,1,0,0,0
8,"54. Torre Baró",24,0,0,1,1,1,4,4,4,4,1,0,1,1,1,1,0,0,0,0,0,0
8,"55. Ciutat Meridiana",224,14,17,11,11,31,25,24,24,27,16,7,5,6,2,1,2,0,0,1,0,0
8,"56. Vallbona",29,1,1,2,1,6,3,5,4,3,0,1,0,1,0,0,0,0,1,0,0,0
9,"57. la Trinitat Vella",172,10,4,9,3,11,23,27,26,20,17,13,6,2,1,0,0,0,0,0,0,0
9,"58. Baró de Viver",20,2,3,3,2,4,1,0,2,2,1,0,0,0,0,0,0,0,0,0,0,0
9,"59. el Bon Pastor",136,8,9,13,11,6,8,11,12,14,16,9,8,6,1,2,0,1,1,0,0,0
9,"60. Sant Andreu",238,20,9,4,13,11,23,36,38,20,13,16,9,8,9,2,3,1,1,2,0,0
9,"61. la Sagrera",231,18,8,8,5,11,27,26,36,27,22,20,7,9,1,0,2,1,1,1,0,1
9,"62. el Congrés i els Indians",107,3,4,2,3,6,16,22,11,12,9,10,4,1,0,1,1,2,0,0,0,0
9,"63. Navas",189,8,10,10,6,13,21,29,21,21,18,12,8,8,1,0,2,0,1,0,0,0
10,"64. el Camp de l'Arpa del Clot",295,18,10,9,14,15,40,47,36,37,24,19,9,6,6,2,1,1,1,0,0,0
10,"65. el Clot",192,8,16,11,7,12,24,21,24,23,18,11,9,5,3,0,0,0,0,0,0,0
10,"66. el Parc i la Llacuna del Poblenou",130,11,1,3,3,11,20,15,26,9,8,5,9,3,1,1,1,0,2,1,0,0
10,"67. la Vila Olímpica del Poblenou",53,4,1,2,1,2,2,11,17,1,6,0,2,3,1,0,0,0,0,0,0,0
10,"68. el Poblenou",262,13,20,9,8,10,27,51,50,21,20,11,2,6,4,3,3,0,2,0,2,0
10,"69. Diagonal Mar i el Front Marítim del Poblenou",120,7,9,4,9,5,8,20,14,12,14,9,4,0,2,1,0,1,1,0,0,0
10,"70. el Besòs i el Maresme",498,27,26,27,21,28,37,73,76,51,44,35,29,13,8,2,0,1,0,0,0,0
10,"71. Provençals del Poblenou",148,7,10,6,5,12,20,20,21,14,13,6,5,3,3,2,0,1,0,0,0,0
10,"72. Sant Martí de Provençals",168,6,4,4,13,14,11,28,23,22,10,11,7,8,5,0,1,0,1,0,0,0
10,"73. la Verneda i la Pau",199,5,10,14,14,5,32,29,18,19,19,14,6,7,3,1,1,1,1,0,0,0
