"Immigrants per edats quinquennals",,,,,,,,,,,,,,,,,,,,,,,,,
"Any 2016",,,,,,,,,,,,,,,,,,,,,,,,,
,"Dte.",,"Barris","TOTAL","0-4 
anys","5-9 
anys","10-14 
anys","15-19 
anys","20-24 
anys","25-29 
anys","30-34 
anys","35-39 
anys","40-44 
anys","45-49 
anys","50-54 
anys","55-59 
anys","60-64 
anys","65-69
anys","70-74
anys","75-79
anys","80-84
anys","85-89
anys","90-94
anys","95-99
anys","100 anys 
i més"
,"BARCELONA",,,85172,3775,2651,2655,4145,10906,17672,13504,9237,6034,4026,2998,2187,1613,1271,814,599,489,367,177,46,6
,1,,"1. el Raval",4976,210,139,121,238,767,1190,864,496,322,213,132,96,84,55,28,10,7,1,1,2,0
,1,,"2. el Barri Gòtic",2198,57,44,36,89,414,642,345,215,118,68,55,41,32,21,10,5,3,2,1,0,0
,1,,"3. la Barceloneta",1548,40,19,22,50,241,460,306,151,90,47,33,29,29,10,13,2,3,2,0,1,0
,1,,"4. Sant Pere, Santa Caterina i la Ribera",2377,55,40,39,153,370,649,443,264,144,71,51,36,26,11,12,7,3,1,2,0,0
,2,,"5. el Fort Pienc",1994,67,44,31,71,300,506,325,221,111,81,67,55,32,20,24,18,10,5,5,1,0
,2,,"6. la Sagrada Família",3155,102,80,65,133,461,766,521,340,195,131,101,68,57,42,35,14,9,23,10,1,1
,2,,"7. la Dreta de l'Eixample",2943,108,63,78,102,449,664,438,305,192,133,118,73,61,54,34,15,27,18,10,1,0
,2,,"8. l'Antiga Esquerra de l'Eixample",2911,108,50,44,94,450,773,533,297,166,109,78,60,45,40,22,9,19,8,5,1,0
,2,,"9. la Nova Esquerra de l'Eixample",3486,106,69,88,118,500,910,590,349,231,128,105,87,56,55,31,22,16,18,5,2,0
,2,,"10. Sant Antoni",2146,84,40,46,88,311,538,389,205,139,78,74,51,37,25,11,12,9,6,1,1,1
,3,,"11. el Poble Sec - AEI Parc Montjuïc",2729,93,78,78,166,341,572,490,323,176,122,94,75,35,40,14,11,13,8,0,0,0
,3,,"12. la Marina del Prat Vermell - AEI Zona Franca",35,1,1,3,3,6,7,8,2,2,1,1,0,0,0,0,0,0,0,0,0,0
,3,,"13. la Marina de Port",1301,89,50,46,86,144,204,164,131,113,78,59,37,27,19,15,11,12,9,6,1,0
,3,,"14. la Font de la Guatlla",600,22,14,10,19,97,125,95,82,38,33,12,11,15,7,6,5,5,3,1,0,0
,3,,"15. Hostafrancs",1023,35,28,31,41,132,231,186,116,73,56,26,20,13,14,12,3,2,2,1,1,0
,3,,"16. la Bordeta",887,42,35,30,34,109,157,119,110,80,37,29,35,29,20,13,1,4,1,1,1,0
,3,,"17. Sants - Badal",1366,55,49,52,63,199,270,194,158,102,58,39,29,24,20,17,15,3,13,6,0,0
,3,,"18. Sants",2322,96,58,69,115,294,488,390,266,161,107,87,56,39,36,19,17,10,10,4,0,0
,4,,"19. les Corts",2047,124,62,63,95,201,404,340,242,149,101,59,47,47,34,20,14,23,13,7,1,1
,4,,"20. la Maternitat i Sant Ramon",1210,69,40,40,46,139,244,182,124,75,63,45,37,28,27,17,12,9,11,2,0,0
,4,,"21. Pedralbes",735,45,58,58,50,51,85,80,81,70,45,36,32,13,13,4,5,6,2,0,1,0
,5,,"22. Vallvidrera, el Tibidabo i les Planes",150,15,4,4,7,14,13,23,19,16,6,7,9,10,2,1,0,0,0,0,0,0
,5,,"23. Sarrià",1131,93,74,64,90,93,110,142,123,106,72,50,37,17,18,9,9,6,11,6,1,0
,5,,"24. les Tres Torres",612,42,35,32,38,80,63,74,51,68,37,32,18,12,11,9,2,4,1,3,0,0
,5,,"25. Sant Gervasi - la Bonanova",1123,65,49,92,89,113,164,118,107,91,49,46,23,20,25,16,14,17,15,8,2,0
,5,,"26. Sant Gervasi - Galvany",2269,130,97,138,141,208,362,282,226,184,148,122,60,49,38,23,26,18,8,8,1,0
,5,,"27. el Putxet i el Farró",1271,63,55,38,42,149,240,219,132,91,62,47,28,33,25,14,13,8,9,2,1,0
,6,,"28. Vallcarca i els Penitents",679,24,27,24,40,69,118,112,72,53,37,27,27,13,11,10,3,5,3,2,2,0
,6,,"29. el Coll",332,14,15,16,20,45,57,33,36,31,19,9,10,8,9,5,3,2,0,0,0,0
,6,,"30. la Salut",609,21,13,13,60,69,127,99,63,26,20,18,18,10,14,9,11,10,5,3,0,0
,6,,"31. la Vila de Gràcia",3055,90,52,48,89,405,836,630,327,169,103,85,69,48,32,23,17,21,7,4,0,0
,6,,"32. el Camp d'en Grassot i Gràcia Nova",1505,52,34,37,41,195,380,270,161,95,65,39,19,37,26,21,10,11,5,5,1,1
,7,,"33. el Baix Guinardó",1060,43,27,16,35,121,255,166,117,66,47,29,36,24,19,16,9,14,13,4,3,0
,7,,"34. Can Baró",374,16,9,9,21,44,73,46,52,31,22,14,8,6,5,7,7,2,1,1,0,0
,7,,"35. el Guinardó",1626,77,60,48,70,194,322,253,176,122,96,57,46,27,22,13,19,13,6,4,1,0
,7,,"36. la Font d'en Fargues",202,11,8,4,7,14,36,26,21,21,11,6,8,9,5,2,3,3,6,1,0,0
,7,,"37. el Carmel",1153,52,35,50,62,147,218,174,106,99,54,54,26,23,23,10,4,5,7,3,1,0
,7,,"38. la Teixonera",536,29,25,21,28,70,104,82,55,38,21,19,14,5,3,8,6,3,2,3,0,0
,7,,"39. Sant Genís dels Agudells",347,23,12,23,41,34,44,43,41,17,19,12,11,6,4,6,2,6,2,0,1,0
,7,,"40. Montbau",231,9,12,5,13,21,49,39,28,9,6,7,5,8,3,7,1,3,4,2,0,0
,7,,"41. la Vall d'Hebron",211,14,7,6,8,21,25,31,29,13,14,9,4,10,6,5,4,2,0,3,0,0
,7,,"42. la Clota",23,1,1,0,0,3,4,1,5,5,0,1,0,1,0,1,0,0,0,0,0,0
,7,,"43. Horta",969,43,40,38,63,83,223,133,97,70,49,45,24,18,10,5,12,7,6,3,0,0
,8,,"44. Vilapicina i la Torre Llobeta",956,43,46,49,52,106,160,123,102,77,43,40,34,18,22,11,12,5,6,7,0,0
,8,,"45. Porta",1166,70,47,61,79,138,154,143,135,108,71,46,39,27,15,11,12,3,4,3,0,0
,8,,"46. el Turó de la Peira",717,47,28,33,59,77,129,85,72,37,40,32,26,19,15,9,6,2,1,0,0,0
,8,,"47. Can Peguera",68,4,3,5,9,3,7,5,5,5,2,6,5,2,2,1,3,1,0,0,0,0
,8,,"48. la Guineueta",464,28,24,19,31,48,68,46,56,51,31,17,10,8,4,8,5,3,4,3,0,0
,8,,"49. Canyelles",129,11,7,5,1,12,14,16,25,10,4,7,4,5,2,2,1,2,1,0,0,0
,8,,"50. les Roquetes",852,44,40,56,48,107,137,117,92,63,47,25,26,16,17,6,5,4,1,0,1,0
,8,,"51. Verdun",576,25,24,30,32,69,81,91,71,38,28,27,23,8,10,7,6,2,2,1,1,0
,8,,"52. la Prosperitat",1099,56,43,43,67,150,192,144,119,74,62,48,28,14,18,14,8,8,9,1,1,0
,8,,"53. la Trinitat Nova",345,18,11,11,21,40,59,51,37,31,15,14,14,8,9,2,2,2,0,0,0,0
,8,,"54. Torre Baró",125,7,6,6,7,16,13,18,17,10,10,10,3,1,1,0,0,0,0,0,0,0
,8,,"55. Ciutat Meridiana",626,46,26,28,67,75,72,88,64,57,31,30,16,9,4,5,4,2,1,0,1,0
,8,,"56. Vallbona",65,7,5,3,2,5,6,12,8,2,3,0,3,2,0,1,1,2,1,0,2,0
,9,,"57. la Trinitat Vella",545,34,29,26,33,60,82,62,61,54,39,28,13,10,5,2,3,3,0,1,0,0
,9,,"58. Baró de Viver",84,5,3,5,3,12,14,11,4,8,10,4,3,1,1,0,0,0,0,0,0,0
,9,,"59. el Bon Pastor",484,39,27,22,25,51,66,60,53,43,33,18,19,9,7,5,1,6,0,0,0,0
,9,,"60. Sant Andreu",1750,109,52,39,79,186,278,265,193,134,96,72,66,40,48,19,35,21,7,7,3,1
,9,,"61. la Sagrera",1179,71,38,44,61,146,202,166,142,86,61,46,28,29,20,12,9,6,10,2,0,0
,9,,"62. el Congrés i els Indians",550,14,15,20,28,69,95,82,71,38,33,25,18,12,9,10,6,5,0,0,0,0
,9,,"63. Navas",913,48,29,43,44,98,156,144,94,70,49,40,32,18,21,11,9,4,2,1,0,0
,10,,"64. el Camp de l'Arpa del Clot",1894,54,57,43,59,269,409,329,207,146,92,64,50,41,27,16,13,8,5,3,2,0
,10,,"65. el Clot",1159,46,27,24,44,147,229,209,132,72,58,46,29,30,19,17,10,4,9,5,1,1
,10,,"66. el Parc i la Llacuna del Poblenou",856,32,19,17,51,163,179,133,95,59,39,15,17,12,9,3,5,4,4,0,0,0
,10,,"67. la Vila Olímpica del Poblenou",391,27,14,12,19,35,60,53,60,37,17,15,15,8,6,3,2,4,3,1,0,0
,10,,"68. el Poblenou",1620,88,55,42,49,151,314,311,224,146,80,49,28,22,25,11,11,3,6,4,1,0
,10,,"69. Diagonal Mar i el Front Marítim del Poblenou",669,59,36,17,22,36,83,100,91,72,45,31,25,9,19,9,9,2,4,0,0,0
,10,,"70. el Besòs i el Maresme",1575,97,89,76,90,164,248,227,180,126,94,69,36,31,22,11,7,4,2,0,2,0
,10,,"71. Provençals del Poblenou",805,42,25,25,42,70,132,131,107,66,43,40,31,19,10,5,6,4,5,1,1,0
,10,,"72. Sant Martí de Provençals",1037,25,36,29,106,134,165,143,98,57,51,50,37,36,17,14,13,15,9,2,0,0
,10,,"73. la Verneda i la Pau",1007,44,37,44,56,101,160,141,99,89,79,48,34,24,13,12,12,7,4,2,1,0
,,,"No consta",9,0,1,2,0,0,0,0,1,0,3,0,0,2,0,0,0,0,0,0,0,0
