"Dte.","Barris","TOTAL","0-4
anys ","5-9
anys","10-14
anys","15-19
anys","20-24
anys","25-29
anys","30-34
anys","35-39
anys","40-44
anys","45-49
anys","50-54
anys","55-59
anys","60-64
anys","65-69
anys","70-74
anys","75-79
anys","80-84
anys","85-89
anys","90-94
anys","95-99
anys","100 anys
i més"
"BARCELONA",,15183,7,8,4,8,13,22,37,59,103,147,290,407,580,798,1077,1435,2519,3299,2965,1149,256
1,"1. el Raval",297,0,0,0,1,0,0,2,3,3,8,13,8,15,16,23,42,44,49,43,22,5
1,"2. el Barri Gòtic",113,0,0,0,0,0,1,2,0,0,4,2,5,3,11,6,10,13,24,21,8,3
1,"3. la Barceloneta",188,0,0,0,0,1,1,0,2,4,1,4,8,10,8,18,7,46,34,29,11,4
1,"4. Sant Pere, Santa Caterina i la Ribera",194,0,0,0,0,0,2,2,1,3,3,1,10,16,10,16,12,18,54,31,13,2
2,"5. el Fort Pienc",333,0,0,0,0,2,1,0,1,3,2,7,14,19,14,23,29,55,66,67,25,5
2,"6. la Sagrada Família",513,2,0,0,0,0,0,3,2,5,2,9,6,15,20,27,43,72,131,117,48,11
2,"7. la Dreta de l'Eixample",488,0,0,0,0,0,1,0,0,3,5,3,9,18,38,34,37,76,98,106,52,8
2,"8. l'Antiga Esquerra de l'Eixample",432,1,0,0,0,1,0,0,1,4,2,7,10,16,16,32,48,61,94,90,43,6
2,"9. la Nova Esquerra de l'Eixample",537,0,0,0,0,1,0,1,1,4,6,7,12,24,27,41,46,75,114,125,38,15
2,"10. Sant Antoni",357,0,0,0,0,0,0,0,1,3,1,7,7,17,9,22,27,51,78,89,39,6
3,"11. el Poble Sec - AEI Parc Montjuïc",339,0,0,0,0,0,2,3,0,0,3,7,9,8,29,29,32,62,70,62,19,4
3,"12. la Marina del Prat Vermell - AEI Zona Franca",16,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,2,4,4,4,0,0
3,"13. la Marina de Port",253,0,0,0,0,0,0,1,0,2,3,1,4,18,16,20,35,50,58,36,8,1
3,"14. la Font de la Guatlla",105,0,0,0,0,0,0,0,1,0,0,1,4,3,6,9,6,18,23,22,10,2
3,"15. Hostafrancs",135,0,0,0,0,0,0,0,1,2,3,3,5,6,12,8,8,22,29,24,10,2
