"Nacionalitats","BARCELONA","1. el Raval","2. el Barri 
Gòtic","3. la Barceloneta","4. Sant Pere, 
Santa Caterina 
i la Ribera","5. el Fort
Pienc","6. la Sagrada 
Família","7. la Dreta 
de l'Eixample","8. l'Antiga Esquerra 
de l'Eixample","9. la Nova Esquerra 
de l'Eixample","10. Sant Antoni","11. el Poble Sec -
AEI Parc Montjuïc","12. la Marina del Prat 
Vermell - AEI Zona Franca","13. la Marina 
de Port","14. la Font 
de la Guatlla","15. Hostafrancs","16. la Bordeta","17. Sants -
Badal","18. Sants","19. les Corts","20. la Maternitat 
i Sant Ramon","21. Pedralbes","22. Vallvidrera, 
el Tibidabo i
les Planes","23. Sarrià","24. les Tres Torres","25. Sant Gervasi -
la Bonanova","26. Sant Gervasi - 
Galvany","27. el Putxet
i el Farró","28. Vallcarca
i els Penitents","29. el Coll","30. la Salut","31. la Vila 
de Gràcia","32. el Camp d'en 
Grassot i Gràcia Nova","33. el Baix Guinardó","34. Can Baró","35. el Guinardó","36. la Font 
d'en Fargues","37. el Carmel","38. la Teixonera","39. Sant Genís
dels Agudells","40. Montbau","41. la Vall 
d'Hebron","42. la Clota","43. Horta","44. Vilapicina i 
la Torre Llobeta","45. Porta","46. el Turó 
de la Peira","47. Can Peguera","48. la Guineueta","49. Canyelles","50. les Roquetes","51. Verdun","52. la Prosperitat","53. la Trinitat Nova","54. Torre Baró","55. Ciutat 
Meridiana","56. Vallbona","57. la Trinitat Vella","58. Baró de Viver","59. el Bon Pastor","60. Sant Andreu","61. la Sagrera","62. el Congrés
i els Indians","63. Navas","64. el Camp de 
l'Arpa del Clot","65. el Clot","66. el Parc i la Llacuna
 del Poblenou","67. la Vila Olímpica 
del Poblenou","68. el Poblenou","69. Diagonal Mar i 
el Front Marítim 
del Poblenou","70. el Besòs i 
el Maresme","71. Provençals 
del Poblenou","72. Sant Martí 
de Provençals","73. la Verneda 
i la Pau","No consta"
"TOTAL",15238,1415,452,221,372,394,423,362,330,475,401,671,12,266,98,149,120,221,445,263,124,72,27,169,85,182,278,186,95,55,71,424,224,169,75,289,60,287,97,51,35,32,2,210,193,247,217,14,81,21,193,139,232,76,24,224,29,172,20,136,238,231,107,189,295,192,130,53,262,120,498,148,168,199,1
"Espanya",5646,268,112,69,98,115,148,131,117,166,113,162,11,108,30,40,34,73,191,128,59,32,14,88,57,115,175,93,51,27,43,162,98,80,27,125,39,132,32,20,16,14,1,107,78,99,84,11,38,10,83,50,85,29,11,84,19,40,8,74,137,106,42,70,110,98,40,19,100,48,151,63,67,71,0
"Pakistan",1324,337,77,30,22,13,23,5,8,5,35,114,0,25,14,20,8,18,32,7,3,2,0,1,0,1,4,6,3,4,2,9,2,2,5,8,0,26,7,1,3,0,0,1,8,10,36,0,3,0,5,3,17,11,0,25,1,39,1,11,4,8,1,12,32,6,2,0,17,1,167,9,6,6,0
"Xina",757,12,9,2,17,61,46,24,20,48,43,22,0,21,10,8,14,14,8,27,5,0,0,3,3,6,13,2,1,0,0,9,16,4,3,5,2,3,3,2,0,1,0,1,11,7,1,0,2,0,0,6,22,0,0,0,1,2,0,3,7,11,14,27,17,14,15,0,10,15,13,14,29,28,0
"Itàlia",542,31,35,20,32,27,12,21,23,23,15,31,0,3,5,3,4,0,14,6,2,4,2,6,3,5,16,6,2,2,1,34,13,3,5,14,1,1,4,4,1,0,0,6,7,0,0,0,1,1,1,2,2,1,0,1,0,4,0,0,4,5,2,7,10,2,9,7,13,8,1,7,2,4,1
"Marroc, el",522,66,25,9,23,15,14,6,6,11,5,30,0,12,1,11,2,6,28,6,1,0,1,4,0,3,2,3,1,1,3,9,2,2,0,5,0,13,2,0,1,1,0,15,4,9,4,1,6,0,10,8,7,9,1,8,0,23,0,8,6,3,3,1,8,7,10,1,8,1,22,4,3,2,0
"Bolívia",405,17,12,2,6,11,17,2,5,7,11,13,0,2,2,1,6,19,18,3,6,0,2,2,0,2,1,11,1,3,1,9,8,10,3,11,3,19,6,1,2,1,1,8,8,15,20,0,1,0,5,4,11,1,0,1,0,0,2,4,10,6,8,6,16,3,0,0,3,2,2,0,7,5,0
"França",321,24,10,6,9,16,12,23,13,11,12,27,0,0,1,4,2,0,11,4,3,12,1,11,0,6,14,9,4,2,4,19,2,2,1,3,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,2,3,0,1,4,3,4,2,12,3,0,1,1,1,0
"Filipines",320,155,14,2,12,1,2,2,6,12,29,37,0,14,0,2,3,3,0,1,0,0,0,2,0,1,4,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,2,3,2,0,0,0,0,1,0,0,1,0
"Hondures",319,8,2,1,2,6,8,4,4,11,1,7,0,8,0,7,1,3,2,5,1,0,0,3,2,1,1,3,1,0,0,1,1,0,1,5,0,10,1,3,2,1,0,8,9,19,8,1,3,1,37,24,22,0,3,19,0,8,0,9,3,6,2,4,4,3,1,0,0,0,3,2,1,2,0
