"Defuncions per lloc de naixement",,,,,,,,,,,,,,,,,,,,,,,
"Any 2016",,,,,,,,,,,,,,,,,,,,,,,
,"Dte.","Barris","TOTAL ","Andalusia","Aragó","Principat 
d'Astúries","Illes Balears","Canàries","Cantàbria","Castella 
i Lleó","Castella -
la Manxa","Catalunya","Comunitat
Valenciana","Extremadura","Galícia","Comunitat 
de Madrid","Regió 
de Múrcia","Comunitat Foral 
de Navarra","País Basc","Rioja, La","Ceuta","Melilla","Estranger"
,"BARCELONA",,15183,1958,975,79,54,27,61,934,546,7837,398,323,547,210,284,91,84,62,14,39,660
,1,"1. el Raval",297,29,17,1,2,1,2,7,5,152,7,7,14,4,10,2,0,1,0,2,34
,1,"2. el Barri Gòtic",113,16,6,0,1,0,0,3,1,62,1,0,3,3,3,0,0,0,0,2,12
,1,"3. la Barceloneta",188,27,7,0,0,0,1,5,3,109,13,1,3,4,3,1,0,0,1,0,10
,1,"4. Sant Pere, Santa Caterina i la Ribera",194,18,9,2,1,1,0,9,7,103,5,6,6,4,4,0,0,1,3,3,12
,2,"5. el Fort Pienc",333,31,21,4,0,1,1,23,9,190,8,3,10,5,3,3,1,3,0,1,16
,2,"6. la Sagrada Família",513,44,39,4,4,1,2,33,13,276,15,8,16,7,7,3,4,7,1,1,28
,2,"7. la Dreta de l'Eixample",488,34,30,3,3,0,2,22,10,310,15,6,12,11,3,1,6,0,0,2,18
,2,"8. l'Antiga Esquerra de l'Eixample",432,31,20,3,1,1,3,21,15,273,9,3,11,7,3,1,8,1,0,1,20
,2,"9. la Nova Esquerra de l'Eixample",537,29,34,2,3,1,2,26,15,330,17,8,15,8,7,4,3,2,0,2,29
,2,"10. Sant Antoni",357,24,22,1,4,0,1,10,7,234,10,6,10,7,3,4,2,0,0,0,12
,3,"11. el Poble Sec - AEI Parc Montjuïc",339,31,21,3,1,0,2,16,9,190,9,7,18,5,6,2,1,1,0,1,16
,3,"12. la Marina del Prat Vermell - AEI Zona Franca",16,3,0,0,0,0,0,0,1,10,0,0,0,0,1,0,0,0,0,0,1
,3,"13. la Marina de Port",253,59,18,1,0,0,0,20,11,91,6,11,17,1,11,0,0,0,0,1,6
,3,"14. la Font de la Guatlla",105,11,8,2,0,0,0,7,7,49,1,4,5,2,2,0,0,1,0,0,6
,3,"15. Hostafrancs",135,7,6,0,0,0,1,13,5,92,1,2,2,0,1,1,1,0,0,0,3
,3,"16. la Bordeta",178,17,15,0,0,0,0,14,5,88,5,3,14,1,6,0,1,0,0,0,9
,3,"17. Sants - Badal",201,20,10,0,1,0,1,18,8,105,8,5,8,3,3,3,2,0,0,0,6
,3,"18. Sants",376,33,21,2,1,1,1,10,6,250,9,3,11,4,3,2,1,3,1,0,14
,4,"19. les Corts",445,31,29,2,4,3,3,33,10,248,11,6,11,11,13,5,4,2,0,1,18
,4,"20. la Maternitat i Sant Ramon",203,19,18,2,0,0,0,11,5,112,3,4,6,1,5,4,2,0,0,0,11
,4,"21. Pedralbes",114,4,5,1,3,0,0,9,3,76,5,0,2,1,1,0,1,0,0,0,3
,5,"22. Vallvidrera, el Tibidabo i les Planes",53,11,2,0,0,1,0,3,2,28,2,2,0,1,0,0,0,0,0,0,1
,5,"23. Sarrià",261,14,11,0,2,1,0,8,3,177,7,1,6,5,3,3,3,1,0,0,16
,5,"24. les Tres Torres",143,5,4,0,1,0,1,4,4,101,1,0,1,2,0,2,1,2,0,0,14
,5,"25. Sant Gervasi - la Bonanova",285,15,9,1,2,2,1,9,4,199,3,1,6,6,2,1,3,0,0,1,20
,5,"26. Sant Gervasi - Galvany",413,18,18,1,1,2,3,13,3,292,8,3,3,10,4,3,6,0,0,2,23
,5,"27. el Putxet i el Farró",238,15,6,2,0,1,1,10,6,155,8,1,8,7,1,1,1,1,0,0,14
,6,"28. Vallcarca i els Penitents",151,11,11,0,0,1,1,6,3,88,4,2,11,3,3,3,0,1,0,0,3
,6,"29. el Coll",66,12,4,1,0,0,1,7,0,27,2,2,1,1,1,1,0,0,0,0,6
,6,"30. la Salut",139,11,9,2,0,0,2,7,5,80,2,1,3,1,2,1,3,0,0,0,10
,6,"31. la Vila de Gràcia",486,33,27,3,2,0,3,23,13,309,14,3,15,7,4,4,5,2,0,0,19
,6,"32. el Camp d'en Grassot i Gràcia Nova",363,25,22,2,5,1,3,23,7,226,13,4,8,6,2,0,2,2,0,0,12
,7,"33. el Baix Guinardó",374,38,32,3,1,1,4,25,10,197,11,6,13,4,9,3,3,0,0,1,13
,7,"34. Can Baró",90,18,6,0,0,0,0,6,4,43,3,2,3,1,2,0,0,0,0,0,2
,7,"35. el Guinardó",353,37,35,2,0,0,3,27,13,175,7,6,16,5,8,1,1,2,1,1,13
,7,"36. la Font d'en Fargues",85,15,8,1,0,0,0,9,2,34,2,2,6,2,3,0,0,1,0,0,0
,7,"37. el Carmel",279,95,20,0,1,0,0,17,28,62,4,18,14,1,7,0,1,1,1,1,8
,7,"38. la Teixonera",99,28,9,0,0,0,0,13,6,29,0,4,3,3,1,0,0,1,0,0,2
,7,"39. Sant Genís dels Agudells",79,12,6,1,0,0,0,7,10,33,1,1,4,1,1,0,0,0,0,0,2
,7,"40. Montbau",96,17,7,0,0,0,1,6,6,43,1,1,5,0,2,1,0,1,0,0,5
,7,"41. la Vall d'Hebron",66,7,8,1,1,2,0,5,5,24,1,0,3,1,3,3,0,0,0,0,2
,7,"42. la Clota",6,1,0,0,0,0,0,0,1,3,0,0,1,0,0,0,0,0,0,0,0
,7,"43. Horta",314,58,21,4,0,0,1,25,6,141,8,11,11,2,9,2,0,1,1,3,10
,8,"44. Vilapicina i la Torre Llobeta",276,32,20,2,1,0,1,29,15,121,7,6,14,4,7,0,1,2,0,0,14
,8,"45. Porta",242,45,23,0,0,0,0,26,12,80,13,10,10,4,8,3,2,0,0,0,6
,8,"46. el Turó de la Peira",175,31,19,2,0,0,1,15,10,60,13,2,9,0,7,0,0,1,0,0,5
,8,"47. Can Peguera",21,7,0,0,0,0,0,1,1,10,1,1,0,0,0,0,0,0,0,0,0
,8,"48. la Guineueta",144,27,16,1,0,0,0,15,6,57,5,2,6,0,2,1,0,2,0,1,3
,8,"49. Canyelles",61,23,4,0,0,0,0,5,3,17,1,2,1,1,3,0,0,0,0,1,0
,8,"50. les Roquetes",117,51,6,1,0,0,0,4,10,24,3,4,7,0,2,1,0,1,0,0,3
,8,"51. Verdun",118,28,9,0,0,0,0,8,4,39,2,6,11,4,2,0,0,2,0,0,3
