"Naixements per nacionalitat espanyola o estrangera",,,,,
"Any 2016",,,,,
,"Dte.","Barris","TOTAL","Espanyola","Estrangera"
,"BARCELONA",,13630,10899,2731
,1,"1. el Raval",453,187,266
,1,"2. el Barri Gòtic",98,53,45
,1,"3. la Barceloneta",92,53,39
,1,"4. Sant Pere, Santa Caterina i la Ribera",172,96,76
,2,"5. el Fort Pienc",255,192,63
,2,"6. la Sagrada Família",400,308,92
,2,"7. la Dreta de l'Eixample",364,284,80
,2,"8. l'Antiga Esquerra de l'Eixample",324,279,45
,2,"9. la Nova Esquerra de l'Eixample",450,378,72
,2,"10. Sant Antoni",275,202,73
,3,"11. el Poble Sec - AEI Parc Montjuïc",373,222,151
,3,"12. la Marina del Prat Vermell -  AEI Zona Franca",16,16,0
,3,"13. la Marina de Port",235,189,46
,3,"14. la Font de la Guatlla",84,62,22
,3,"15. Hostafrancs",153,122,31
,3,"16. la Bordeta",142,123,19
,3,"17. Sants - Badal",164,130,34
,3,"18. Sants",380,308,72
,4,"19. les Corts",363,327,36
,4,"20. la Maternitat i Sant Ramon",184,177,7
,4,"21. Pedralbes",84,73,11
,5,"22. Vallvidrera, el Tibidabo i les Planes",38,30,8
,5,"23. Sarrià",238,215,23
,5,"24. les Tres Torres",150,138,12
,5,"25. Sant Gervasi - la Bonanova",203,181,22
,5,"26. Sant Gervasi - Galvany",415,372,43
,5,"27. el Putxet i el Farró",282,251,31
,6,"28. Vallcarca i els Penitents",142,124,18
,6,"29. el Coll",76,60,16
,6,"30. la Salut",104,98,6
,6,"31. la Vila de Gràcia",483,415,68
,6,"32. el Camp d'en Grassot i Gràcia Nova",319,280,39
,7,"33. el Baix Guinardó",217,181,36
,7,"34. Can Baró",73,56,17
,7,"35. el Guinardó",324,277,47
,7,"36. la Font d'en Fargues",74,66,8
,7,"37. el Carmel",281,229,52
,7,"38. la Teixonera",95,77,18
,7,"39. Sant Genís dels Agudells",47,42,5
,7,"40. Montbau",37,28,9
,7,"41. la Vall d'Hebron",41,33,8
,7,"42. la Clota",2,2,0
,7,"43. Horta",223,191,32
,8,"44. Vilapicina i la Torre Llobeta",180,144,36
,8,"45. Porta",217,164,53
,8,"46. el Turó de la Peira",127,95,32
,8,"47. Can Peguera",13,13,0
,8,"48. la Guineueta",118,108,10
,8,"49. Canyelles",46,39,7
,8,"50. les Roquetes",159,119,40
,8,"51. Verdun",114,77,37
,8,"52. la Prosperitat",205,157,48
,8,"53. la Trinitat Nova",68,43,25
,8,"54. Torre Baró",30,23,7
,8,"55. Ciutat Meridiana",105,61,44
,8,"56. Vallbona",14,14,0
,9,"57. la Trinitat Vella",108,65,43
,9,"58. Baró de Viver",27,18,9
,9,"59. el Bon Pastor",102,84,18
,9,"60. Sant Andreu",486,440,46
,9,"61. la Sagrera",256,217,39
,9,"62. el Congrés i els Indians",118,97,21
,9,"63. Navas",176,147,29
,10,"64. el Camp de l'Arpa del Clot",306,251,55
,10,"65. el Clot",190,157,33
,10,"66. el Parc i la Llacuna del Poblenou",137,113,24
,10,"67. la Vila Olímpica del Poblenou",89,66,23
,10,"68. el Poblenou",351,288,63
,10,"69. Diagonal Mar i el Front Marítim del Poblenou",188,153,35
,10,"70. el Besòs i el Maresme",181,116,65
,10,"71. Provençals del Poblenou",170,145,25
,10,"72. Sant Martí de Provençals",186,156,30
,10,"73. la Verneda i la Pau",236,201,35
,,"No consta",2,1,1
