,"Dte.","Barri de baixa","Districte d'alta: Espanyols","Districte d'alta: Estrangers",,"Districte de baixa: Espanyols","Districte de baixa: Estrangers"
,"BARCELONA",,49010,32187,,49010,32187
,1,"1. el Raval",1301,3729,,1529,4060
,1,"2. el Barri Gòtic",396,810,,558,957
,1,"3. la Barceloneta",423,607,,588,681
,1,"4. Sant Pere, Santa Caterina i la Ribera",690,983,,772,1074
,2,"5. el Fort Pienc",773,735,,947,764
,2,"6. la Sagrada Família",1358,1102,,1614,1206
,2,"7. la Dreta de l'Eixample",1321,734,,1391,887
,2,"8. l'Antiga Esquerra de l'Eixample",1116,815,,1291,933
,2,"9. la Nova Esquerra de l'Eixample",1625,967,,1812,1065
,2,"10. Sant Antoni",1001,904,,1042,916
,3,"11. el Poble Sec - AEI Parc Montjuïc",1061,1524,,1176,1541
,3,"12. la Marina del Prat Vermell - AEI Zona Franca",59,12,,42,5
,3,"13. la Marina de Port",895,556,,781,419
,3,"14. la Font de la Guatlla",287,195,,261,185
,3,"15. Hostafrancs",431,388,,538,373
,3,"16. la Bordeta",406,207,,377,226
,3,"17. Sants - Badal",609,381,,592,355
,3,"18. Sants",1252,732,,1222,722
,4,"19. les Corts",1316,448,,1318,484
,4,"20. la Maternitat i Sant Ramon",532,228,,586,214
,4,"21. Pedralbes",338,148,,328,139
,5,"22. Vallvidrera, el Tibidabo i les Planes",195,49,,149,22
,5,"23. Sarrià",919,216,,808,231
,5,"24. les Tres Torres",713,144,,646,114
,5,"25. Sant Gervasi - la Bonanova",976,194,,947,251
,5,"26. Sant Gervasi - Galvany",1596,456,,1579,487
,5,"27. el Putxet i el Farró",1144,344,,1035,373
,6,"28. Vallcarca i els Penitents",596,203,,486,196
,6,"29. el Coll",251,113,,234,109
,6,"30. la Salut",433,160,,422,187
,6,"31. la Vila de Gràcia",1469,1005,,1858,1105
,6,"32. el Camp d'en Grassot i Gràcia Nova",1048,502,,1073,499
,7,"33. el Baix Guinardó",958,431,,762,411
,7,"34. Can Baró",272,139,,286,128
,7,"35. el Guinardó",1297,575,,1206,532
,7,"36. la Font d'en Fargues",319,64,,294,54
,7,"37. el Carmel",987,603,,964,474
,7,"38. la Teixonera",542,207,,404,138
,7,"39. Sant Genís dels Agudells",211,99,,198,77
,7,"40. Montbau",200,66,,155,54
,7,"41. la Vall d'Hebron",196,47,,132,49
,7,"42. la Clota",48,15,,15,19
,7,"43. Horta",927,334,,821,332
,8,"44. Vilapicina i la Torre Llobeta",810,409,,806,350
,8,"45. Porta",890,550,,839,449
,8,"46. el Turó de la Peira",530,464,,503,432
,8,"47. Can Peguera",72,19,,61,10
,8,"48. la Guineueta",460,169,,404,142
,8,"49. Canyelles",153,32,,152,31
,8,"50. les Roquetes",574,407,,578,385
,8,"51. Verdun",429,327,,377,321
,8,"52. la Prosperitat",812,485,,782,430
,8,"53. la Trinitat Nova",313,198,,308,167
,8,"54. Torre Baró",71,44,,66,25
,8,"55. Ciutat Meridiana",293,378,,244,337
,8,"56. Vallbona",60,26,,55,14
,9,"57. la Trinitat Vella",256,366,,308,369
,9,"58. Baró de Viver",89,32,,71,20
,9,"59. el Bon Pastor",366,194,,366,189
,9,"60. Sant Andreu",1799,544,,1542,385
,9,"61. la Sagrera",866,364,,767,363
,9,"62. el Congrés i els Indians",487,192,,387,200
,9,"63. Navas",622,337,,624,356
,10,"64. el Camp de l'Arpa del Clot",1108,765,,1153,718
,10,"65. el Clot",759,481,,770,452
,10,"66. el Parc i la Llacuna del Poblenou",471,346,,363,349
,10,"67. la Vila Olímpica del Poblenou",206,90,,257,120
,10,"68. el Poblenou",1078,628,,1077,655
,10,"69. Diagonal Mar i el Front Marítim del Poblenou",404,212,,432,217
,10,"70. el Besòs i el Maresme",502,824,,537,728
,10,"71. Provençals del Poblenou",620,320,,553,292
,10,"72. Sant Martí de Provençals",736,408,,724,322
,10,"73. la Verneda i la Pau",681,403,,657,308
,"No consta",,6,2,,8,3
