"Dte.","Barris","TOTAL ","Andalusia","Aragó","Principat 
d'Astúries","Illes Balears","Canàries","Cantàbria","Castella 
i Lleó","Castella -
la Manxa","Catalunya","Comunitat
Valenciana","Extremadura","Galícia","Comunitat 
de Madrid","Regió 
de Múrcia","Comunitat Foral 
de Navarra","País Basc","Rioja, La","Ceuta","Melilla","Estranger"
"BARCELONA",,15238,255,54,27,26,24,9,80,43,3825,104,34,66,71,20,19,39,3,4,7,10528
1,"1. el Raval",1415,19,0,3,0,2,0,4,1,175,3,0,2,1,3,2,0,0,1,1,1198
1,"2. el Barri Gòtic",452,5,1,0,0,0,0,3,1,70,7,1,1,1,0,0,2,0,1,0,359
1,"3. la Barceloneta",221,1,2,0,0,1,1,0,0,51,0,1,0,0,0,0,0,0,0,0,164
1,"4. Sant Pere, Santa Caterina i la Ribera",372,3,1,3,0,0,0,1,3,55,4,1,2,2,1,2,2,0,0,0,292
2,"5. el Fort Pienc",394,5,0,0,0,0,0,2,1,72,5,1,2,1,0,1,1,0,0,0,303
2,"6. la Sagrada Família",423,1,1,1,2,2,0,3,0,88,2,2,4,1,1,0,2,0,0,0,313
2,"7. la Dreta de l'Eixample",362,7,5,0,1,1,0,1,1,83,5,1,3,5,0,2,0,0,0,0,247
2,"8. l'Antiga Esquerra de l'Eixample",330,6,0,0,1,1,1,2,3,76,3,1,1,2,1,1,0,0,0,0,231
2,"9. la Nova Esquerra de l'Eixample",475,6,1,0,0,0,0,3,1,101,7,1,4,5,1,0,1,1,0,0,343
2,"10. Sant Antoni",401,3,1,1,0,1,0,4,1,70,6,1,2,5,0,0,0,0,0,0,306
3,"11. el Poble Sec - AEI Parc Montjuïc",671,5,4,2,0,1,0,1,1,98,4,1,1,0,2,0,2,0,0,0,549
3,"12. la Marina del Prat Vermell - AEI Zona Franca",12,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,1
3,"13. la Marina de Port",266,6,0,1,0,0,0,1,2,75,0,1,1,1,0,0,1,0,0,0,177
3,"14. la Font de la Guatlla",98,0,1,0,1,0,1,0,0,19,0,0,1,0,0,0,0,0,0,0,75
3,"15. Hostafrancs",149,2,0,0,0,0,0,1,0,28,0,0,0,0,0,0,1,0,0,0,117
3,"16. la Bordeta",120,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,98
3,"17. Sants - Badal",221,5,0,1,2,2,0,1,0,45,2,0,0,0,0,0,1,0,0,1,161
3,"18. Sants",445,9,2,1,0,0,1,3,1,119,6,1,2,4,1,0,0,1,0,0,294
4,"19. les Corts",263,4,2,0,2,1,0,0,1,102,2,1,0,2,1,0,1,0,0,0,144
4,"20. la Maternitat i Sant Ramon",124,2,1,0,0,1,0,1,1,49,0,0,0,1,0,0,0,0,0,0,68
4,"21. Pedralbes",72,1,2,1,1,0,0,0,0,26,0,0,0,3,1,0,0,0,0,0,37
5,"22. Vallvidrera, el Tibidabo i les Planes",27,0,0,0,1,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,13
5,"23. Sarrià",169,2,3,1,0,0,0,1,1,70,1,1,1,0,1,0,2,0,0,0,85
5,"24. les Tres Torres",85,0,0,0,0,0,0,1,1,49,1,0,0,0,0,0,0,0,0,0,33
5,"25. Sant Gervasi - la Bonanova",182,0,0,0,2,0,0,0,0,102,0,1,0,1,0,0,0,0,0,0,76
5,"26. Sant Gervasi - Galvany",278,7,2,0,0,0,0,1,0,140,3,0,3,2,0,0,2,0,0,0,118
5,"27. el Putxet i el Farró",186,5,0,0,0,0,0,1,1,69,1,1,2,0,0,1,1,0,0,0,104
6,"28. Vallcarca i els Penitents",95,4,0,0,0,1,0,2,2,31,0,0,0,0,0,0,1,0,0,0,54
6,"29. el Coll",55,1,1,0,1,1,0,0,0,17,0,0,0,1,0,0,0,0,0,0,33
6,"30. la Salut",71,3,1,1,0,0,0,1,1,27,0,0,0,2,0,1,0,0,0,0,34
6,"31. la Vila de Gràcia",424,13,1,1,0,0,1,2,1,107,2,4,5,2,0,1,3,0,0,0,281
6,"32. el Camp d'en Grassot i Gràcia Nova",224,10,0,1,1,0,0,1,1,54,4,1,1,3,0,1,1,0,0,0,145
7,"33. el Baix Guinardó",169,3,2,0,0,0,0,3,0,47,3,0,2,0,0,0,1,1,0,0,107
7,"34. Can Baró",75,0,0,1,0,0,0,0,0,25,1,0,1,0,0,0,1,0,0,0,46
7,"35. el Guinardó",289,6,2,0,0,0,1,2,0,83,3,0,1,2,1,1,1,0,0,1,185
7,"36. la Font d'en Fargues",60,5,0,0,0,0,1,0,0,29,1,0,0,0,0,0,0,0,0,0,24
7,"37. el Carmel",287,5,0,0,0,0,0,0,2,98,2,1,3,2,0,0,0,0,0,0,174
7,"38. la Teixonera",97,2,1,0,0,2,0,0,0,21,2,0,0,0,0,0,0,0,0,0,69
7,"39. Sant Genís dels Agudells",51,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,1,0,0,0,40
7,"40. Montbau",35,0,0,0,1,0,0,0,0,7,0,0,1,0,0,0,0,0,1,0,25
7,"41. la Vall d'Hebron",32,1,0,1,0,0,0,1,0,6,0,0,0,0,0,0,0,0,0,0,23
7,"42. la Clota",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
7,"43. Horta",210,9,0,1,0,0,0,2,0,78,1,1,1,2,0,0,0,0,0,0,115
8,"44. Vilapicina i la Torre Llobeta",193,3,1,0,0,0,0,0,1,42,4,0,2,4,0,1,1,0,0,0,134
8,"45. Porta",247,6,1,0,0,0,0,3,1,72,1,0,1,0,0,0,0,0,0,1,161
8,"46. el Turó de la Peira",217,2,1,2,1,0,0,0,0,45,0,0,0,1,0,0,0,0,0,0,165
8,"47. Can Peguera",14,0,0,0,0,0,0,0,0,6,1,0,0,0,0,0,0,0,0,0,7
8,"48. la Guineueta",81,5,0,0,0,0,0,3,0,28,0,0,0,0,0,0,0,0,0,0,45
8,"49. Canyelles",21,2,0,0,0,0,0,1,0,8,0,0,0,0,0,0,0,0,0,0,10
8,"50. les Roquetes",193,4,0,0,1,0,0,1,0,63,0,0,0,0,0,0,0,0,0,0,124
8,"51. Verdun",139,1,1,0,3,1,0,1,1,35,0,0,0,1,0,0,0,0,1,0,94
8,"52. la Prosperitat",232,5,0,0,0,0,0,1,0,58,0,0,2,0,0,0,0,0,0,0,166
8,"53. la Trinitat Nova",76,0,0,0,0,0,0,2,0,22,0,1,0,1,0,0,0,0,0,0,50
8,"54. Torre Baró",24,1,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,15
8,"55. Ciutat Meridiana",224,4,1,0,0,0,0,0,0,59,0,1,0,1,0,0,0,0,0,0,158
8,"56. Vallbona",29,4,0,0,0,0,0,0,0,9,0,0,1,0,0,0,0,0,0,0,15
9,"57. la Trinitat Vella",172,3,0,0,0,0,0,0,0,36,1,0,0,1,0,0,0,0,0,1,130
9,"58. Baró de Viver",20,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,7
9,"59. el Bon Pastor",136,2,1,0,0,0,0,3,1,54,1,0,0,1,0,0,0,0,0,2,71
9,"60. Sant Andreu",238,5,3,0,0,1,0,2,0,96,5,1,1,0,2,1,0,0,0,0,121
9,"61. la Sagrera",231,2,4,0,0,2,0,2,0,58,2,0,1,2,1,0,0,0,0,0,157
9,"62. el Congrés i els Indians",107,1,2,2,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,78
9,"63. Navas",189,2,0,0,0,1,0,0,2,46,5,2,0,1,0,1,0,0,0,0,129
10,"64. el Camp de l'Arpa del Clot",295,8,0,0,1,1,0,3,1,63,1,0,1,1,0,0,1,0,0,0,214
10,"65. el Clot",192,4,1,0,1,0,0,1,2,62,0,1,0,1,2,0,3,0,0,0,114
