"Naixements per nacionalitats",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Any 2016",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Nacionalitats","BARCELONA","1. el
Raval","2. el Barri
Gòtic","3. la
Barceloneta","4. Sant Pere, Santa 
Caterina i la Ribera","5. el Fort
Pienc","6. la Sagrada
Família","7. la Dreta de
 l'Eixample","8. l'Antiga Esquerra 
de l'Eixample","9. la Nova Esquerra 
de l'Eixample","10. Sant
Antoni","11. el Poble Sec -
AEI Parc Montjuïc","12. la Marina del Prat 
Vermell - AEI Zona Franca","13. la Marina
de Port","14. la Font de
 la Guatlla","15. Hostafrancs","16. la
Bordeta","17. Sants-
Badal","18. Sants","19. les
Corts","20. la Maternitat
i Sant Ramon","21. Pedralbes","22. Vallvidrera, 
el Tibidabo i les Planes","23. Sarrià","24. les
Tres Torres","25. Sant Gervasi -
 la Bonanova","26. Sant Gervasi - 
Galvany","27. el Putxet i 
el Farró","28. Vallcarca i 
els Penitents","29. el
Coll","30. la
Salut","31. la Vila
de Gràcia","32. el Camp d'en Grassot
 i Gràcia Nova","33. el Baix
Guinardó","34. Can
Baró","35. el
Guinardó","36. la Font
d'en Fargues","37. el
Carmel","38. la
Teixonera","39. Sant Genís 
dels Agudells","40. Montbau","41. la Vall
d'Hebron","42. la
Clota","43. Horta","44. Vilapicina i
la Torre Llobeta","45. Porta","46. el Turó de
 la Peira","47. Can
Peguera","48. la
Guineueta","49. Canyelles","50. les
Roquetes","51. Verdun","52. la
Prosperitat","53. la
Trinitat Nova","54. Torre
Baró","55. Ciutat
Meridiana","56. Vallbona","57. la Trinitat
Vella","58. Baró
de Viver","59. el
Bon Pastor","60. Sant
Andreu","61. la
Sagrera","62. el Congrés i 
els Indians","63. Navas","64. el Camp de
 l'Arpa del Clot","65. el
Clot","66. el Parc i la Llacuna
 del Poblenou","67. la Vila Olímpica 
del Poblenou","68. el
Poblenou","69. Diagonal Mar i el Front
 Marítim del Poblenou","70. el Besòs i 
el Maresme","71. Provençals 
del Poblenou","72. Sant Martí 
de Provençals","73. la Verneda
 i la Pau","No consta"
,"TOTAL",13630,453,98,92,172,255,400,364,324,450,275,373,16,235,84,153,142,164,380,363,184,84,38,238,150,203,415,282,142,76,104,483,319,217,73,324,74,281,95,47,37,41,2,223,180,217,127,13,118,46,159,114,205,68,30,105,14,108,27,102,486,256,118,176,306,190,137,89,351,188,181,170,186,236,2
,"Espanya",10899,187,53,53,96,192,308,284,279,378,202,222,16,189,62,122,123,130,308,327,177,73,30,215,138,181,372,251,124,60,98,415,280,181,56,277,66,229,77,42,28,33,2,191,144,164,95,13,108,39,119,77,157,43,23,61,14,65,18,84,440,217,97,147,251,157,113,66,288,153,116,145,156,201,1
,"Pakistan",262,57,9,2,5,0,7,1,0,2,10,30,0,4,1,6,1,4,13,2,0,0,0,2,0,1,0,0,2,0,0,2,2,6,4,1,0,6,0,0,0,0,0,0,5,3,3,0,1,0,5,0,2,4,1,6,0,6,1,3,0,0,0,1,6,0,2,0,2,1,21,4,2,3,0
,"Xina",249,3,1,0,6,14,17,11,4,13,20,5,0,9,3,3,4,1,7,7,1,0,0,1,1,1,3,2,1,0,1,4,2,4,1,5,0,2,2,2,0,0,0,3,5,3,2,0,1,0,0,2,8,1,0,0,0,1,0,0,9,9,2,6,5,3,1,0,3,4,4,3,8,5,0
,"Itàlia",212,8,4,7,4,10,7,12,7,8,6,16,0,0,7,1,0,3,6,3,0,1,1,1,1,2,4,4,1,3,1,9,8,3,3,5,0,2,0,0,1,3,0,2,0,0,0,0,0,1,1,2,0,0,0,0,0,1,0,1,4,2,3,0,5,4,4,2,6,6,0,1,1,4,0
,"Marroc, el",202,18,4,7,4,2,6,1,2,2,1,11,0,7,1,3,2,5,4,0,0,0,0,0,0,1,1,1,0,1,0,4,0,3,0,5,0,6,0,0,2,1,0,5,5,10,6,0,0,0,4,1,3,2,2,8,0,13,3,2,1,1,3,2,5,5,2,0,5,0,6,1,1,1,0
,"França",143,2,3,0,5,7,7,10,4,4,3,8,0,0,0,1,1,2,2,0,1,1,2,4,2,3,3,3,2,0,0,14,3,2,1,6,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,1,1,2,2,5,1,4,10,3,2,1,0,0,0
,"Bangladesh",108,82,1,1,1,0,1,2,0,2,5,6,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
,"Bolívia",106,5,2,0,3,4,1,1,0,1,1,5,0,0,0,2,2,2,7,1,2,0,0,0,1,2,2,0,1,0,0,1,2,0,0,2,0,4,2,0,1,0,0,1,4,2,4,0,2,0,0,3,1,2,1,1,0,0,0,2,4,0,0,3,8,2,0,1,1,0,2,2,2,1,0
,"Hondures",100,1,0,0,4,0,1,1,0,1,1,3,0,5,1,1,0,3,1,0,0,0,0,3,0,0,1,0,0,2,0,1,1,1,0,0,0,1,2,0,0,0,0,4,3,4,0,0,1,1,11,11,3,3,0,6,0,0,0,3,2,3,1,2,1,0,0,0,0,0,4,1,0,1,0
