"Nacionalitats","BARCELONA","1. el Raval","2. el Barri 
Gòtic","3. la Barceloneta","4. Sant Pere, 
Santa Caterina 
i la Ribera","5. el Fort
Pienc","6. la Sagrada 
Família","7. la Dreta 
de l'Eixample","8. l'Antiga Esquerra 
de l'Eixample","9. la Nova Esquerra 
de l'Eixample","10. Sant Antoni","11. el Poble Sec -
AEI Parc Montjuïc","12. la Marina del Prat 
Vermell - AEI Zona Franca","13. la Marina 
de Port","14. la Font 
de la Guatlla","15. Hostafrancs","16. la Bordeta","17. Sants -
Badal","18. Sants","19. les Corts","20. la Maternitat 
i Sant Ramon","21. Pedralbes","22. Vallvidrera, 
el Tibidabo i
les Planes","23. Sarrià","24. les Tres Torres","25. Sant Gervasi -
la Bonanova","26. Sant Gervasi - 
Galvany","27. el Putxet
i el Farró","28. Vallcarca
i els Penitents","29. el Coll","30. la Salut","31. la Vila 
de Gràcia","32. el Camp d'en 
Grassot i Gràcia Nova","33. el Baix Guinardó","34. Can Baró","35. el Guinardó","36. la Font 
d'en Fargues","37. el Carmel","38. la Teixonera","39. Sant Genís
dels Agudells","40. Montbau","41. la Vall 
d'Hebron","42. la Clota","43. Horta","44. Vilapicina i 
la Torre Llobeta","45. Porta","46. el Turó 
de la Peira","47. Can Peguera","48. la Guineueta","49. Canyelles","50. les Roquetes","51. Verdun","52. la Prosperitat","53. la Trinitat Nova","54. Torre Baró","55. Ciutat 
Meridiana","56. Vallbona","57. la Trinitat Vella","58. Baró de Viver","59. el Bon Pastor","60. Sant Andreu","61. la Sagrera","62. el Congrés
i els Indians","63. Navas","64. el Camp de 
l'Arpa del Clot","65. el Clot","66. el Parc i la Llacuna
 del Poblenou","67. la Vila Olímpica 
del Poblenou","68. el Poblenou","69. Diagonal Mar i 
el Front Marítim 
del Poblenou","70. el Besòs i 
el Maresme","71. Provençals 
del Poblenou","72. Sant Martí 
de Provençals","73. la Verneda 
i la Pau","No consta"
"TOTAL",50274,2173,765,646,926,982,1637,1421,1300,1809,1131,1605,48,1023,392,652,638,1043,1524,1326,802,358,137,723,423,673,1230,908,439,248,337,1615,896,714,247,1026,217,879,324,166,124,113,8,600,648,660,450,54,258,162,524,392,730,250,77,392,51,397,90,439,1369,746,371,659,1269,752,462,220,956,385,1082,633,763,780,5
"Espanya",35174,1043,440,383,523,645,1131,991,871,1295,767,984,44,718,257,421,474,701,1025,1045,612,280,113,570,326,543,990,683,336,184,259,1178,654,518,189,746,182,656,234,124,90,77,6,443,448,457,300,50,209,138,340,279,519,166,61,239,43,224,72,321,1074,534,264,464,933,543,327,174,677,305,604,484,589,580,5
"Pakistan",1623,378,72,36,50,10,22,3,11,9,32,125,0,27,6,20,17,33,30,9,9,0,0,3,0,1,9,4,3,2,0,13,6,10,1,17,1,17,0,7,2,0,2,6,19,13,18,0,0,0,18,9,14,13,0,25,0,73,0,22,24,8,13,8,18,13,5,0,26,1,249,11,2,18,0
"Xina",1430,22,21,9,29,80,81,59,40,93,55,31,1,36,21,26,11,29,46,38,17,1,0,8,4,11,16,13,2,0,2,21,21,33,2,14,3,8,1,1,1,3,0,6,13,36,6,0,2,0,13,9,15,1,0,3,3,3,0,20,43,23,22,32,58,44,16,4,26,5,22,19,37,39,0
"Itàlia",977,45,35,40,44,21,22,46,49,39,24,38,0,10,6,14,11,12,26,19,10,7,5,12,8,6,23,28,4,6,3,58,24,16,4,20,1,10,11,3,2,6,0,7,4,5,2,1,4,0,1,2,4,5,0,1,1,1,2,3,19,11,7,7,26,8,12,10,29,8,5,8,7,9,0
"Marroc, el",810,84,24,16,38,17,23,8,12,12,25,47,2,23,4,16,9,15,39,16,6,1,0,8,3,5,6,3,1,0,10,14,6,6,4,13,1,10,6,0,1,0,0,10,13,7,6,0,1,0,15,16,8,5,1,18,0,30,1,8,12,11,7,9,19,13,9,4,11,0,21,7,7,7,0
"Colòmbia",641,10,14,5,6,17,30,9,13,21,16,24,0,13,6,10,11,22,20,18,16,2,0,5,2,4,6,5,7,3,3,15,16,6,0,26,3,10,4,1,2,7,0,9,8,18,9,0,5,4,7,6,17,1,2,3,0,1,1,2,17,23,3,17,21,10,6,2,4,9,3,11,9,5,0
"Hondures",639,8,5,2,2,7,20,5,10,23,11,14,0,27,3,2,5,21,24,4,1,2,2,3,3,5,7,7,1,3,2,10,4,3,3,19,2,26,3,5,1,2,0,11,21,10,12,0,3,1,51,20,48,12,1,22,0,9,1,8,14,7,5,14,7,10,3,0,7,1,15,3,8,8,0
"Índia",566,105,14,10,17,10,21,2,4,15,11,58,0,8,8,13,23,11,29,5,1,0,0,3,0,2,5,9,3,4,2,31,14,0,0,2,2,1,5,4,0,1,0,2,8,4,2,1,0,0,4,4,4,15,0,4,0,9,0,4,2,6,1,5,6,1,0,0,3,0,14,4,3,7,0
"República Dominicana",536,20,3,3,7,10,11,7,5,12,14,44,0,15,4,9,5,33,36,6,10,0,0,1,1,1,4,4,5,2,2,3,7,5,3,8,2,8,3,1,1,1,0,10,24,13,13,1,5,0,6,6,11,3,1,11,0,5,0,1,15,18,6,5,16,5,2,1,5,0,12,6,12,7,0
"Bolívia",519,13,6,7,14,5,27,10,12,19,10,18,0,1,7,11,10,18,17,9,8,4,0,8,4,7,7,6,4,2,5,9,4,6,1,12,1,24,4,0,6,0,0,6,16,11,23,0,4,1,5,2,14,0,0,4,0,0,0,6,14,9,4,14,13,7,2,1,4,0,6,8,2,7,0
"Veneçuela",482,17,4,11,9,11,28,28,19,18,7,13,0,2,2,9,1,6,23,11,14,2,0,3,2,7,9,15,9,4,6,17,13,9,2,8,0,7,4,2,0,1,0,6,5,7,6,0,1,5,5,3,3,1,1,0,0,0,0,3,15,2,2,3,12,11,4,0,9,5,3,7,2,8,0
"Perú",448,11,2,5,2,9,18,16,14,27,7,8,1,15,3,11,5,12,21,9,15,1,0,4,4,6,6,10,0,2,1,7,0,9,2,12,1,7,6,1,1,1,0,5,12,5,9,0,3,2,2,0,8,2,0,8,0,6,1,3,12,13,2,7,21,2,3,0,11,1,6,4,1,7,0
"Equador",433,14,1,4,9,6,17,7,12,16,6,11,0,22,5,8,5,12,17,9,5,0,1,1,3,4,1,5,1,1,1,7,6,10,1,13,1,12,2,3,0,1,0,8,5,7,5,0,2,6,12,4,12,5,3,8,2,1,1,2,13,6,4,9,12,7,0,1,7,1,9,8,5,8,0
"França",385,8,7,8,14,12,6,32,10,18,10,16,0,2,4,4,3,8,10,8,3,8,1,9,13,10,14,8,8,5,0,26,8,4,1,13,2,2,2,0,1,1,0,3,4,1,1,0,0,0,0,0,0,0,0,0,0,0,2,0,3,1,1,3,3,4,5,4,14,7,4,3,2,1,0
"Rússia",361,14,4,6,6,9,13,23,21,8,11,7,0,5,6,1,0,8,7,6,4,9,0,12,2,9,8,6,7,1,2,9,2,2,2,6,3,3,5,1,3,1,0,5,4,7,3,0,0,0,2,0,1,1,0,1,0,1,3,2,3,4,3,4,7,4,10,2,10,6,12,0,6,8,0
"Brasil",354,10,6,5,8,6,10,13,24,17,13,14,0,11,8,2,4,12,10,15,9,4,0,0,4,1,3,2,1,3,2,22,6,7,0,4,0,4,3,1,0,0,0,1,3,3,2,0,0,0,5,1,7,1,4,0,0,4,0,2,3,4,3,3,6,12,2,0,7,0,6,1,5,5,0
"Argentina",335,14,9,7,12,6,14,16,16,25,7,6,0,8,3,6,5,6,13,4,1,1,2,5,2,4,9,4,6,7,1,15,2,2,3,6,0,5,3,1,0,0,0,2,0,2,0,0,0,0,1,3,2,1,0,0,0,2,0,1,9,6,5,5,9,3,4,2,9,2,2,1,1,7,0
"Romania",298,9,2,4,6,5,7,6,2,8,8,9,0,12,0,8,4,2,17,7,6,0,3,7,0,3,6,6,3,4,5,7,0,4,9,9,2,7,3,1,2,0,0,8,5,8,4,0,0,1,4,5,2,0,1,1,0,4,1,2,2,3,0,4,8,5,2,0,1,2,8,2,1,11,0
"Paraguai",297,5,1,0,1,5,14,9,12,11,3,8,0,5,7,6,2,13,9,3,14,7,1,3,1,8,7,4,6,0,3,15,2,3,2,4,0,9,9,3,1,1,0,6,3,7,5,0,3,0,2,1,4,0,0,1,0,0,1,1,5,2,2,8,5,5,6,0,6,0,0,1,5,1,0
"Ucraïna",281,14,9,4,8,4,7,2,9,11,0,5,0,5,0,2,0,2,9,4,4,1,0,9,1,0,5,4,2,1,4,2,4,9,0,6,0,3,4,1,0,0,0,6,7,2,6,0,0,0,5,4,1,3,0,3,1,5,3,2,13,10,3,4,2,5,0,0,6,0,17,4,7,7,0
"Regne Unit",254,28,2,4,16,11,12,11,14,9,6,9,0,2,1,2,1,3,1,4,1,5,0,6,3,4,6,9,2,1,0,15,7,7,2,4,4,2,1,1,0,1,0,1,2,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,2,2,2,0,3,2,8,9,0,1,0,1,0
"Alemanya",247,7,9,10,11,5,13,23,9,13,3,9,0,2,5,3,4,1,7,2,2,1,3,4,7,1,11,10,1,2,0,16,7,2,1,4,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,2,0,0,1,0,0,0,1,2,1,0,1,7,2,1,2,11,2,1,2,0,0,0
"Filipines",167,49,7,0,12,1,3,2,6,3,6,24,0,14,0,5,2,4,5,1,3,0,0,0,0,1,3,0,1,0,0,0,1,4,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,3,0,0,2,0,0,0,0,0,0,0,0,0,0
"Portugal",163,7,0,3,4,6,2,5,8,11,4,3,0,3,1,3,1,0,9,7,2,1,0,1,0,0,6,1,1,0,1,7,4,1,0,2,0,7,0,0,2,6,0,3,0,2,1,0,0,0,3,2,1,0,0,2,0,2,0,0,1,1,1,0,2,3,3,2,0,2,6,5,1,1,0
"Geòrgia",149,5,2,0,1,2,1,0,3,5,1,6,0,1,2,1,4,8,7,1,1,3,0,1,1,3,1,1,0,0,3,0,2,2,1,8,0,3,0,0,0,1,0,2,3,4,7,0,0,1,1,1,2,6,0,1,0,2,1,0,7,6,2,0,7,1,2,0,2,0,2,0,4,4,0
"Bangladesh",147,96,3,1,3,3,0,0,0,3,8,9,0,1,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,2,0,0,0,0,0,1,0,0,0
"Mèxic",143,5,6,2,3,5,7,8,14,5,4,2,0,1,4,0,5,2,8,5,3,0,0,2,1,0,4,1,1,0,0,5,4,1,0,2,0,0,0,1,1,0,0,2,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,3,1,0,4,6,2,1,1,2,1,1,1,1,0
"Cuba",142,6,1,5,2,4,4,5,7,5,12,2,0,6,2,0,3,2,6,2,3,0,0,0,0,1,3,0,2,0,0,3,2,2,0,2,0,1,0,0,0,1,0,3,0,2,1,0,4,0,0,1,2,2,0,0,1,2,0,1,4,1,2,2,3,4,4,0,3,0,2,3,0,1,0
"Estats Units, els",137,3,11,4,4,6,3,9,2,5,3,1,0,1,0,3,2,1,1,4,0,1,0,4,3,3,5,4,1,0,2,8,1,5,0,4,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1,1,2,1,3,0,0,0,20,0,0
"Xile",137,9,1,2,2,3,5,6,7,7,3,3,0,1,1,2,2,5,3,2,2,0,0,2,0,4,0,6,1,2,1,3,8,1,0,2,0,1,0,1,1,0,0,0,2,1,0,1,0,0,0,1,1,0,0,1,0,0,0,2,1,2,1,7,4,5,1,0,3,1,1,1,1,1,0
"Polònia",119,6,3,1,3,0,2,5,0,4,2,6,0,6,0,0,0,6,3,1,2,0,0,2,0,0,2,7,1,1,0,8,1,1,1,5,1,6,1,0,0,0,0,2,4,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,2,0,0,2,0,2,0,4,4,2,3,0,3,0
"Països Baixos",115,5,2,8,5,3,2,5,1,3,4,6,0,0,0,3,0,1,1,0,0,3,1,2,0,2,3,1,0,0,0,10,5,2,0,3,0,2,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,2,2,3,0,2,0,1,8,1,4,0,0,2,1,1,0
"Nepal",99,11,1,5,1,5,9,0,7,0,2,7,0,0,1,3,0,7,1,1,1,0,0,0,0,2,0,0,0,0,0,4,10,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,1,0,0,0,0,0,7,0,0,0,0
"El Salvador",92,5,0,1,0,1,1,2,4,0,1,1,0,1,1,2,2,2,1,3,2,4,1,1,0,0,1,2,0,0,0,3,0,0,0,5,0,6,2,0,0,0,0,2,2,1,1,0,0,0,1,3,4,1,0,1,0,0,0,0,7,1,1,0,0,0,0,0,2,0,4,6,0,0,0
"Uruguai",86,4,0,2,0,0,2,4,1,2,4,1,0,2,0,5,0,3,5,0,0,0,3,0,2,0,1,1,0,0,1,2,2,1,0,0,0,1,0,2,1,0,0,1,1,1,1,0,1,0,2,1,2,0,0,1,0,0,0,0,1,4,1,3,4,1,0,0,4,0,0,0,4,1,0
"Armènia",79,0,1,1,0,1,1,3,0,1,0,1,0,1,1,1,0,1,1,1,0,0,0,0,0,3,1,0,0,0,0,2,3,0,0,0,2,2,4,0,0,0,0,5,3,5,1,0,4,0,1,1,11,0,0,0,0,1,0,2,0,1,0,0,0,0,0,0,2,1,1,0,2,6,0
"Bulgària",78,3,1,4,1,0,2,0,4,2,0,1,0,2,4,3,0,0,2,3,2,1,0,1,0,0,0,1,0,0,0,0,0,3,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,0,0,0,0,0,0,0,0,3,0,3,7,0,0,2,5,1,7,0,0,1,0
"Bèlgica",72,5,4,5,1,0,4,4,3,3,3,2,0,0,0,1,0,1,1,1,0,0,0,1,3,2,6,1,0,1,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,2,4,0,0,0,1,1,0,1,1,0,0
"Algèria",71,7,1,2,5,0,3,1,2,2,0,2,0,1,0,1,1,1,1,1,0,2,0,1,0,0,0,5,0,0,2,1,1,1,2,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,3,0,1,0,0,0,1,0,0,0,0,1,0,5,1,5,0,0
"Japó",65,3,0,0,2,3,2,1,2,1,1,1,0,0,0,0,0,1,1,17,3,1,0,4,8,2,1,2,0,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0
"Senegal",61,4,3,0,8,2,2,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,2,3,0,3,0,3,3,0,6,0,6,0,0,6,0
"Suècia",58,3,2,4,4,1,3,4,2,1,2,1,0,0,2,1,0,0,1,1,0,1,0,1,0,2,4,2,1,0,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,2,0,1,0,0,4,0,0,0
