Nombre;Dirección;Código Postal;Teléfono;Fax;Email;Tipo de organización;Ámbito territorial;Sector de población;Ámbito de actuación;Actividades;Función principal;Función secundaria
PEÑA ZABALA DEL DR. FLEMING;RESURRECCION MARIA DE AZKUE                            4;48003;944150963;;;ASOCIACION;DISTRITO 5 IBAIONDO;SOCIOS/AS,ADULTOS/AS;CULTURA;SERVICIO DE COMIDAS,AYUDA SOCIAL;SOLIDARIDAD;SERVICIOS A LOS CIUDADANOS;
SDAD. GASTRONOMICA RECREATIVA BILBAO ZARREKO LAGUNAK;CANTARRANAS                                                                                   2;48003;944150209;;;ASOCIACION;DISTRITO 5 IBAIONDO;SOCIOS/AS;CULTURA;ACTIV.OCIO,CULTURALES,TALLERES;SERVICIOS A LOS SOCIOS;;
COLECTIVO ARTISTICO GEREKIZ;SOMBRERERIA                                                                                   10        1º;48005;944464483;;lourdex@teleline.es;ASOCIACION;INTERNACIONAL;POBLACION EN GENERAL;CULTURA;REPRESEN/RECITALES/CONCIERTOS,EXPOSICIONES,PUBLICACIONES;SOLIDARIDAD;AYUDA MUTUA;
ASOC. AMIGOS DEL FERROCARRIL BILBAO/BILBOKO TRENBIDE LAGUNEN ELKARTEA;PARTICULAR DEL NORTE                                   12        1º D5;48003;696374648;;pedrolas@euskalnet.net;ASOCIACION;BIZKAIA;POBLACION EN GENERAL;CULTURA;EXPOSICIONES,VISITAS CULTURALES/EXCURSIONES;PROMOCION;;
CASA PALENTINA-CASTELLANO LEONESA;SANTA MARIA                                                                                   18           3;48005;944158818;;;ASOCIACION;COMUNIDAD AUTONOMA;ADULTOS/AS;CULTURA;ACTIV.OCIO,CULTURALES,TALLERES;SERVICIOS A LOS SOCIOS;;
ASOCIACION CULTURAL KLARET IRRATIA;PLAZA CORAZON DE MARIA                                 1;48003;944160094;944160080;pcmaria@euskalnet.net;ASOCIACION;BIZKAIA;POBLACION EN GENERAL;CULTURA;PROGRAMAS RADIOFONICOS;SERVICIOS A LOS CIUDADANOS;;
A.P.A. DE KIRIKIÑO IKASTOLA;GABRIEL ARESTI                                         22;48004;944598100;944598200;kiriki@ikastola.net;ASOCIACION;DISTRITO 3 OTXARKOAGA-TXURD.;PADRES Y MADRES/FAMILIAS;EDUCACIÓN Y EMPLEO;ACTIV.FORMATIVAS/EDUCATIVAS,MEDIACION ESCOLAR,AYUDA ESCOLAR;SERVICIOS A LOS SOCIOS;;
ATXURIKO Gª RIVERO IKASTETXEKO GURASO ELKARTEA;ATXURI                                                                                             2;48006;944330193;944330193;;ASOCIACION;DISTRITO 5 IBAIONDO;PADRES Y MADRES/FAMILIAS;EDUCACIÓN Y EMPLEO;ACTIV.FORMATIVAS/EDUCATIVAS;OTROS;EDUCAR;
PEÑA ATHLETIC DE SANTUTXU;CASERIO LANDABURU (BAR CASTAS)                         7;48004;944337198;;;AGRUPACION DE ASOCIACIONES;DISTRITO 4  BEGOÑA;POBLACION EN GENERAL;DEPORTIVAS;COMPETICIONES DEPORTIVAS;SERVICIOS A LOS SOCIOS;;
BIZKAI EUSKAL FOLKLOR ELKARTEA;AUTONOMIA                                                                                       44        BA;48010;944115605;;sabin@bizkai-elkartea.net;ASOCIACION;COMUNIDAD AUTONOMA;ADULTOS/AS;CULTURA;ACTIV.FORMATIVAS/EDUCATIVAS;PROMOCION;;
HOGAR LEONES;NUEVA                                                                                               2;48005;944150715;;;AGRUPACION DE ASOCIACIONES;BIZKAIA;SOCIOS/AS;CULTURA;ACTIV.OCIO,CULTURALES,TALLERES;CREACION ARTISTICA;EDUCAR;
SUMENDI ASOCIACION DE USUARIOS DE LA SANIDAD;ZUMARRAGA                                                                                       3         BA;48006;944155031;;sumendi@sumendi.org;ASOCIACION;BIZKAIA;POBLACION EN GENERAL;SALUD;SERV.INFORMACION/ASESORAMIENTO,DIVULGACION:CHARLAS,CAMPAÑAS,ACTIV.FORMATIVAS/EDUCATIVAS,CENTRO DE DOCUMENTACION;PROMOCION;CREACION DE OPINION;
SOCIEDAD NUMANCIA CENTRO SORIANO;ERNESTO ERCORECA                                       4;48007;944457298;;;ASOCIACION;COMUNIDAD AUTONOMA;PADRES Y MADRES/FAMILIAS;CULTURA;ACTIV.OCIO,CULTURALES,TALLERES;SERVICIOS A LOS SOCIOS;SERVICIOS A LOS CIUDADANOS;
COMISION CIUDADANA ANTI-SIDA DE BIZKAIA;BAILEN                                                                                             6;48003;944160055;944160307;bizkaisida@euskaltel.es;ASOCIACION;BIZKAIA;POBLACION EN GENERAL;SALUD;SERV.INFORMACION/ASESORAMIENTO,ACTIV.FORMATIVAS/EDUCATIVAS;PREVENCION;SERVICIOS A LOS CIUDADANOS;
SOCIEDAD RECREATIVA  DEUSTO;POETA BLAS DE OTERO                                    13;48014;944751109;;sociedadrecreativadeusto@gmail.com;ASOCIACION;DISTRITO 1 DEUSTO;POBLACION EN GENERAL;CULTURA;ACTIV.OCIO,CULTURALES,TALLERES;AYUDA MUTUA;SERVICIOS A LOS SOCIOS;
HOGAR NAVARRO / NAFARREN ETXEA;PLAZA NUEVA                                            5;48005;944150044;;;ASOCIACION;BIZKAIA;POBLACION EN GENERAL;CULTURA;SERV.INFORMACION/ASESORAMIENTO,RECURSOS/FONDO BIBLIOGRAFICO,SERVICIO ESTADISTICO/DE DATOS,CORO;SERVICIOS A LOS SOCIOS;SOLIDARIDAD;
AVIFES.ASOC.VIZCAINA FAMILIARES Y ENFERMOS PSIQUICOS;BARRIADA  SARRIKUE                                 S/N;48007;944456256;944456256;info@avifes.org;ASOCIACION;BIZKAIA;MINUSVALIDOS/AS;SALUD;ACTIV.OCIO,CULTURALES,TALLERES,AYUDA DOMICILIARIA,SERVICIO DE ORIENTACION,CENTROS Y/O TALL.OCUPACIONALES;REPRESENTACION Y/O DEFENSA;SERVICIOS A LOS SOCIOS;
CLUB DE JUBILADOS DE ATXURI LAGUN ZAHARRAK;ENCARNACION                                                                                      29           1º;48006;944157314;;;ASOCIACION;DISTRITO 5 IBAIONDO;TERCERA EDAD;INTERVENCIÓN SOCIAL;SERV.INFORMACION/ASESORAMIENTO,ACTIV.OCIO,CULTURALES,TALLERES,VISITAS CULTURALES/EXCURSIONES;SERVICIOS A LOS SOCIOS;REPRESENTACION Y/O DEFENSA;
ARETO - ASOCIACION DE JUBILADOS DE BEGO-OÑA;VIRGEN DE BEGOÑA                                                                     S/N;48006;944126805;944731108;jubilados@asocbegona.com;ASOCIACION;DISTRITO 4  BEGOÑA;TERCERA EDAD;INTERVENCIÓN SOCIAL;DIVULGACION:CHARLAS,CAMPAÑAS,LUGAR DE ENCUENTRO,VISITAS CULTURALES/EXCURSIONES,SERVICIO PELUQUERIA Y/O PODOL.;SERVICIOS A LOS SOCIOS;;
AGRUPA.BENEFICA AMIGOS DE ZABALA LA CARAVANA DE LA ALEGRIA;BRUNO ZABALA MAURICIO                                  35;48003;944150627;;;ASOCIACION;COMUNIDAD AUTONOMA;TERCERA EDAD;INTERVENCIÓN SOCIAL;REPRESEN/RECITALES/CONCIERTOS;SERVICIOS A LOS CIUDADANOS;;
ASOCIACION TERCERA EDAD GURE KABI;SAN ADRIAN                                                                                        34;48003;944221736;;;ASOCIACION;DISTRITO 5 IBAIONDO;TERCERA EDAD;INTERVENCIÓN SOCIAL;ACTIV.OCIO,CULTURALES,TALLERES;SERVICIOS A LOS SOCIOS;;
LIGA EUZKADI MUTILADOS E INVALIDOS GUERRA DE ESPAÑA 1936/39;LOPEZ DE HARO D. DIEGO                                 90        PP;48011;944418123;;;ASOCIACION;BIZKAIA;MINUSVALIDOS/AS;SOCIEDAD;SERV.INFORMACION/ASESORAMIENTO;REPRESENTACION Y/O DEFENSA;SERVICIOS A LOS SOCIOS;
CORAL SAN INAZIO;LEHENDAKARI AGUIRRE                                    186    C  6º;48014;944473569;;;ASOCIACION;DISTRITO 1 DEUSTO;ADULTOS/AS;CULTURA;REPRESEN/RECITALES/CONCIERTOS;SERVICIOS A LOS CIUDADANOS;;
ACAMBI ASOC.DE PERSONAS AFECTADAS DE CANCER DE MAMA DE BIZKAIA;GENERAL EGUIA                                          33        1º IZ;48013;944421283;944421283;info@acambibizkaia.org;ASOCIACION;BIZKAIA;AFECTADOS/ENFERMOS/AS;SALUD;SERV.INFORMACION/ASESORAMIENTO,DIVULGACION:CHARLAS,CAMPAÑAS;SERVICIOS A LOS CIUDADANOS;AYUDA MUTUA;
JOVENES ACCION CATOLICA CASCO VIEJO;RIBERA                                                                                             24        2º;48005;944153627;;;ASOCIACION;DISTRITO 5 IBAIONDO;JUVENTUD/ESTUDIANTES;SOCIEDAD;ACTIV.FORMATIVAS/EDUCATIVAS;CREACION DE OPINION;EDUCAR;
