NumeroExpediente;Coordinacion;Area;TipoContrato;ProcedimientoLicitacion;ObjetoContrato;Contratista;ImporteLicitacion;ImporteAdjudicacion;PreciosUnitarios;DuracionMeses;AnioAdjudicacion;Situacion;
100643000002;Coord. POLITICAS DE SOSTENIBILIDAD Y DESARROLLO URBANO;AREA DE OBRAS, SERVICIOS, REHABILITACION URBANA Y ESPACIO PUBLICO;Servicios;Concurso;Servicio de conservación y mantenimiento del alumbrado público.;TECUNI S.A.;13.556.000,00€;13.346.000,00€;--;48 meses;2012;En ejecución con modificado;
110998000026;--;--;Servicios;Concurso;Servicio de mantenimiento de la página web municipal.;AGORANET 2000 S.L.;400.000,00€;400.000,00€;validado;24 meses;2012;En Ejecución;
112003000006;Coord. POLITICAS CULTURALES, EUSKERA, EDUCACION, JUVENTUD Y DEPORTE;AREA DE JUVENTUD Y DEPORTE;Servicios;Concurso;Servicio de planificación, gestión y dinamización de los Haurgunes/Kidegunes.;ASOCIACIÓN EDUCATIVA ALDAIKA, GOZALDI GAZTE ELKARTEA, ASOCIACIÓN TENDEL, SUSPERGINTZA ELKARTEA , ERAGINTZA KULTUR ERAKUNDEA, ASOCIACIÓN D.C. GURE LURRA;145.158,00€;123.015,24€;--;--;2012;Finalizado;
112023000002;Coord. POLITICAS CULTURALES, EUSKERA, EDUCACION, JUVENTUD Y DEPORTE;AREA DE JUVENTUD Y DEPORTE;Servicios;Concurso;Servicio de planificación, gestión y dinamización de los Gaztegunes.;ASOCIACIÓN EDUCATIVA ALDAIKA, GOZALDI GAZTE ELKARTEA, SUSPERGINTZA ELKARTEA , ASOCIACIÓN TENDEL, ERAGINTZA KULTUR ERAKUNDEA, ASOCIACIÓN D.C. GURE LURRA;333.810,00€;282.889,81€;--;--;2012;Finalizado;
110619000010;Coord. POLITICAS DE SOSTENIBILIDAD Y DESARROLLO URBANO;AREA DE OBRAS, SERVICIOS, REHABILITACION URBANA Y ESPACIO PUBLICO;Obras;Negociado;Obras de habilitación de local para Centro de Mando y Control ( CMC) en el Edificio de Policía Municipal de Miribilla.;TECUNI S.A.;190.450,56€;188.547,08€;--;2 meses;2012;Finalizado;
110619000011;Coord. POLITICAS DE SOSTENIBILIDAD Y DESARROLLO URBANO;AREA DE OBRAS, SERVICIOS, REHABILITACION URBANA Y ESPACIO PUBLICO;Obras;Negociado;obras de reforma de local para CPD en planta sótano del Edificio de Policía Municipal. ;ELECTRICIDAD MARTIN S.A.;234.660,19€;163.742,30€;--;2 meses;2012;Finalizado;
112505000057;Coord. POLITICAS CULTURALES, EUSKERA, EDUCACION, JUVENTUD Y DEPORTE;AREA DE CULTURA;Suministro;Concurso;Material bibliográfico, audiovisual y multimedia para la Red de Bibliotecas Municipales. ;EUSKAL KULTURGINTZA S.A.;384.500,00€;384.500,00€;validado;24 meses;2012;Finalizado;
112505000058;Coord. POLITICAS CULTURALES, EUSKERA, EDUCACION, JUVENTUD Y DEPORTE;AREA DE CULTURA;Suministro;Concurso;Publicaciones periódicas  españolas y extranjeras para la Red de Bibliotecas Municipales. ;LIBRERÍA CÁMARA S.L.;159.200,00€;159.200,00€;validado;24 meses;2012;Finalizado;
112507000139;Coord. POLITICAS CULTURALES, EUSKERA, EDUCACION, JUVENTUD Y DEPORTE;AREA DE CULTURA;Servicios;Concurso;Programación y coordinación de actividades cinematográficas del Festival de Cine Fantástico de Bilbao (FANT 2012).;PACAY MEDIA S.L.;66.120,00€;55.330,20€;--;12 meses;2012;Finalizado;
112507000141;Coord. POLITICAS CULTURALES, EUSKERA, EDUCACION, JUVENTUD Y DEPORTE;AREA DE CULTURA;Servicios;Negociado;Servicio de diseño, confección y distribución de elementos de publicidad y comunicación para la programación escénica del Área de Cultura y Educación en el año 2012.;IMPACTO ESTRATEGIAS DE COMUNICACIÓN S.L.;69.561,00€;62.604,90€;--;12 meses;2012;Finalizado;
100644000002;Coord. POLITICAS DE SOSTENIBILIDAD Y DESARROLLO URBANO;AREA DE OBRAS, SERVICIOS, REHABILITACION URBANA Y ESPACIO PUBLICO;Servicios;Concurso;Explotación, mantenimiento y conservación de la E.T.A.P. , Estaciones de bombeo de Ibarra y el Berrón y la Estación Depuradora de Agua Residual de la perrera municipal de Bilbao ( EDAR).;ACCIONA AGUA S.A.;4.226.508,50€;4.166.013,00€;--;48 meses;2012;En ejecución de prorroga prevista en el contrato;
111010000017;Coord. POLITICAS DE SOSTENIBILIDAD Y DESARROLLO URBANO;AREA DE PLANIFICACION URBANA;Servicios;Negociado;Modificación puntual del PGOU en la punta de Zorroza y tareas de asesoramiento en la tramitación hasta su aprobación definitiva.;LKS INGENIERIA, S.COOP;70.800,00€;69.266,00€;--;18 meses;2012;Finalizado;
110629000004;Coord. POLITICAS DE SOSTENIBILIDAD Y DESARROLLO URBANO;AREA DE OBRAS, SERVICIOS, REHABILITACION URBANA Y ESPACIO PUBLICO;Suministro;Concurso;Suministro e instalación de mobiliario y equipamiento de la nueva sede de Policía Municipal y Bomberos en Miribilla;EL CORTE INGLÉS S.A., COMERCIAL DE INTERIORISMO S.L., BZ2 BILBAO S.L., HOSTELBERRI, S.L.
, SPORT STUDIO SERVICIOS DEPORTIVOS S.L., DRÄGER SAFETY HISPANIA, SA;1.800.876,25€;1.800.876,25€;validado;10 meses;2012;Finalizado;
112218000200;Coord. ALCALDIA, DESARROLLO ECONOMICO Y BUEN GOBIERNO;;Servicios;Concurso;Servicio de mantenimiento informático del Sistema Integral de Recursos Humanos del Ayuntamiento de Bilbao.;T-SYSTEMS ITC IBERIA, S.A.U.;129.033,00€;129.033,00€;validado;12 meses;2012;En Ejecución;
112508000009;Coord. POLITICAS CULTURALES, EUSKERA, EDUCACION, JUVENTUD Y DEPORTE;AREA DE CULTURA;Servicios;Concurso;Servicio consistente en la custodia, traslado, préstamo, organización y descripción del fondo documental del Archivo Municipal de Bilbao;ARCAL GRUPO NORTE, S.A.;1.020.000,00€;1.020.000,00€;validado;36 meses;2012;En ejecución de prorroga prevista en el contrato;
112507000143;Coord. POLITICAS CULTURALES, EUSKERA, EDUCACION, JUVENTUD Y DEPORTE;AREA DE CULTURA;Servicios;Negociado;Servicios de iluminación y sonido para programas de artes escénicas del Área de Cultura y Educación en el año 2012 (Bilboko Zirkuitua y Festivales Kaleszena, Kalealdia y BAD);OZENKI SOINU ARGIA S.L.L.;47.524,50€;47.524,50€;validado;10,5;2012;Finalizado;
113031000002;Coord. POLITICAS DE MOVILIDAD, MEDIO AMBIENTE, VIVIENDA Y DESARROLLO SALUDABLE;AREA DE MOVILIDAD Y SOSTENIBILIDAD;Servicios;Concurso;Servicio para el Desarrollo y Seguimiento de Proyectos de Tecnologías de Información y Comunicaciones aplicadas a la Movilidad y el Transporte.;IDOM INGENIERIA Y CONSULTORIA, S.A.;114.000,00€;114.000,00€;validado;24 meses;2012;En ejecución de prorroga prevista en el contrato;
