Tipo de indicador;Indicador;Descripción del indicador;Observaciones;Valor
INDICADORES FINANCIEROS Y PATRIMONIALES;Liquidez inmediata;Fondos líquidos / Obligaciones ptes pago;;0.64
INDICADORES FINANCIEROS Y PATRIMONIALES;Solvencia c/p;(Fondos líquidos + Derechos ptes cobro) / Obligaciones ptes pago;Descontada la provisión de insolvencias;1.17
INDICADORES FINANCIEROS Y PATRIMONIALES;Deuda / habitante;Pasivo exigible financiero / nº habitantes;Excluida devolución Udalkutxa;4 euros
INDICADORES FINANCIEROS Y PATRIMONIALES;Deuda / presupuesto;Pasivo exigible financiero / Presupuesto gastos;;0.22%
INDICADORES PRESUPUESTARIOS;Ejecución gastos;Obligaciones reconocidas netas / Créditos definitivos;;94%
INDICADORES PRESUPUESTARIOS;Realización pagos;Pagos líquidos / Obligaciones reconocidas netas;;93%
INDICADORES PRESUPUESTARIOS;Gasto / habitante;Obligaciones reconocidas netas / nº habitantes;;1565 euros
INDICADORES PRESUPUESTARIOS;Inversión / habitante;Obligaciones reconocidas netas (capt 6 y 7) / nº habitantes;;368 euros
INDICADORES PRESUPUESTARIOS;Esfuerzo inversor;Obligaciones reconocidas netas (capt 6 y 7) / Obligaciones reconocidas netas;;24%
INDICADORES PRESUPUESTARIOS;Periodo medio pago;Obligaciones ptes pago x 365 días / Obligaciones reconocidas netas;Todos los capitulos;25 días
INDICADORES PRESUPUESTARIOS;Periodo medio pago;(Obligaciones ptes pago x 365 días) / Obligaciones reconocidas netas;Capitulos 2 y 6;47 días
INDICADORES PRESUPUESTARIOS;Realización pagos;Pagos / (Saldo inicial obligaciones - anulaciones);;100%
INDICADORES PRESUPUESTARIOS;Ejecución ingresos;Derechos reconocidos netos / Previsiones definitivas;;101%
INDICADORES PRESUPUESTARIOS;Realización cobros;Recaudación neta / Derechos reconocidos netos;;93%
INDICADORES PRESUPUESTARIOS;Autonomia;Derechos reconocidos netos / Derechos reconocidos netos totales;Subvenciones y pasivos financieros excluidos;84%
INDICADORES PRESUPUESTARIOS;Autonomia fiscal;Derechos reconocidos netos tributarios / Derechos reconocidos netos totales;;26%
INDICADORES PRESUPUESTARIOS;Ingresos fiscales / habitante;Derechos reconocidos netos tributarios / nº habitantes;;424 euros
INDICADORES PRESUPUESTARIOS;Periodo medio cobro;Derechos ptes cobro x 365 días / derechos reconocidos netos;NOTA: capítulos 1 – 2 – 3;50 días
INDICADORES PRESUPUESTARIOS;Superávit / habitante;Resultado presupuestario ajustado / nº habitantes;;-17 euros
INDICADORES PRESUPUESTARIOS;Contribución del presupto al remanente tesorería;Resultado presuptario ajustado / Remanente tesorería gastos grales;;-133%
INDICADORES PRESUPUESTARIOS;Realización cobros;Cobros / (Saldo inicial derechos – anulaciones + rectifica);;66%
INDICADORES DE URBANISMO Y OBRAS PÚBLICAS;Inversión / habitante;Obligaciones reconocidas netas (capitulo 6) / nº habitantes;Gasto en inversión por habitante de los programas funcionales siguientes: a) dotaciones urbanísticas para equipamientos b) rehabilitación espacios degradados c) parques y jardines d) alumbrado público e) alcantarillado f) abastecimiento y depuración de aguas g) tratamiento y gestión de residuos h) protección y mejora del medio ambiente i) infraestructuras viarias.;165 euros
INDICADORES DE URBANISMO Y OBRAS PÚBLICAS;Gastos;Gastos derivados del urbanismo / Presupuesto total gastos;Gastos corrientes y de capital del programa funcional  “urbanismo y arquitectura”;14%
INDICADORES DE URBANISMO Y OBRAS PÚBLICAS;Ingresos;Ingresos derivados del urbanismo / Presupuesto total ingresos;"Impuesto de construcciones; tasa licencias urbanísticas; aprovechamientos urbanísticos y  enajenación de terrenos";4%
