Año;Mes;Fecha;Convocatoria(Pdf)
2010;Febrero;25-02-2010;http://www.bilbao.eus/cs/Satellite?blobcol=urldata&blobheader=application%2Fpdf&blobheadername1=Content-disposition&blobheadername2=pragma&blobheadervalue1=attachment%3B+filename%3Dconvocatoria_20100225.pdf&blobheadervalue2=public&blobkey=id&blobtable=MungoBlobs&blobwhere=1273761606867&ssbinary=true
2010;Febrero;24-02-2010;http://www.bilbao.eus/cs/Satellite?blobcol=urldata&blobheader=application%2Fpdf&blobheadername1=Content-disposition&blobheadername2=pragma&blobheadervalue1=attachment%3B+filename%3Dconvocatoria_20100224.pdf&blobheadervalue2=public&blobkey=id&blobtable=MungoBlobs&blobwhere=1273761606159&ssbinary=true
2010;Febrero;23-02-2010;http://www.bilbao.eus/cs/Satellite?blobcol=urldata&blobheader=application%2Fpdf&blobheadername1=Content-disposition&blobheadername2=pragma&blobheadervalue1=attachment%3B+filename%3Dconvocatoria_20100223.pdf&blobheadervalue2=public&blobkey=id&blobtable=MungoBlobs&blobwhere=1273761602161&ssbinary=true
2010;Febrero;22-02-2010;http://www.bilbao.eus/cs/Satellite?blobcol=urldata&blobheader=application%2Fpdf&blobheadername1=Content-disposition&blobheadername2=pragma&blobheadervalue1=attachment%3B+filename%3Dconvocatoria_20100222.pdf&blobheadervalue2=public&blobkey=id&blobtable=MungoBlobs&blobwhere=1273761602476&ssbinary=true
2010;Febrero;18-02-2010;http://www.bilbao.eus/cs/Satellite?blobcol=urldata&blobheader=application%2Fpdf&blobheadername1=Content-disposition&blobheadername2=pragma&blobheadervalue1=attachment%3B+filename%3Dconvocatoria_20100218.pdf&blobheadervalue2=public&blobkey=id&blobtable=MungoBlobs&blobwhere=1273761605247&ssbinary=true
2010;Febrero;15-02-2010;http://www.bilbao.eus/cs/Satellite?blobcol=urldata&blobheader=application%2Fpdf&blobheadername1=Content-disposition&blobheadername2=pragma&blobheadervalue1=attachment%3B+filename%3Dconvocatoria_20100215.pdf&blobheadervalue2=public&blobkey=id&blobtable=MungoBlobs&blobwhere=1273761602116&ssbinary=true
2010;Febrero;11-02-2010;http://www.bilbao.eus/cs/Satellite?blobcol=urldata&blobheader=application%2Fpdf&blobheadername1=Content-disposition&blobheadername2=pragma&blobheadervalue1=attachment%3B+filename%3Dconvocatoria_20100211.pdf&blobheadervalue2=public&blobkey=id&blobtable=MungoBlobs&blobwhere=1273761603125&ssbinary=true
2010;Febrero;04-02-2010;http://www.bilbao.eus/cs/Satellite?blobcol=urldata&blobheader=application%2Fpdf&blobheadername1=Content-disposition&blobheadername2=pragma&blobheadervalue1=attachment%3B+filename%3Dconvocatoria_20100204.pdf&blobheadervalue2=public&blobkey=id&blobtable=MungoBlobs&blobwhere=1273761603821&ssbinary=true
2010;Febrero;01-02-2010;http://www.bilbao.eus/cs/Satellite?blobcol=urldata&blobheader=application%2Fpdf&blobheadername1=Content-disposition&blobheadername2=pragma&blobheadervalue1=attachment%3B+filename%3Dconvocatoria_20100201.pdf&blobheadervalue2=public&blobkey=id&blobtable=MungoBlobs&blobwhere=1273761605835&ssbinary=true
2010;Abril;29-04-2010;http://www.bilbao.eus/cs/Satellite?blobcol=urldata&blobheader=application%2Fpdf&blobheadername1=Content-disposition&blobheadername2=pragma&blobheadervalue1=attachment%3B+filename%3Dconvocatoria_20100429.pdf&blobheadervalue2=public&blobkey=id&blobtable=MungoBlobs&blobwhere=1273761602521&ssbinary=true
2010;Abril;26-04-2010;http://www.bilbao.eus/cs/Satellite?blobcol=urldata&blobheader=application%2Fpdf&blobheadername1=Content-disposition&blobheadername2=pragma&blobheadervalue1=attachment%3B+filename%3Dconvocatoria_20100426.pdf&blobheadervalue2=public&blobkey=id&blobtable=MungoBlobs&blobwhere=1273761606994&ssbinary=true
