CODIGO BARRIO;BARRIO;SEXO;TOTAL
101;SAN IGNACIO              ;HOMBRES;5791
101;SAN IGNACIO              ;MUJERES;6649
102;ELORRIETA                ;HOMBRES;617
102;ELORRIETA                ;MUJERES;686
103;IBARREKOLANDA            ;HOMBRES;4771
103;IBARREKOLANDA            ;MUJERES;5426
104;SAN PEDRO DE DEUSTU      ;HOMBRES;9357
104;SAN PEDRO DE DEUSTU      ;MUJERES;10899
105;LA RIBERA                ;HOMBRES;207
105;LA RIBERA                ;MUJERES;215
106;ARANGOITI                ;HOMBRES;2103
106;ARANGOITI                ;MUJERES;2168
107;DISEMINADO               ;HOMBRES;47
107;DISEMINADO               ;MUJERES;41
201;CASTAÑOS                 ;HOMBRES;2580
201;CASTAÑOS                 ;MUJERES;3172
202;MATIKO                   ;HOMBRES;2419
202;MATIKO                   ;MUJERES;2779
203;CIUDAD JARDIN            ;HOMBRES;325
203;CIUDAD JARDIN            ;MUJERES;316
204;URIBARRI                 ;HOMBRES;6138
204;URIBARRI                 ;MUJERES;6807
205;ZURBARAN                 ;HOMBRES;4570
205;ZURBARAN                 ;MUJERES;5243
206;ARABELLA                 ;HOMBRES;732
206;ARABELLA                 ;MUJERES;847
207;DISEMINADO               ;HOMBRES;165
207;DISEMINADO               ;MUJERES;201
301;OTXARKOAGA               ;HOMBRES;4973
301;OTXARKOAGA               ;MUJERES;5142
302;TXURDINAGA               ;HOMBRES;7617
302;TXURDINAGA               ;MUJERES;8428
303;DISEMINADO               ;HOMBRES;41
303;DISEMINADO               ;MUJERES;53
401;BEGOÑA                   ;HOMBRES;2273
401;BEGOÑA                   ;MUJERES;2517
402;SANTUTXU                 ;HOMBRES;14920
402;SANTUTXU                 ;MUJERES;16898
403;BOLUETA                  ;HOMBRES;2050
403;BOLUETA                  ;MUJERES;2183
501;CASCO VIEJO              ;HOMBRES;3550
501;CASCO VIEJO              ;MUJERES;3972
502;ITURRALDE                ;HOMBRES;2816
502;ITURRALDE                ;MUJERES;3091
503;SOLOKOETXE               ;HOMBRES;2562
503;SOLOKOETXE               ;MUJERES;2852
504;ATXURI                   ;HOMBRES;2646
504;ATXURI                   ;MUJERES;2873
505;LA PEÑA                  ;HOMBRES;3630
505;LA PEÑA                  ;MUJERES;3822
506;BILBAO LA VIEJA          ;HOMBRES;2064
506;BILBAO LA VIEJA          ;MUJERES;1981
507;SAN FRANCISCO            ;HOMBRES;3632
507;SAN FRANCISCO            ;MUJERES;3187
508;ZABALA                   ;HOMBRES;2419
508;ZABALA                   ;MUJERES;2681
509;SAN ADRIAN               ;HOMBRES;2680
509;SAN ADRIAN               ;MUJERES;2958
510;DISEMINADO               ;HOMBRES;132
510;DISEMINADO               ;MUJERES;123
511;MIRIBILLA                ;HOMBRES;4169
511;MIRIBILLA                ;MUJERES;4091
601;ABANDO                   ;HOMBRES;10756
601;ABANDO                   ;MUJERES;12971
602;INDAUTXU                 ;HOMBRES;12159
602;INDAUTXU                 ;MUJERES;15268
701;AMETZOLA                 ;HOMBRES;5451
701;AMETZOLA                 ;MUJERES;6727
702;IRALABARRI               ;HOMBRES;5628
702;IRALABARRI               ;MUJERES;6375
703;ERREKALDEBERRI           ;HOMBRES;7870
703;ERREKALDEBERRI           ;MUJERES;8269
704;LARRASKITU               ;HOMBRES;1400
704;LARRASKITU               ;MUJERES;1429
705;URETAMENDI               ;HOMBRES;1261
705;URETAMENDI               ;MUJERES;1229
706;ITURRIGORRI-PEÑASCAL     ;HOMBRES;983
706;ITURRIGORRI-PEÑASCAL     ;MUJERES;900
707;DISEMINADO               ;HOMBRES;34
707;DISEMINADO               ;MUJERES;28
801;BASURTU                  ;HOMBRES;6455
801;BASURTU                  ;MUJERES;7764
802;OLABEAGA                 ;HOMBRES;601
802;OLABEAGA                 ;MUJERES;610
803;MASUSTEGI-MONTE CARAMELO ;HOMBRES;2038
803;MASUSTEGI-MONTE CARAMELO ;MUJERES;2065
804;ALTAMIRA                 ;HOMBRES;815
804;ALTAMIRA                 ;MUJERES;888
805;ZORROTZA                 ;HOMBRES;5390
805;ZORROTZA                 ;MUJERES;5774
806;DISEMINADO               ;HOMBRES;108
806;DISEMINADO               ;MUJERES;99
;;;345642
