CODIGO DISTRITO;NOMBRE DISTRITO;SECCIÓN;SEXO;TOTAL
1;DEUSTU                   ;02;HOMBRES;564
1;DEUSTU                   ;02;MUJERES;631
1;DEUSTU                   ;03;HOMBRES;333
1;DEUSTU                   ;03;MUJERES;442
1;DEUSTU                   ;05;HOMBRES;550
1;DEUSTU                   ;05;MUJERES;637
1;DEUSTU                   ;06;HOMBRES;705
1;DEUSTU                   ;06;MUJERES;757
1;DEUSTU                   ;07;HOMBRES;395
1;DEUSTU                   ;07;MUJERES;466
1;DEUSTU                   ;08;HOMBRES;309
1;DEUSTU                   ;08;MUJERES;335
1;DEUSTU                   ;09;HOMBRES;564
1;DEUSTU                   ;09;MUJERES;619
1;DEUSTU                   ;10;HOMBRES;749
1;DEUSTU                   ;10;MUJERES;833
1;DEUSTU                   ;11;HOMBRES;423
1;DEUSTU                   ;11;MUJERES;504
1;DEUSTU                   ;12;HOMBRES;318
1;DEUSTU                   ;12;MUJERES;414
1;DEUSTU                   ;13;HOMBRES;556
1;DEUSTU                   ;13;MUJERES;636
1;DEUSTU                   ;15;HOMBRES;325
1;DEUSTU                   ;15;MUJERES;375
1;DEUSTU                   ;16;HOMBRES;695
1;DEUSTU                   ;16;MUJERES;798
1;DEUSTU                   ;17;HOMBRES;503
1;DEUSTU                   ;17;MUJERES;617
1;DEUSTU                   ;18;HOMBRES;629
1;DEUSTU                   ;18;MUJERES;703
1;DEUSTU                   ;19;HOMBRES;490
1;DEUSTU                   ;19;MUJERES;510
1;DEUSTU                   ;20;HOMBRES;652
1;DEUSTU                   ;20;MUJERES;658
1;DEUSTU                   ;21;BEGOÑA                   ;413
1;DEUSTU                   ;21;MUJERES;548
1;DEUSTU                   ;22;HOMBRES;719
1;DEUSTU                   ;22;MUJERES;820
1;DEUSTU                   ;23;HOMBRES;670
1;DEUSTU                   ;23;MUJERES;772
1;DEUSTU                   ;25;HOMBRES;743
1;DEUSTU                   ;25;MUJERES;744
1;DEUSTU                   ;26;HOMBRES;684
1;DEUSTU                   ;26;MUJERES;790
1;DEUSTU                   ;27;HOMBRES;687
1;DEUSTU                   ;27;MUJERES;695
1;DEUSTU                   ;28;HOMBRES;664
1;DEUSTU                   ;28;MUJERES;661
1;DEUSTU                   ;29;HOMBRES;773
1;DEUSTU                   ;29;MUJERES;815
1;DEUSTU                   ;30;HOMBRES;745
1;DEUSTU                   ;30;MUJERES;815
1;DEUSTU                   ;31;HOMBRES;582
1;DEUSTU                   ;31;MUJERES;697
1;DEUSTU                   ;32;HOMBRES;644
1;DEUSTU                   ;32;MUJERES;787
1;DEUSTU                   ;33;HOMBRES;361
1;DEUSTU                   ;33;MUJERES;451
1;DEUSTU                   ;34;HOMBRES;271
1;DEUSTU                   ;34;MUJERES;354
1;DEUSTU                   ;35;HOMBRES;330
1;DEUSTU                   ;35;MUJERES;400
1;DEUSTU                   ;36;HOMBRES;299
1;DEUSTU                   ;36;MUJERES;432
1;DEUSTU                   ;37;HOMBRES;348
1;DEUSTU                   ;37;MUJERES;422
1;DEUSTU                   ;38;HOMBRES;800
1;DEUSTU                   ;38;MUJERES;927
1;DEUSTU                   ;39;HOMBRES;306
1;DEUSTU                   ;39;MUJERES;362
1;DEUSTU                   ;40;HOMBRES;308
1;DEUSTU                   ;40;MUJERES;413
1;DEUSTU                   ;41;HOMBRES;544
1;DEUSTU                   ;41;MUJERES;622
1;DEUSTU                   ;42;HOMBRES;873
1;DEUSTU                   ;42;MUJERES;960
1;DEUSTU                   ;43;HOMBRES;380
1;DEUSTU                   ;43;MUJERES;471
1;DEUSTU                   ;44;HOMBRES;629
1;DEUSTU                   ;44;MUJERES;706
1;DEUSTU                   ;45;HOMBRES;735
1;DEUSTU                   ;45;MUJERES;785
1;DEUSTU                   ;46;HOMBRES;625
1;DEUSTU                   ;46;MUJERES;700
2;URIBARRI                 ;01;HOMBRES;588
2;URIBARRI                 ;01;MUJERES;668
2;URIBARRI                 ;02;HOMBRES;359
2;URIBARRI                 ;02;MUJERES;346
2;URIBARRI                 ;03;HOMBRES;745
2;URIBARRI                 ;03;MUJERES;773
2;URIBARRI                 ;05;HOMBRES;522
2;URIBARRI                 ;05;MUJERES;524
2;URIBARRI                 ;06;HOMBRES;374
2;URIBARRI                 ;06;MUJERES;414
2;URIBARRI                 ;07;HOMBRES;368
2;URIBARRI                 ;07;MUJERES;428
2;URIBARRI                 ;08;HOMBRES;384
2;URIBARRI                 ;08;MUJERES;500
2;URIBARRI                 ;09;HOMBRES;424
2;URIBARRI                 ;09;MUJERES;443
2;URIBARRI                 ;10;HOMBRES;345
2;URIBARRI                 ;10;MUJERES;420
2;URIBARRI                 ;11;HOMBRES;633
2;URIBARRI                 ;11;MUJERES;704
2;URIBARRI                 ;12;HOMBRES;670
2;URIBARRI                 ;12;MUJERES;779
2;URIBARRI                 ;13;HOMBRES;646
2;URIBARRI                 ;13;MUJERES;732
2;URIBARRI                 ;14;HOMBRES;446
2;URIBARRI                 ;14;MUJERES;497
2;URIBARRI                 ;15;HOMBRES;444
2;URIBARRI                 ;15;MUJERES;520
2;URIBARRI                 ;16;HOMBRES;485
2;URIBARRI                 ;16;MUJERES;570
2;URIBARRI                 ;18;HOMBRES;439
2;URIBARRI                 ;18;MUJERES;518
2;URIBARRI                 ;19;HOMBRES;643
2;URIBARRI                 ;19;MUJERES;721
2;URIBARRI                 ;20;HOMBRES;648
2;URIBARRI                 ;20;MUJERES;681
2;URIBARRI                 ;21;HOMBRES;482
2;URIBARRI                 ;21;MUJERES;551
2;URIBARRI                 ;22;HOMBRES;550
2;URIBARRI                 ;22;MUJERES;614
2;URIBARRI                 ;23;HOMBRES;361
2;URIBARRI                 ;23;MUJERES;444
2;URIBARRI                 ;24;HOMBRES;447
2;URIBARRI                 ;24;MUJERES;515
2;URIBARRI                 ;25;HOMBRES;648
2;URIBARRI                 ;25;MUJERES;782
2;URIBARRI                 ;26;HOMBRES;685
2;URIBARRI                 ;26;MUJERES;752
2;URIBARRI                 ;27;HOMBRES;482
2;URIBARRI                 ;27;MUJERES;539
2;URIBARRI                 ;28;HOMBRES;367
2;URIBARRI                 ;28;MUJERES;401
2;URIBARRI                 ;29;HOMBRES;524
2;URIBARRI                 ;29;MUJERES;623
2;URIBARRI                 ;30;HOMBRES;475
2;URIBARRI                 ;30;MUJERES;546
2;URIBARRI                 ;31;HOMBRES;648
2;URIBARRI                 ;31;MUJERES;845
2;URIBARRI                 ;32;HOMBRES;621
2;URIBARRI                 ;32;MUJERES;754
2;URIBARRI                 ;33;HOMBRES;602
2;URIBARRI                 ;33;MUJERES;736
2;URIBARRI                 ;34;HOMBRES;538
2;URIBARRI                 ;34;MUJERES;631
2;URIBARRI                 ;35;HOMBRES;336
2;URIBARRI                 ;35;MUJERES;394
3;OTXARKOAGA-TXURDINAGA    ;01;HOMBRES;914
3;OTXARKOAGA-TXURDINAGA    ;01;MUJERES;1010
3;OTXARKOAGA-TXURDINAGA    ;02;HOMBRES;570
3;OTXARKOAGA-TXURDINAGA    ;02;MUJERES;587
3;OTXARKOAGA-TXURDINAGA    ;03;HOMBRES;533
3;OTXARKOAGA-TXURDINAGA    ;03;MUJERES;575
3;OTXARKOAGA-TXURDINAGA    ;05;HOMBRES;817
