uri,rdfs_label,om_tieneEnlaceSIG,om_situadoEnVia,om_numeroPlazas,schema_description,rdfs_comment,locn_geometry
http://opendata.caceres.es/recurso/transporte/aparcamientos/AparcamientoCiudadMonumental/11,Aparcamiento Ciudad Monumental 11,http://sig.caceres.es/serweb/fichasig/fichaparking.php?mslink=12,http://opendata.caceres.es/recurso/urbanismo-infraestructuras/vias/Via/calle-32,3,Aparcamiento 11 de la Ciudad Monumental en la calle Ancha,Reservado Parador,"[[[-6.37163959299,39.4724653456],[-6.37159233375,39.4724498426],[-6.37162158126,39.4723962879],[-6.37166884047,39.4724117908],[-6.37163959299,39.4724653456]]]"
http://opendata.caceres.es/recurso/transporte/aparcamientos/AparcamientoCiudadMonumental/18,Aparcamiento Ciudad Monumental 18,http://sig.caceres.es/serweb/fichasig/fichaparking.php?mslink=19,http://opendata.caceres.es/recurso/urbanismo-infraestructuras/vias/Via/plaza-3547,2,Aparcamiento 18 de la Ciudad Monumental en la plaza Del Socorro,Una De Las Plazas Se Encuentra En Vado,"[[[-6.36969108361,39.4754359667],[-6.36965830813,39.4754618062],[-6.36962237783,39.4754331472],[-6.36965561877,39.4754072183],[-6.36969108361,39.4754359667]]]"
http://opendata.caceres.es/recurso/transporte/aparcamientos/AparcamientoCiudadMonumental/20,Aparcamiento Ciudad Monumental 20,http://sig.caceres.es/serweb/fichasig/fichaparking.php?mslink=21,http://opendata.caceres.es/recurso/urbanismo-infraestructuras/vias/Via/calle-358,8,Aparcamiento 20 de la Ciudad Monumental en la calle Olmos,Reservado Parking Parador,"[[[-6.37207847247,39.4726027871],[-6.37202885213,39.4725926406],[-6.37208367143,39.4724316071],[-6.37213329167,39.4724417535],[-6.37207847247,39.4726027871]]]"
http://opendata.caceres.es/recurso/transporte/aparcamientos/AparcamientoCiudadMonumental/21,Aparcamiento Ciudad Monumental 21,http://sig.caceres.es/serweb/fichasig/fichaparking.php?mslink=22,http://opendata.caceres.es/recurso/urbanismo-infraestructuras/vias/Via/calle-358,3,Aparcamiento 21 de la Ciudad Monumental en la calle Olmos,Reservado Parking Parador,"[[[-6.37219416034,39.4724455503],[-6.37217563248,39.4724418078],[-6.3722177862,39.4723164541],[-6.37223631403,39.4723201966],[-6.37219416034,39.4724455503]]]"
http://opendata.caceres.es/recurso/transporte/aparcamientos/AparcamientoCiudadMonumental/0,Aparcamiento Ciudad Monumental 0,http://sig.caceres.es/serweb/fichasig/fichaparking.php?mslink=1,http://opendata.caceres.es/recurso/urbanismo-infraestructuras/vias/Via/calle-193,2,Aparcamiento 0 de la Ciudad Monumental en la calle Fuente Concejo,,"[[[-6.36912625145,39.473401599],[-6.36909177246,39.4733774459],[-6.36907205797,39.4734143686],[-6.3691062468,39.4734382258],[-6.36912625145,39.473401599]]]"
http://opendata.caceres.es/recurso/transporte/aparcamientos/AparcamientoCiudadMonumental/1,Aparcamiento Ciudad Monumental 1,http://sig.caceres.es/serweb/fichasig/fichaparking.php?mslink=2,http://opendata.caceres.es/recurso/urbanismo-infraestructuras/vias/Via/calle-23,5,Aparcamiento 1 de la Ciudad Monumental en la calle Adarve Del Obispo Alvarez De Castro,,"[[[-6.37011264688,39.4753936327],[-6.37010306914,39.4754064822],[-6.36984616595,39.4752871224],[-6.3698561602,39.4752740888],[-6.37011264688,39.4753936327]]]"
http://opendata.caceres.es/recurso/transporte/aparcamientos/AparcamientoCiudadMonumental/10,Aparcamiento Ciudad Monumental 10,http://sig.caceres.es/serweb/fichasig/fichaparking.php?mslink=11,http://opendata.caceres.es/recurso/urbanismo-infraestructuras/vias/Via/cuesta-302,7,Aparcamiento 10 de la Ciudad Monumental en la calle Del Marques,,"[[[-6.36957619377,39.4737420946],[-6.36915738776,39.4735970457],[-6.36916444203,39.4735832502],[-6.36958362528,39.4737280697],[-6.36957619377,39.4737420946]]]"
http://opendata.caceres.es/recurso/transporte/aparcamientos/AparcamientoCiudadMonumental/12,Aparcamiento Ciudad Monumental 12,http://sig.caceres.es/serweb/fichasig/fichaparking.php?mslink=13,http://opendata.caceres.es/recurso/urbanismo-infraestructuras/vias/Via/plaza-3322,6,Aparcamiento 12 de la Ciudad Monumental en la plaza De Los Caldereros,,"[[[-6.37150842806,39.4742065622],[-6.37135158093,39.4741391582],[-6.37135315333,39.4741021092],[-6.37150979026,39.4741668031],[-6.37150842806,39.4742065622]]]"
http://opendata.caceres.es/recurso/transporte/aparcamientos/AparcamientoCiudadMonumental/13,Aparcamiento Ciudad Monumental 13,http://sig.caceres.es/serweb/fichasig/fichaparking.php?mslink=14,http://opendata.caceres.es/recurso/urbanismo-infraestructuras/vias/Via/calle-3487,6,Aparcamiento 13 de la Ciudad Monumental en la calle Barrio De San Antonio,,"[[[-6.36993699302,39.4724454709],[-6.36990578773,39.47247728],[-6.36977573366,39.472400643],[-6.36980693897,39.4723688339],[-6.36993699302,39.4724454709]]]"
http://opendata.caceres.es/recurso/transporte/aparcamientos/AparcamientoCiudadMonumental/14,Aparcamiento Ciudad Monumental 14,http://sig.caceres.es/serweb/fichasig/fichaparking.php?mslink=15,http://opendata.caceres.es/recurso/urbanismo-infraestructuras/vias/Via/calle-3487,10,Aparcamiento 14 de la Ciudad Monumental en la calle Barrio De San Antonio,,"[[[-6.36995220516,39.4724212167],[-6.37001971108,39.4723528813],[-6.36991328631,39.4722897307],[-6.36984578035,39.472358066],[-6.36995220516,39.4724212167]]]"
