uri,geo_long,geo_lat,rdfs_label,om_situadoEnVia,om_numeroPlazas
http://opendata.caceres.es/recurso/transporte/aparcamientos/AparcamientoMotos/0,-6.37409153066,39.4690880069,Aparcamiento para motos 0,http://opendata.caceres.es/recurso/urbanismo-infraestructuras/vias/Via/calle-3557,6
http://opendata.caceres.es/recurso/transporte/aparcamientos/AparcamientoMotos/1,-6.38141161241,39.4675436912,Aparcamiento para motos 1,http://opendata.caceres.es/recurso/urbanismo-infraestructuras/vias/Via/calle-57,9
http://opendata.caceres.es/recurso/transporte/aparcamientos/AparcamientoMotos/10,-6.37795053628,39.4670833182,Aparcamiento para motos 10,http://opendata.caceres.es/recurso/urbanismo-infraestructuras/vias/Via/avda-1390,8
http://opendata.caceres.es/recurso/transporte/aparcamientos/AparcamientoMotos/11,-6.36791932626,39.4625030729,Aparcamiento para motos 11,http://opendata.caceres.es/recurso/urbanismo-infraestructuras/vias/Via/avda-1288,6
http://opendata.caceres.es/recurso/transporte/aparcamientos/AparcamientoMotos/12,-6.36914716849,39.462397394,Aparcamiento para motos 12,http://opendata.caceres.es/recurso/urbanismo-infraestructuras/vias/Via/avda-1288,6
http://opendata.caceres.es/recurso/transporte/aparcamientos/AparcamientoMotos/13,-6.37781224406,39.4688798106,Aparcamiento para motos 13,http://opendata.caceres.es/recurso/urbanismo-infraestructuras/vias/Via/calle-1135,12
http://opendata.caceres.es/recurso/transporte/aparcamientos/AparcamientoMotos/14,-6.37464626341,39.472388788,Aparcamiento para motos 14,http://opendata.caceres.es/recurso/urbanismo-infraestructuras/vias/Via/calle-186,5
http://opendata.caceres.es/recurso/transporte/aparcamientos/AparcamientoMotos/15,-6.37182502369,39.4689020328,Aparcamiento para motos 15,http://opendata.caceres.es/recurso/urbanismo-infraestructuras/vias/Via/avda-1142,8
http://opendata.caceres.es/recurso/transporte/aparcamientos/AparcamientoMotos/16,-6.37124289465,39.4652583331,Aparcamiento para motos 16,http://opendata.caceres.es/recurso/urbanismo-infraestructuras/vias/Via/avda-1142,15
http://opendata.caceres.es/recurso/transporte/aparcamientos/AparcamientoMotos/17,-6.37380366115,39.4680130362,Aparcamiento para motos 17,http://opendata.caceres.es/recurso/urbanismo-infraestructuras/vias/Via/cuesta-4013,6
http://opendata.caceres.es/recurso/transporte/aparcamientos/AparcamientoMotos/18,-6.36756074545,39.4657233763,Aparcamiento para motos 18,http://opendata.caceres.es/recurso/urbanismo-infraestructuras/vias/Via/ronda-1427,2
http://opendata.caceres.es/recurso/transporte/aparcamientos/AparcamientoMotos/19,-6.36724087528,39.4634798275,Aparcamiento para motos 19,http://opendata.caceres.es/recurso/urbanismo-infraestructuras/vias/Via/ronda-1427,5
http://opendata.caceres.es/recurso/transporte/aparcamientos/AparcamientoMotos/2,-6.37903165333,39.4681308157,Aparcamiento para motos 2,http://opendata.caceres.es/recurso/urbanismo-infraestructuras/vias/Via/avda-1576,5
http://opendata.caceres.es/recurso/transporte/aparcamientos/AparcamientoMotos/20,-6.36703468476,39.4628153811,Aparcamiento para motos 20,http://opendata.caceres.es/recurso/urbanismo-infraestructuras/vias/Via/ronda-1427,12
http://opendata.caceres.es/recurso/transporte/aparcamientos/AparcamientoMotos/21,-6.37308308049,39.4694831156,Aparcamiento para motos 21,http://opendata.caceres.es/recurso/urbanismo-infraestructuras/vias/Via/calle-393,5
http://opendata.caceres.es/recurso/transporte/aparcamientos/AparcamientoMotos/22,-6.37631646359,39.4723909643,Aparcamiento para motos 22,http://opendata.caceres.es/recurso/urbanismo-infraestructuras/vias/Via/avda-3048,20
http://opendata.caceres.es/recurso/transporte/aparcamientos/AparcamientoMotos/23,-6.37716977501,39.4712345831,Aparcamiento para motos 23,http://opendata.caceres.es/recurso/urbanismo-infraestructuras/vias/Via/avda-3048,6
http://opendata.caceres.es/recurso/transporte/aparcamientos/AparcamientoMotos/24,-6.38424503194,39.4678541693,Aparcamiento para motos 24,http://opendata.caceres.es/recurso/urbanismo-infraestructuras/vias/Via/calle-3626,5
http://opendata.caceres.es/recurso/transporte/aparcamientos/AparcamientoMotos/25,-6.3732181682,39.4735265283,Aparcamiento para motos 25,http://opendata.caceres.es/recurso/urbanismo-infraestructuras/vias/Via/plaza-1766,10
http://opendata.caceres.es/recurso/transporte/aparcamientos/AparcamientoMotos/26,-6.37344011271,39.4736559626,Aparcamiento para motos 26,http://opendata.caceres.es/recurso/urbanismo-infraestructuras/vias/Via/plaza-1766,10
http://opendata.caceres.es/recurso/transporte/aparcamientos/AparcamientoMotos/27,-6.3870881498,39.4688263733,Aparcamiento para motos 27,http://opendata.caceres.es/recurso/urbanismo-infraestructuras/vias/Via/avda-3497,3
http://opendata.caceres.es/recurso/transporte/aparcamientos/AparcamientoMotos/28,-6.38729664601,39.4684624598,Aparcamiento para motos 28,http://opendata.caceres.es/recurso/urbanismo-infraestructuras/vias/Via/avda-3497,3
http://opendata.caceres.es/recurso/transporte/aparcamientos/AparcamientoMotos/29,-6.38702081619,39.4683661188,Aparcamiento para motos 29,http://opendata.caceres.es/recurso/urbanismo-infraestructuras/vias/Via/avda-3497,3
http://opendata.caceres.es/recurso/transporte/aparcamientos/AparcamientoMotos/3,-6.37908006713,39.4680697559,Aparcamiento para motos 3,http://opendata.caceres.es/recurso/urbanismo-infraestructuras/vias/Via/avda-1576,5
http://opendata.caceres.es/recurso/transporte/aparcamientos/AparcamientoMotos/30,-6.37772119437,39.4731515237,Aparcamiento para motos 30,http://opendata.caceres.es/recurso/urbanismo-infraestructuras/vias/Via/calle-17,4
http://opendata.caceres.es/recurso/transporte/aparcamientos/AparcamientoMotos/31,-6.36804024527,39.4671977553,Aparcamiento para motos 31,http://opendata.caceres.es/recurso/urbanismo-infraestructuras/vias/Via/ronda-1427,8
http://opendata.caceres.es/recurso/transporte/aparcamientos/AparcamientoMotos/32,-6.37903519732,39.4697326743,Aparcamiento para motos 32,http://opendata.caceres.es/recurso/urbanismo-infraestructuras/vias/Via/avda-3048,6
http://opendata.caceres.es/recurso/transporte/aparcamientos/AparcamientoMotos/33,-6.36650480285,39.4728964671,Aparcamiento para motos 33,http://opendata.caceres.es/recurso/urbanismo-infraestructuras/vias/Via/calle-193,8
http://opendata.caceres.es/recurso/transporte/aparcamientos/AparcamientoMotos/34,-6.38170695653,39.4631844247,Aparcamiento para motos 34,http://opendata.caceres.es/recurso/urbanismo-infraestructuras/vias/Via/calle-3433,6
http://opendata.caceres.es/recurso/transporte/aparcamientos/AparcamientoMotos/35,-6.39086687967,39.4466113751,Aparcamiento para motos 35,http://opendata.caceres.es/recurso/urbanismo-infraestructuras/vias/Via/calle-3478,10
http://opendata.caceres.es/recurso/transporte/aparcamientos/AparcamientoMotos/4,-6.37923419836,39.4670768932,Aparcamiento para motos 4,http://opendata.caceres.es/recurso/urbanismo-infraestructuras/vias/Via/avda-1576,9
http://opendata.caceres.es/recurso/transporte/aparcamientos/AparcamientoMotos/5,-6.37910802051,39.4669155395,Aparcamiento para motos 5,http://opendata.caceres.es/recurso/urbanismo-infraestructuras/vias/Via/avda-1576,9
http://opendata.caceres.es/recurso/transporte/aparcamientos/AparcamientoMotos/8,-6.38903966102,39.4683883005,Aparcamiento para motos 8,http://opendata.caceres.es/recurso/urbanismo-infraestructuras/vias/Via/calle-3446,15
http://opendata.caceres.es/recurso/transporte/aparcamientos/AparcamientoMotos/9,-6.3765536808,39.4733247976,Aparcamiento para motos 9,http://opendata.caceres.es/recurso/urbanismo-infraestructuras/vias/Via/calle-17,4
