uri,rdfs_comment,geo_long,geo_lat,om_seccionProcedencia,om_horarioEvento,event_place,om_categoriaEvento,rdfs_label,event_time_intervalStarts,event_time_intervalFinishes,subEvent
http://opendata.caceres.es/recurso/cultura-ocio/agenda/Evento/57,"programación cultura cerca de ti mes de abril es un resumen de todos los eventos, con sus días y horas.",-6.370543,39.458937,Cultura,durante todo el mes de abril,http://opendata.caceres.es/recurso/cultura-ocio/cultura/CasaCultura/1-casa-de-cultura-antonio-rodriguez-monino,Otros,"Programación cultura cerca de ti mes de abril es un resumen de todos los eventos, con sus días y horas.",2017-04-03T00:00:00Z,2017-04-30T00:00:00Z,""
http://opendata.caceres.es/recurso/cultura-ocio/agenda/Evento/184,agenda cultural mes de octubre 2017,0,0,Cultura,"lunes a viernes de 8,00 a 15,00 y de 16,30 a 20,00 h",,Otros,Agenda cultural mes de octubre 2017,2017-10-02T00:00:00Z,2017-10-31T00:00:00Z,""
http://opendata.caceres.es/recurso/cultura-ocio/agenda/Evento/6,xi media maratón cáceres patrimonio de la humanidad,-6.37817,39.47048,Deportes,salida 11 horas,http://opendata.caceres.es/recurso/medio-ambiente/parques/Parque/7-parque-de-canovas,Deportes,Xi media maraton caceres patrimonio de la humanidad,2017-04-02T00:00:00Z,2017-04-02T00:00:00Z,http://opendata.caceres.es/recurso/cultura-ocio/agenda/Evento/6-3; http://opendata.caceres.es/recurso/cultura-ocio/agenda/Evento/6-2; http://opendata.caceres.es/recurso/cultura-ocio/agenda/Evento/6-1; http://opendata.caceres.es/recurso/cultura-ocio/agenda/Evento/6-0
http://opendata.caceres.es/recurso/cultura-ocio/agenda/Evento/13-1,,,,,,http://opendata.caceres.es/recurso/urbanismo-infraestructuras/barrios/Barrio/11-ciudad-monumental,,Festival de las aves,2017-05-19T14:06:17Z,2017-05-21T14:06:17Z,""
http://opendata.caceres.es/recurso/cultura-ocio/agenda/Evento/103,"programación ""cultura cerca de ti"" del mes de junio.",-6.370543,39.458937,Cultura,mes de junio,http://opendata.caceres.es/recurso/cultura-ocio/cultura/CasaCultura/1-casa-de-cultura-antonio-rodriguez-monino,Otros,Programación cultura cerca de ti del mes de junio.,2017-06-01T00:00:00Z,2017-06-30T00:00:00Z,""
http://opendata.caceres.es/recurso/cultura-ocio/agenda/Evento/4,"celebración de la fiesta popular de los santos mártires en el paseo alto de cáceres. la misa será a las 12 de la mañana, será cantada por el grupo alborada y posterior actuación de la banda municipal.",-6.37669,39.48285,Festejos,"11,00 a 14,30",http://opendata.caceres.es/recurso/urbanismo-infraestructuras/barrios/Barrio/48-paseo-alto,Fiesta popular,Los santos mártires,2017-01-22T00:00:00Z,2017-01-22T00:00:00Z,""
http://opendata.caceres.es/recurso/cultura-ocio/agenda/Evento/108,concierto al aire libre de jazz de la bing band del conservatorio hermanos berzosa.,-6.370543,39.458937,Cultura,jueves 8 de junio a las 20.00 horas,http://opendata.caceres.es/recurso/cultura-ocio/cultura/CasaCultura/1-casa-de-cultura-antonio-rodriguez-monino,Concierto,Concierto al aire libre de jazz de la bing band del conservatorio hermanos berzosa,2017-06-08T00:00:00Z,2017-06-08T00:00:00Z,""
http://opendata.caceres.es/recurso/cultura-ocio/agenda/Evento/111,"disfruta de la mano de la actriztitiritera narradora, julia gimaré navarro, del teatro en valores a través de cinco pequeñas historias con un mismo hilo conductor; el mundo de los comediantes y los titiritéros. dirigida a niños de todas las generaciones. ¡contamos contigo y tus niños!",-6.372852,39.475528,Cultura ( Biblioteca),"19,30 horas.",http://opendata.caceres.es/recurso/turismo/monumentos/Monumento/86-palacio-de-la-isla,Otros,Cuentacuentos y marionetas  lo pequeño es hermoso,2017-06-16T00:00:00Z,2017-06-16T00:00:00Z,""
http://opendata.caceres.es/recurso/cultura-ocio/agenda/Evento/24,"son dibujos realizados con rotulador negro calibrado de 0,4mm, algunos de loscuales tienen unas tímidas pinceladas en color. el tema principal son las calles y rincones nocturnos del recinto monumental y zona centro de cáceres. utiliza contrastes de luces y sombras que realza el volumen de la composición y le da profundidad.",-6.372852,39.475528,Cultura,"mañanas de 8,30 a 2,30 tardes 4,30 a 20,00 horas",http://opendata.caceres.es/recurso/turismo/monumentos/Monumento/86-palacio-de-la-isla,Exposición,Exposición luces en la noche,2017-02-10T00:00:00Z,2017-02-28T00:00:00Z,""
http://opendata.caceres.es/recurso/cultura-ocio/agenda/Evento/110,"concierto de ensemble de saxofones del conservatorio ofical de música hermanos berzosa 9 de junio a las 20.00 h, para todos los públicos",-6.370159,39.496473,Cultura,viernes 9 de junio a las 20.00 horas,http://opendata.caceres.es/recurso/cultura-ocio/cultura/CasaCultura/2-casa-de-cultura-mejostilla,Concierto,Concierto de ensemble de saxofones del conservatorio ofical de música hermanos berzosa.,2017-06-09T00:00:00Z,2017-06-09T00:00:00Z,""
