uri,geo_long,geo_lat,om_serviciosPiscina,om_precioAdultoFestivo,om_precioNinoDiario,om_precioNinoFestivo,om_precioAdultoDiario,rdfs_label,horarios
http://opendata.caceres.es/recurso/deporte/piscinas/PiscinaMunicipal/3-piscina-de-san-jorge,-6.366083,39.484056,Cafetería I Restaurante I Terraza.,2.5,1.5,2,2,Piscina de San Jorge,Horario desde 01-08-2016 12:00:00-21:00:00; Horario hasta 31-07-2016 12:00:00-21:00:00
http://opendata.caceres.es/recurso/deporte/piscinas/PiscinaMunicipal/9-piscina-universidad-de-extremadura,-6.343812,39.480601,Cafetería I Terraza.,4,2,2,4,Piscina Universidad de Extremadura,Horario desde 01-08-2016 12:00:00-20:45:00; Horario hasta 31-07-2016 12:00:00-20:45:00
http://opendata.caceres.es/recurso/deporte/piscinas/PiscinaMunicipal/2-piscina-parque-del-principe,-6.380806,39.475361,Cafetería I Restaurante I Terraza.,2.5,1.5,2,2,Piscina Parque del Príncipe,Horario desde 01-08-2016 12:00:00-21:00:00; Horario hasta 31-07-2016 12:00:00-22:00:00
http://opendata.caceres.es/recurso/deporte/piscinas/PiscinaMunicipal/1-area-de-recreo-guadipark,-6.298861,39.484861,Chiringuito en zona de playa I Cafetería I Restaurante I Zona de juegos infantiles I Gimnasio I Aulas I Pistas deportivas I Barbacoa.,2.8,2,2.5,2.5,Área de Recreo Guadipark,Horario desde 01-08-2016 11:00:00-23:00:00; Horario hasta 31-07-2016 11:00:00-23:00:00
http://opendata.caceres.es/recurso/deporte/piscinas/PiscinaMunicipal/7-piscinas-de-rincon-de-ballesteros,-6.391972,39.196444,Cafetería.,2.5,1.5,2,2,Piscinas de Rincón de Ballesteros, -
http://opendata.caceres.es/recurso/deporte/piscinas/PiscinaMunicipal/6-piscina-de-valdesalor,-6.350573,39.377791,Cafetería I Restaurante I Terraza.,2.5,1.5,2,2,Piscina de Valdesalor,Horario desde 01-08-2016 12:00:00-21:00:00; Horario hasta 31-07-2016 12:00:00-21:00:00
http://opendata.caceres.es/recurso/deporte/piscinas/PiscinaMunicipal/8-piscina-verano-ciudad-deportiva,-6.37114,39.464111,Cafetería.,2.2,1.44,1.83,1.83,Piscina Verano Ciudad Deportiva,Horario desde 01-08-2016 10:00:00-21:00:00; Horario hasta 31-07-2016 10:00:00-21:00:00
http://opendata.caceres.es/recurso/deporte/piscinas/PiscinaMunicipal/4-piscina-de-aldea-moret,-6.391528,39.454528,,3.2,1.7,2.7,2.2,Piscina de Aldea Moret,Horario desde 01-08-2016 15:00:00-20:00:00; Horario hasta 31-07-2016 15:00:00-20:00:00
http://opendata.caceres.es/recurso/deporte/piscinas/PiscinaMunicipal/5-piscina-de-agustin-ramos-guija,-6.358111,39.500778,Cafetería I Restaurante I Terraza.,2.5,1.5,2,2,Piscina de Agustín Ramos Guija,Horario desde 01-08-2016 12:00:00-21:00:00; Horario hasta 31-07-2016 12:00:00-21:00:00
http://opendata.caceres.es/recurso/deporte/piscinas/PiscinaMunicipal/0-camping-ciudad-de-caceres,-6.412889,39.488528,"Cafetería I Restaurante I Terraza I Juegos infantiles, Parque de bolas y Castillo inflable.",3.3,1.8,2.3,2.3,Camping Ciudad de Cáceres,Horario desde 01-08-2016 11:00:00-21:00:00; Horario hasta 31-07-2016 11:00:00-21:00:00
