uri,rdfs_label,om_ejercicioEconomico,om_presupuestoFormadoPor,om_entidadOrdenantePresupuesto,om_fechaAprobacionPresupuesto,om_presupuestoFormadoPor_numeroCapitulo,om_presupuestoFormadoPor_cantidadCapitulo,om_presupuestoFormadoPor_denominacionCapitulo,om_presupuestoFormadoPor_tipoApunteCapitulo,om_presupuestoFormadoPor_tipoOperacionCapitulo
http://opendata.caceres.es/recurso/sector-publico/presupuestos/PresupuestoEntidadLocal/2016-1-AYTO,Presupuesto del Ayuntamiento 2016,2016,http://opendata.caceres.es/recurso/sector-publico/presupuestos/CapituloPresupuestoEntidadLocal/2016-1-AYTO-Gasto1,Ayuntamiento,9/12/2015,1,22449704.52,Gastos De Personal,Gasto,No Financiera Corriente
http://opendata.caceres.es/recurso/sector-publico/presupuestos/PresupuestoEntidadLocal/2016-1-AYTO,Presupuesto del Ayuntamiento 2016,2016,http://opendata.caceres.es/recurso/sector-publico/presupuestos/CapituloPresupuestoEntidadLocal/2016-1-AYTO-Gasto2,Ayuntamiento,9/12/2015,2,23232121.78,Gastos Corrientes En Bienes Y Servicios,Gasto,No Financiera Corriente
http://opendata.caceres.es/recurso/sector-publico/presupuestos/PresupuestoEntidadLocal/2016-1-AYTO,Presupuesto del Ayuntamiento 2016,2016,http://opendata.caceres.es/recurso/sector-publico/presupuestos/CapituloPresupuestoEntidadLocal/2016-1-AYTO-Gasto3,Ayuntamiento,9/12/2015,3,497000,Gastos Financieros,Gasto,No Financiera Corriente
http://opendata.caceres.es/recurso/sector-publico/presupuestos/PresupuestoEntidadLocal/2016-1-AYTO,Presupuesto del Ayuntamiento 2016,2016,http://opendata.caceres.es/recurso/sector-publico/presupuestos/CapituloPresupuestoEntidadLocal/2016-1-AYTO-Gasto4,Ayuntamiento,9/12/2015,4,10399296.97,Transferencias Corrientes,Gasto,No Financiera Corriente
http://opendata.caceres.es/recurso/sector-publico/presupuestos/PresupuestoEntidadLocal/2016-1-AYTO,Presupuesto del Ayuntamiento 2016,2016,http://opendata.caceres.es/recurso/sector-publico/presupuestos/CapituloPresupuestoEntidadLocal/2016-1-AYTO-Gasto5,Ayuntamiento,9/12/2015,5,290000,Fondo De Contingencia Y Otros Imprevistos,Gasto,No Financiera Corriente
http://opendata.caceres.es/recurso/sector-publico/presupuestos/PresupuestoEntidadLocal/2016-1-AYTO,Presupuesto del Ayuntamiento 2016,2016,http://opendata.caceres.es/recurso/sector-publico/presupuestos/CapituloPresupuestoEntidadLocal/2016-1-AYTO-Gasto6,Ayuntamiento,9/12/2015,6,7135520,Inversiones Reales,Gasto,No Financiera De Capital
http://opendata.caceres.es/recurso/sector-publico/presupuestos/PresupuestoEntidadLocal/2016-1-AYTO,Presupuesto del Ayuntamiento 2016,2016,http://opendata.caceres.es/recurso/sector-publico/presupuestos/CapituloPresupuestoEntidadLocal/2016-1-AYTO-Gasto7,Ayuntamiento,9/12/2015,7,600000,Transferencias De Capital,Gasto,No Financiera De Capital
http://opendata.caceres.es/recurso/sector-publico/presupuestos/PresupuestoEntidadLocal/2016-1-AYTO,Presupuesto del Ayuntamiento 2016,2016,http://opendata.caceres.es/recurso/sector-publico/presupuestos/CapituloPresupuestoEntidadLocal/2016-1-AYTO-Gasto8,Ayuntamiento,9/12/2015,8,100000,Activos Financieros,Gasto,Financiera
http://opendata.caceres.es/recurso/sector-publico/presupuestos/PresupuestoEntidadLocal/2016-1-AYTO,Presupuesto del Ayuntamiento 2016,2016,http://opendata.caceres.es/recurso/sector-publico/presupuestos/CapituloPresupuestoEntidadLocal/2016-1-AYTO-Gasto9,Ayuntamiento,9/12/2015,9,1390076.92,Pasivos Financieros,Gasto,Financiera
http://opendata.caceres.es/recurso/sector-publico/presupuestos/PresupuestoEntidadLocal/2016-1-AYTO,Presupuesto del Ayuntamiento 2016,2016,http://opendata.caceres.es/recurso/sector-publico/presupuestos/CapituloPresupuestoEntidadLocal/2016-1-AYTO-Ingreso1,Ayuntamiento,9/12/2015,1,33091892.44,Impuestos Directos,Ingreso,No Financiera Corriente
