CODI_DIVISIO_TERRITORIAL;NOM_DIVISIO_TERRITORIAL;CATEGORIA_DIVISIO;CODI_DIVISIO_TERRITORIAL_PARE;URL_FITXA_DIVISIO_TERRITORIAL
B-01;Almeda;Barri;;http://aoc.aj-cornella.org/eleccions/documents/PLANOL_DISTRICTES.pdf
B-02;Centre;Barri;;http://aoc.aj-cornella.org/eleccions/documents/PLANOL_DISTRICTES.pdf
B-03;Fatjo;Barri;;http://aoc.aj-cornella.org/eleccions/documents/PLANOL_DISTRICTES.pdf
B-04;Fontsanta;Barri;;http://aoc.aj-cornella.org/eleccions/documents/PLANOL_DISTRICTES.pdf
B-05;Gavarra;Barri;;http://aoc.aj-cornella.org/eleccions/documents/PLANOL_DISTRICTES.pdf
B-06;Linda vista;Barri;;http://aoc.aj-cornella.org/eleccions/documents/PLANOL_DISTRICTES.pdf
B-07;Pedro;Barri;;http://aoc.aj-cornella.org/eleccions/documents/PLANOL_DISTRICTES.pdf
B-08;Riera;Barri;;http://aoc.aj-cornella.org/eleccions/documents/PLANOL_DISTRICTES.pdf
B-09;Sant Ildefons;Barri;;http://aoc.aj-cornella.org/eleccions/documents/PLANOL_DISTRICTES.pdf
D-01;Districte-01;Districte;;http://aoc.aj-cornella.org/eleccions/documents/PLANOL_DISTRICTES.pdf
D-02;Districte-02;Districte;;http://aoc.aj-cornella.org/eleccions/documents/PLANOL_DISTRICTES.pdf
D-03;Districte-03;Districte;;http://aoc.aj-cornella.org/eleccions/documents/PLANOL_DISTRICTES.pdf
D-04;Districte-04;Districte;;http://aoc.aj-cornella.org/eleccions/documents/PLANOL_DISTRICTES.pdf
D-05;Districte-05;Districte;;http://aoc.aj-cornella.org/eleccions/documents/PLANOL_DISTRICTES.pdf
D-06;Districte-06;Districte;;http://aoc.aj-cornella.org/eleccions/documents/PLANOL_DISTRICTES.pdf
S-01001;Seccio-01001;Secció Censal;D-01;http://aoc.aj-cornella.org/eleccions/documents/PLANOL_DISTRICTES.pdf
S-01002;Seccio-01002;Secció Censal;D-01;http://aoc.aj-cornella.org/eleccions/documents/PLANOL_DISTRICTES.pdf
