CODI_DIVISIO_TERRITORIAL;TIPUS_VEHICLE;CODI_TIPUS_VEHICLE;ANTIGUETAT;POTENCIA_FISCAL;CILINDRADA;PLACES;CARREGA_UTIL;MARCA;NRE_VEHICLES
DESCONEGUT;Autobús;AUTOBUS                 ;;0;;31;0;Iveco;2
DESCONEGUT;Autobús;AUTOBUS                 ;;0;;31;0;M.a.n.;1
DESCONEGUT;Autobús;AUTOBUS                 ;;0;;33;0;Iveco;1
DESCONEGUT;Autobús;AUTOBUS                 ;;0;;57;0;Iveco;4
DESCONEGUT;Autobús;AUTOBUS                 ;;0;;61;0;M.a.n.;1
DESCONEGUT;Autobús;AUTOBUS                 ;;0;;63;0;;1
DESCONEGUT;Autobús;AUTOBUS                 ;;0;;65;0;;1
DESCONEGUT;Autobús;AUTOBUS                 ;   0;0;;61;0;;1
DESCONEGUT;Autobús;AUTOBUS                 ;   2;0;;33;0;M.a.n.;1
DESCONEGUT;Autobús;AUTOBUS                 ;   5;0;;57;0;;1
DESCONEGUT;Autobús;AUTOBUS                 ;   5;0;;73;0;Scania;1
DESCONEGUT;Autobús;AUTOBUS                 ;   6;0;;27;0;Iveco;1
DESCONEGUT;Autobús;AUTOBUS                 ;   7;0;;61;0;;1
DESCONEGUT;Autobús;AUTOBUS                 ;   7;0;;61;0;M.a.n.;1
DESCONEGUT;Autobús;AUTOBUS                 ;   8;0;;33;0;Iveco;1
DESCONEGUT;Autobús;AUTOBUS                 ;   8;0;;57;0;;4
DESCONEGUT;Autobús;AUTOBUS                 ;  -1;0;;61;0;;2
DESCONEGUT;Autobús;AUTOBUS                 ;  10;0;;54;0;Mercedes benz;1
DESCONEGUT;Autobús;AUTOBUS                 ;  16;0;;56;0;Volvo;1
DESCONEGUT;Autobús;AUTOBUS                 ;  31;0;;57;0;M.a.n.;1
DESCONEGUT;Camió;                        ;;0;;0;1675;Peugeot;1
DESCONEGUT;Camió;CAMION                  ;;0;;0;321;Citroen;1
DESCONEGUT;Camió;CAMION                  ;;0;;0;415;Nissan;1
DESCONEGUT;Camió;CAMION                  ;;0;;0;450;Peugeot;1
DESCONEGUT;Camió;CAMION                  ;;0;;0;541;Iveco;1
DESCONEGUT;Camió;CAMION                  ;;0;;0;689;Nissan;1
DESCONEGUT;Camió;CAMION                  ;;0;;0;790;Nissan;1
DESCONEGUT;Camió;CAMION                  ;;0;;0;800;Peugeot;1
DESCONEGUT;Camió;CAMION                  ;;0;;0;920;Nissan;1
DESCONEGUT;Camió;CAMION                  ;;0;;0;950;Volkswagen;1
DESCONEGUT;Camió;CAMION                  ;;0;;0;965;Nissan;1
