CODI_DIVISIO_TERRITORIAL;CODI_PARTIT;DESCRIPCIO_PARTIT;NRE_VOTS
S-01001;BLANCS;BLANCS;8
S-01001;CatSiqueesPot;CATALUNYA SÍ QUE ES POT;186
S-01001;C s;CIUTADANS-PARTIDO DE LA CIUDADANIA;254
S-01001;CUP    ;CANDIDATURA D UNITAT POPULAR            ;145
S-01001;JxSí;JUNTS PEL SÍ;419
S-01001;NULS;NULS;11
S-01001;PACMA;PARTIDO ANIMALISTA CONTRA EL MALTRATO ANIMAL;9
S-01001;PP      ;PARTIDO POPULAR                         ;118
S-01001;PSC       ;PARTIT DELS SOCIALISTES DE CATALUNYA;225
S-01001;RECORTES 0-EV;RECORTES CERO-ELS VERDS;3
S-01001;unio.cat;UNIÓ DEMOCRÀTICA DE CATALUNYA;31
S-01002;BLANCS;BLANCS;5
S-01002;CatSiqueesPot;CATALUNYA SÍ QUE ES POT;183
S-01002;C s;CIUTADANS-PARTIDO DE LA CIUDADANIA;220
S-01002;CUP    ;CANDIDATURA D UNITAT POPULAR            ;92
S-01002;JxSí;JUNTS PEL SÍ;238
S-01002;NULS;NULS;7
S-01002;PACMA;PARTIDO ANIMALISTA CONTRA EL MALTRATO ANIMAL;2
S-01002;PP      ;PARTIDO POPULAR                         ;95
S-01002;PSC       ;PARTIT DELS SOCIALISTES DE CATALUNYA;232
S-01002;RECORTES 0-EV;RECORTES CERO-ELS VERDS;1
S-01002;unio.cat;UNIÓ DEMOCRÀTICA DE CATALUNYA;17
S-01003;BLANCS;BLANCS;4
S-01003;CatSiqueesPot;CATALUNYA SÍ QUE ES POT;131
S-01003;C s;CIUTADANS-PARTIDO DE LA CIUDADANIA;207
S-01003;CUP    ;CANDIDATURA D UNITAT POPULAR            ;51
S-01003;JxSí;JUNTS PEL SÍ;122
S-01003;NULS;NULS;3
S-01003;PACMA;PARTIDO ANIMALISTA CONTRA EL MALTRATO ANIMAL;8
S-01003;PP      ;PARTIDO POPULAR                         ;70
S-01003;PSC       ;PARTIT DELS SOCIALISTES DE CATALUNYA;198
S-01003;RECORTES 0-EV;RECORTES CERO-ELS VERDS;6
S-01003;unio.cat;UNIÓ DEMOCRÀTICA DE CATALUNYA;10
S-01004;BLANCS;BLANCS;4
S-01004;CatSiqueesPot;CATALUNYA SÍ QUE ES POT;212
S-01004;C s;CIUTADANS-PARTIDO DE LA CIUDADANIA;301
S-01004;CUP    ;CANDIDATURA D UNITAT POPULAR            ;81
S-01004;JxSí;JUNTS PEL SÍ;232
S-01004;NULS;NULS;1
S-01004;PACMA;PARTIDO ANIMALISTA CONTRA EL MALTRATO ANIMAL;14
S-01004;PP      ;PARTIDO POPULAR                         ;95
S-01004;PSC       ;PARTIT DELS SOCIALISTES DE CATALUNYA;256
S-01004;RECORTES 0-EV;RECORTES CERO-ELS VERDS;12
S-01004;unio.cat;UNIÓ DEMOCRÀTICA DE CATALUNYA;19
S-01005;BLANCS;BLANCS;1
S-01005;CatSiqueesPot;CATALUNYA SÍ QUE ES POT;117
S-01005;C s;CIUTADANS-PARTIDO DE LA CIUDADANIA;172
S-01005;CUP    ;CANDIDATURA D UNITAT POPULAR            ;60
S-01005;JxSí;JUNTS PEL SÍ;178
S-01005;NULS;NULS;2
S-01005;PACMA;PARTIDO ANIMALISTA CONTRA EL MALTRATO ANIMAL;6
S-01005;PP      ;PARTIDO POPULAR                         ;53
S-01005;PSC       ;PARTIT DELS SOCIALISTES DE CATALUNYA;115
S-01005;RECORTES 0-EV;RECORTES CERO-ELS VERDS;5
S-01005;unio.cat;UNIÓ DEMOCRÀTICA DE CATALUNYA;16
S-01006;BLANCS;BLANCS;1
S-01006;CatSiqueesPot;CATALUNYA SÍ QUE ES POT;67
S-01006;C s;CIUTADANS-PARTIDO DE LA CIUDADANIA;94
S-01006;CUP    ;CANDIDATURA D UNITAT POPULAR            ;55
S-01006;JxSí;JUNTS PEL SÍ;180
S-01006;NULS;NULS;1
S-01006;PACMA;PARTIDO ANIMALISTA CONTRA EL MALTRATO ANIMAL;5
S-01006;PP      ;PARTIDO POPULAR                         ;27
S-01006;PSC       ;PARTIT DELS SOCIALISTES DE CATALUNYA;52
S-01006;RECORTES 0-EV;RECORTES CERO-ELS VERDS;3
S-01006;unio.cat;UNIÓ DEMOCRÀTICA DE CATALUNYA;9
S-01007;BLANCS;BLANCS;11
S-01007;CatSiqueesPot;CATALUNYA SÍ QUE ES POT;192
S-01007;C s;CIUTADANS-PARTIDO DE LA CIUDADANIA;186
S-01007;CUP    ;CANDIDATURA D UNITAT POPULAR            ;140
S-01007;JxSí;JUNTS PEL SÍ;418
S-01007;NULS;NULS;0
S-01007;PACMA;PARTIDO ANIMALISTA CONTRA EL MALTRATO ANIMAL;6
S-01007;PP      ;PARTIDO POPULAR                         ;57
S-01007;PSC       ;PARTIT DELS SOCIALISTES DE CATALUNYA;180
S-01007;RECORTES 0-EV;RECORTES CERO-ELS VERDS;6
S-01007;unio.cat;UNIÓ DEMOCRÀTICA DE CATALUNYA;29
S-01008;BLANCS;BLANCS;10
S-01008;CatSiqueesPot;CATALUNYA SÍ QUE ES POT;196
S-01008;C s;CIUTADANS-PARTIDO DE LA CIUDADANIA;253
S-01008;CUP    ;CANDIDATURA D UNITAT POPULAR            ;103
S-01008;JxSí;JUNTS PEL SÍ;274
S-01008;NULS;NULS;4
S-01008;PACMA;PARTIDO ANIMALISTA CONTRA EL MALTRATO ANIMAL;20
S-01008;PP      ;PARTIDO POPULAR                         ;58
S-01008;PSC       ;PARTIT DELS SOCIALISTES DE CATALUNYA;202
S-01008;RECORTES 0-EV;RECORTES CERO-ELS VERDS;9
S-01008;unio.cat;UNIÓ DEMOCRÀTICA DE CATALUNYA;11
S-01009;BLANCS;BLANCS;3
S-01009;CatSiqueesPot;CATALUNYA SÍ QUE ES POT;97
S-01009;C s;CIUTADANS-PARTIDO DE LA CIUDADANIA;102
S-01009;CUP    ;CANDIDATURA D UNITAT POPULAR            ;60
S-01009;JxSí;JUNTS PEL SÍ;178
S-01009;NULS;NULS;7
S-01009;PACMA;PARTIDO ANIMALISTA CONTRA EL MALTRATO ANIMAL;3
S-01009;PP      ;PARTIDO POPULAR                         ;45
S-01009;PSC       ;PARTIT DELS SOCIALISTES DE CATALUNYA;98
S-01009;RECORTES 0-EV;RECORTES CERO-ELS VERDS;5
S-01009;unio.cat;UNIÓ DEMOCRÀTICA DE CATALUNYA;7
S-01010;BLANCS;BLANCS;5
S-01010;CatSiqueesPot;CATALUNYA SÍ QUE ES POT;137
S-01010;C s;CIUTADANS-PARTIDO DE LA CIUDADANIA;168
S-01010;CUP    ;CANDIDATURA D UNITAT POPULAR            ;68
S-01010;JxSí;JUNTS PEL SÍ;209
S-01010;NULS;NULS;1
S-01010;PACMA;PARTIDO ANIMALISTA CONTRA EL MALTRATO ANIMAL;3
S-01010;PP      ;PARTIDO POPULAR                         ;76
S-01010;PSC       ;PARTIT DELS SOCIALISTES DE CATALUNYA;159
S-01010;RECORTES 0-EV;RECORTES CERO-ELS VERDS;3
S-01010;unio.cat;UNIÓ DEMOCRÀTICA DE CATALUNYA;15
S-01011;BLANCS;BLANCS;1
S-01011;CatSiqueesPot;CATALUNYA SÍ QUE ES POT;106
S-01011;C s;CIUTADANS-PARTIDO DE LA CIUDADANIA;145
S-01011;CUP    ;CANDIDATURA D UNITAT POPULAR            ;49
S-01011;JxSí;JUNTS PEL SÍ;123
S-01011;NULS;NULS;0
S-01011;PACMA;PARTIDO ANIMALISTA CONTRA EL MALTRATO ANIMAL;6
S-01011;PP      ;PARTIDO POPULAR                         ;35
S-01011;PSC       ;PARTIT DELS SOCIALISTES DE CATALUNYA;140
S-01011;RECORTES 0-EV;RECORTES CERO-ELS VERDS;1
S-01011;unio.cat;UNIÓ DEMOCRÀTICA DE CATALUNYA;8
S-01012;BLANCS;BLANCS;3
S-01012;CatSiqueesPot;CATALUNYA SÍ QUE ES POT;93
S-01012;C s;CIUTADANS-PARTIDO DE LA CIUDADANIA;128
S-01012;CUP    ;CANDIDATURA D UNITAT POPULAR            ;38
S-01012;JxSí;JUNTS PEL SÍ;96
S-01012;NULS;NULS;0
S-01012;PACMA;PARTIDO ANIMALISTA CONTRA EL MALTRATO ANIMAL;9
S-01012;PP      ;PARTIDO POPULAR                         ;51
S-01012;PSC       ;PARTIT DELS SOCIALISTES DE CATALUNYA;123
S-01012;RECORTES 0-EV;RECORTES CERO-ELS VERDS;2
S-01012;unio.cat;UNIÓ DEMOCRÀTICA DE CATALUNYA;5
S-01013;BLANCS;BLANCS;3
S-01013;CatSiqueesPot;CATALUNYA SÍ QUE ES POT;116
S-01013;C s;CIUTADANS-PARTIDO DE LA CIUDADANIA;173
S-01013;CUP    ;CANDIDATURA D UNITAT POPULAR            ;59
S-01013;JxSí;JUNTS PEL SÍ;222
S-01013;NULS;NULS;2
S-01013;PACMA;PARTIDO ANIMALISTA CONTRA EL MALTRATO ANIMAL;7
S-01013;PP      ;PARTIDO POPULAR                         ;64
S-01013;PSC       ;PARTIT DELS SOCIALISTES DE CATALUNYA;163
S-01013;RECORTES 0-EV;RECORTES CERO-ELS VERDS;8
S-01013;unio.cat;UNIÓ DEMOCRÀTICA DE CATALUNYA;23
S-01014;BLANCS;BLANCS;0
S-01014;CatSiqueesPot;CATALUNYA SÍ QUE ES POT;131
S-01014;C s;CIUTADANS-PARTIDO DE LA CIUDADANIA;168
S-01014;CUP    ;CANDIDATURA D UNITAT POPULAR            ;83
S-01014;JxSí;JUNTS PEL SÍ;222
S-01014;NULS;NULS;3
S-01014;PACMA;PARTIDO ANIMALISTA CONTRA EL MALTRATO ANIMAL;10
S-01014;PP      ;PARTIDO POPULAR                         ;58
S-01014;PSC       ;PARTIT DELS SOCIALISTES DE CATALUNYA;148
S-01014;RECORTES 0-EV;RECORTES CERO-ELS VERDS;2
S-01014;unio.cat;UNIÓ DEMOCRÀTICA DE CATALUNYA;12
S-02001;BLANCS;BLANCS;9
S-02001;CatSiqueesPot;CATALUNYA SÍ QUE ES POT;293
S-02001;C s;CIUTADANS-PARTIDO DE LA CIUDADANIA;483
S-02001;CUP    ;CANDIDATURA D UNITAT POPULAR            ;134
S-02001;JxSí;JUNTS PEL SÍ;427
S-02001;NULS;NULS;2
S-02001;PACMA;PARTIDO ANIMALISTA CONTRA EL MALTRATO ANIMAL;14
S-02001;PP      ;PARTIDO POPULAR                         ;150
S-02001;PSC       ;PARTIT DELS SOCIALISTES DE CATALUNYA;296
S-02001;RECORTES 0-EV;RECORTES CERO-ELS VERDS;5
S-02001;unio.cat;UNIÓ DEMOCRÀTICA DE CATALUNYA;48
S-02002;BLANCS;BLANCS;3
S-02002;CatSiqueesPot;CATALUNYA SÍ QUE ES POT;205
S-02002;C s;CIUTADANS-PARTIDO DE LA CIUDADANIA;398
S-02002;CUP    ;CANDIDATURA D UNITAT POPULAR            ;79
S-02002;JxSí;JUNTS PEL SÍ;340
S-02002;NULS;NULS;4
S-02002;PACMA;PARTIDO ANIMALISTA CONTRA EL MALTRATO ANIMAL;12
S-02002;PP      ;PARTIDO POPULAR                         ;126
S-02002;PSC       ;PARTIT DELS SOCIALISTES DE CATALUNYA;249
S-02002;RECORTES 0-EV;RECORTES CERO-ELS VERDS;12
S-02002;unio.cat;UNIÓ DEMOCRÀTICA DE CATALUNYA;31
S-03001;BLANCS;BLANCS;4
S-03001;CatSiqueesPot;CATALUNYA SÍ QUE ES POT;123
S-03001;C s;CIUTADANS-PARTIDO DE LA CIUDADANIA;174
S-03001;CUP    ;CANDIDATURA D UNITAT POPULAR            ;31
S-03001;JxSí;JUNTS PEL SÍ;91
S-03001;NULS;NULS;2
S-03001;PACMA;PARTIDO ANIMALISTA CONTRA EL MALTRATO ANIMAL;6
S-03001;PP      ;PARTIDO POPULAR                         ;64
S-03001;PSC       ;PARTIT DELS SOCIALISTES DE CATALUNYA;168
S-03001;RECORTES 0-EV;RECORTES CERO-ELS VERDS;3
S-03001;unio.cat;UNIÓ DEMOCRÀTICA DE CATALUNYA;4
S-03002;BLANCS;BLANCS;2
S-03002;CatSiqueesPot;CATALUNYA SÍ QUE ES POT;129
S-03002;C s;CIUTADANS-PARTIDO DE LA CIUDADANIA;108
S-03002;CUP    ;CANDIDATURA D UNITAT POPULAR            ;23
S-03002;JxSí;JUNTS PEL SÍ;46
S-03002;NULS;NULS;3
S-03002;PACMA;PARTIDO ANIMALISTA CONTRA EL MALTRATO ANIMAL;7
S-03002;PP      ;PARTIDO POPULAR                         ;41
S-03002;PSC       ;PARTIT DELS SOCIALISTES DE CATALUNYA;148
S-03002;RECORTES 0-EV;RECORTES CERO-ELS VERDS;2
S-03002;unio.cat;UNIÓ DEMOCRÀTICA DE CATALUNYA;6
S-03003;BLANCS;BLANCS;3
S-03003;CatSiqueesPot;CATALUNYA SÍ QUE ES POT;117
S-03003;C s;CIUTADANS-PARTIDO DE LA CIUDADANIA;122
S-03003;CUP    ;CANDIDATURA D UNITAT POPULAR            ;29
S-03003;JxSí;JUNTS PEL SÍ;60
S-03003;NULS;NULS;2
S-03003;PACMA;PARTIDO ANIMALISTA CONTRA EL MALTRATO ANIMAL;7
S-03003;PP      ;PARTIDO POPULAR                         ;37
S-03003;PSC       ;PARTIT DELS SOCIALISTES DE CATALUNYA;129
S-03003;RECORTES 0-EV;RECORTES CERO-ELS VERDS;5
S-03003;unio.cat;UNIÓ DEMOCRÀTICA DE CATALUNYA;2
S-03004;BLANCS;BLANCS;10
