CODI_DIVISIO_TERRITORIAL;CODI_PARTIT;DESCRIPCIO_PARTIT;NRE_VOTS
S-01001;BLANCS;BLANCS;18
S-01001;CEC-CPC;CORNELLÀ EN COMÚ-CRIDA PER CORNELLÀ;210
S-01001;CIU  ;CONVERGENCIA I UNIO                     ;118
S-01001;C s;CIUTADANS-PARTIDO DE LA CIUDADANIA;92
S-01001;ERC-AM;ESQUERRA REPUBLICANA DE CATALUNYA-ACORD MUNICIPAL;171
S-01001;ICV-EUIA-EP-E;INICIATIVA CATALUNYA VERDS-ESQ.UNIDA ALT.-ESQ.PLURAL-ENTESA;72
S-01001;NULS;NULS;2
S-01001;PP      ;PARTIDO POPULAR                         ;63
S-01001;PSC-CP;PARTIT SOCIALISTES DE CATALUNYA-CANDIDATURA DE PROGRÉS;320
S-01001;PXC    ;PLATAFORMA PER CATALUNYA                ;13
S-01001;UPyD;UNION PROGRESO Y DEMOCRACIA;6
S-01002;BLANCS;BLANCS;10
S-01002;CEC-CPC;CORNELLÀ EN COMÚ-CRIDA PER CORNELLÀ;210
S-01002;CIU  ;CONVERGENCIA I UNIO                     ;53
S-01002;C s;CIUTADANS-PARTIDO DE LA CIUDADANIA;93
S-01002;ERC-AM;ESQUERRA REPUBLICANA DE CATALUNYA-ACORD MUNICIPAL;110
S-01002;ICV-EUIA-EP-E;INICIATIVA CATALUNYA VERDS-ESQ.UNIDA ALT.-ESQ.PLURAL-ENTESA;67
S-01002;NULS;NULS;7
S-01002;PP      ;PARTIDO POPULAR                         ;66
S-01002;PSC-CP;PARTIT SOCIALISTES DE CATALUNYA-CANDIDATURA DE PROGRÉS;239
S-01002;PXC    ;PLATAFORMA PER CATALUNYA                ;9
S-01002;UPyD;UNION PROGRESO Y DEMOCRACIA;6
S-01003;BLANCS;BLANCS;9
S-01003;CEC-CPC;CORNELLÀ EN COMÚ-CRIDA PER CORNELLÀ;111
S-01003;CIU  ;CONVERGENCIA I UNIO                     ;17
S-01003;C s;CIUTADANS-PARTIDO DE LA CIUDADANIA;53
S-01003;ERC-AM;ESQUERRA REPUBLICANA DE CATALUNYA-ACORD MUNICIPAL;53
S-01003;ICV-EUIA-EP-E;INICIATIVA CATALUNYA VERDS-ESQ.UNIDA ALT.-ESQ.PLURAL-ENTESA;47
S-01003;NULS;NULS;3
S-01003;PP      ;PARTIDO POPULAR                         ;31
S-01003;PSC-CP;PARTIT SOCIALISTES DE CATALUNYA-CANDIDATURA DE PROGRÉS;230
S-01003;PXC    ;PLATAFORMA PER CATALUNYA                ;6
S-01003;UPyD;UNION PROGRESO Y DEMOCRACIA;2
S-01004;BLANCS;BLANCS;20
S-01004;CEC-CPC;CORNELLÀ EN COMÚ-CRIDA PER CORNELLÀ;206
S-01004;CIU  ;CONVERGENCIA I UNIO                     ;42
S-01004;C s;CIUTADANS-PARTIDO DE LA CIUDADANIA;105
S-01004;ERC-AM;ESQUERRA REPUBLICANA DE CATALUNYA-ACORD MUNICIPAL;97
S-01004;ICV-EUIA-EP-E;INICIATIVA CATALUNYA VERDS-ESQ.UNIDA ALT.-ESQ.PLURAL-ENTESA;58
S-01004;NULS;NULS;0
S-01004;PP      ;PARTIDO POPULAR                         ;49
S-01004;PSC-CP;PARTIT SOCIALISTES DE CATALUNYA-CANDIDATURA DE PROGRÉS;282
S-01004;PXC    ;PLATAFORMA PER CATALUNYA                ;9
S-01004;UPyD;UNION PROGRESO Y DEMOCRACIA;3
S-01005;BLANCS;BLANCS;2
S-01005;CEC-CPC;CORNELLÀ EN COMÚ-CRIDA PER CORNELLÀ;92
S-01005;CIU  ;CONVERGENCIA I UNIO                     ;40
S-01005;C s;CIUTADANS-PARTIDO DE LA CIUDADANIA;50
S-01005;ERC-AM;ESQUERRA REPUBLICANA DE CATALUNYA-ACORD MUNICIPAL;78
S-01005;ICV-EUIA-EP-E;INICIATIVA CATALUNYA VERDS-ESQ.UNIDA ALT.-ESQ.PLURAL-ENTESA;53
S-01005;NULS;NULS;2
S-01005;PP      ;PARTIDO POPULAR                         ;30
S-01005;PSC-CP;PARTIT SOCIALISTES DE CATALUNYA-CANDIDATURA DE PROGRÉS;167
S-01005;PXC    ;PLATAFORMA PER CATALUNYA                ;4
S-01005;UPyD;UNION PROGRESO Y DEMOCRACIA;5
S-01006;BLANCS;BLANCS;5
S-01006;CEC-CPC;CORNELLÀ EN COMÚ-CRIDA PER CORNELLÀ;63
S-01006;CIU  ;CONVERGENCIA I UNIO                     ;43
S-01006;C s;CIUTADANS-PARTIDO DE LA CIUDADANIA;26
S-01006;ERC-AM;ESQUERRA REPUBLICANA DE CATALUNYA-ACORD MUNICIPAL;78
S-01006;ICV-EUIA-EP-E;INICIATIVA CATALUNYA VERDS-ESQ.UNIDA ALT.-ESQ.PLURAL-ENTESA;47
S-01006;NULS;NULS;6
S-01006;PP      ;PARTIDO POPULAR                         ;14
S-01006;PSC-CP;PARTIT SOCIALISTES DE CATALUNYA-CANDIDATURA DE PROGRÉS;94
S-01006;PXC    ;PLATAFORMA PER CATALUNYA                ;3
S-01006;UPyD;UNION PROGRESO Y DEMOCRACIA;1
S-01007;BLANCS;BLANCS;17
S-01007;CEC-CPC;CORNELLÀ EN COMÚ-CRIDA PER CORNELLÀ;169
S-01007;CIU  ;CONVERGENCIA I UNIO                     ;125
S-01007;C s;CIUTADANS-PARTIDO DE LA CIUDADANIA;69
S-01007;ERC-AM;ESQUERRA REPUBLICANA DE CATALUNYA-ACORD MUNICIPAL;186
S-01007;ICV-EUIA-EP-E;INICIATIVA CATALUNYA VERDS-ESQ.UNIDA ALT.-ESQ.PLURAL-ENTESA;79
S-01007;NULS;NULS;10
S-01007;PP      ;PARTIDO POPULAR                         ;27
S-01007;PSC-CP;PARTIT SOCIALISTES DE CATALUNYA-CANDIDATURA DE PROGRÉS;248
S-01007;PXC    ;PLATAFORMA PER CATALUNYA                ;8
S-01007;UPyD;UNION PROGRESO Y DEMOCRACIA;4
S-01008;BLANCS;BLANCS;4
S-01008;CEC-CPC;CORNELLÀ EN COMÚ-CRIDA PER CORNELLÀ;165
S-01008;CIU  ;CONVERGENCIA I UNIO                     ;31
S-01008;C s;CIUTADANS-PARTIDO DE LA CIUDADANIA;60
