CODI_DIVISIO_TERRITORIAL;TIPOLOGIA;RESULTAT
S-01001;Abstenció;673
S-01001;Vots a candidatures;1065
S-01001;Vots en blanc;18
S-01001;Vots nuls;2
S-01002;Abstenció;519
S-01002;Vots a candidatures;853
S-01002;Vots en blanc;10
S-01002;Vots nuls;7
S-01003;Abstenció;524
S-01003;Vots a candidatures;550
S-01003;Vots en blanc;9
S-01003;Vots nuls;3
S-01004;Abstenció;675
S-01004;Vots a candidatures;851
S-01004;Vots en blanc;20
S-01004;Vots nuls;0
S-01005;Abstenció;390
S-01005;Vots a candidatures;519
S-01005;Vots en blanc;2
S-01005;Vots nuls;2
S-01006;Abstenció;225
S-01006;Vots a candidatures;369
S-01006;Vots en blanc;5
S-01006;Vots nuls;6
S-01007;Abstenció;524
S-01007;Vots a candidatures;915
S-01007;Vots en blanc;17
S-01007;Vots nuls;10
S-01008;Abstenció;590
S-01008;Vots a candidatures;789
S-01008;Vots en blanc;4
S-01008;Vots nuls;6
S-01009;Abstenció;301
S-01009;Vots a candidatures;443
S-01009;Vots en blanc;5
S-01009;Vots nuls;7
S-01010;Abstenció;412
S-01010;Vots a candidatures;635
S-01010;Vots en blanc;8
S-01010;Vots nuls;3
S-01011;Abstenció;363
S-01011;Vots a candidatures;441
S-01011;Vots en blanc;3
S-01011;Vots nuls;0
S-01012;Abstenció;328
S-01012;Vots a candidatures;402
S-01012;Vots en blanc;0
S-01012;Vots nuls;0
S-01013;Abstenció;486
S-01013;Vots a candidatures;583
S-01013;Vots en blanc;8
S-01013;Vots nuls;4
S-01014;Abstenció;394
S-01014;Vots a candidatures;628
S-01014;Vots en blanc;6
S-01014;Vots nuls;6
S-02001;Abstenció;1025
S-02001;Vots a candidatures;1281
S-02001;Vots en blanc;16
S-02001;Vots nuls;7
S-02002;Abstenció;724
S-02002;Vots a candidatures;1036
S-02002;Vots en blanc;17
S-02002;Vots nuls;3
S-03001;Abstenció;365
S-03001;Vots a candidatures;470
S-03001;Vots en blanc;6
