CODI_DIVISIO_TERRITORIAL;CODI_PARTIT;DESCRIPCIO_PARTIT;NRE_VOTS
S-01001;BLANCS;BLANCS;13
S-01001;CDC;CONVERGÈNCIA DEMOCRÀTICA DE CATALUNYA;114
S-01001;C s;CIUTADANS-PARTIDO DE LA CIUDADANIA;141
S-01001;ECP;EN COMÚ PODEM-GUAYEM EL CANVI;385
S-01001;ERC-CATSI;ESQUERRA REPUBLICANA DE CATALUNYA-CATALUNYA SÍ;194
S-01001;NULS;NULS;3
S-01001;PACMA;PARTIDO ANIMALISTA CONTRA EL MALTRATO ANIMAL;17
S-01001;PCPC  ;PARTIDO COMUNISTA DEL PUEBLO DE CATALUNYA ;1
S-01001;PP      ;PARTIDO POPULAR                         ;148
S-01001;PSC-PSOE  ;PARTIT DELS SOCIALISTES DE CATALUNYA    ;227
S-01001;RECORTES 0-EV;RECORTES CERO-ELS VERDS;5
S-01002;BLANCS;BLANCS;5
S-01002;CDC;CONVERGÈNCIA DEMOCRÀTICA DE CATALUNYA;38
S-01002;C s;CIUTADANS-PARTIDO DE LA CIUDADANIA;129
S-01002;ECP;EN COMÚ PODEM-GUAYEM EL CANVI;345
S-01002;ERC-CATSI;ESQUERRA REPUBLICANA DE CATALUNYA-CATALUNYA SÍ;122
S-01002;NULS;NULS;2
S-01002;PACMA;PARTIDO ANIMALISTA CONTRA EL MALTRATO ANIMAL;17
S-01002;PCPC  ;PARTIDO COMUNISTA DEL PUEBLO DE CATALUNYA ;0
S-01002;PP      ;PARTIDO POPULAR                         ;127
S-01002;PSC-PSOE  ;PARTIT DELS SOCIALISTES DE CATALUNYA    ;232
S-01002;RECORTES 0-EV;RECORTES CERO-ELS VERDS;4
S-01003;BLANCS;BLANCS;3
S-01003;CDC;CONVERGÈNCIA DEMOCRÀTICA DE CATALUNYA;21
S-01003;C s;CIUTADANS-PARTIDO DE LA CIUDADANIA;90
S-01003;ECP;EN COMÚ PODEM-GUAYEM EL CANVI;246
S-01003;ERC-CATSI;ESQUERRA REPUBLICANA DE CATALUNYA-CATALUNYA SÍ;56
S-01003;NULS;NULS;8
S-01003;PACMA;PARTIDO ANIMALISTA CONTRA EL MALTRATO ANIMAL;16
S-01003;PCPC  ;PARTIDO COMUNISTA DEL PUEBLO DE CATALUNYA ;1
S-01003;PP      ;PARTIDO POPULAR                         ;85
S-01003;PSC-PSOE  ;PARTIT DELS SOCIALISTES DE CATALUNYA    ;192
S-01003;RECORTES 0-EV;RECORTES CERO-ELS VERDS;1
S-01004;BLANCS;BLANCS;5
S-01004;CDC;CONVERGÈNCIA DEMOCRÀTICA DE CATALUNYA;33
S-01004;C s;CIUTADANS-PARTIDO DE LA CIUDADANIA;158
S-01004;ECP;EN COMÚ PODEM-GUAYEM EL CANVI;410
S-01004;ERC-CATSI;ESQUERRA REPUBLICANA DE CATALUNYA-CATALUNYA SÍ;78
S-01004;NULS;NULS;3
S-01004;PACMA;PARTIDO ANIMALISTA CONTRA EL MALTRATO ANIMAL;28
S-01004;PCPC  ;PARTIDO COMUNISTA DEL PUEBLO DE CATALUNYA ;0
S-01004;PP      ;PARTIDO POPULAR                         ;117
S-01004;PSC-PSOE  ;PARTIT DELS SOCIALISTES DE CATALUNYA    ;236
S-01004;RECORTES 0-EV;RECORTES CERO-ELS VERDS;6
S-01005;BLANCS;BLANCS;3
S-01005;CDC;CONVERGÈNCIA DEMOCRÀTICA DE CATALUNYA;44
S-01005;C s;CIUTADANS-PARTIDO DE LA CIUDADANIA;99
S-01005;ECP;EN COMÚ PODEM-GUAYEM EL CANVI;190
S-01005;ERC-CATSI;ESQUERRA REPUBLICANA DE CATALUNYA-CATALUNYA SÍ;100
S-01005;NULS;NULS;7
S-01005;PACMA;PARTIDO ANIMALISTA CONTRA EL MALTRATO ANIMAL;15
S-01005;PCPC  ;PARTIDO COMUNISTA DEL PUEBLO DE CATALUNYA ;0
S-01005;PP      ;PARTIDO POPULAR                         ;57
S-01005;PSC-PSOE  ;PARTIT DELS SOCIALISTES DE CATALUNYA    ;127
S-01005;RECORTES 0-EV;RECORTES CERO-ELS VERDS;1
S-01006;BLANCS;BLANCS;2
S-01006;CDC;CONVERGÈNCIA DEMOCRÀTICA DE CATALUNYA;43
S-01006;C s;CIUTADANS-PARTIDO DE LA CIUDADANIA;47
S-01006;ECP;EN COMÚ PODEM-GUAYEM EL CANVI;131
S-01006;ERC-CATSI;ESQUERRA REPUBLICANA DE CATALUNYA-CATALUNYA SÍ;80
S-01006;NULS;NULS;3
S-01006;PACMA;PARTIDO ANIMALISTA CONTRA EL MALTRATO ANIMAL;4
S-01006;PCPC  ;PARTIDO COMUNISTA DEL PUEBLO DE CATALUNYA ;0
S-01006;PP      ;PARTIDO POPULAR                         ;35
S-01006;PSC-PSOE  ;PARTIT DELS SOCIALISTES DE CATALUNYA    ;65
S-01006;RECORTES 0-EV;RECORTES CERO-ELS VERDS;3
S-01007;BLANCS;BLANCS;10
S-01007;CDC;CONVERGÈNCIA DEMOCRÀTICA DE CATALUNYA;116
S-01007;C s;CIUTADANS-PARTIDO DE LA CIUDADANIA;92
S-01007;ECP;EN COMÚ PODEM-GUAYEM EL CANVI;321
S-01007;ERC-CATSI;ESQUERRA REPUBLICANA DE CATALUNYA-CATALUNYA SÍ;237
S-01007;NULS;NULS;4
S-01007;PACMA;PARTIDO ANIMALISTA CONTRA EL MALTRATO ANIMAL;22
S-01007;PCPC  ;PARTIDO COMUNISTA DEL PUEBLO DE CATALUNYA ;0
S-01007;PP      ;PARTIDO POPULAR                         ;88
S-01007;PSC-PSOE  ;PARTIT DELS SOCIALISTES DE CATALUNYA    ;204
S-01007;RECORTES 0-EV;RECORTES CERO-ELS VERDS;6
S-01008;BLANCS;BLANCS;12
S-01008;CDC;CONVERGÈNCIA DEMOCRÀTICA DE CATALUNYA;32
S-01008;C s;CIUTADANS-PARTIDO DE LA CIUDADANIA;107
S-01008;ECP;EN COMÚ PODEM-GUAYEM EL CANVI;378
S-01008;ERC-CATSI;ESQUERRA REPUBLICANA DE CATALUNYA-CATALUNYA SÍ;144
S-01008;NULS;NULS;0
S-01008;PACMA;PARTIDO ANIMALISTA CONTRA EL MALTRATO ANIMAL;18
S-01008;PCPC  ;PARTIDO COMUNISTA DEL PUEBLO DE CATALUNYA ;1
S-01008;PP      ;PARTIDO POPULAR                         ;96
S-01008;PSC-PSOE  ;PARTIT DELS SOCIALISTES DE CATALUNYA    ;172
S-01008;RECORTES 0-EV;RECORTES CERO-ELS VERDS;2
S-01009;BLANCS;BLANCS;7
S-01009;CDC;CONVERGÈNCIA DEMOCRÀTICA DE CATALUNYA;63
S-01009;C s;CIUTADANS-PARTIDO DE LA CIUDADANIA;59
S-01009;ECP;EN COMÚ PODEM-GUAYEM EL CANVI;160
S-01009;ERC-CATSI;ESQUERRA REPUBLICANA DE CATALUNYA-CATALUNYA SÍ;71
S-01009;NULS;NULS;2
S-01009;PACMA;PARTIDO ANIMALISTA CONTRA EL MALTRATO ANIMAL;14
S-01009;PCPC  ;PARTIDO COMUNISTA DEL PUEBLO DE CATALUNYA ;0
S-01009;PP      ;PARTIDO POPULAR                         ;67
S-01009;PSC-PSOE  ;PARTIT DELS SOCIALISTES DE CATALUNYA    ;89
S-01009;RECORTES 0-EV;RECORTES CERO-ELS VERDS;2
S-01010;BLANCS;BLANCS;3
S-01010;CDC;CONVERGÈNCIA DEMOCRÀTICA DE CATALUNYA;44
S-01010;C s;CIUTADANS-PARTIDO DE LA CIUDADANIA;83
S-01010;ECP;EN COMÚ PODEM-GUAYEM EL CANVI;233
S-01010;ERC-CATSI;ESQUERRA REPUBLICANA DE CATALUNYA-CATALUNYA SÍ;116
S-01010;NULS;NULS;4
S-01010;PACMA;PARTIDO ANIMALISTA CONTRA EL MALTRATO ANIMAL;19
S-01010;PCPC  ;PARTIDO COMUNISTA DEL PUEBLO DE CATALUNYA ;0
S-01010;PP      ;PARTIDO POPULAR                         ;101
S-01010;PSC-PSOE  ;PARTIT DELS SOCIALISTES DE CATALUNYA    ;160
S-01010;RECORTES 0-EV;RECORTES CERO-ELS VERDS;3
S-01011;BLANCS;BLANCS;3
S-01011;CDC;CONVERGÈNCIA DEMOCRÀTICA DE CATALUNYA;12
S-01011;C s;CIUTADANS-PARTIDO DE LA CIUDADANIA;75
S-01011;ECP;EN COMÚ PODEM-GUAYEM EL CANVI;223
S-01011;ERC-CATSI;ESQUERRA REPUBLICANA DE CATALUNYA-CATALUNYA SÍ;48
S-01011;NULS;NULS;2
S-01011;PACMA;PARTIDO ANIMALISTA CONTRA EL MALTRATO ANIMAL;9
S-01011;PCPC  ;PARTIDO COMUNISTA DEL PUEBLO DE CATALUNYA ;0
S-01011;PP      ;PARTIDO POPULAR                         ;49
S-01011;PSC-PSOE  ;PARTIT DELS SOCIALISTES DE CATALUNYA    ;129
S-01011;RECORTES 0-EV;RECORTES CERO-ELS VERDS;2
S-01012;BLANCS;BLANCS;1
S-01012;CDC;CONVERGÈNCIA DEMOCRÀTICA DE CATALUNYA;14
S-01012;C s;CIUTADANS-PARTIDO DE LA CIUDADANIA;50
S-01012;ECP;EN COMÚ PODEM-GUAYEM EL CANVI;180
S-01012;ERC-CATSI;ESQUERRA REPUBLICANA DE CATALUNYA-CATALUNYA SÍ;37
S-01012;NULS;NULS;6
S-01012;PACMA;PARTIDO ANIMALISTA CONTRA EL MALTRATO ANIMAL;12
S-01012;PCPC  ;PARTIDO COMUNISTA DEL PUEBLO DE CATALUNYA ;1
S-01012;PP      ;PARTIDO POPULAR                         ;56
S-01012;PSC-PSOE  ;PARTIT DELS SOCIALISTES DE CATALUNYA    ;120
S-01012;RECORTES 0-EV;RECORTES CERO-ELS VERDS;0
S-01013;BLANCS;BLANCS;3
S-01013;CDC;CONVERGÈNCIA DEMOCRÀTICA DE CATALUNYA;37
S-01013;C s;CIUTADANS-PARTIDO DE LA CIUDADANIA;78
S-01013;ECP;EN COMÚ PODEM-GUAYEM EL CANVI;217
S-01013;ERC-CATSI;ESQUERRA REPUBLICANA DE CATALUNYA-CATALUNYA SÍ;130
S-01013;NULS;NULS;6
S-01013;PACMA;PARTIDO ANIMALISTA CONTRA EL MALTRATO ANIMAL;7
S-01013;PCPC  ;PARTIDO COMUNISTA DEL PUEBLO DE CATALUNYA ;2
S-01013;PP      ;PARTIDO POPULAR                         ;83
