CODI_DIVISIO_TERRITORIAL;CODI_PAIS_DESTI;PAIS_DESTI;CODI_PROVINCIA_DESTI;PROVINCIA_DESTI;NRE_HOMES;NRE_DONES
D-01;108;ESPAÑA;01;ALAVA;1;0
D-01;108;ESPAÑA;02;ALBACETE;0;1
D-01;108;ESPAÑA;03;ALICANTE;4;3
D-01;108;ESPAÑA;04;ALMERIA;1;3
D-01;108;ESPAÑA;05;AVILA;1;0
D-01;108;ESPAÑA;06;BADAJOZ;1;1
D-01;108;ESPAÑA;07;BALEARES;5;4
D-01;108;ESPAÑA;08;BARCELONA;305;274
D-01;108;ESPAÑA;11;CADIZ;0;1
D-01;108;ESPAÑA;12;CASTELLON;0;1
D-01;108;ESPAÑA;14;CORDOBA;1;1
D-01;108;ESPAÑA;17;GIRONA;4;8
D-01;108;ESPAÑA;18;GRANADA;2;2
D-01;108;ESPAÑA;19;GUADALAJARA;0;1
D-01;108;ESPAÑA;20;GUIPUZCOA;1;0
D-01;108;ESPAÑA;21;HUELVA;0;2
D-01;108;ESPAÑA;22;HUESCA;0;1
D-01;108;ESPAÑA;23;JAEN;0;1
D-01;108;ESPAÑA;24;LEON;1;0
D-01;108;ESPAÑA;25;LLEIDA;6;4
D-01;108;ESPAÑA;26;LA RIOJA;1;2
D-01;108;ESPAÑA;27;LUGO;0;1
D-01;108;ESPAÑA;28;MADRID;7;7
D-01;108;ESPAÑA;29;MALAGA;0;2
D-01;108;ESPAÑA;30;MURCIA;1;1
D-01;108;ESPAÑA;32;ORENSE;1;1
D-01;108;ESPAÑA;33;ASTURIAS;1;1
D-01;108;ESPAÑA;34;PALENCIA;0;1
D-01;108;ESPAÑA;38;SANTA CRUZ DE TENERIFE;1;1
D-01;108;ESPAÑA;39;CANTABRIA;0;1
D-01;108;ESPAÑA;41;SEVILLA;3;3
D-01;108;ESPAÑA;43;TARRAGONA;6;10
D-01;108;ESPAÑA;44;TERUEL;0;2
D-01;108;ESPAÑA;46;VALENCIA;5;4
D-01;108;ESPAÑA;47;VALLADOLID;0;2
D-01;108;ESPAÑA;50;ZARAGOZA;1;0
D-01;110;FRANCIA;;;2;2
D-01;115;ITALIA                   ;;;0;1
D-01;120;NORUEGA                  ;;;0;1
D-01;124;ANDORRA;;;1;0
D-01;125;REINO UNIDO;;;2;2
D-01;126;ALEMANIA;;;2;2
D-01;131;SUECIA                   ;;;1;0
D-01;132;SUIZA;;;1;0
D-01;248;TÚNEZ;;;0;1
D-01;302;ESTADOS UNIDOS;;;1;0
D-01;303;MÉJICO;;;2;1
D-01;311;BAHAMAS                  ;;;2;0
D-01;314;COSTA RICA               ;;;1;0
D-01;326;REP. DOMINICANA;;;1;0
D-01;340;ARGENTINA                ;;;5;1
D-01;343;COLOMBIA                 ;;;1;3
D-01;345;ECUADOR;;;1;2
D-01;348;PERÚ;;;3;2
D-01;407;CHINA;;;1;0
D-01;415;JAPÓN;;;1;0
D-02;108;ESPAÑA;03;ALICANTE;0;1
D-02;108;ESPAÑA;06;BADAJOZ;0;1
D-02;108;ESPAÑA;08;BARCELONA;91;93
D-02;108;ESPAÑA;11;CADIZ;2;1
D-02;108;ESPAÑA;14;CORDOBA;0;1
D-02;108;ESPAÑA;17;GIRONA;2;4
D-02;108;ESPAÑA;22;HUESCA;2;2
D-02;108;ESPAÑA;24;LEON;1;0
D-02;108;ESPAÑA;25;LLEIDA;0;1
D-02;108;ESPAÑA;28;MADRID;1;0
D-02;108;ESPAÑA;41;SEVILLA;2;1
D-02;108;ESPAÑA;43;TARRAGONA;5;4
D-02;108;ESPAÑA;45;TOLEDO;1;0
D-02;125;REINO UNIDO;;;2;0
D-02;342;BRASIL                   ;;;1;0
D-02;348;PERÚ;;;0;2
D-03;108;ESPAÑA;04;ALMERIA;2;0
D-03;108;ESPAÑA;07;BALEARES;1;2
D-03;108;ESPAÑA;08;BARCELONA;181;170
D-03;108;ESPAÑA;11;CADIZ;1;0
D-03;108;ESPAÑA;14;CORDOBA;1;1
D-03;108;ESPAÑA;17;GIRONA;4;0
D-03;108;ESPAÑA;19;GUADALAJARA;1;0
D-03;108;ESPAÑA;20;GUIPUZCOA;0;1
D-03;108;ESPAÑA;21;HUELVA;1;0
D-03;108;ESPAÑA;25;LLEIDA;3;1
D-03;108;ESPAÑA;28;MADRID;7;5
