CODI_DIVISIO_TERRITORIAL;TIPOLOGIA;RESULTAT
S-01001;Abstenció;534
S-01001;Vots a candidatures;1232
S-01001;Vots en blanc;13
S-01001;Vots nuls;3
S-01002;Abstenció;347
S-01002;Vots a candidatures;1014
S-01002;Vots en blanc;5
S-01002;Vots nuls;2
S-01003;Abstenció;369
S-01003;Vots a candidatures;708
S-01003;Vots en blanc;3
S-01003;Vots nuls;8
S-01004;Abstenció;459
S-01004;Vots a candidatures;1066
S-01004;Vots en blanc;5
S-01004;Vots nuls;3
S-01005;Abstenció;267
S-01005;Vots a candidatures;633
S-01005;Vots en blanc;3
S-01005;Vots nuls;7
S-01006;Abstenció;186
S-01006;Vots a candidatures;408
S-01006;Vots en blanc;2
S-01006;Vots nuls;3
S-01007;Abstenció;399
S-01007;Vots a candidatures;1086
S-01007;Vots en blanc;10
S-01007;Vots nuls;4
S-01008;Abstenció;436
S-01008;Vots a candidatures;950
S-01008;Vots en blanc;12
S-01008;Vots nuls;0
S-01009;Abstenció;210
S-01009;Vots a candidatures;525
S-01009;Vots en blanc;7
S-01009;Vots nuls;2
S-01010;Abstenció;275
S-01010;Vots a candidatures;759
S-01010;Vots en blanc;3
S-01010;Vots nuls;4
S-01011;Abstenció;268
S-01011;Vots a candidatures;547
S-01011;Vots en blanc;3
S-01011;Vots nuls;2
S-01012;Abstenció;245
S-01012;Vots a candidatures;470
S-01012;Vots en blanc;1
S-01012;Vots nuls;6
S-01013;Abstenció;346
S-01013;Vots a candidatures;718
S-01013;Vots en blanc;3
S-01013;Vots nuls;6
S-01014;Abstenció;282
S-01014;Vots a candidatures;738
S-01014;Vots en blanc;5
S-01014;Vots nuls;4
S-02001;Abstenció;716
S-02001;Vots a candidatures;1613
S-02001;Vots en blanc;10
S-02001;Vots nuls;13
S-02002;Abstenció;572
S-02002;Vots a candidatures;1244
S-02002;Vots en blanc;5
S-02002;Vots nuls;6
S-03001;Abstenció;233
S-03001;Vots a candidatures;609
S-03001;Vots en blanc;1
S-03001;Vots nuls;2
S-03002;Abstenció;225
S-03002;Vots a candidatures;451
S-03002;Vots en blanc;5
S-03002;Vots nuls;1
S-03003;Abstenció;225
S-03003;Vots a candidatures;453
S-03003;Vots en blanc;1
S-03003;Vots nuls;3
S-03004;Abstenció;796
S-03004;Vots a candidatures;2095
S-03004;Vots en blanc;17
S-03004;Vots nuls;7
S-03005;Abstenció;380
S-03005;Vots a candidatures;966
S-03005;Vots en blanc;11
S-03005;Vots nuls;5
S-03006;Abstenció;193
S-03006;Vots a candidatures;506
S-03006;Vots en blanc;2
S-03006;Vots nuls;5
S-03007;Abstenció;310
S-03007;Vots a candidatures;627
S-03007;Vots en blanc;6
S-03007;Vots nuls;7
S-03008;Abstenció;320
S-03008;Vots a candidatures;731
S-03008;Vots en blanc;7
S-03008;Vots nuls;12
S-03009;Abstenció;218
S-03009;Vots a candidatures;487
S-03009;Vots en blanc;2
S-03009;Vots nuls;9
S-04001;Abstenció;280
S-04001;Vots a candidatures;710
S-04001;Vots en blanc;8
S-04001;Vots nuls;3
S-04002;Abstenció;173
S-04002;Vots a candidatures;359
S-04002;Vots en blanc;2
S-04002;Vots nuls;0
S-04003;Abstenció;317
S-04003;Vots a candidatures;807
S-04003;Vots en blanc;6
S-04003;Vots nuls;2
S-04004;Abstenció;234
S-04004;Vots a candidatures;496
S-04004;Vots en blanc;5
S-04004;Vots nuls;3
S-04005;Abstenció;160
S-04005;Vots a candidatures;452
S-04005;Vots en blanc;4
S-04005;Vots nuls;8
S-04006;Abstenció;289
S-04006;Vots a candidatures;645
S-04006;Vots en blanc;4
S-04006;Vots nuls;4
S-04007;Abstenció;288
S-04007;Vots a candidatures;525
S-04007;Vots en blanc;6
S-04007;Vots nuls;4
S-04008;Abstenció;337
S-04008;Vots a candidatures;755
S-04008;Vots en blanc;3
S-04008;Vots nuls;4
S-04009;Abstenció;211
S-04009;Vots a candidatures;461
S-04009;Vots en blanc;7
S-04009;Vots nuls;0
S-04010;Abstenció;245
S-04010;Vots a candidatures;564
S-04010;Vots en blanc;3
S-04010;Vots nuls;3
S-04011;Abstenció;264
S-04011;Vots a candidatures;520
S-04011;Vots en blanc;5
S-04011;Vots nuls;6
S-04012;Abstenció;323
S-04012;Vots a candidatures;657
S-04012;Vots en blanc;2
S-04012;Vots nuls;1
S-04013;Abstenció;354
S-04013;Vots a candidatures;846
S-04013;Vots en blanc;7
S-04013;Vots nuls;6
S-04014;Abstenció;272
S-04014;Vots a candidatures;558
S-04014;Vots en blanc;2
S-04014;Vots nuls;4
S-04015;Abstenció;248
S-04015;Vots a candidatures;487
S-04015;Vots en blanc;3
S-04015;Vots nuls;3
S-04016;Abstenció;285
S-04016;Vots a candidatures;645
S-04016;Vots en blanc;6
S-04016;Vots nuls;2
S-04017;Abstenció;291
S-04017;Vots a candidatures;616
S-04017;Vots en blanc;3
S-04017;Vots nuls;4
S-04018;Abstenció;195
S-04018;Vots a candidatures;427
S-04018;Vots en blanc;3
S-04018;Vots nuls;1
S-04019;Abstenció;202
S-04019;Vots a candidatures;435
S-04019;Vots en blanc;3
S-04019;Vots nuls;4
S-05001;Abstenció;203
S-05001;Vots a candidatures;341
S-05001;Vots en blanc;5
S-05001;Vots nuls;2
S-05002;Abstenció;251
S-05002;Vots a candidatures;304
S-05002;Vots en blanc;1
S-05002;Vots nuls;2
S-05003;Abstenció;291
S-05003;Vots a candidatures;385
S-05003;Vots en blanc;3
S-05003;Vots nuls;0
S-05004;Abstenció;209
S-05004;Vots a candidatures;296
S-05004;Vots en blanc;4
S-05004;Vots nuls;3
