CODI_DIVADM;CODI_NACIONALITAT;DESC_NACIONALITAT;NRE_HOMES;NRE_DONES
D-01;000;Altres;380;406
D-01;108;ESPAÑA;9210;10008
D-01;115;ITALIA                   ;65;32
D-01;128;RUMANIA;71;77
D-01;135;UCRANIA;12;23
D-01;137;MOLDOVA;16;11
D-01;228;MARRUECOS;173;134
D-01;321;HONDURAS;15;57
D-01;343;COLOMBIA                 ;30;41
D-01;345;ECUADOR;74;59
D-01;348;PERÚ;31;35
D-01;407;CHINA;115;81
D-01;426;PAKISTÁN;47;29
D-02;000;Altres;54;73
D-02;108;ESPAÑA;2751;2826
D-02;115;ITALIA                   ;19;13
D-02;128;RUMANIA;24;26
D-02;135;UCRANIA;4;4
D-02;228;MARRUECOS;31;22
D-02;321;HONDURAS;4;5
D-02;343;COLOMBIA                 ;8;4
D-02;345;ECUADOR;33;24
D-02;348;PERÚ;6;7
D-02;407;CHINA;27;24
D-02;426;PAKISTÁN;10;5
D-03;000;Altres;166;184
D-03;108;ESPAÑA;6151;6547
D-03;115;ITALIA                   ;26;26
D-03;128;RUMANIA;23;33
D-03;135;UCRANIA;16;27
D-03;137;MOLDOVA;17;15
D-03;228;MARRUECOS;159;124
D-03;321;HONDURAS;6;16
D-03;343;COLOMBIA                 ;12;15
D-03;345;ECUADOR;35;27
D-03;348;PERÚ;19;28
D-03;407;CHINA;35;38
D-03;426;PAKISTÁN;44;17
D-04;000;Altres;405;492
D-04;108;ESPAÑA;9076;9958
D-04;115;ITALIA                   ;36;29
D-04;128;RUMANIA;88;108
D-04;135;UCRANIA;49;56
D-04;137;MOLDOVA;45;41
D-04;228;MARRUECOS;295;195
D-04;321;HONDURAS;44;104
D-04;343;COLOMBIA                 ;52;60
D-04;345;ECUADOR;155;118
D-04;348;PERÚ;75;84
D-04;407;CHINA;129;113
D-04;426;PAKISTÁN;83;32
D-05;000;Altres;323;386
D-05;108;ESPAÑA;3640;3993
D-05;115;ITALIA                   ;15;13
D-05;128;RUMANIA;63;60
D-05;135;UCRANIA;45;50
D-05;137;MOLDOVA;19;18
D-05;228;MARRUECOS;487;306
D-05;321;HONDURAS;23;68
D-05;343;COLOMBIA                 ;54;44
D-05;345;ECUADOR;131;118
D-05;348;PERÚ;95;77
D-05;407;CHINA;40;39
D-05;426;PAKISTÁN;78;48
D-06;000;Altres;436;450
D-06;108;ESPAÑA;5423;5875
D-06;115;ITALIA                   ;24;21
D-06;128;RUMANIA;69;80
D-06;135;UCRANIA;32;40
D-06;137;MOLDOVA;31;27
D-06;228;MARRUECOS;633;344
D-06;321;HONDURAS;24;88
D-06;343;COLOMBIA                 ;53;62
D-06;345;ECUADOR;194;155
D-06;348;PERÚ;120;138
D-06;407;CHINA;32;37
D-06;426;PAKISTÁN;109;47
