FID,DIRECCION,UTM_X,UTM_Y,GRAD_X,GRAD_Y
0.0,GTA ARQUITECTO MARRERO REGALADO 9,377871.1929,3150369.8321,-16.2475747503,28.4742189019
1.0,CALLE MENDEZ NUÑEZ 84,377487.8199,3150227.6985,-16.2514751118,28.4729002373
2.0,CALLE MENDEZ NUÑEZ 110,377669.9382,3150445.0919,-16.2496382078,28.474879212
3.0,AVENIDA VEINTICINCO DE JULIO 43,377093.8787,3150336.7735,-16.2555101115,28.4738474986
4.0,CALLE SAN FERNANDO 7,377616.962,3150409.4807,-16.2501754856,28.474552865
5.0,CALLE SAN NICOLAS 2,377533.9965,3150046.154,-16.2509842027,28.4712662257
6.0,CALLE EL SALUDO 29,377718.3199,3150452.568,-16.2491448645,28.4749512202
7.0,GTA ARQUITECTO MARRERO REGALADO 5,377860.0015,3150326.5517,-16.2476844609,28.4738272682
8.0,CALLE DOCTOR JOSE NAVEIRAS 46,377183.3883,3150485.9967,-16.2546118467,28.4752026003
9.0,CALLE PINTOR JOSE AGUIAR 4,377386.0127,3150501.4646,-16.2525440254,28.4753612683
10.0,CALLE PINTOR JOSE AGUIAR 4,377386.2064,3150496.4747,-16.2525415158,28.4753162552
11.0,RBLA DE SANTA CRUZ 120,377432.1992,3150386.3979,-16.2520600608,28.4743271924
12.0,CALLE NUMANCIA 23,377193.3931,3150022.896,-16.2544602865,28.4710242906
13.0,AVENIDA FRANCISCO LA ROCHE 17,377885.628,3150032.3148,-16.2473915368,28.4711743209
14.0,CALLE LA ROSA 47,377726.9178,3150132.5798,-16.2490230802,28.4720642874
15.0,CALLE SANTIAGO 92,377738.9369,3150292.1876,-16.248917271,28.4735057985
16.0,CALLE SAN MIGUEL 10,377523.2543,3150148.6762,-16.2511048136,28.4721904295
17.0,CALLE SAN MIGUEL 36,377594.432,3150249.7729,-16.2503886167,28.4731094641
18.0,CALLE DECANO CONSULAR JESUS RAMOS GONZALEZ 2,372421.5331,3144514.688,-16.3025850475,28.420857933
19.0,CALLE DECANO CONSULAR JESUS RAMOS GONZALEZ 2,372452.8325,3144524.0303,-16.3022665779,28.4209452981
20.0,CALLE TENIENTE MARTIN BENCOMO 32,377235.5392,3150409.0132,-16.2540710067,28.474512776
21.0,CALLE CRUZ DE LA GALLEGA S/N,371032.7516,3145728.7382,-16.3168971631,28.4316775652
22.0,CALLE CRUZ DE LA GALLEGA S/N,371032.5468,3145733.8457,-16.3168998246,28.4317236367
23.0,SENDA REINA LUISA 32,371962.6924,3145028.9624,-16.3073258682,28.425454048
24.0,CALLE AHOREN 39,371929.2897,3145315.7079,-16.307698663,28.4280384715
25.0,CALLE AHOREN 41,371930.3256,3145304.4665,-16.3076868408,28.4279371266
26.0,CALLE FAISAN 36,371031.6724,3146954.306,-16.3170451602,28.4427373823
27.0,CALLE HALCON,371501.1618,3146927.7753,-16.3122487379,28.4425442696
28.0,AVENIDA LOS MAJUELOS 32,371278.7672,3146841.8216,-16.3145097828,28.4417466799
29.0,AVENIDA LOS MAJUELOS 32,371287.163,3146848.3809,-16.3144247947,28.4418067012
30.0,CALLE DONIS 6,370919.9288,3146605.5632,-16.318147036,28.4395791698
31.0,CALLE DONIS 2,370959.2871,3146589.3972,-16.3177433939,28.4394371742
32.0,CALLE CARPINTERO 13,371202.0323,3146580.4682,-16.3152640579,28.439380571
33.0,CALLE PATO 2,371578.4767,3146489.8577,-16.3114106105,28.4385999613
34.0,CALLE RUISEÑOR 16,371813.1611,3146065.7438,-16.3089674677,28.434795674
35.0,CALLE RUISEÑOR 16,371817.892,3146066.9678,-16.3089193049,28.4348071843
36.0,CALLE ANADE 8,371284.8437,3146667.7301,-16.3144283191,28.44017622
37.0,AVDA PRINCIPAL AÑAZA 2,372385.5461,3144688.5174,-16.3029716088,28.4224231235
38.0,CALLE COROMINAS 9,371866.9393,3146226.8167,-16.3084363191,28.4362545329
39.0,CALLE VOLCAN MAMBROQUE 1,371614.3639,3147512.9038,-16.3111580802,28.4478358069
40.0,CALLE DECANO CONSULAR JESUS RAMOS GONZALEZ 1,372708.6495,3144601.2811,-16.2996637332,28.421667394
41.0,AVENIDA PRINCIPAL AÑAZA 3,372407.8629,3144774.1101,-16.3027532552,28.4231977261
42.0,CALLE NANINO DIAZ CUTILLAS 1,373088.0223,3144840.6105,-16.2958173977,28.4238641173
43.0,CALLE CHINAMADA 7,372043.3811,3145311.3287,-16.3065334668,28.4280101359
44.0,CALLE BILMA 31,372084.8263,3145256.4129,-16.3061042855,28.4275186152
45.0,CALLE CHOPO 18,372038.2011,3146679.4948,-16.3067380484,28.4403564623
46.0,CALLE CAÑAMO 19,372036.158,3146864.3058,-16.3067794073,28.4420240626
47.0,CALLE CHAFIRA 65,373805.4037,3147082.0632,-16.2887392942,28.444161464
48.0,CALLE CHAFIRA 36,373787.4642,3147127.3567,-16.2889274161,28.4445684766
49.0,CALLE CHAFIRA 36,373787.4105,3147127.4529,-16.2889279749,28.4445693395
50.0,CALLE EL DRAGUILLO 39,372298.7567,3146226.3229,-16.304027681,28.4362923886
51.0,CALLE CURVA EL ARCO IRIS 14,373776.4302,3147383.3869,-16.2890680952,28.4468779323
52.0,CALLE JUAN RODRIGUEZ SANTOS 24,373844.8748,3147666.8796,-16.2884002563,28.4494429069
53.0,CALLE AMERICA 40,373764.9074,3148154.7783,-16.2892701953,28.4538381688
54.0,AVENIDA TRES DE MAYO 9,377050.4376,3148710.0507,-16.2557801908,28.4591630345
55.0,CTRA DEL ROSARIO 63,374851.538,3148099.5953,-16.2781684546,28.4534448719
56.0,SENDA ICOR 5,374521.7833,3148467.6037,-16.2815756759,28.4567342615
57.0,CALLE HURTADO DE MENDOZA 15,373979.6961,3147971.4609,-16.2870569228,28.452204604
58.0,CALLE CORINTO 3,373731.2634,3147757.424,-16.2895702232,28.4502490266
59.0,CALLE MONTAÑA CLARA 2,373486.1569,3147360.9845,-16.2920294588,28.4466476532
60.0,CALLE SAN IGNACIO 3B,373539.6227,3147337.3468,-16.2914809584,28.4464395196
61.0,CALLE CURVA EL ARCO IRIS 6,373832.8296,3147373.1635,-16.2884911131,28.4467911264
62.0,CALLE JUAN DE GARAY 7,374666.7469,3147904.272,-16.2800341476,28.451664448
63.0,CALLE TABURIENTE 45,374344.3407,3147655.0827,-16.2832990649,28.449384644
64.0,CALLE ELIAS BACALLADO 10,374266.1672,3148587.6248,-16.2841989729,28.4577927669
65.0,CALLE ELIAS BACALLADO 10,374266.3764,3148582.3674,-16.2841962632,28.4577453421
66.0,CALLE OLIVINA,373881.6345,3148110.1894,-16.2880734023,28.4534470706
67.0,CALLE TAMADAYA 3,374725.476,3148556.562,-16.2795053482,28.4575566391
68.0,CALLE GANIVET 3,375900.6265,3148933.0822,-16.2675457796,28.4610668759
69.0,CALLE FRAY LUIS DE LEON 6,373797.9059,3148092.4231,-16.2889264179,28.453278643
70.0,CALLE JOSE MARIA PEREDA 12,373654.8648,3148168.2111,-16.2903953258,28.4539487386
71.0,CALLE SANTA MARIA SOLEDAD 49,373891.3539,3148558.7687,-16.2880232279,28.4574961721
72.0,CALLE OLIVINA 1,373912.9938,3148092.263,-16.2877512291,28.4532883268
73.0,CALLE ESTANISLAO BROTONS POVEDA 7,374507.564,3148543.7381,-16.2817291639,28.4574199629
74.0,AVENIDA TRES DE MAYO 79,376654.6109,3148608.8023,-16.2598114432,28.4582119432
75.0,CALLE ESTANISLAO BROTONS POVEDA 4,374494.3129,3148655.7746,-16.2818766764,28.4584297528
76.0,CALLE GUAYADEQUE 2,374650.6462,3148455.5425,-16.2802584889,28.4566378062
77.0,CALLE AÑAVINGO 24,374712.3848,3148425.8899,-16.2796248266,28.4563761399
78.0,CALLE RAMIRO DE MAEZTU 14,376006.5852,3148495.6804,-16.2664166841,28.4571296319
79.0,CALLE GANIVET 5,375823.4538,3148851.0657,-16.2683250229,28.4603193745
80.0,CALLE ALCALDE MANDILLO TEJERA 29,375411.6243,3148971.3224,-16.2725435524,28.4613653478
81.0,CALLE HERNAN CORTÉS,374239.6281,3148079.9409,-16.284414594,28.4532086561
82.0,CALLE BARCELONA 2,375177.0342,3148002.3981,-16.2748342444,28.4525989055
83.0,CALLE DEL MENCEY 5,375371.055,3148695.8324,-16.2729280525,28.4588753248
84.0,CALLE ALCALDE MANDILLO TEJERA 9,375581.9043,3148878.7513,-16.270794673,28.4605462004
85.0,CALLE ALCALDE MANDILLO TEJERA 21,375482.0501,3148932.4863,-16.2718201739,28.4610215995
86.0,CALLE BARTOLOME CIFRA 1,374883.1256,3149895.8807,-16.2780409253,28.4696583605
87.0,CALLE DOCTOR JOSE MANUEL MIRALLES 5,375224.9425,3148213.4568,-16.2743678915,28.4545081787
88.0,AVENIDA DE VENEZUELA 2C,375673.1071,3149462.2816,-16.2699262811,28.465820944
89.0,CALLE RAFAEL AROCHA GUILLAMA 30,375283.9634,3149484.8736,-16.273902796,28.4659876601
90.0,PLAZA IGLESIA CRUZ DEL SEÑOR 1A,375487.8418,3149351.7496,-16.2718063307,28.4648057747
91.0,CALLE RIO GENIL 5,374761.5118,3149816.48,-16.279274297,28.4689301379
92.0,CALLE LIBIA 7,374181.6131,3149165.2531,-16.2851254577,28.4629973678
93.0,CALLE FRANCISCO PIZARRO 10,374915.6972,3149374.0919,-16.2776516311,28.4649526411
94.0,CALLE BIBIANA 23,374089.8716,3149120.3139,-16.2860574136,28.4625829634
95.0,CALLE NIGERIA 11,374137.2725,3149164.0785,-16.2855781366,28.4629824887
96.0,CALLE ARABIA 33,374160.396,3149049.9706,-16.2853295386,28.4619549643
97.0,CALLE FRANCISCO PIZARRO 2,374926.5194,3149336.0297,-16.2775369807,28.4646101895
98.0,AVENIDA BENITO PEREZ ARMAS 33,375854.6348,3149144.4794,-16.2680382154,28.4629702458
99.0,CALLE FERMIN MORIN 2,375814.6778,3149522.8659,-16.2684870405,28.4663811761
100.0,CALLE RIO BIDASOA 4,375075.1208,3149987.9061,-16.2760901167,28.4705072496
101.0,CALLE PEDRO PINTO DE LA ROSA 18,375965.1958,3149839.9693,-16.2669840278,28.469257192
102.0,CALLE JOSE CUBILES 4,375511.9367,3149226.778,-16.2715467662,28.463680275
103.0,CALLE JOSE CUBILES 2,375523.3281,3149236.3333,-16.2714314678,28.4637675938
104.0,CALLE PRINCIPE RUYMAN 41,375576.6917,3149922.8444,-16.2709606496,28.4699680729
105.0,CALLE GRANADOS 23,375431.0759,3149156.9621,-16.2723649809,28.4630425027
106.0,CALLE JOSE RODRIGUEZ MOURE 8,375297.1654,3149560.3635,-16.273776143,28.4666701771
107.0,CALLE PRINCIPE RUYMAN 23,375551.9352,3149872.4699,-16.2712080395,28.4695111078
108.0,CALLE JUAN RUMEU GARCIA 76,375151.9682,3149482.9105,-16.2752505646,28.465957312
109.0,CALLE GUIA DE ISORA 1,375234.693,3149998.846,-16.2744616251,28.470621258
110.0,CALLE PRINCESA GUACIMARA 33,375596.7727,3149872.6634,-16.2707501482,28.4695171335
111.0,CALLE ALCALDE MANDILLO TEJERA 35,375370.9727,3149006.9319,-16.2729625339,28.4616828197
112.0,CALLE AGUSTIN CABRERA DIAZ 2,375403.7139,3149505.0573,-16.2726820438,28.4661812557
113.0,CALLE HERO 52,375353.3207,3149856.6861,-16.2732347217,28.4693496929
114.0,CALLE GARCILASO DE LA VEGA 15A,376828.4879,3148991.2932,-16.2580767459,28.4616801665
115.0,AVENIDA JOSE MANUEL GUIMERA 10,377568.4315,3148923.8823,-16.2505132649,28.4611414934
116.0,CALLE DEL PERDON 2,376624.4482,3149837.736,-16.2602510335,28.469299594
117.0,CALLE JESUS Y MARIA 43,376954.4334,3149791.6184,-16.2568760563,28.468914593
118.0,CALLE JUAN RUMEU GARCIA 28,375347.2957,3149403.9769,-16.2732472721,28.4652636686
119.0,CALLE POGGI BORSOTTO 4,375837.4375,3149486.9202,-16.2682507353,28.4660589531
120.0,AVENIDA DE BELGICA 50,375884.3833,3149408.2553,-16.2677628329,28.4653535143
121.0,CALLE SIMON BOLIVAR 22,375541.5483,3149175.8893,-16.2712388721,28.4632238589
122.0,CALLE ALVAREZ DE LUGO 36,376845.358,3149701.5837,-16.2579803858,28.468091776
