FID,CODCALLE,TEXTO,GRUPO,CAPACIDAD,PTO_REC,UTM_X,UTM_Y,GRAD_X,GRAD_Y
0.0,43467,CALLE SANTA MARGARITA,2.0,800.0,R0001,373692.252801,3148174.448,-16.2900142353,28.4540086435
1.0,43483,"CALLE SANTA MONICA, FINCA LA MULTA",2.0,800.0,R0002,373702.928004,3148252.19962,-16.289913747,28.4547113388
2.0,43467,CALLE SANTA MARGARITA,1.0,800.0,R0003,373700.451167,3148279.90561,-16.2899420738,28.4549611289
3.0,43467,CALLE SANTA MARGARITA,1.0,800.0,R0004,373700.818364,3148281.0072,-16.289938445,28.4549711057
4.0,43405,CALLE AMERICA,3.0,800.0,R0005,373785.421161,3148244.03381,-16.2890704982,28.4546456316
5.0,43483,"CALLE SANTA MONICA, FINCA LA MULTA",1.0,800.0,R0006,373661.859277,3148266.91965,-16.2903347214,28.4548402013
6.0,43405,CALLE AMERICA,4.0,800.0,R0007,373772.557101,3148157.28999,-16.2891923583,28.4538615756
7.0,10134,CALLE JOSE MARIA PEREDA,5.0,800.0,R0008,373857.23142,3148114.32221,-16.2883230366,28.4534820073
8.0,43324,CALLE FRAY LUIS DE LEON,3.0,800.0,R0009,373769.969473,3147998.0469,-16.2892013461,28.452424251
9.0,44672,CALLE PEDRO DOBLADO CLAVERIE,1.0,800.0,R0010,374290.628765,3147809.16247,-16.2838642996,28.4507699519
10.0,45837,CALLE FRAY JUNIPERO SERRA,2.0,800.0,R0011,374309.613658,3147911.88097,-16.2836816447,28.4516987566
11.0,01023,CALLE ISLETA EN CARRETERA DEL ROSARIO,2.0,800.0,R0012,374414.420797,3147899.30947,-16.2826100955,28.4515953991
12.0,43951,CALLE PONCE DE LEON,3.0,800.0,R0013,374486.607214,3147964.45632,-16.2818800961,28.4521902592
13.0,44513,CALLE HERMANOS PINZON,2.0,800.0,R0014,374425.571242,3147985.83915,-16.282505663,28.4523773535
14.0,44664,CALLE PEDRO DE VALDIVIA,6.0,800.0,R0015,374331.908563,3148020.07989,-16.2834657855,28.4526773376
15.0,44521,CALLE MAXIMINO ACEA PERDOMO,4.0,800.0,R0016,374254.978865,3148084.19834,-16.2842583103,28.4532485568
16.0,43904,CALLE HERNAN CORTES,4.0,800.0,R0017,374213.223956,3148107.80457,-16.2846872488,28.4534575639
17.0,44505,CALLE ELISEO LOPEZ,7.0,800.0,R0018,374420.661876,3148199.12081,-16.2825790236,28.454301626
18.0,45613,CALLE ARAUCANO,2.0,800.0,R0019,374383.945634,3148057.69458,-16.2829385312,28.4530218003
19.0,43877,CALLE DOMINGO MADAN,4.0,800.0,R0020,374554.82176,3148033.6388,-16.2811910847,28.452821153
20.0,43877,CALLE DOMINGO MADAN,3.0,800.0,R0021,374566.203971,3148125.90786,-16.2810848986,28.4536549235
21.0,43877,CALLE DOMINGO MADAN,2.0,800.0,R0022,374548.872033,3148221.14,-16.2812722401,28.4545126728
22.0,45725,CALLE AÑAVINGO,3.0,800.0,R0023,374735.642305,3148467.25346,-16.2793918296,28.4567516564
23.0,45691,CALLE TAMADAYA,4.0,800.0,R0024,374676.893508,3148498.78525,-16.2799951677,28.4570305696
24.0,45683,CALLE TENO,2.0,800.0,R0025,374535.732572,3148425.08022,-16.2814286056,28.4563518533
25.0,46041,CALLE LOS MINISTERIOS,3.0,800.0,R0026,374727.85294,3148377.80412,-16.2794616496,28.4559436786
26.0,43703,CALLE MAGEC,2.0,800.0,R0027,374481.194307,3147588.74754,-16.2818944701,28.4487991792
27.0,43653,CALLE CHINCANAYRO,2.0,800.0,R0028,374445.238258,3147812.86525,-16.2822860076,28.4508182553
28.0,43177,CALLE TABURIENTE,4.0,800.0,R0029,374357.485381,3147689.48708,-16.2831685968,28.4496963898
29.0,43177,CALLE TABURIENTE,2.0,800.0,R0030,374330.71585,3147643.89123,-16.2834369648,28.4492823351
30.0,43177,CALLE TABURIENTE,3.0,800.0,R0031,374305.298154,3147594.77492,-16.283691144,28.44883664
31.0,43684,CALLE GARA Y JONAY,4.0,800.0,R0032,374503.420401,3147731.9698,-16.2816831134,28.4500938174
32.0,43684,CALLE GARA Y JONAY,1.0,800.0,R0033,374586.78609,3147856.2773,-16.2808454033,28.4512236387
33.0,44401,CALLE DIEGO DE ALMAGRO,1.0,800.0,R0034,374692.50694,3147766.89028,-16.2797561833,28.4504271292
34.0,44401,CALLE DIEGO DE ALMAGRO,2.0,800.0,R0035,374773.542323,3147906.65232,-16.2789439227,28.4516961843
35.0,45806,CALLE ABENHAMA,1.0,800.0,R0036,374845.334315,3148059.98,-16.2782275009,28.4530867707
36.0,44401,CALLE DIEGO DE ALMAGRO,1.0,800.0,R0037,374781.201963,3148021.10776,-16.2788781406,28.4527298161
37.0,44401,CALLE DIEGO DE ALMAGRO,2.0,800.0,R0038,374773.369906,3147987.01196,-16.278954411,28.4524213688
38.0,44401,CALLE DIEGO DE ALMAGRO,2.0,800.0,R0039,374739.593271,3147941.27561,-16.2792943365,28.4520053811
39.0,44401,CALLE DIEGO DE ALMAGRO,2.0,800.0,R0040,374701.765634,3147888.36812,-16.2796748446,28.4515242881
40.0,44416,CALLE JUAN DE GARAY,3.0,800.0,R0041,374636.45379,3147941.2125,-16.2803474855,28.4519949047
41.0,44447,CALLE RODRIGO DE TRIANA,2.0,800.0,R0042,374686.91152,3147967.67115,-16.279835138,28.4522385268
42.0,44447,CALLE RODRIGO DE TRIANA,3.0,800.0,R0043,374766.573138,3148075.38159,-16.2790334117,28.4532182029
43.0,43765,CALLE HERMANO PEDRO,2.0,800.0,R0044,374004.066493,3147827.54119,-16.2867923508,28.4509081666
44.0,43765,CALLE HERMANO PEDRO,1.0,800.0,R0045,373986.91209,3147774.50336,-16.2869617157,28.4504278743
45.0,43765,CALLE HERMANO PEDRO,1.0,800.0,R0046,373986.428732,3147773.05328,-16.2869664927,28.4504147416
46.0,43765,CALLE HERMANO PEDRO,2.0,800.0,R0047,373999.31321,3147854.52007,-16.2868438339,28.4511511762
47.0,43765,CALLE HERMANO PEDRO,3.0,800.0,R0048,374017.536345,3147860.39895,-16.2866584021,28.4512059895
48.0,10517,CALLE LA ANTRACITA,3.0,800.0,R0050,373952.37801,3148073.29201,-16.2873469998,28.4531209308
49.0,43371,CALLE MESONERO ROMANOS,4.0,800.0,R0051,373923.028873,3148031.36683,-16.2876421011,28.4527397446
50.0,43227,AVDA PRINCIPES DE ESPAÑA,1.0,800.0,R0052,374117.67,3147980.81,-16.2856490948,28.4523022947
51.0,43227,AVDA PRINCIPES DE ESPAÑA,1.0,800.0,R0053,374117.67,3147980.81,-16.2856490948,28.4523022947
52.0,43347,CALLE HURTADO DE MENDOZA,5.0,800.0,R0054,373999.646583,3147967.04509,-16.2868527264,28.4521666809
53.0,43386,CALLE SARGENTO PROVISIONAL,2.0,800.0,R0055,373861.991168,3147931.90597,-16.2882544776,28.4518362688
54.0,54867,CALLE LA VICA,4.0,800.0,R0056,373665.967296,3147820.56604,-16.2902438651,28.450812525
55.0,54867,CALLE LA VICA,4.0,800.0,R0057,373660.301252,3147778.26354,-16.2902970852,28.4504302214
56.0,43386,CALLE SARGENTO PROVISIONAL,3.0,800.0,R0058,373692.167913,3147800.55604,-16.2899741431,28.4506344834
57.0,43386,CALLE SARGENTO PROVISIONAL,5.0,800.0,R0059,373757.997078,3147851.10688,-16.289307508,28.4510970461
58.0,10799,PASEO LAS RETAMAS,1.0,800.0,R0060,373871.98,3147852.41,-16.2881437864,28.4511198303
59.0,10799,PASEO LAS RETAMAS,1.0,800.0,R0061,373871.98,3147852.41,-16.2881437864,28.4511198303
60.0,10799,PASEO LAS RETAMAS,1.0,800.0,R0062,373871.98,3147852.41,-16.2881437864,28.4511198303
61.0,10799,PASEO LAS RETAMAS,1.0,800.0,R0063,373871.98,3147852.41,-16.2881437864,28.4511198303
62.0,45555,CALLE BENCHEQUE,5.0,800.0,R0064,373824.35,3147787.23,-16.2886229977,28.4505270137
63.0,45555,CALLE BENCHEQUE,7.0,800.0,R0069,373744.72465,3147721.50765,-16.2894288409,28.4499262054
64.0,10219,"CALLE CORAZON DE MARIA, TRANSVERSAL",3.0,800.0,R0070,373831.412144,3147753.41357,-16.2885471875,28.4502225233
65.0,43796,CALLE JUAN RODRIGUEZ SANTOS,2.0,800.0,R0071,373913.690781,3147629.15695,-16.2876934718,28.4491091339
66.0,43796,CALLE JUAN RODRIGUEZ SANTOS,4.0,800.0,R0072,373808.76925,3147680.95387,-16.2887704596,28.4495664274
67.0,43796,CALLE JUAN RODRIGUEZ SANTOS,5.0,800.0,R0073,373695.464159,3147665.49037,-16.2899256917,28.4494159149
68.0,43823,"CALLE JUAN ALBORNOZ ""SOMBRITA""",4.0,800.0,R0074,373693.500379,3147620.92724,-16.2899408623,28.449013569
69.0,43823,"CALLE JUAN ALBORNOZ ""SOMBRITA""",3.0,800.0,R0075,373777.695713,3147565.48057,-16.2890751035,28.4485213432
70.0,43823,"CALLE JUAN ALBORNOZ ""SOMBRITA""",4.0,800.0,R0076,373852.643216,3147522.91322,-16.2883051869,28.4481444457
71.0,10625,CALLE LA ESTRELLA,2.0,800.0,R0077,373902.475712,3147598.59464,-16.2878046434,28.4488322432
72.0,10625,CALLE LA ESTRELLA,4.0,800.0,R0078,373923.183853,3147555.57731,-16.2875884969,28.4484460379
73.0,10625,CALLE LA ESTRELLA,3.0,800.0,R0079,373888.571445,3147598.27601,-16.2879465802,28.4488280239
74.0,45702,CALLE ORCHILLA,2.0,800.0,R0080,374747.419728,3148519.49995,-16.2792772421,28.4572242825
75.0,45725,CALLE AÑAVINGO,1.0,800.0,R0081,374762.580198,3148477.74007,-16.2791178941,28.4568488789
76.0,52965,CALLE SAN MIGUEL,3.0,800.0,R0082,377560.39,3150209.68401,-16.2507320304,28.4727444841
77.0,10122,CALLE SAN FRANCISCO JAVIER,4.0,800.0,R0083,377512.076539,3150129.88822,-16.2512169745,28.4720198268
78.0,10122,CALLE SAN FRANCISCO JAVIER,1.0,800.0,R0084,377599.37,3150070.64,-16.2503191481,28.4714933401
79.0,10122,CALLE SAN FRANCISCO JAVIER,1.0,800.0,R0085,377599.37,3150070.64,-16.2503191481,28.4714933401
80.0,10122,CALLE SAN FRANCISCO JAVIER,1.0,800.0,R0086,377599.37,3150070.64,-16.2503191481,28.4714933401
81.0,10122,CALLE SAN FRANCISCO JAVIER,3.0,800.0,R0087,377599.37,3150070.64,-16.2503191481,28.4714933401
82.0,10122,CALLE SAN FRANCISCO JAVIER,3.0,800.0,R0088,377553.055787,3150101.72274,-16.2507954583,28.4717694971
83.0,10192,CALLE SANTIAGO,2.0,800.0,R0089,377645.132008,3150120.63209,-16.2498570922,28.4719487907
84.0,10265,PQUE GARCIA SANABRIA,1.0,800.0,R0090,377361.677621,3150147.06288,-16.2527548303,28.4721606785
85.0,10265,PQUE GARCIA SANABRIA,1.0,800.0,R0091,377361.988193,3150146.26658,-16.2527515737,28.4721535214
86.0,10265,PQUE GARCIA SANABRIA,1.0,800.0,R0092,377350.785114,3150184.04112,-16.2528700134,28.472493364
87.0,10265,PQUE GARCIA SANABRIA,1.0,800.0,R0093,377350.4602,3150184.54613,-16.2528733856,28.4724978909
88.0,10242,CALLE DOCTOR GUIGOU,2.0,800.0,R0094,377378.717984,3150226.20533,-16.2525892221,28.4728765032
89.0,10257,CALLE DOCTOR JOSE NAVEIRAS,2.0,800.0,R0095,377317.933252,3150316.85037,-16.2532196779,28.4736888102
90.0,10242,CALLE DOCTOR GUIGOU,6.0,800.0,R0097,377381.478566,3150303.62076,-16.2525692699,28.473575399
91.0,10203,CALLE SAN ANTONIO,3.0,800.0,R0099,377457.381099,3150283.72857,-16.2517919479,28.4734030199
92.0,10203,CALLE SAN ANTONIO,4.0,800.0,R0100,377404.951061,3150310.35758,-16.2523302584,28.4736384034
93.0,10273,RBLA DE SANTA CRUZ,4.0,800.0,R0101,377379.872778,3150384.58111,-16.2525942897,28.4743058751
94.0,10296,CALLE DE LA TOLERANCIA,2.0,800.0,R0102,377559.052061,3150351.59819,-16.2507607817,28.4740250647
95.0,10072,CALLE SAN MARTIN,4.0,800.0,R0103,377538.689303,3150329.39852,-16.2509663905,28.4738228106
96.0,10296,CALLE DE LA TOLERANCIA,3.0,800.0,R0104,377561.347767,3150403.5453,-16.2507428577,28.4744940777
97.0,10296,CALLE DE LA TOLERANCIA,1.0,800.0,R0105,377555.52,3150416.79,-16.2508037864,28.4746130572
98.0,10273,RBLA DE SANTA CRUZ,3.0,800.0,R0106,377579.520098,3150439.5459,-16.2505610857,28.4748206725
99.0,10072,CALLE SAN MARTIN,2.0,800.0,R0107,377448.130327,3150377.9009,-16.2518964481,28.4742520092
100.0,10072,CALLE SAN MARTIN,3.0,800.0,R0108,377502.936295,3150351.21276,-16.2513338632,28.4740163137
101.0,10087,CALLE SAN VICENTE FERRER,2.0,800.0,R0109,377474.544061,3150084.92594,-16.2515955118,28.4716105368
102.0,10087,CALLE SAN VICENTE FERRER,4.0,800.0,R0111,377526.142996,3150044.95722,-16.2510642829,28.4712546875
103.0,11237,CALLE PUERTO ESCONDIDO,1.0,800.0,R0112,377507.196181,3149840.65124,-16.2512360604,28.4694091448
104.0,11237,CALLE PUERTO ESCONDIDO,3.0,800.0,R0113,377525.329663,3149823.19948,-16.2510490119,28.4692533548
105.0,11237,CALLE PUERTO ESCONDIDO,2.0,800.0,R0114,377496.979812,3149868.40838,-16.2513433496,28.4696586796
106.0,11237,CALLE PUERTO ESCONDIDO,4.0,800.0,R0115,377486.297996,3149888.44104,-16.2514545714,28.4698384608
107.0,11253,CALLE SANTA ROSALIA,8.0,800.0,R0116,377518.814575,3149963.25193,-16.25113044,28.4705166483
108.0,58327,CALLE ANTONIO DE LARA Y ZARATE,4.0,800.0,R0123,377429.557826,3150034.33626,-16.2520495721,28.4711497605
109.0,11117,CALLE NUMANCIA,4.0,800.0,R0124,377276.73054,3149910.01473,-16.2535971419,28.4700134411
110.0,11083,CALLE CALLAO DE LIMA,3.0,800.0,R0125,377301.706241,3149904.73991,-16.2533415076,28.4699681894
111.0,11083,CALLE CALLAO DE LIMA,3.0,800.0,R0126,377229.347719,3149824.77617,-16.2540719698,28.4692397437
112.0,11102,CALLE JESUS NAZARENO,3.0,800.0,R0127,377293.932678,3149791.87126,-16.2534088751,28.4689488736
113.0,11091,PLAZA IRENEO GONZALEZ,4.0,800.0,R0129,377322.963662,3149853.46604,-16.2531189491,28.4695074685
114.0,57564,CALLE PROLONGACION RAMON Y CAJAL,2.0,800.0,R0130,377156.785137,3149442.66465,-16.2547722898,28.4657845402
115.0,57564,CALLE PROLONGACION RAMON Y CAJAL,2.0,800.0,R0131,377231.274414,3149426.48828,-16.254009851,28.4656455723
116.0,57564,CALLE PROLONGACION RAMON Y CAJAL,1.0,800.0,R0132,377301.380441,3149396.12851,-16.253290667,28.4653781892
117.0,10822,CALLE MIRAFLORES,2.0,800.0,R0133,377319.568435,3149434.57359,-16.2531090178,28.4657268489
118.0,10981,CALLE CARMEN MONTEVERDE,2.0,800.0,R0134,377338.316015,3149473.42601,-16.252921696,28.466079237
119.0,10892,CALLE SAN FRANCISCO DE PAULA,5.0,800.0,R0135,377425.086797,3149469.50679,-16.252035137,28.4660520282
120.0,10822,CALLE MIRAFLORES,2.0,800.0,R0140,377507.283121,3149396.13633,-16.251187911,28.4653976196
121.0,10822,CALLE MIRAFLORES,1.0,800.0,R0141,377434.726015,3149413.84,-16.2519307754,28.4655505683
122.0,10822,CALLE MIRAFLORES,1.0,800.0,R0142,377378.679609,3149417.19281,-16.2525035004,28.4655755562
123.0,10981,CALLE CARMEN MONTEVERDE,5.0,800.0,R0144,377259.060391,3149495.35242,-16.2537334255,28.4662696536
124.0,10981,CALLE CARMEN MONTEVERDE,2.0,800.0,R0145,377236.95445,3149510.54648,-16.2539608004,28.4664046913
125.0,10822,CALLE MIRAFLORES,1.0,800.0,R0146,377297.342812,3149439.84235,-16.2533365561,28.4657723054
126.0,10822,CALLE MIRAFLORES,2.0,800.0,R0147,377167.141938,3149486.70264,-16.2546712167,28.4661829372
127.0,57274,CTRA GENERAL DEL SUR,1.0,3200.0,R0148,372530.105853,3146926.9705,-16.3017431578,28.442637908
128.0,50177,CALLE MARTIN,2.0,800.0,R0149,372477.098036,3146948.37205,-16.3022867333,28.4428258652
129.0,50034,CALLE ANIBAL,3.0,800.0,R0150,372642.491005,3146839.47703,-16.3005860458,28.4418593055
130.0,56313,CALLE ITIBABA,1.0,800.0,R0151,372578.07,3146846.47,-16.3012445519,28.4419161249
131.0,56112,CALLE ABICORE,2.0,800.0,R0152,372594.063973,3146923.19699,-16.3010897286,28.4426100995
132.0,50297,CALLE PICAFLOR,2.0,800.0,R0153,372632.101168,3146950.48205,-16.3007043814,28.4428600429
133.0,50475,CALLE LA BRITA,3.0,800.0,R0154,372397.142462,3146559.11602,-16.3030600263,28.4393052592
134.0,50533,CALLE DOCTOR JOSE SAEZ Y SAENZ DIEZ,3.0,800.0,R0155,372343.035285,3146554.8662,-16.3036119726,28.4392616168
135.0,50371,CALLE SAN JUAN,2.0,800.0,R0156,372562.89,3146638.36,-16.3013765503,28.4400365795
136.0,50316,CALLE PRUDENCIO TADEO,2.0,800.0,R0157,372541.59,3146714.99,-16.3016024839,28.4407260378
137.0,50386,CALLE SAN LORENZO,2.0,800.0,R0158,372232.53,3146943.54535,-16.3047832404,28.4427583876
138.0,50154,CALLE MALVASIA,1.0,800.0,R0159,372207.309845,3146857.62488,-16.3050312199,28.4419805409
139.0,50162,CALLE MARIA LUISA,2.0,800.0,R0160,372169.260078,3146814.91977,-16.305414973,28.4415914283
140.0,50282,CALLE LA PARRA,1.0,800.0,R0161,372191.480233,3146798.96961,-16.3051863407,28.4414496644
141.0,50154,CALLE MALVASIA,2.0,800.0,R0162,372258.595271,3146875.54504,-16.304509584,28.4421472795
142.0,52973,CALLE SAN LAZARO,2.0,800.0,R0163,372285.480304,3146951.03789,-16.3042434474,28.4428311856
143.0,10289,CALLE NISAMAR,2.0,800.0,R0164,373105.593741,3144989.7058,-16.2956544102,28.4252113232
144.0,10289,CALLE NISAMAR,2.0,800.0,R0166,373196.538805,3145007.10601,-16.2947279218,28.4253771828
145.0,10289,CALLE NISAMAR,2.0,800.0,R0167,373141.36529,3144961.14238,-16.2952861033,28.4249570298
146.0,10289,CALLE NISAMAR,1.0,800.0,R0168,373179.662928,3144963.02927,-16.2948953556,28.4249777772
