FID,NOMBRE,TIPO,GEOCODIGO,UTM_X,UTM_Y,GRAD_X,GRAD_Y
0.0,GASOLINERA,Estaciones de Servicio,GAS_001,379425.588314,3152011.45941,-16.2318711969,28.4891785982
1.0,GASOLINERA,Estaciones de Servicio,GAS_002,379445.273561,3151939.93563,-16.2316626246,28.4885349498
2.0,GASOLINERA,Estaciones de Servicio,GAS_003,378661.012689,3151315.35029,-16.2396077475,28.4828255401
3.0,GASOLINERA,Estaciones de Servicio,GAS_004,378330.898467,3150922.02918,-16.2429380011,28.4792452175
4.0,GASOLINERA,Estaciones de Servicio,GAS_005,377267.848545,3148644.48133,-16.2535530571,28.4585917796
5.0,GASOLINERA,Estaciones de Servicio,GAS_006,376944.742439,3148718.28488,-16.2568604043,28.4592273757
6.0,GASOLINERA,Estaciones de Servicio,GAS_007,376496.856035,3148556.36107,-16.2614167631,28.457723759
7.0,GASOLINERA,Estaciones de Servicio,GAS_008,376123.466084,3148521.86556,-16.2652259648,28.4573770453
8.0,GASOLINERA,Estaciones de Servicio,GAS_009,375835.69887,3148259.94576,-16.2681363038,28.4549859943
9.0,GASOLINERA,Estaciones de Servicio,GAS_010,376481.40135,3147905.75963,-16.2615048731,28.4518509427
10.0,GASOLINERA,Estaciones de Servicio,GAS_011,375411.678158,3148696.61522,-16.2725133066,28.4588862705
11.0,GASOLINERA,Estaciones de Servicio,GAS_012,375653.65949,3149342.23067,-16.2701119313,28.4647356951
12.0,GASOLINERA,Estaciones de Servicio,GAS_013,375565.05529,3149640.57622,-16.2710490004,28.4674196475
13.0,GASOLINERA,Estaciones de Servicio,GAS_014,374971.114834,3149163.46287,-16.2770628389,28.4630571484
14.0,GASOLINERA,Estaciones de Servicio,GAS_015,374760.255921,3149291.11882,-16.2792300158,28.4641889359
15.0,GASOLINERA,Estaciones de Servicio,GAS_016,374834.725313,3148199.00538,-16.2783509236,28.4543403794
16.0,GASOLINERA,Estaciones de Servicio,GAS_017,372656.065635,3147189.56403,-16.300486098,28.4450199473
17.0,GASOLINERA,Estaciones de Servicio,GAS_018,372346.152254,3146661.93949,-16.3035919963,28.4402281908
18.0,GASOLINERA,Estaciones de Servicio,GAS_019,372183.873944,3146478.65023,-16.305228513,28.4385582406
19.0,GASOLINERA,Estaciones de Servicio,GAS_020,371347.485566,3146841.91976,-16.3138081887,28.4417543412
20.0,GASOLINERA,Estaciones de Servicio,GAS_021,371029.813987,3145039.98373,-16.3168502047,28.4254617218
21.0,GASOLINERA,Estaciones de Servicio,GAS_022,372245.085676,3145228.46335,-16.3044651793,28.4272820751
22.0,GASOLINERA,Estaciones de Servicio,GAS_023,372736.293352,3145207.26376,-16.2994483359,28.4271387216
23.0,GASOLINERA,Estaciones de Servicio,GAS_024,374435.405648,3146231.60072,-16.282214278,28.4365472788
24.0,GASOLINERA,Estaciones de Servicio,GAS_025,374332.313742,3147991.34929,-16.2834585168,28.4524180995
25.0,GASOLINERA,Estaciones de Servicio,GAS_026,374262.546251,3146846.77053,-16.2840461257,28.4420822051
