FID,Id,PARTIDOPOL,SIGLAS,UTM_X,UTM_Y,GRAD_X,GRAD_Y
0.0,8.0,JUNTOS POR CANARIAS,JXC,376684.553792,3148082.38768,-16.2594493647,28.4534641426
1.0,3.0,PARTIDO SOCIALISTA OBRERO ESPAÑOL-NUEVA CANARIA,PSOE-NCa,376778.19102,3148298.63088,-16.2585163281,28.45542448
2.0,1.0,COALICION CANARIA-PARTIDO NACIONALISTA CANARIO,CCa-PNC,376780.691937,3148259.07208,-16.2584865619,28.4550677174
3.0,10.0,UNIDOS PODEMOS,PODEMOS-IU-EQUO-CLIAS,376838.069773,3148393.68025,-16.2579150371,28.4562879092
4.0,10.0,UNIDOS PODEMOS,PODEMOS-IU-EQUO-CLIAS,376865.72971,3148457.58138,-16.2576394139,28.456867197
5.0,2.0,PARTIDO POPULAR,PP,376871.88,3148473.07309,-16.2575782647,28.4570075827
6.0,2.0,PARTIDO POPULAR,PP,376853.918537,3148478.95598,-16.2577623077,28.4570589773
7.0,8.0,JUNTOS POR CANARIAS,JXC,377236.817593,3149202.40687,-16.2539293679,28.4636238685
8.0,3.0,PARTIDO SOCIALISTA OBRERO ESPAÑOL-NUEVA CANARIA,PSOE-NCa,376911.97291,3149204.20251,-16.2572469379,28.4636094501
9.0,3.0,PARTIDO SOCIALISTA OBRERO ESPAÑOL-NUEVA CANARIA,PSOE-NCa,376243.068935,3148800.58115,-16.2640345585,28.4599036641
10.0,10.0,UNIDOS PODEMOS,PODEMOS-IU-EQUO-CLIAS,376265.685929,3148851.71095,-16.2638090873,28.4603672302
11.0,1.0,COALICION CANARIA-PARTIDO NACIONALISTA CANARIO,CCa-PNC,376252.065245,3148798.71134,-16.2639424891,28.4598876437
12.0,6.0,ESCAÑOS EN BLANCO,EB,376256.768448,3148854.26345,-16.2639004254,28.4603894192
13.0,2.0,PARTIDO POPULAR,PP,376281.637133,3148952.72993,-16.2636570402,28.4612803878
14.0,10.0,UNIDOS PODEMOS,PODEMOS-IU-EQUO-CLIAS,376291.21951,3148951.0488,-16.2635590051,28.4612661255
15.0,2.0,PARTIDO POPULAR,PP,376295.110533,3149008.00389,-16.2635253838,28.4617804849
16.0,7.0,CIUDADANOS-PARTIDO DE LA CIUDADANIA,C's,376303.760919,3149007.20692,-16.2634369606,28.4617741132
17.0,3.0,PARTIDO SOCIALISTA OBRERO ESPAÑOL-NUEVA CANARIA,PSOE-NCa,375924.190038,3149085.99788,-16.2673216145,28.4624491011
18.0,1.0,COALICION CANARIA-PARTIDO NACIONALISTA CANARIO,CCa-PNC,375907.92227,3149095.57222,-16.2674887725,28.4625339565
19.0,7.0,CIUDADANOS-PARTIDO DE LA CIUDADANIA,C's,376072.20027,3148910.96666,-16.2657913054,28.4608836103
20.0,10.0,UNIDOS PODEMOS,PODEMOS-IU-EQUO-CLIAS,376079.582898,3148888.27676,-16.2657134751,28.4606795474
21.0,2.0,PARTIDO POPULAR,PP,376185.524045,3148774.77755,-16.2646194238,28.4596653381
22.0,2.0,PARTIDO POPULAR,PP,376161.966965,3148794.6945,-16.2648621236,28.4598428416
23.0,5.0,PARTIDO ANIMALISTA CONTRA EL MALTRATO ANIMAL,PACMA,376228.862848,3149262.35577,-16.2642292235,28.4640695925
24.0,9.0,RECORTES CERO-GRUPO VERDE,RECORTES CERO-GRUPO VERDE,375873.590909,3149411.40909,-16.267873388,28.4653809481
25.0,4.0,PARTIDO COMUNISTA DEL PUEBLO CANARIO,PCPC,376025.474739,3149341.3783,-16.2663147663,28.4647634075
26.0,1.0,COALICION CANARIA-PARTIDO NACIONALISTA CANARIO,CCa-PNC,376082.087036,3149347.90045,-16.2657373277,28.4648276479
27.0,6.0,ESCAÑOS EN BLANCO,EB,376328.66538,3149337.04303,-16.263218035,28.4647530757
28.0,7.0,CIUDADANOS-PARTIDO DE LA CIUDADANIA,C's,375977.392452,3149370.17612,-16.266808895,28.4650187201
29.0,2.0,PARTIDO POPULAR,PP,376333.686435,3149293.14185,-16.2631620469,28.4643573666
30.0,10.0,UNIDOS PODEMOS,PODEMOS-IU-EQUO-CLIAS,376207.638119,3149320.17901,-16.2644521869,28.4645894022
31.0,2.0,PARTIDO POPULAR,PP,376282.816649,3149303.19239,-16.2636826204,28.4644432419
32.0,3.0,PARTIDO SOCIALISTA OBRERO ESPAÑOL-NUEVA CANARIA,PSOE-NCa,376015.354416,3149355.87014,-16.266419677,28.4648932265
33.0,3.0,PARTIDO SOCIALISTA OBRERO ESPAÑOL-NUEVA CANARIA,PSOE-NCa,375859.97575,3149394.16869,-16.2680105729,28.4652240666
34.0,7.0,CIUDADANOS-PARTIDO DE LA CIUDADANIA,C's,376859.354238,3148119.56911,-16.2576684115,28.4538161991
35.0,8.0,JUNTOS POR CANARIAS,JXC,376778.198606,3148074.99884,-16.2584923481,28.4534063108
36.0,3.0,PARTIDO SOCIALISTA OBRERO ESPAÑOL-NUEVA CANARIA,PSOE-NCa,376763.71211,3148035.58822,-16.2586360601,28.4530492807
37.0,4.0,PARTIDO COMUNISTA DEL PUEBLO CANARIO,PCPC,376815.735625,3148098.06983,-16.2581115149,28.4536180603
38.0,9.0,RECORTES CERO-GRUPO VERDE,RECORTES CERO-GRUPO VERDE,376806.174991,3148061.60859,-16.2582052446,28.4532881125
39.0,3.0,PARTIDO SOCIALISTA OBRERO ESPAÑOL-NUEVA CANARIA,PSOE-NCa,377155.388528,3148302.66463,-16.2546650399,28.4554964601
40.0,1.0,COALICION CANARIA-PARTIDO NACIONALISTA CANARIO,CCa-PNC,376907.003859,3148148.42733,-16.2571849305,28.4540811276
41.0,10.0,UNIDOS PODEMOS,PODEMOS-IU-EQUO-CLIAS,376890.218784,3148112.92709,-16.2573525367,28.4537591712
42.0,10.0,UNIDOS PODEMOS,PODEMOS-IU-EQUO-CLIAS,376847.683716,3148085.46193,-16.2577839388,28.4535072966
43.0,5.0,PARTIDO ANIMALISTA CONTRA EL MALTRATO ANIMAL,PACMA,377188.626303,3148295.75341,-16.2543248986,28.4554372194
44.0,2.0,PARTIDO POPULAR,PP,377354.661745,3148396.73939,-16.2526401848,28.4563641921
45.0,2.0,PARTIDO POPULAR,PP,377368.229835,3148429.03146,-16.2525050694,28.4566568885
46.0,2.0,PARTIDO POPULAR,PP,377595.736292,3150476.7504,-16.2503994192,28.475157948
47.0,2.0,PARTIDO POPULAR,PP,378057.810874,3150674.34759,-16.2457010181,28.4769844831
48.0,5.0,PARTIDO ANIMALISTA CONTRA EL MALTRATO ANIMAL,PACMA,377935.744887,3150626.81908,-16.2469427034,28.4765441338
49.0,3.0,PARTIDO SOCIALISTA OBRERO ESPAÑOL-NUEVA CANARIA,PSOE-NCa,377946.59626,3150616.93577,-16.2468308257,28.476455958
50.0,1.0,COALICION CANARIA-PARTIDO NACIONALISTA CANARIO,CCa-PNC,377880.650752,3150601.94656,-16.2475027683,28.47631451
51.0,6.0,ESCAÑOS EN BLANCO,EB,377885.979035,3150593.88934,-16.2474474938,28.4762422968
52.0,7.0,CIUDADANOS-PARTIDO DE LA CIUDADANIA,C's,377781.056352,3150550.52227,-16.2485145129,28.4758410948
53.0,3.0,PARTIDO SOCIALISTA OBRERO ESPAÑOL-NUEVA CANARIA,PSOE-NCa,377756.486943,3150551.47789,-16.2487655516,28.4758474146
54.0,2.0,PARTIDO POPULAR,PP,377615.427203,3150493.01192,-16.2502000376,28.4753065495
55.0,10.0,UNIDOS PODEMOS,PODEMOS-IU-EQUO-CLIAS,377661.193529,3150502.18771,-16.2497335851,28.4753936531
56.0,2.0,PARTIDO POPULAR,PP,377802.078581,3149198.73519,-16.2481564091,28.4636438276
57.0,10.0,UNIDOS PODEMOS,PODEMOS-IU-EQUO-CLIAS,377729.061,3149035.12203,-16.2488847213,28.4621604505
58.0,3.0,PARTIDO SOCIALISTA OBRERO ESPAÑOL-NUEVA CANARIA,PSOE-NCa,377895.314878,3149379.38042,-16.2472234012,28.4652828012
59.0,4.0,PARTIDO COMUNISTA DEL PUEBLO CANARIO,PCPC,377916.931885,3149427.99725,-16.247007791,28.4657235698
60.0,1.0,COALICION CANARIA-PARTIDO NACIONALISTA CANARIO,CCa-PNC,371241.72696,3146786.50173,-16.3148817842,28.4412438017
61.0,7.0,CIUDADANOS-PARTIDO DE LA CIUDADANIA,C's,371430.929675,3146921.92482,-16.312965152,28.4424845561
62.0,10.0,UNIDOS PODEMOS,PODEMOS-IU-EQUO-CLIAS,371546.259275,3147004.24727,-16.3117968106,28.4432388178
