URTEA;UDAL KODEA;UDALAREN IZENA;TARIFA;TARIFAREN DESKRIBAPENA;ALTA EGUNA;IBILGAILU KOPURUA;.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
2016;030;EIBAR;00;;2016/01/01;1;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              
2016;030;EIBAR;00;;2016/03/07;1;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              
2016;030;EIBAR;00;;2016/04/18;1;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              
2016;030;EIBAR;00;;2016/09/22;2;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              
2016;030;EIBAR;00;;2016/10/18;1;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              
2016;030;EIBAR;01;9 ZALDI FISKALETIK BEHERAKO TURISMOA;2016/01/01;258;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        
2016;030;EIBAR;02;9TIK 11,99 ZALDI FISKALETARA BITARTEKO TURISMOA;2016/01/01;4.418;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           
2016;030;EIBAR;02;9TIK 11,99 ZALDI FISKALETARA BITARTEKO TURISMOA;2016/01/08;1;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               
2016;030;EIBAR;02;9TIK 11,99 ZALDI FISKALETARA BITARTEKO TURISMOA;2016/01/12;6;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               
2016;030;EIBAR;02;9TIK 11,99 ZALDI FISKALETARA BITARTEKO TURISMOA;2016/01/15;1;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               
2016;030;EIBAR;02;9TIK 11,99 ZALDI FISKALETARA BITARTEKO TURISMOA;2016/03/07;6;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               
2016;030;EIBAR;02;9TIK 11,99 ZALDI FISKALETARA BITARTEKO TURISMOA;2016/04/18;1;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               
2016;030;EIBAR;02;;2016/05/18;21;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             
2016;030;EIBAR;02;9TIK 11,99 ZALDI FISKALETARA BITARTEKO TURISMOA;2016/05/19;1;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               
2016;030;EIBAR;02;9TIK 11,99 ZALDI FISKALETARA BITARTEKO TURISMOA;2016/07/20;2;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               
2016;030;EIBAR;02;9TIK 11,99 ZALDI FISKALETARA BITARTEKO TURISMOA;2016/09/22;2;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               
2016;030;EIBAR;02;9TIK 11,99 ZALDI FISKALETARA BITARTEKO TURISMOA;2016/10/18;1;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               
2016;030;EIBAR;02;9TIK 11,99 ZALDI FISKALETARA BITARTEKO TURISMOA;2016/11/10;1;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               
2016;030;EIBAR;02;;2016/11/21;1;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              
2016;030;EIBAR;02;;2016/12/29;1;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              
2016;030;EIBAR;03;12TIK 13,99 ZALDI FISKALETARA BITARTEKO TURISMOA;2016/01/01;5.476;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          
2016;030;EIBAR;03;12TIK 13,99 ZALDI FISKALETARA BITARTEKO TURISMOA;2016/01/12;3;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              
2016;030;EIBAR;03;12TIK 13,99 ZALDI FISKALETARA BITARTEKO TURISMOA;2016/01/14;1;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              
