URTEA;UDAL KODEA;UDALAREN IZENA;ZERGA KODEA;ZERGAREN IZENA;KALE KODEA;KALEAREN IZENA;DISTRITUA;SEKZIOA;AGIRI KOPURUA;BILDUTAKO ZENBATEKOA;EXEKUTIBOAN KOBRATZEKE ZENBATEKOA;.                                                                                                                                                                                                                                                                                                                                                                                                                                 
2016;030;EIBAR;001;TRAK.MEK.IBILG;;;;;13.688;1.494.605,43;75.869,93;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          
2016;030;EIBAR;004;PASABIDEAK;1102;EGO-GAIN KALEA;001;001;4;900,53;0,00;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      
2016;030;EIBAR;004;PASABIDEAK;1103;ISASI KALEA;001;001;4;537,59;0,00;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         
2016;030;EIBAR;004;PASABIDEAK;1104;OTAOLA HIRIBIDEA;001;001;8;1.662,11;0,00;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
2016;030;EIBAR;004;PASABIDEAK;1104;OTAOLA HIRIBIDEA;003;004;11;2.092,11;0,00;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 
2016;030;EIBAR;004;PASABIDEAK;1105;SAN ANDRES PASEALEKU;000;000;1;1.528,20;0,00;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              
2016;030;EIBAR;004;PASABIDEAK;1106;TORREKUA KALEA;001;001;1;195,93;0,00;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      
2016;030;EIBAR;004;PASABIDEAK;1202;FERMIN CALBETON KALE;001;001;1;139,95;0,00;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
2016;030;EIBAR;004;PASABIDEAK;1301;BISTA-EDER KALEA;004;002;4;421,72;0,00;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
2016;030;EIBAR;004;PASABIDEAK;1305;MIGEL AGINAGA KALEA;000;000;1;0,00;0,00;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   
2016;030;EIBAR;004;PASABIDEAK;1305;MIGEL AGINAGA KALEA;001;003;1;139,95;0,00;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 
2016;030;EIBAR;004;PASABIDEAK;1305;MIGEL AGINAGA KALEA;004;001;2;167,94;0,00;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 
2016;030;EIBAR;004;PASABIDEAK;1306;TXALTXA-ZELAI KALEA;001;003;4;565,58;0,00;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 
2016;030;EIBAR;004;PASABIDEAK;1401;ALDATZE KALEA;002;005;1;223,92;0,00;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       
