URTEA;UDAL KODEA;UDALAREN IZENA;KALE KODEA;KALEAREN IZENA;BARRUTIA;SEKZIOA;ALDAKUNTZA MOTA;ALDAKUNTZAREN IZENA;EMAKUME KOPURUA;GIZON KOPURUA;.                                                                                                                                                                                                                                                                                                                                                                                                                                                                
2016;067;ERRENTERIA;1101;GOIKO KALEA / CALLE ARRIBA;001;001;DE;BAJA HABITANTE POR DEFUNCION;0;1;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              
2016;067;ERRENTERIA;1101;GOIKO KALEA / CALLE ARRIBA;001;001;EM;BAJA HABITANTE POR EMIGRACION;3;4;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             
2016;067;ERRENTERIA;1101;GOIKO KALEA / CALLE ARRIBA;001;001;ER;MODIFICACION DATOS DE HABITANT;0;1;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            
2016;067;ERRENTERIA;1101;GOIKO KALEA / CALLE ARRIBA;001;001;IN;ALTA HABITANTE POR INMIGRACION;1;1;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            
2016;067;ERRENTERIA;1101;GOIKO KALEA / CALLE ARRIBA;001;001;OC;CAMBIO DE DOMICILIO DE HABITAN;2;2;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            
2016;067;ERRENTERIA;1103;HERRIKO PLAZA;001;001;EM;BAJA HABITANTE POR EMIGRACION;1;0;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          
2016;067;ERRENTERIA;1103;HERRIKO PLAZA;001;001;ER;MODIFICACION DATOS DE HABITANT;0;1;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         
2016;067;ERRENTERIA;1103;HERRIKO PLAZA;001;001;IN;ALTA HABITANTE POR INMIGRACION;0;1;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         
2016;067;ERRENTERIA;1103;HERRIKO PLAZA;001;001;OC;CAMBIO DE DOMICILIO DE HABITAN;1;2;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         
2016;067;ERRENTERIA;1103;HERRIKO PLAZA;001;003;DE;BAJA HABITANTE POR DEFUNCION;1;1;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           
2016;067;ERRENTERIA;1103;HERRIKO PLAZA;001;003;EM;BAJA HABITANTE POR EMIGRACION;0;1;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          
2016;067;ERRENTERIA;1103;HERRIKO PLAZA;001;003;ER;MODIFICACION DATOS DE HABITANT;0;3;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         
2016;067;ERRENTERIA;1103;HERRIKO PLAZA;001;003;IN;ALTA HABITANTE POR INMIGRACION;0;1;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         
2016;067;ERRENTERIA;1103;HERRIKO PLAZA;001;003;OC;CAMBIO DE DOMICILIO DE HABITAN;7;5;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         
2016;067;ERRENTERIA;1104;ELIZAKO KALEA / CALLE IGLESIA;001;001;EM;BAJA HABITANTE POR EMIGRACION;0;1;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          
2016;067;ERRENTERIA;1104;ELIZAKO KALEA / CALLE IGLESIA;001;001;IN;ALTA HABITANTE POR INMIGRACION;2;4;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         
2016;067;ERRENTERIA;1104;ELIZAKO KALEA / CALLE IGLESIA;001;001;NA;ALTA HABITANTE POR NACIMIENTO;0;1;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          
2016;067;ERRENTERIA;1104;ELIZAKO KALEA / CALLE IGLESIA;001;001;OC;CAMBIO DE DOMICILIO DE HABITAN;1;1;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         
2016;067;ERRENTERIA;1105;MADALEN KALEA;001;001;DE;BAJA HABITANTE POR DEFUNCION;1;1;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           
2016;067;ERRENTERIA;1105;MADALEN KALEA;001;001;EM;BAJA HABITANTE POR EMIGRACION;1;0;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          
2016;067;ERRENTERIA;1105;MADALEN KALEA;001;001;ER;MODIFICACION DATOS DE HABITANT;4;3;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         
2016;067;ERRENTERIA;1105;MADALEN KALEA;001;001;IN;ALTA HABITANTE POR INMIGRACION;2;1;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         
2016;067;ERRENTERIA;1105;MADALEN KALEA;001;001;NA;ALTA HABITANTE POR NACIMIENTO;0;1;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          
