URTEA;UDAL KODEA;UDALAREN IZENA;KALE KODEA;KALEAREN IZENA;KALIFIKAZIOA;ISUNEN KOPURUA;ORDAINDUTAKO ZENBATEKOA;EXEKUTIBOAN KOBRATZEKE ZENBATEKOA;.                                                                                                                                                                                                                                                                                                                                                                                                                                                             
2016;067;ERRENTERIA;1101;GOIKO KALEA / CALLE ARRIBA;ARINA;37;889,70;449,65;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   
2016;067;ERRENTERIA;1107;MIGUEL ALDUNTZIN KALEA;LARRIA;5;500,00;234,95;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       
2016;067;ERRENTERIA;1107;MIGUEL ALDUNTZIN KALEA;ARINA;33;524,85;507,10;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       
2016;067;ERRENTERIA;1107;MIGUEL ALDUNTZIN KALEA;OSO LARRIA;2;1.000,00;0,00;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   
2016;067;ERRENTERIA;1109;PABLO IGLESIAS KALEA;LARRIA;10;700,00;714,85;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        
2016;067;ERRENTERIA;1109;PABLO IGLESIAS KALEA;ARINA;101;1.891,85;904,30;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      
2016;067;ERRENTERIA;1110;SANTA KLARA KALEA;LARRIA;6;103,05;1.191,70;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          
2016;067;ERRENTERIA;1110;SANTA KLARA KALEA;ARINA;35;509,85;609,05;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            
2016;067;ERRENTERIA;1201;KAPITANENEA KALEA;ARINA;3;80,00;0,00;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
2016;067;ERRENTERIA;1202;KRISTOBAL GAMON KALEA;ARINA;9;259,95;129,90;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         
2016;067;ERRENTERIA;1203;FERNANDEZ DE LANDA PLAZA;LARRIA;2;344,95;0,00;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       
2016;067;ERRENTERIA;1203;FERNANDEZ DE LANDA PLAZA;ARINA;2;136,95;0,00;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        
2016;067;ERRENTERIA;1203;FERNANDEZ DE LANDA PLAZA;OSO LARRIA;1;0,00;604,95;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   
2016;067;ERRENTERIA;1204;JUAN IGNACIO GAMON ZUMARDIA/AL;LARRIA;3;0,00;734,85;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 
2016;067;ERRENTERIA;1204;JUAN IGNACIO GAMON ZUMARDIA/AL;ARINA;2;40,00;0,00;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   
2016;067;ERRENTERIA;1207;ASKATASUNAREN MARTIRIEN KALEA;LARRIA;11;1.000,00;0,00;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               
2016;067;ERRENTERIA;1207;ASKATASUNAREN MARTIRIEN KALEA;ARINA;108;1.484,40;1.710,25;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           
2016;067;ERRENTERIA;1208;NAFARROA HIRIBIDE/AVENIDA DE N;LARRIA;117;8.435,80;4.313,10;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         
2016;067;ERRENTERIA;1208;NAFARROA HIRIBIDE/AVENIDA DE N;ARINA;316;5.311,27;4.493,53;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          
2016;067;ERRENTERIA;1208;NAFARROA HIRIBIDE/AVENIDA DE N;OSO LARRIA;21;4.525,00;579,95;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        
2016;067;ERRENTERIA;1212;BITERI KALEA;LARRIA;18;1.644,95;234,95;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              
2016;067;ERRENTERIA;1212;BITERI KALEA;ARINA;188;4.609,90;2.401,65;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            
2016;067;ERRENTERIA;1212;BITERI KALEA;OSO LARRIA;3;500,00;0,00;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               
2016;067;ERRENTERIA;1213;ZAMALBIDE KALEA;LARRIA;2;0,00;489,90;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
2016;067;ERRENTERIA;1213;ZAMALBIDE KALEA;ARINA;144;2.431,15;3.079,45;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         
2016;067;ERRENTERIA;1214;ZUBIAURRE KALEA;ARINA;1;40,00;0,00;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
2016;067;ERRENTERIA;1301;FORU PLAZA;LARRIA;3;200,00;234,95;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   
2016;067;ERRENTERIA;1301;FORU PLAZA;ARINA;70;1.841,15;453,70;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 
2016;067;ERRENTERIA;1302;BARRIO GAZTAÑO/GAZTAÑO AUZOA;LARRIA;11;844,95;734,85;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
2016;067;ERRENTERIA;1302;BARRIO GAZTAÑO/GAZTAÑO AUZOA;ARINA;111;1.399,65;3.155,15;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            
2016;067;ERRENTERIA;1304;MARIA LEZO KALEA;LARRIA;14;700,00;724,85;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            
2016;067;ERRENTERIA;1304;MARIA LEZO KALEA;ARINA;69;1.241,13;1.567,77;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         
2016;067;ERRENTERIA;1304;MARIA LEZO KALEA;OSO LARRIA;1;0,00;0,00;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             
2016;067;ERRENTERIA;1401;AIZPITARTE PASABIDEA/PASAJE AI;LARRIA;2;100,00;244,95;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               
2016;067;ERRENTERIA;1401;AIZPITARTE PASABIDEA/PASAJE AI;ARINA;2;80,00;0,00;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   
2016;067;ERRENTERIA;1402;ALEXANDER FLEMING KALEA;ARINA;1;25,00;0,00;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          
2016;067;ERRENTERIA;1403;FANDERIA PASEALEKUA/PASEO FAND;LARRIA;4;400,00;0,00;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 
2016;067;ERRENTERIA;1403;FANDERIA PASEALEKUA/PASEO FAND;ARINA;6;160,00;201,90;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
2016;067;ERRENTERIA;1404;BARRIO LARTZABAL/LARTZABAL AUZ;LARRIA;15;1.040,00;489,90;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            
2016;067;ERRENTERIA;1404;BARRIO LARTZABAL/LARTZABAL AUZ;ARINA;4;105,00;64,95;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 
2016;067;ERRENTERIA;1404;BARRIO LARTZABAL/LARTZABAL AUZ;OSO LARRIA;1;250,00;0,00;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             
2016;067;ERRENTERIA;1406;SALK ETA SABIN KALEA;LARRIA;2;200,00;0,00;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           
2016;067;ERRENTERIA;1406;SALK ETA SABIN KALEA;ARINA;4;13,83;178,52;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           
2016;067;ERRENTERIA;1407;TOMAS LOPEZ KALEA;LARRIA;7;834,95;0,00;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              
