CODI_DIVISIO_TERRITORIAL;TIPUS_VEHICLE;CODI_TIPUS_VEHICLE;ANTIGUITAT;POTENCIA_FISCAL;CILINDRADA;PLACES;CARREGA_UTIL;NRE_VEHICLES;MARCA
SF;Autobusos;De menys de 21 places;-;-;-;11;-;1;Integralia     
SF;Autobusos;De menys de 21 places;-;-;-;13;-;1;Desconegut     
SF;Autobusos;De menys de 21 places;-;-;-;14;-;2;Mercedes-Benz  
SF;Autobusos;De menys de 21 places;-;-;-;15;-;1;Desconegut     
SF;Autobusos;De menys de 21 places;-;-;-;15;-;3;Iveco          
SF;Autobusos;De menys de 21 places;-;-;-;16;-;1;Mercedes-Benz  
SF;Autobusos;De menys de 21 places;-;-;-;16;-;1;M.A.N.         
SF;Autobusos;De menys de 21 places;-;-;-;17;-;1;M.A.N.         
SF;Autobusos;De menys de 21 places;-;-;-;17;-;1;Desconegut     
SF;Autobusos;De menys de 21 places;-;-;-;18;-;3;Man            
SF;Autobusos;De menys de 21 places;-;-;-;19;-;1;Man            
SF;Autobusos;De menys de 21 places;-;-;-;19;-;2;Iveco          
SF;Autobusos;De menys de 21 places;-;-;-;20;-;1;Iveco          
SF;Autobusos;De menys de 21 places;-;-;-;20;-;6;M.A.N.         
SF;Autobusos;De més de 50 places;-;-;-;54;-;1;Pegaso         
SF;Autobusos;De més de 50 places;-;-;-;55;-;1;Irisbus        
SF;Autobusos;De més de 50 places;-;-;-;57;-;2;Iveco          
SF;Autobusos;De més de 50 places;-;-;-;57;-;2;Scania         
SF;Autobusos;De més de 50 places;-;-;-;57;-;1;Irisbus        
SF;Autobusos;De més de 50 places;-;-;-;58;-;1;Castrosua      
SF;Autobusos;De més de 50 places;-;-;-;59;-;1;Iveco          
SF;Autobusos;De més de 50 places;-;-;-;71;-;2;M.A.N.         
SF;Autobusos;De 21 A 50 places;-;-;-;22;-;1;Desconegut     
SF;Autobusos;De 21 A 50 places;-;-;-;22;-;1;Irisbus        
SF;Autobusos;De 21 A 50 places;-;-;-;23;-;2;Iveco          
SF;Autobusos;De 21 A 50 places;-;-;-;23;-;4;M.A.N.         
SF;Autobusos;De 21 A 50 places;-;-;-;26;-;1;Pegaso         
SF;Autobusos;De 21 A 50 places;-;-;-;26;-;1;Otokar         
SF;Autobusos;De 21 A 50 places;-;-;-;28;-;3;Man            
SF;Autobusos;De 21 A 50 places;-;-;-;28;-;2;Volvo          
SF;Autobusos;De 21 A 50 places;-;-;-;29;-;1;Man            
SF;Autobusos;De 21 A 50 places;-;-;-;30;-;1;M.A.N.         
SF;Autobusos;De 21 A 50 places;-;-;-;31;-;2;Mercedes-Benz  
SF;Autobusos;De 21 A 50 places;-;-;-;37;-;1;Consulmovil    
SF;Autobusos;De 21 A 50 places;-;-;-;41;-;1;Consulmovilbus 
SF;Autobusos;De 21 A 50 places;-;-;-;43;-;1;M.A.N.         
SF;Autobusos;De 21 A 50 places;-;-;-;44;-;1;Man            
SF;Autobusos;De 21 A 50 places;-;-;-;45;-;2;Man Magnus     
SF;Autobusos;De 21 A 50 places;-;-;-;45;-;13;M.A.N.         
SF;Autobusos;De 21 A 50 places;-;-;-;45;-;1;Man            
SF;Autobusos;De 21 A 50 places;-;-;-;46;-;1;Iveco          
SF;Autobusos;De 21 A 50 places;-;-;-;46;-;2;Carrocera      
SF;Autobusos;De 21 A 50 places;-;-;-;46;-;2;Castrosua      
SF;Autobusos;De 21 A 50 places;-;-;-;46;-;2;Man            
SF;Autobusos;De 21 A 50 places;-;-;-;47;-;1;Man            
SF;Autobusos;De 21 A 50 places;-;-;-;48;-;7;Scania         
SF;Camions;De menys de 1.000 kg de càrrega;-;-;-;-;10;1;Seat           
SF;Camions;De menys de 1.000 kg de càrrega;-;-;-;-;105;1;Ford           
SF;Camions;De menys de 1.000 kg de càrrega;-;-;-;-;140;1;Opel           
SF;Camions;De menys de 1.000 kg de càrrega;-;-;-;-;196;1;Nissan         
SF;Camions;De menys de 1.000 kg de càrrega;-;-;-;-;218;2;Renault        
SF;Camions;De menys de 1.000 kg de càrrega;-;-;-;-;230;1;Nissan         
SF;Camions;De menys de 1.000 kg de càrrega;-;-;-;-;237;1;Renault        
SF;Camions;De menys de 1.000 kg de càrrega;-;-;-;-;245;1;Iveco          
SF;Camions;De menys de 1.000 kg de càrrega;-;-;-;-;25;1;Renault        
SF;Camions;De menys de 1.000 kg de càrrega;-;-;-;-;250;1;Nissan         
SF;Camions;De menys de 1.000 kg de càrrega;-;-;-;-;300;1;Fiat           
SF;Camions;De menys de 1.000 kg de càrrega;-;-;-;-;300;1;M.A.N.         
SF;Camions;De menys de 1.000 kg de càrrega;-;-;-;-;305;1;Citroen        
SF;Camions;De menys de 1.000 kg de càrrega;-;-;-;-;306;1;Mega           
SF;Camions;De menys de 1.000 kg de càrrega;-;-;-;-;315;1;Fiat           
SF;Camions;De menys de 1.000 kg de càrrega;-;-;-;-;321;3;Citroen        
SF;Camions;De menys de 1.000 kg de càrrega;-;-;-;-;325;1;Nissan         
SF;Camions;De menys de 1.000 kg de càrrega;-;-;-;-;325;1;Volkswagen     
SF;Camions;De menys de 1.000 kg de càrrega;-;-;-;-;330;1;Citroen        
SF;Camions;De menys de 1.000 kg de càrrega;-;-;-;-;340;2;Suzuki         
SF;Camions;De menys de 1.000 kg de càrrega;-;-;-;-;350;1;Renault        
SF;Camions;De menys de 1.000 kg de càrrega;-;-;-;-;355;1;Sin            
SF;Camions;De menys de 1.000 kg de càrrega;-;-;-;-;360;2;Suzuki         
SF;Camions;De menys de 1.000 kg de càrrega;-;-;-;-;365;2;Citroen        
SF;Camions;De menys de 1.000 kg de càrrega;-;-;-;-;365;1;Volkswagen     
SF;Camions;De menys de 1.000 kg de càrrega;-;-;-;-;370;1;Renault        
SF;Camions;De menys de 1.000 kg de càrrega;-;-;-;-;385;1;Peugeot        
SF;Camions;De menys de 1.000 kg de càrrega;-;-;-;-;385;1;Tata           
SF;Camions;De menys de 1.000 kg de càrrega;-;-;-;-;385;1;Volkswagen     
