CODI_DIVISIO_TERRITORIAL;NOM_DIVISIO_TERRITORIAL;CATEGORIA_DIVISIO;CODI_DIVISIO_TERRITORIAL_PARE;URL_FITXA_DIVISIO_TERRITORIAL
B-01;Can Nadal;Barri;;
B-02;Falguera;Barri;;
B-03;Roses Castellbell;Barri;;
B-04;Can Calders;Barri;;
B-05;La Salut;Barri;;
B-06;Can Llobera;Barri;;
B-07;Mas Lluí;Barri;;
B-08;Les Grases;Barri;;
B-09;El Pla;Barri;;
B-10;Armenteres;Barri;;
B-11;Can Maginàs;Barri;;
B-13;Can Bertrand;Barri;;
D-01;Districte 1;Districte;;
D-02;Districte 2;Districte;;
D-03;Districte 3;Districte;;
D-04;Districte 4;Districte;;
D-05;Districte 5;Districte;;
D-06;Districte 6;Districte;;
D-07;Districte 7;Districte;;
SF;Sant Feliu de Llobregat;Ciutat;;http://www.santfeliu.cat
S-01001;Districte  1 Secció 1;Secció censal;D-01;
S-01002;Districte  1 Secció 2;Secció censal;D-01;
S-01003;Districte  1 Secció 3;Secció censal;D-01;
S-01004;Districte  1 Secció 4;Secció censal;D-01;
S-01005;Districte  1 Secció 5;Secció censal;D-01;
S-01006;Districte  1 Secció 6;Secció censal;D-01;
S-01007;Districte  1 Secció 7;Secció censal;D-01;
S-02001;Districte  2 Secció 1;Secció censal;D-02;
S-02002;Districte  2 Secció 2;Secció censal;D-02;
S-02003;Districte  2 Secció 3;Secció censal;D-02;
S-02004;Districte  2 Secció 4;Secció censal;D-02;
S-02005;Districte  2 Secció 5;Secció censal;D-02;
S-02006;Districte  2 Secció 6;Secció censal;D-02;
S-02007;Districte  2 Secció 7;Secció censal;D-02;
S-02008;Districte  2 Secció 8;Secció censal;D-02;
S-03001;Districte  3 Secció 1;Secció censal;D-03;
S-03002;Districte  3 Secció 2;Secció censal;D-03;
S-03003;Districte  3 Secció 3;Secció censal;D-03;
S-03004;Districte  3 Secció 4;Secció censal;D-03;
S-03005;Districte  3 Secció 5;Secció censal;D-03;
S-04001;Districte  4 Secció 1;Secció censal;D-04;
S-04002;Districte  4 Secció 2;Secció censal;D-04;
S-04003;Districte  4 Secció 3;Secció censal;D-04;
S-04004;Districte  4 Secció 4;Secció censal;D-04;
S-04005;Districte  4 Secció 5;Secció censal;D-04;
S-04006;Districte  4 Secció 6;Secció censal;D-04;
S-04007;Districte  4 Secció 7;Secció censal;D-04;
S-04008;Districte  4 Secció 8;Secció censal;D-04;
S-05001;Districte  5 Secció 1;Secció censal;D-05;
S-05002;Districte  5 Secció 2;Secció censal;D-05;
S-05003;Districte  5 Secció 3;Secció censal;D-05;
S-05004;Districte  5 Secció 4;Secció censal;D-05;
S-05005;Districte  5 Secció 5;Secció censal;D-05;
S-06001;Districte  6 Secció 1;Secció censal;D-06;
S-06002;Districte  6 Secció 2;Secció censal;D-06;
S-06003;Districte  6 Secció 3;Secció censal;D-06;
S-06004;Districte  6 Secció 4;Secció censal;D-06;
S-07001;Districte  7 Secció 1;Secció censal;D-07;
S-07002;Districte  7 Secció 2;Secció censal;D-07;
S-07003;Districte  7 Secció 3;Secció censal;D-07;
