ID;TIPUS_EQUIPAMENT;DESCRIPCIO_TIPUS_EQUIPAMENT;NOM;NOM_CONTACTE;COGNOM1_CONTACTE;COGNOM2_CONTACTE;TELEFON;EMAIL;URL;SIGLA;CARRER;CODI_CARRER;NRO;BIS;ESCALA;PIS;PORTA;CODI_DIVISIO_TERRITORIAL_ADMINISTRATIVA;CODI_DIVISIO_TERRITORIAL;CODI_POSTAL;CIUTAT;CODI_CIUTAT;PROVINCIA;CODI_PROVINCIA;PAIS;CODI_PAIS;UTMX;UTMY;LONGITUD;LATITUD;TIPO_UTM;ADREÇA_COMPLETA
3335;EquipamentAdminCentral;Casa consistorial - Edifici principal;Ajuntament de Sant Feliu de Llobregat;;;;936858000;ajuntament@santfeliu.cat;http://www.santfeliu.cat;Pl.  ;Vila;550;0001;;;;;S-01001;S-01001;08980;SANT FELIU DE LLOBREGAT;211;BARCELONA;8;ESPANYA;108;420235;4581674;;;ED50;Pl. Vila 0001   
3380;EquipamentCAP;Centre d assistència primària;Àrea Bàsica Salut  El Pla;;;;936858000;ajuntament@santfeliu.cat;http://www.santfeliu.cat;Pl.  ;Felip Alcántara Arellano;265;0003;;;BX ;;S-01007;S-01007;08980;SANT FELIU DE LLOBREGAT;211;BARCELONA;8;ESPANYA;108;419891;4581387;;;ED50;Pl. Felip Alcántara Arellano 0003  BX 
3381;EquipamentCAP;Centre d assistència primària;Àrea Bàsica Salut  Rambla;;;;936858000;ajuntament@santfeliu.cat;http://www.santfeliu.cat;Rbla.;Marquesa de Castellbell;540;0098;;;;;S-05005;S-05005;08980;SANT FELIU DE LLOBREGAT;211;BARCELONA;8;ESPANYA;108;420563;4582285;;;ED50;Rbla. Marquesa de Castellbell 0098   
6689;EquipamentAdmin;Equipament administratiu i proveïment;Àrea de Servei al Transportista;;;;936858000;ajuntament@santfeliu.cat;http://www.santfeliu.cat;C.   ;Sant Josep;830;0161;;;BX ;;S-02003;S-02003;08980;SANT FELIU DE LLOBREGAT;211;BARCELONA;8;ESPANYA;108;419197;4583115;;;ED50;C. Sant Josep 0161  BX 
6680;EquipamentCultural;Equipament cultural;Arxiu Comarcal del Baix Llobregat (antic);;;;936858000;ajuntament@santfeliu.cat;http://www.santfeliu.cat;C.   ;Verge de Montserrat;590;0003;;;BX ;01  ;S-03004;S-03004;08980;SANT FELIU DE LLOBREGAT;211;BARCELONA;8;ESPANYA;108;420581;4581905;;;ED50;C. Verge de Montserrat 0003  BX 01
6106;EquipamentCultural;Equipament cultural;Arxiu Local i Comarcal;;;;936858000;ajuntament@santfeliu.cat;http://www.santfeliu.cat;C.   ;Clementina Arderiu;905;0023;;;;;S-07001;S-07001;08980;SANT FELIU DE LLOBREGAT;211;BARCELONA;8;ESPANYA;108;420985;4582189;;;ED50;C. Clementina Arderiu 0023   
3361;EquipamentSocial;Equipament social;Ateneu Santfeliuenc - Espai AECIP;;;;936858000;ajuntament@santfeliu.cat;http://www.santfeliu.cat;C.   ;Vidal i Ribas;950;0025;;;BX ;01  ;S-01002;S-01002;08980;SANT FELIU DE LLOBREGAT;211;BARCELONA;8;ESPANYA;108;420390;4581799;;;ED50;C. Vidal i Ribas 0025  BX 01
3358;EquipamentDocent;Equipament docent;Aula Sant Feliu;;;;936858000;ajuntament@santfeliu.cat;http://www.santfeliu.cat;Ctra.;Sànson;30;0074;;;BX ;;S-05005;S-05005;08980;SANT FELIU DE LLOBREGAT;211;BARCELONA;8;ESPANYA;108;420710;4582992;;;ED50;Ctra. Sànson 0074  BX 
3364;Equipament;Equipament;Banc municipal d aliments;;;;936858000;ajuntament@santfeliu.cat;http://www.santfeliu.cat;C.   ;Europa;230;0002;;;;;S-04006;S-04006;08980;SANT FELIU DE LLOBREGAT;211;BARCELONA;8;ESPANYA;108;420137;4582466;;;ED50;C. Europa 0002   
3370;EquipamentBiblioteca;Biblioteca;Biblioteca Montserrat Roig;;;;936858000;ajuntament@santfeliu.cat;http://www.santfeliu.cat;C.   ;Verge de Montserrat;590;0003;;;BX ;02  ;S-03004;S-03004;08980;SANT FELIU DE LLOBREGAT;211;BARCELONA;8;ESPANYA;108;420581;4581905;;;ED50;C. Verge de Montserrat 0003  BX 02
33379;EquipamentCultural;Equipament cultural;Biblioteca provisional;;;;936858000;ajuntament@santfeliu.cat;http://www.santfeliu.cat;C.   ;Joan XXIII;500;0013;;;;;S-03004;S-03004;08980;SANT FELIU DE LLOBREGAT;211;BARCELONA;8;ESPANYA;108;420630;4581929;;;ED50;C. Joan XXIII 0013   
3333;EquipamentReligios;Equipament religiós;Bisbat de Sant Feliu de Llobregat;;;;936858000;ajuntament@santfeliu.cat;http://www.santfeliu.cat;C.   ;Armenteres;20;0035;;;BX ;;S-01005;S-01005;08980;SANT FELIU DE LLOBREGAT;211;BARCELONA;8;ESPANYA;108;420256;4581253;;;ED50;C. Armenteres 0035  BX 
6089;EquipamentCampFutbol;Camp de futbol;Camp de Futbol Municipal Falguera;;;;936858000;ajuntament@santfeliu.cat;http://www.santfeliu.cat;C.   ;Reverend Martí Duran;710;0002;;;BX ;;S-02003;S-02003;08980;SANT FELIU DE LLOBREGAT;211;BARCELONA;8;ESPANYA;108;419606;4582057;;;ED50;C. Reverend Martí Duran 0002  BX 
3416;EquipamentCampFutbol;Camp de futbol;Camp de Futbol Municipal (Rbla. M. Castellbell);;;;936858000;ajuntament@santfeliu.cat;http://www.santfeliu.cat;Rbla.;Marquesa de Castellbell;540;0023;;;;;S-03004;S-03004;08980;SANT FELIU DE LLOBREGAT;211;BARCELONA;8;ESPANYA;108;420707;4581748;;;ED50;Rbla. Marquesa de Castellbell 0023   
3413;EquipamentEsportiu;Equipament esportiu;Can Cuyas Golf;;;;936858000;ajuntament@santfeliu.cat;http://www.santfeliu.cat;Camí ;Can Cuyàs;163;;0;;;;;;08980;SANT FELIU DE LLOBREGAT;211;BARCELONA;8;ESPANYA;108;;;;;ED50;Camí Can Cuyàs  0  
3430;EquipamentAdmin;Equipament administratiu i proveïment;Can Maginàs;;;;936858000;ajuntament@santfeliu.cat;http://www.santfeliu.cat;C.   ;Hospitalet;370;0025;;;BX ;;S-01004;S-01004;08980;SANT FELIU DE LLOBREGAT;211;BARCELONA;8;ESPANYA;108;419975;4582309;;;ED50;C. Hospitalet 0025  BX 
6113;EquipamentCultural;Equipament cultural;Can Matacàs;;;;936858000;ajuntament@santfeliu.cat;http://www.santfeliu.cat;C.   ;Armenteres;20;0052;;;BX ;;S-01007;S-01007;08980;SANT FELIU DE LLOBREGAT;211;BARCELONA;8;ESPANYA;108;420178;4581355;;;ED50;C. Armenteres 0052  BX 
3371;EquipamentAdminServei;Casa consistorial - Serveis;Can Ricart;;;;936858000;ajuntament@santfeliu.cat;http://www.santfeliu.cat;Pl.  ;Lluís Companys;921;0001;;;BX ;01  ;S-01002;S-01002;08980;SANT FELIU DE LLOBREGAT;211;BARCELONA;8;ESPANYA;108;420273;4581745;;;ED50;Pl. Lluís Companys 0001  BX 01
3372;EquipamentCultural;Equipament cultural;Casal de Joves;;;;936858000;ajuntament@santfeliu.cat;http://www.santfeliu.cat;Ctra.;Laureà Miró;120;0118;;;BX ;;S-01005;S-01005;08980;SANT FELIU DE LLOBREGAT;211;BARCELONA;8;ESPANYA;108;420358;4581518;;;ED50;Ctra. Laureà Miró 0118  BX 
3366;EquipamentCasalGG;Casal gent gran;Casal municipal de la Gent Gran;;;;936858000;ajuntament@santfeliu.cat;http://www.santfeliu.cat;C.   ;Pi i Margall;310;0045;;;BX ;01  ;S-01002;S-01002;08980;SANT FELIU DE LLOBREGAT;211;BARCELONA;8;ESPANYA;108;420526;4581782;;;ED50;C. Pi i Margall 0045  BX 01
3377;EquipamentCultural;Equipament cultural;Casino Santfeliuenc;;;;936858000;ajuntament@santfeliu.cat;http://www.santfeliu.cat;C.   ;Joan Batllori;470;0006;;;BX ;;S-01002;S-01002;08980;SANT FELIU DE LLOBREGAT;211;BARCELONA;8;ESPANYA;108;420214;4581745;;;ED50;C. Joan Batllori 0006  BX 
3336;EquipamentReligios;Equipament religiós;Catedral de Sant Llorenç;;;;936858000;ajuntament@santfeliu.cat;http://www.santfeliu.cat;Pl.  ;Vila;550;0008;;;BX ;;S-01001;S-01001;08980;SANT FELIU DE LLOBREGAT;211;BARCELONA;8;ESPANYA;108;420343;4581675;;;ED50;Pl. Vila 0008  BX 
3339;EquipamentCementiri;Cementiri;Cementiri Municipal;;;;936858000;ajuntament@santfeliu.cat;http://www.santfeliu.cat;Ra.  ;Salut;790;0039;;;BX ;;S-05005;S-05005;08980;SANT FELIU DE LLOBREGAT;211;BARCELONA;8;ESPANYA;108;420421;4582526;;;ED50;Ra. Salut 0039  BX 
6690;EquipamentAdmin;Equipament administratiu i proveïment;Central d Autobusos ;;;;936858000;ajuntament@santfeliu.cat;http://www.santfeliu.cat;Ctra.;Laureà Miró;120;0426;;;BX ;;S-02003;S-02003;08980;SANT FELIU DE LLOBREGAT;211;BARCELONA;8;ESPANYA;108;419378;4583194;;;ED50;Ctra. Laureà Miró 0426  BX 
10618;EquipamentCultural;Equipament cultural;Centre Cívic Les Tovalloles;;;;936858000;ajuntament@santfeliu.cat;http://www.santfeliu.cat;Ra.  ;Salut;790;0007;;;BX ;;S-04003;S-04003;08980;SANT FELIU DE LLOBREGAT;211;BARCELONA;8;ESPANYA;108;420267;4582310;;;ED50;Ra. Salut 0007  BX 
9287;EquipamentCultural;Equipament cultural;Centre Cívic Mas Lluí;;;;936858000;ajuntament@santfeliu.cat;http://www.santfeliu.cat;C.   ;Estelí;902;0010;;;BX ;;S-07001;S-07001;08980;SANT FELIU DE LLOBREGAT;211;BARCELONA;8;ESPANYA;108;420985;4582189;;;ED50;C. Estelí 0010  BX 
3365;EquipamentCultural;Equipament cultural;Centre Cívic Roses;;;;936858000;ajuntament@santfeliu.cat;http://www.santfeliu.cat;C.   ;Tibidabo;180;0018;;;BX ;02  ;S-03005;S-03005;08980;SANT FELIU DE LLOBREGAT;211;BARCELONA;8;ESPANYA;108;420934;4581967;;;ED50;C. Tibidabo 0018  BX 02
3383;EquipamentSanitari;Equipament sanitari;Centre d atenció i seguiment de drogodependències CAS;;;;936858000;ajuntament@santfeliu.cat;http://www.santfeliu.cat;Pg.  ;Comte de Vilardaga;150;0037;;;BX ;03  ;S-05005;S-05005;08980;SANT FELIU DE LLOBREGAT;211;BARCELONA;8;ESPANYA;108;420692;4582250;;;ED50;Pg. Comte de Vilardaga 0037  BX 03
3378;EquipamentSanitari;Equipament sanitari;Centre d Atenció Precoç;;;;936858000;ajuntament@santfeliu.cat;http://www.santfeliu.cat;Ctra.;Laureà Miró;120;0359;;;LC ;01  ;S-01004;S-01004;08980;SANT FELIU DE LLOBREGAT;211;BARCELONA;8;ESPANYA;108;419897;4582286;;;ED50;Ctra. Laureà Miró 0359  LC 01
6101;EquipamentCentreCivic;Centre cívic;Centre de barri Can Calders;;;;936858000;ajuntament@santfeliu.cat;http://www.santfeliu.cat;C.   ;Francesc Sáez;270;0006;C;;BJ ;01  ;S-05003;S-05003;08980;SANT FELIU DE LLOBREGAT;211;BARCELONA;8;ESPANYA;108;420424;4582180;;;ED50;C. Francesc Sáez 0006 C BJ 01
9934;EquipamentDocent;Equipament docent;Centre de formació de persones adultes Mestre Esteve;;;;936858000;ajuntament@santfeliu.cat;http://www.santfeliu.cat;Ctra.;Sànson;30;0074;;;BX ;;S-05005;S-05005;08980;SANT FELIU DE LLOBREGAT;211;BARCELONA;8;ESPANYA;108;420710;4582992;;;ED50;Ctra. Sànson 0074  BX 
3382;EquipamentSanitari;Equipament sanitari;Centre de Salut Mental Pins d Or;;;;936858000;ajuntament@santfeliu.cat;http://www.santfeliu.cat;C.   ;Roses;740;0017;;;;;S-03001;S-03001;08980;SANT FELIU DE LLOBREGAT;211;BARCELONA;8;ESPANYA;108;420530;4582084;;;ED50;C. Roses 0017   
6726;EquipamentAdmin;Equipament administratiu i proveïment;Centre de Serveis el Pla- Consorci de la Zona Franca;;;;936858000;ajuntament@santfeliu.cat;http://www.santfeliu.cat;C.   ;Pla;655;0164;;;BX ;;S-02003;S-02003;08980;SANT FELIU DE LLOBREGAT;211;BARCELONA;8;ESPANYA;108;419122;4583104;;;ED50;C. Pla 0164  BX 
3431;EquipamentAdmin;Equipament administratiu i proveïment;Centre d Innovació i Formació Ocupacional (CIFO);;;;936858000;ajuntament@santfeliu.cat;http://www.santfeliu.cat;C.   ;Hospitalet;370;0001;;;;;S-01004;S-01004;08980;SANT FELIU DE LLOBREGAT;211;BARCELONA;8;ESPANYA;108;419918;4582255;;;ED50;C. Hospitalet 0001   
3318;EquipamentEscolaBressol;Escola bressol;Centre educatiu 0-3  Fàbregas ;;;;936858000;ajuntament@santfeliu.cat;http://www.santfeliu.cat;Ctra.;Sànson;30;0017;;;BX ;01  ;S-06004;S-06004;08980;SANT FELIU DE LLOBREGAT;211;BARCELONA;8;ESPANYA;108;420246;4582607;;;ED50;Ctra. Sànson 0017  BX 01
3316;EquipamentEscolaBressol;Escola bressol;Centre educatiu 0-3  Ginesta ;;;;936858000;ajuntament@santfeliu.cat;http://www.santfeliu.cat;C.   ;Jacint Rius;901;0001;;;BX ;;S-07002;S-07002;08980;SANT FELIU DE LLOBREGAT;211;BARCELONA;8;ESPANYA;108;420844;4582463;;;ED50;C. Jacint Rius 0001  BX 
3315;EquipamentEscolaBressol;Escola bressol;Centre educatiu 0-3  Patufet ;;;;936858000;ajuntament@santfeliu.cat;http://www.santfeliu.cat;Ra.  ;PAHISSA;728;0030;;;BX ;;S-01005;S-01005;08980;SANT FELIU DE LLOBREGAT;211;BARCELONA;8;ESPANYA;108;420304;4581321;;;ED50;Ra. PAHISSA 0030  BX 
3317;EquipamentEscolaBressol;Escola bressol;Centre educatiu 0-3  Tambor ;;;;936858000;ajuntament@santfeliu.cat;http://www.santfeliu.cat;C.   ;Jaume Ribas;400;0031;;;BX ;;S-02006;S-02006;08980;SANT FELIU DE LLOBREGAT;211;BARCELONA;8;ESPANYA;108;419719;4581747;;;ED50;C. Jaume Ribas 0031  BX 
3403;EquipamentDocent;Equipament docent;Centre La Garsa;;;;936858000;ajuntament@santfeliu.cat;http://www.santfeliu.cat;C.   ;Rupert Lladó;750;0003;;;BX ;01  ;S-02008;S-02008;08980;SANT FELIU DE LLOBREGAT;211;BARCELONA;8;ESPANYA;108;419931;4581885;;;ED50;C. Rupert Lladó 0003  BX 01
3387;EquipamentCAP;Centre d assistència primària;Centre Mèdic Sant Feliu;;;;936858000;ajuntament@santfeliu.cat;http://www.santfeliu.cat;Pg.  ;Comte de Vilardaga;150;0118;;;;;S-07001;S-07001;08980;SANT FELIU DE LLOBREGAT;211;BARCELONA;8;ESPANYA;108;420948;4582257;;;ED50;Pg. Comte de Vilardaga 0118   
3394;EquipamentSocial;Equipament social;Centre Neus Miró(SIE- CIRD);;;;936858000;ajuntament@santfeliu.cat;http://www.santfeliu.cat;C.   ;Pou de Sant Pere;660;0008;;;BX ;01  ;S-01002;S-01002;08980;SANT FELIU DE LLOBREGAT;211;BARCELONA;8;ESPANYA;108;420227;4581701;;;ED50;C. Pou de Sant Pere 0008  BX 01
3397;EquipamentSocial;Equipament social;Centre Ocupacional Marquet Molins;;;;936858000;ajuntament@santfeliu.cat;http://www.santfeliu.cat;Ptge.;Sant Joan;850;0085;;;BX ;;S-01005;S-01005;08980;SANT FELIU DE LLOBREGAT;211;BARCELONA;8;ESPANYA;108;420388;4581474;;;ED50;Ptge. Sant Joan 0085  BX 
3373;EquipamentCultural;Equipament cultural;Centre Parroquial;;;;936858000;ajuntament@santfeliu.cat;http://www.santfeliu.cat;C.   ;Pi i Margall;310;0006;;;;;S-01001;S-01001;08980;SANT FELIU DE LLOBREGAT;211;BARCELONA;8;ESPANYA;108;420371;4581692;;;ED50;C. Pi i Margall 0006   
