CODI_DIVISIO_TERRITORIAL;CODI_NACIONALITAT;DESC_NACIONALITAT;NRE_HOMES;NRE_DONES
D-01;104;BULGARIA;1;1
D-01;108;ESPANYA;9;7
D-01;115;ITALIA;1;0
D-01;217;GHANA;0;1
D-01;228;MARROC;2;0
D-01;343;COLOMBIA;1;1
D-01;345;EQUADOR;0;1
D-01;407;XINA;0;1
D-02;108;ESPANYA;38;29
D-02;115;ITALIA;1;1
D-02;123;PORTUGAL;1;0
D-02;126;ALEMANYA;0;1
D-02;128;ROMANIA;1;0
D-02;131;SUECIA;1;0
D-02;203;ARGELIA;0;1
D-02;217;GHANA;0;1
D-02;228;MARROC;3;5
D-02;239;SENEGAL;2;0
D-02;303;MEXIC;0;2
D-02;341;BOLIVIA;1;1
D-02;342;BRASIL;0;1
D-02;343;COLOMBIA;2;1
D-02;344;XILE;0;2
D-02;345;EQUADOR;0;2
D-02;347;PARAGUAI;1;0
D-02;348;PERU;1;0
D-02;351;VENEZUELA;0;2
D-02;407;XINA;2;3
D-02;410;INDIA;1;0
D-02;413;IRAN;1;0
D-02;499;PAISOS SENSE RELACIONS DIPLOMATIQUES;2;0
D-03;108;ESPANYA;9;5
D-03;115;ITALIA;1;0
D-03;126;ALEMANYA;0;1
D-03;154;RUSSIA;2;2
D-03;217;GHANA;1;0
D-03;228;MARROC;5;1
D-03;315;CUBA;1;0
D-03;341;BOLIVIA;0;2
D-03;342;BRASIL;0;1
D-03;343;COLOMBIA;1;0
D-03;347;PARAGUAI;2;0
D-03;350;URUGUAI;1;0
D-03;407;XINA;1;3
D-03;426;PAKISTAN;1;0
D-04;108;ESPANYA;22;6
D-04;115;ITALIA;1;1
D-04;128;ROMANIA;1;0
D-04;135;UCRANIA;1;0
D-04;154;RUSSIA;1;2
D-04;203;ARGELIA;1;3
D-04;228;MARROC;6;4
D-04;234;NIGERIA;2;0
D-04;315;CUBA;1;1
D-04;321;HONDURES;0;1
D-04;341;BOLIVIA;1;1
D-04;343;COLOMBIA;1;1
D-04;344;XILE;0;1
D-04;345;EQUADOR;1;0
D-04;347;PARAGUAI;1;2
D-04;348;PERU;1;1
D-04;407;XINA;8;4
D-04;413;IRAN;0;1
D-04;426;PAKISTAN;2;2
D-05;108;ESPANYA;0;1
D-05;115;ITALIA;1;0
D-05;321;HONDURES;0;1
D-05;341;BOLIVIA;1;0
D-05;343;COLOMBIA;1;0
D-05;347;PARAGUAI;1;0
D-05;348;PERU;0;2
D-05;407;XINA;0;1
D-06;108;ESPANYA;19;16
D-06;122;POLONIA;1;0
D-06;128;ROMANIA;1;2
D-06;135;UCRANIA;0;1
D-06;157;SERBIA;1;0
D-06;216;GAMBIA;1;0
D-06;227;MALI;3;0
D-06;228;MARROC;4;2
D-06;234;NIGERIA;1;0
D-06;341;BOLIVIA;2;1
D-06;343;COLOMBIA;2;0
D-06;345;EQUADOR;2;1
D-06;347;PARAGUAI;0;1
D-06;348;PERU;2;1
D-06;350;URUGUAI;0;1
D-06;407;XINA;3;2
D-06;410;INDIA;1;0
D-06;426;PAKISTAN;1;0
D-07;108;ESPANYA;4;3
D-07;228;MARROC;0;1
D-07;302;ESTADOS UNIDOS (EUA);0;1
